"gene","p-adj-Papillary-Mucinous","p-adj-Tubular-Mucinous","p-adj-Tubular-Papillary","mean-Mucinous","mean-Papillary","mean-Tubular","SEM-Mucinous","SEM-Papillary","SEM-Tubular","Q1-Mucinous","Q1-Papillary","Q1-Tubular","Q3-Mucinous","Q3-Papillary","Q3-Tubular","count-Mucinous","count-Papillary","count-Tubular"
"ZNF85",0.10251652504052,0.0585569736406274,0.999957036962892,456.01805,92.0013666666667,93.0389625,356.82595,61.3175832122492,20.7951583654185,277.605075,31.3733,56.544625,634.431025,130.2566,117.15315,2,3,8
"ZKSCAN1",0.128354056295893,0.85357263609204,0.106428436275704,1502.024,4137.24426666667,2074.5844375,15.0402,1288.8709378832,377.897080411226,1494.5039,3389.26785,1235.165325,1509.5441,5420.23725,3171.5983,2,3,8
"ZNF862",0.659127423670498,0.62109291828247,0.995975533238386,226.2984,539.331533333333,516.9875125,64.0966,353.575020692438,114.198731044707,194.2501,186.5427,356.980725,258.3467,736.1343,605.335025,2,3,8
"ZNF684",0.00299974849272067,0.000405422657955845,0.698392816894283,119.6383,56.4875666666667,47.9197625,13.2163,8.1500894834215,5.38012169275996,113.03015,48.90845,43.596125,126.24645,62.87245,55.729075,2,3,8
"ZNF430",0.144612940130264,0.0817152919188583,0.998745275290462,539.452,181.146333333333,175.0396875,414.6764,24.6289376079125,13.1506851527298,332.1138,159.93175,166.580375,746.7902,202.5885,202.581475,2,3,8
"ZFP30",0.804456263039473,0.703820460471012,0.995287255804188,90.26385,218.643833333333,232.516625,64.23155,26.2501636988758,92.3349613353792,58.148075,199.1526,114.5057,122.379625,243.6168,212.4892,2,3,8
"ZNF549",0.624492634502448,0.363670183392405,0.919710276266372,168.8222,92.2120333333333,68.739975,136.5062,70.0177893955608,14.5208781505133,100.5691,22.2112,45.977575,237.0753,128.54685,77.3406,2,3,8
"ZNF211",0.763433067968088,0.241347535954041,0.0338483213624541,251.5905,296.446466666667,156.8035125,51.8957,67.3248287771144,16.5596180267847,225.64265,231.60965,118.196875,277.53835,344.56885,199.44655,2,3,8
"ZNF205",0.99987067041605,0.902541663336658,0.860101796839749,261.65545,259.850166666667,305.9131875,158.34905,75.2432680432682,38.4028773357285,182.480925,191.8705,211.917125,340.829975,321.7727,357.72175,2,3,8
"ZNF45",0.991212269142928,0.997581077056632,0.966749928154517,264.0969,241.9392,274.1450875,90.3985,36.6447034080416,78.2921364189402,218.89765,205.3897,193.2176,309.29615,262.50005,230.4258,2,3,8
"ZNF133",0.982906286148722,0.985246820876455,0.998794151348992,279.90315,253.982866666667,259.0638375,28.89395,57.7987945987438,64.8665563855188,265.456175,205.16265,157.657425,294.350125,305.18785,267.27475,2,3,8
"ZNF436",0.515276325138076,0.316892967882116,0.963433718623478,788.5816,509.7904,462.373,344.0753,103.529410171023,86.821743453973,616.54395,410.0872,281.7195,960.61925,583.7917,579.54615,2,3,8
"ZNF484",0.900244025747627,0.993562758256011,0.758518440779754,146.54745,172.9321,140.9122375,78.77365,35.0025726257847,20.5222407712944,107.160625,151.92945,98.4178,185.934275,207.6832,185.5892,2,3,8
"ZNF780B",0.974352206355268,0.936796487139661,0.770942614151962,349.67565,373.2232,317.282675,38.11605,96.3010575448335,38.3260387883996,330.617625,320.7614,269.336925,368.733675,469.3915,326.9916,2,3,8
"ZNF557",0.457306258697263,0.747185925653989,0.704490054376863,158.7758,235.985,198.538775,14.9226,30.9767373211469,26.7969105202297,151.3145,212.46435,150.6171,166.2371,265.2025,255.2751,2,3,8
"ZNF337",0.981014811149568,0.978638933540666,0.999772551344563,424.9487,370.586,374.9736625,132.3359,134.93369543314,124.910196122607,358.78075,236.10245,211.072525,491.11665,447.36495,328.9511,2,3,8
