"gene","Hepatocellular Carcinoma-Fibrolamellar Carcinoma","Hepatocholangiocarcinoma (Mixed)-Fibrolamellar Carcinoma","Hepatocholangiocarcinoma (Mixed)-Hepatocellular Carcinoma"
"ZKSCAN4",0.955365059672337,0.840266062997957,0.831271036678839
"ZNF643",0.84942370799089,0.778580960799844,0.918654262038021
"ZNF642",0.779943009107176,0.676981820387168,0.870283133775974
"ZNF490",0.989834654696088,0.865393727339459,0.494191442403838
"ZNF626",0.874991828607772,0.000998030796574789,0
"ZNF793",0.938054574064932,0.869703552000576,0.327593109410858
"ZNF383",0.859063351996597,0.525521468766897,0.478108083602152
"ZNF669",0.999872551067206,0.999954608486686,0.999975318838709
"ZNF559",0.861367826546437,0.949739311572141,0.969348696505762
"ZNF177",0.998528620533037,0.614360699797578,0.236756327265581
"ZNF548",0.663397629723846,0.937941786461415,0.766030196329699
"ZNF563",0.668766461403297,0.971780301495839,0.202183200834844
