"gene","pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos"
"ZIK1",0.721150026474797,25.5165911564626,28.2283227272727,3.74452575204311,5.96905626463507,5.39485,4.818275,21.4872,44.28425
"ZNF540",0.0644316581157228,31.639537414966,25.3427886363636,1.59092039307504,3.17109764809354,18.0362,12.852075,40.8057,28.5814
"ZNF570",0.396552680811301,29.6674836734694,32.7607409090909,1.67141698556347,3.62470936759017,15.5607,15.46565,40.3771,40.18965
"ZNF57",0.540899384228937,112.566978911565,101.240290909091,9.47670888000801,11.7405781545675,49.49065,51.64355,121.6643,133.50855
"ZNF556",0.322641758097833,1.70440340136054,3.10472045454545,0.568623711050475,1.75439414815429,0,0,0.5462,0.679875
"ZNF554",0.72425986326595,125.731929251701,121.536645454545,5.75827788079184,10.0437165549617,80.82835,67.925575,151.75655,146.1084
"ZNF738",0.916050956757542,63.3944537414966,64.3976409090909,4.72864984222671,7.20651398001615,29.6059,30.006675,72.774,85.23625
"ZNF596",0.593611260987146,41.556580952381,44.34515,2.29307960106995,5.69407810711915,22.789,16.006225,55.39505,66.497575
"ZNF621",0.705065763005527,359.095854421769,349.288320454545,11.8572909741337,25.8775115385814,256.4526,246.819,429.6254,407.7552
"ZNF680",0.0932817195961662,297.781244897959,240.723525,17.031351743913,24.0827788164076,165.51215,129.8431,392.8913,318.55105
"ZNF483",0.000236444155313986,4.1516619047619,8.65562727272727,0.543790547957425,1.23684091938552,1.3263,2.312525,5.18365,13.70465
"ZNF417",0.523255479667748,85.1606272108844,90.8216318181818,3.74412495972249,10.2977361501464,53.2111,42.19925,103.39265,117.818575
"ZNF791",0.359664118417367,111.912037414966,101.967988636364,5.04949014717137,10.3680796874202,66.4701,55.291725,150.60665,129.20975
"ZNF519",0.121012067305697,16.8167761904762,21.7222454545455,1.39808436812831,3.37373377170002,6.7278,7.6586,21.94875,24.039325
"ZNF25",0.117659202989906,136.246371428571,114.404954545455,7.10241046874162,8.99686537347597,88.30035,83.370675,167.2666,129.5937
"ZNF77",0.447277456234556,66.0878074829932,61.3999977272727,2.97138899117413,5.29394810102813,43.038,33.2773,78.727,77.441225
"ZNF169",0.601683609088449,29.652125170068,31.33755,1.55980488799623,2.74793378537021,17.0951,18.114925,36.35085,38.852225
"ZNF613",0.313392315898179,71.7866530612245,78.0613590909091,3.02730006506709,5.13728725858225,50.45975,54.87075,87.09755,95.898925
"ZNF404",0.94384214174948,38.2852353741497,38.8600068181818,3.93762805138946,6.98155327405978,10.9008,10.739475,40.9306,49.857225
