"gene","p-adj-pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos","count-neg","count-pos"
"ZNF57",0.0638442844508982,116.77698974359,79.5630942857143,9.14151295554102,10.5462047327323,50.120825,43.93145,131.739725,93.2035,156,35
"ZNF556",0.442434547927232,2.24399423076923,1.05976857142857,0.717694869897568,0.530016726321946,0,0,0.644125,0,156,35
"ZNF554",0.847445450920113,125.221827564103,122.731454285714,5.78677470625492,8.84975514994562,77.905275,81.8281,151.52515,150.52055,156,35
"ZNF738",0.259359447284816,65.7628903846154,54.0991428571429,4.61387724796234,7.07442407511567,30.782,27.1114,80.163325,61.235,156,35
"ZNF596",0.299438423129369,43.2793391025641,37.3836314285714,2.5875466000248,3.1181474351055,21.2777,23.49135,58.23905,50.996,156,35
"ZNF621",0.314423423084827,362.029523717949,333.6906,12.2823106044699,22.7712217819257,257.249775,251.1358,435.1508,397.8255,156,35
"ZNF680",0.79065335520392,286.443576923077,276.585145714286,16.2454842939592,29.686380864037,150.458425,157.21315,376.1892,399.77215,156,35
"ZNF483",0.0875125760206088,5.61257692307692,3.30228285714286,0.622862988694595,0.575673382149745,1.6597,1.25875,6.3336,4.8405,156,35
"ZNF417",0.415377944159405,87.9048365384615,80.0459857142857,4.18382571172696,8.07329124193129,52.680275,41.7227,109.141425,96.9679,156,35
"ZNF791",0.348777918463805,111.649824358974,100.579668571429,5.27583444323122,8.06577475540137,59.57375,67.72295,148.875025,135.6672,156,35
"ZNF519",0.122710821190541,18.9207865384615,13.6057771428571,1.56669753271358,1.8656362607783,6.82185,6.83165,23.5915,16.19675,156,35
"ZNF25",0.915073016339926,131.5127,129.88724,6.99045835561687,7.6842307993033,83.370675,101.25815,156.312575,159.04225,156,35
"ZNF77",0.635884037143783,65.5906532051282,62.4104485714286,2.9453517043536,5.28256010677146,42.2846,42.7288,81.147875,73.25555,156,35
"ZNF169",0.409466168728567,30.5712865384615,27.6741114285714,1.52914041225497,2.87271868904108,17.622025,17.08295,38.2696,34.76475,156,35
"ZNF613",0.954666605591482,73.3027987179487,72.9171771428571,2.97988822559527,5.28512146717952,50.2762,53.20095,91.813225,84.7794,156,35
"ZNF404",0.591590511197021,39.2904583333333,34.5273828571429,3.62263249607512,9.48345503232565,10.767025,11.2134,45.841425,40.14765,156,35
"ZNF135",0.0307273543203853,45.3190980769231,20.7729,5.24916802032302,4.16853104438079,8.02715,6.71385,49.685925,22.69795,156,35
"ZNF620",0.221226498174401,43.0590038461538,37.3493114285714,2.06519544251603,3.40558734662988,25.716075,22.8139,54.744725,51.47215,156,35
"ZNF619",0.179064553749266,41.6017743589744,35.2855628571429,2.05001065856756,3.76717622911086,22.337775,21.6207,56.766375,45.13985,156,35
"ZNF354C",0.225041084351288,11.637441025641,7.44332571428571,1.57931433315503,1.79526891828599,1.18725,1.02175,11.9869,8.7307,156,35
"ZNF114",0.576586270603764,6.08916730769231,2.4915,3.03826067405658,0.505858887222032,0.756525,0.86675,3.683575,2.7484,156,35
"ZNF454",0.227113615735185,6.80316794871795,4.14868,1.00721846957512,1.08313991834043,1.108325,0.87495,6.5351,3.8677,156,35
"ZNF543",0.914130140842648,69.8111032051282,70.5654685714286,2.89518379588696,7.16190756036568,47.95315,45.22685,85.9152,78.75025,156,35
"ZNF354B",0.565572569467712,62.7547442307692,58.7983085714286,3.07257557731168,4.76236247778749,36.175825,37.5258,75.5278,78.8681,156,35
"ZNF223",0.977336776991456,53.7478173076923,53.5056514285714,3.58417420581327,8.24790650184331,30.180975,29.3258,61.629225,63.84035,156,35
"ZNF713",0.0430970529435858,22.5288237179487,16.5912771428571,1.31474299012468,1.86325069339539,10.802275,9.2726,31.14305,22.13245,156,35
"ZNF552",0.613776353000204,147.937501282051,140.2364,6.90321826584127,9.23703556698602,90.4196,108.5708,173.71435,180.12255,156,35
"ZNF154",0.91746029192687,17.2155032051282,17.59536,1.397095312281,4.601539872949,6.389,6.3973,20.424775,20.7095,156,35
"ZNF571",0.816403632894849,50.202241025641,49.0591885714286,2.16882913028827,3.76341748794018,34.297125,35.9927,59.77245,61.8202,156,35
"ZNF443",0.783350068036203,66.3718852564103,67.9713857142857,2.55663218119714,4.51587091570905,47.57205,46.1622,79.73505,84.0988,156,35
"ZNF792",0.235107440029333,107.860444871795,94.2029828571429,5.0949984656028,8.33372673477926,64.197475,61.2482,126.060925,111.1562,156,35
"ZFP82",0.194785832935107,42.6621179487179,32.2417828571429,3.19388437208988,9.16034705945717,14.539325,8.1898,55.6274,29.97795,156,35
"ZNF707",0.115378288460758,211.095137820513,245.258748571429,8.42521176121097,25.9931669154545,139.002525,158.8448,262.9832,267.20355,156,35
"ZNF746",0.128971349295235,475.4927,548.698122857143,18.9331215862195,56.3973249091456,313.7259,317.19245,543.325575,621.61465,156,35
"ZNF678",0.113448841479427,26.7817801282051,18.0179828571429,2.54095864100145,2.58778237477602,9.971825,7.35455,30.4677,23.6341,156,35
"HKR1",0.366272980106168,403.216403846154,362.790068571429,19.9971701013866,30.3488603994428,267.9167,241.92055,462.634975,428.4267,156,35
"ZNF101",0.522014596034234,78.4267628205128,73.0891657142857,3.75514106819172,5.27782782139121,51.9482,54.7188,93.815175,82.14505,156,35
"ZNF716",0.332971213328866,12.1851705128205,6.59093428571429,2.68643119395364,2.04262655968612,0,0,4.752275,6.76355,156,35
"ZNF708",0.116836767423491,63.3394570512821,51.6289314285714,3.34431678382298,4.85877458477201,35.830725,28.10135,84.592575,63.2219,156,35
