"gene","M1-M0","MX-M0","MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX"
"ZNF211",0.530154939493332,0.954054994706184,0.580275251464248,120.624177153558,80.930625,118.122920792079,4.21313185254132,24.5762244705249,8.41076798972818,72.2385,53.1521,66.6667,152.10655,86.559525,143.1966
"ZNF205",0.836676652258727,0.815628102142698,0.906179241636844,354.804411610487,309.031425,343.455465346535,10.5790659942962,39.0807599639596,11.9504009031944,238.75755,276.41095,249.4947,430.1371,340.409725,421.3469
"ZNF45",0.80038298913037,0.696960298438291,0.694562553248582,172.014490262172,138.027575,182.055099009901,6.66092022561104,44.9750776020152,9.83921698569329,107.36845,74.2682,126.3383,213.97355,198.241775,212.9616
"ZNF133",0.820515011015681,0.402534148246605,0.648533698610413,240.912343445693,272.925075,224.953198019802,6.70378674816978,121.571119093903,8.78185729272617,167.788,118.7312,163.0529,282.08355,349.551025,268.0525
"ZNF436",0.715452012287036,0.990457095314016,0.739451654612509,213.038715355805,169.94305,211.349279207921,7.29891672217364,25.0707968806505,7.99814830056435,139.2658,134.73575,142.8302,263.29795,205.03785,265.2564
"ZNF484",0.918359975216569,0.648330631685516,0.824556464202287,39.9152108614232,35.89285,42.0217613861386,1.20442868958874,14.2448199360036,2.15178006998901,26.3771,21.0144,28.8239,48.44915,40.98245,47.5884
"ZNF780B",0.739048215598784,0.961765422227524,0.707301943447553,176.87207340824,131.8366,180.618793069307,7.70871125058229,43.1647818609685,10.5495473507192,99.3765,85.08175,116.4672,219.50145,142.856,216.2367
"ZNF557",0.494702201142436,0.999402045609737,0.507628846758029,127.005526217228,152.0514,127.174463366337,2.79938331842161,28.0111052371793,3.79355555250298,95.1176,132.403525,102.3597,153.8476,170.686025,147.1459
"ZNF337",0.962519433572101,0.997840217329141,0.959326608075967,308.483187640449,328.24195,307.393205940594,8.72619645687702,147.377683156923,15.8051051983409,213.8986,159.08475,235.6346,376.9442,392.7306,340.3473
"ZNF317",0.994708545039749,0.208382497659371,0.954245225457654,504.840007490637,512.638875,536.092807920792,9.98176333412988,72.0419329292019,14.2549257160807,406.3447,436.46175,445.3303,585.04165,586.400675,609.4433
"ZNF426",0.972030231498833,0.645420447016811,0.903721246457578,36.0787059925094,31.774625,40.0053059405941,2.32423807320014,11.5127349350893,3.69913289506609,11.29725,22.38115,11.854,47.8725,42.256375,51.8868
"ZNF331",0.983494136204013,0.0705739778208081,0.776218359705292,657.561755430712,743.907675,402.718421782178,68.7149368036714,438.657061061152,46.0882870042116,142.03045,289.0983,82.6677,661.03525,806.065725,540.6905
"ZNF227",0.847846234970421,0.979418028856357,0.828013227405183,204.913321348315,165.23465,208.178014851485,9.58115623921178,59.5753670723829,10.3262231087604,133.00055,66.3051,146.3047,245.66015,257.13245,239.0481
"ZNF141",0.581173913553544,0.119250364849939,0.857175829420535,47.5151516853933,30.55905,39.6921465346535,2.12782928883541,10.2541013313779,3.15315086559007,23.21425,19.587075,13.1579,60.79575,35.537225,58.5803
"ZNF304",0.758958645726501,0.99938235027111,0.768416465787053,162.712255805243,130.67895,162.360975247525,5.5106327576552,46.486276454177,8.87113213750545,92.3908,90.107125,91.7692,211.0635,145.104375,209.577
"ZNF132",0.997170219155507,0.570019802092207,0.985820660047902,38.6919756554307,37.576475,35.0420247524752,1.9916682822575,8.9518526189066,2.62057758646222,16.98015,35.329775,17.3633,48.96175,46.97715,42.502
"ZNF20",0.960110727477204,0.997252532320096,0.965512009083485,64.48324082397,61.1015,64.2793831683168,1.48862253902218,11.4678895684138,2.56058640644549,47.554,46.14795,48.569,77.4143,73.95505,78.6079
