"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",6.93619900082876e-06,113.106381818182,79.9930725099602,6.88864421451379,3.79405390313852,50.7488,34.3284,166.6667,111.53355,66.44554,90.8349603773585,64.15175,77.4095,39.42225,88.9797,38.60015,128.11835,4.64768445795696,3.48885220948613,1.36705880300406,1.20666232799573,0.451075300718494,0.271022009247298,"LIHC"
"ZNF416",0.00284712266252118,89.8659834710744,76.926974501992,3.87102537476078,2.3376285833215,59.0551,50.44665,111.372,100.15705,57.352698,80.9792075471698,54.17935,73.0124,45.22315,63.760325,53.2405,102.23865,2.1255143209624,2.05099782311878,1.41195114390555,1.34760568371529,0.497690169583169,0.430398418353082,"LIHC"
"ZNF586",4.51411102304622e-05,88.9030867768595,71.477096812749,3.88511368316993,2.25465519177654,61.3254,47.23615,106.6289,88.92065,82.775812,77.3349482479784,75.75135,69.4859,66.523975,90.70725,49.4285,96.8424,3.92647620455594,2.02596194742321,0.934269883670588,0.917289262831619,-0.0980887316865419,-0.124551342259905,"LIHC"
"ZNF446",0.0107178728993926,228.752209090909,200.8164812749,11.1962199211447,5.30142289490307,145.0562,141.5261,281.6802,240.83565,129.239702,210.339570350404,110.0894,188.8029,87.7532,143.4819,142.9465,249.6175,9.53771948502152,5.14259057642958,1.62751512960316,1.71499617583528,0.702670954943599,0.77820535942454,"LIHC"
"ZNF8",0.0528304819859249,58.2473033057851,51.7616956175299,2.77892324802413,1.89189740537116,38.2571,32.63605,68.9007,61.0922,30.802178,53.993,28.2609,46.1155,22.103375,36.79745,34.6686,66.19935,1.69605935383312,1.57162600563385,1.75289552576444,1.63177747347041,0.80974001266727,0.706444329484789,"LIHC"
"ZNF264",7.81610653644016e-07,424.787956198347,331.233937450199,17.4016730611323,9.83498094251403,284.1093,228.5758,550.3356,407.22335,362.186442,361.437431536388,350.42245,338.2732,303.342625,402.26855,244.1142,447.6098,11.9868507102565,9.03659796249173,0.997931975422725,0.9653297041899,-0.00298661806736875,-0.0509063220815393,"LIHC"
"ZNF213",0.018510422296291,232.459998347107,193.419124701195,14.6029896354677,9.04218306509177,121.3396,106.96455,286.0858,212.77855,93.996004,205.906013746631,88.2817,162.531,68.87125,107.711125,111.97235,232.90115,5.09140464570213,7.78467800254841,2.19058263100877,1.84104973057836,1.13131463561414,0.880528597404698,"LIHC"
"ZNF343",0.512741635242119,215.80617107438,222.068274501992,8.20224566330887,5.32969654856555,150.466,173.45455,264.5129,254.5686,157.260386,220.049345822102,162.27715,206.7535,137.561775,178.147925,169.45845,258.13665,4.54474117432805,4.48610121111696,1.39926749144634,1.27407647965225,0.484671782155693,0.349451881599975,"LIHC"
"ZNF302",0.000179908190173439,591.070210743802,489.222248605578,27.0953976717217,13.3735375229722,415.7369,346.6754,708.9343,593.38615,390.91045,521.859861994609,381.374,478.4148,299.485025,474.7799,362.1997,628.4777,18.9697055191489,12.8421865804854,1.33498570323359,1.2544504869236,0.416824291737216,0.327055528794531,"LIHC"
"ZNF268",0.366402675112825,263.216829752066,248.894176095618,12.4591255799884,9.21034045042263,160.5245,143.97395,342.5197,339.81305,331.56112,252.396960107817,323.0252,231.9295,264.784275,392.32575,147.268,340.14445,15.2352248335247,7.40598474518154,0.761238109304905,0.717991970905056,-0.393580306884255,-0.477960383986982,"LIHC"
"ZNF184",0.0309775143708849,139.212484297521,119.88119561753,9.31950134446027,4.27324785234581,88.2512,77.80655,159.698,138.57835,83.804598,126.070213207547,82.8239,108.5433,72.1511,95.032575,80.5423,143.6407,3.2940846722442,4.21471855928418,1.50433527773198,1.31053113895868,0.589126142557236,0.390151633321084,"LIHC"
"ZNF500",0.221763616687107,175.594766942149,166.316752191235,6.94716077941816,4.0615340887337,123.9177,119.8962,207.4468,201.7916,109.913668,168.472323719677,112.46925,162.701,88.961275,125.5599,122.61125,204.76155,4.05938159787257,3.49922154499777,1.5327695525517,1.44662652236056,0.616140808293369,0.532692507297725,"LIHC"
