"gene","2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2"
"ZNF282",0.350767884938848,515.2478,809.231287755102,NA,25.8148839391577,515.2478,607.51905,515.2478,911.29465
"ZNF160",0.980348359841656,209.0216,213.098597959184,NA,13.5819734529594,209.0216,83.32315,209.0216,295.0064
"ZNF415",0.796241775954675,50.1906,34.6937142857143,NA,4.92425415548261,50.1906,7.92275,50.1906,28.56985
"ZNF439",0.631056051079489,41.9314,26.5302782312925,NA,2.63055029253904,41.9314,8.75995,41.9314,27.8661
"ZNF440",0.874646471126591,113.0877,104.666279591837,NA,4.38023398862777,113.0877,69.9969,113.0877,130.5878
"ZNF562",0.798159416061349,331.6391,291.890508843537,NA,12.7531354711686,331.6391,189.2564,331.6391,344.1799
"ZNF561",0.965341482117482,468.2338,459.37418707483,NA,16.731399284443,468.2338,333.81905,468.2338,509.6779
"ZNF584",0.364242803968499,130.2414,189.992263265306,NA,5.39634468467651,130.2414,146.47925,130.2414,220.31295
"ZNF274",0.0835053711124948,151.2071,512.617857142857,NA,17.0477562635748,151.2071,383.3212,151.2071,612.10845
"ZIK1",0.889191938130445,32.4015,26.2040891156463,NA,3.64994855171928,32.4015,5.15815,32.4015,22.20545
"ZNF540",0.980873389673328,29.8602,29.3938755102041,NA,1.59615013743781,29.8602,14.99815,29.8602,37.1968
"ZNF570",0.462660795493835,46.3787,30.811362585034,NA,1.73764813881947,46.3787,15.66075,46.3787,40.5898
"ZNF57",0.850134837575014,83.8628,104.269078231293,NA,8.86184362305683,83.8628,48.93735,83.8628,121.4089
"ZNF556",0.831365372714818,0,1.86588979591837,NA,0.718949649535016,0,0,0,0.5462
"ZNF554",0.591245382068014,84.4981,123.447658503401,NA,5.94857028174168,84.4981,77.64315,84.4981,149.90885
"ZNF738",0.608566811338018,92.122,62.3531197278912,NA,4.76782570398528,92.122,28.3868,92.122,72.774
"ZNF596",0.874522317646608,35.5781,40.3779646258503,NA,2.49406289942909,35.5781,20.2648,35.5781,55.0626
"ZNF621",0.317506784662835,505.7179,354.309497959184,NA,12.4081207434267,505.7179,254.75915,505.7179,426.67975
"ZNF680",0.976691048965574,287.8018,294.03101292517,NA,17.4949851231511,287.8018,149.2678,287.8018,384.00305
