"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF202",0.79863462482331,2.92952953062642e-06,0.677691852431086,2.04758529598337e-06,0.823869215419455,0.972814206406677,1.18514645626178e-05,0.807479066082709,0.989771834225924,0.999964606453798,207.846213333333,173.70908,131.959466666667,140.909528301887,139.347947368421,12.3674016265185,32.7133377588622,6.23376574361914,7.10460092083641,6.16497888747841,136.75505,146.5378,101.7722,103.2548,109.926875,252.198925,196.0651,165.9141,164.6341,163.002325,121.905348,165.530955795148,121.3712,151.4374,101.836725,135.477575,122.26955,188.6531,4.21938617520126,3.77489038230146,1.35786459339871,1.24772104090591,0.441339620840334,0.319295419867247,"LIHC"
"ZNF3",0.940030193799517,0.0645841017835764,0.990954204051979,0.511679269034384,0.999944292949568,0.720258497763724,0.916494950553495,0.995466260297331,0.446024421746913,0.978054426116561,754.63446,671.72672,620.729751515152,685.339386792453,713.948021052632,37.5230265667477,172.705973483873,23.8964594941227,27.1500572508403,35.1399344443816,545.6712,402.4789,533.9333,535.293,581.044925,896.7499,709.9521,720.7505,793.6727,846.3434,500.667678,699.705194878706,484.57645,666.7421,451.2661,548.73265,559.75995,806.21385,11.0193421163832,11.3671083018181,1.39754417076372,1.37592757551466,0.482893881590621,0.460404533124523,"LIHC"
"ZNF606",0.777191758646904,2.96325131321495e-07,0.566742844261315,0.0101172244006889,0.999758131639446,0.0381693469681156,0.00629646069990253,0.995904876762644,0.158437272792595,0.992593535062946,242.695093333333,184.43574,106.620036363636,175.255583018868,165.261934210526,18.1680591194009,45.3578383123094,11.5273057093074,14.1200798452057,13.697357820532,147.76805,108.6498,66.5369,122.9739,102.64765,300.8563,198.5752,120.0569,208.4798,221.268075,115.127418,183.229735579515,110.48225,169.0541,88.240225,138.583875,110.4751,234.3205,5.95854229374573,5.73211696723375,1.59153865137073,1.5301471503341,0.670422194023014,0.613670399878129,"LIHC"
"ZNF91",0.046680659977706,0.000378269580394663,0.93178177315444,0.628816665762866,0.183261942152664,0.0311859472471607,0.0342760720940556,0.589803998521542,0.682086037435478,0.511511008767358,330.309471666667,138.46538,195.016436363636,291.210216981132,241.402415789474,23.6342751505272,18.5878790196838,17.0997930411983,17.7930155746492,24.9676574793579,229.04205,122.3629,114.9606,206.8966,141.535075,402.294925,158.7517,249.3547,338.8636,284.0581,199.695242,267.17830754717,198.8977,240,155.83545,234.75065,159.4122,323.44985,8.57932469083816,8.02790462571025,1.33793026249053,1.20665045397709,0.420002919730421,0.271007812506679,"LIHC"
"ZNF226",0.852810459437526,0.0027080976680095,0.958144092887314,0.000323803798224276,0.95335966202466,0.999999999253338,0.00798985783441819,0.988539599803591,0.993318051233719,0.989063204153134,326.247163333333,246.92316,190.660036363636,190.375916981132,207.690452631579,35.1080124479588,12.8068360795163,13.7057246023323,13.5468968973344,12.4971252156714,196.885,227.0531,137.7583,120.7207,155.602275,369.202975,265.2646,210.635,229.927,244.91215,163.065858,234.552846361186,157.5423,208.4461,129.638075,189.13285,144.91415,286.6388,7.5032724248291,7.68457505843392,1.4383933536914,1.32311195152032,0.524458259795221,0.40393513649947,"LIHC"
"ZNF229",0.789873975070447,0.00771537576695203,0.992778566298042,0.0270231089951385,0.999993112197314,0.937281015576562,0.137149181698176,0.999986906544974,0.835100528597265,0.996464697213784,125.441551666667,54.86196,27.1511151515152,50.2146018867925,60.4123526315789,28.4211400923738,29.4287085477702,4.67568806633394,9.17770991248102,11.1424857674019,10.4335,1.7809,7.874,8.3682,10.6913,166.39765,115.942,41.2961,65.9814,97.90665,32.207602,65.25965606469,29.0746,28.0176,19.168425,45.243375,8.8854,84.51545,2.46268644374389,5.7131075787819,2.02621902942945,0.963645243614701,1.01879013445101,-0.0534259644842412,"LIHC"
"ZNF180",0.0802873636568818,5.65303272225259e-05,0.995371429169136,0.0275595892923971,0.653878450001156,0.25155923597708,0.00102879684765922,0.932845871621578,0.927766118365686,0.738403009682812,169.003401666667,86.90932,99.5457212121212,130.579345283019,112.748078947368,13.2502585784272,19.5083183985038,6.02304951371434,7.18359877631152,6.36530084568596,111.06715,51.5604,82.0288,89.292,85.29815,201.1982,123.4699,115.0592,148.2173,130.76045,122.084386,129.101957681941,124.0126,118.1818,101.0581,143.01425,92.04215,150.1516,4.69597873973824,3.24317549356966,1.05748132019062,0.952982196970308,0.0806321791784315,-0.0694788320454901,"LIHC"
"ZNF641",0.0317260044290897,0.0129582301680751,0.642362007651382,0.912701060027751,0.0819492768467902,0.114211048522891,0.00392150996021512,0.694054243361753,0.999714284688487,0.0524078934167196,92.283075,28.84518,59.7077484848485,84.7615641509434,57.6122473684211,7.53503006640747,14.7145888928437,6.86996185155083,5.76085374760418,6.19661817236801,36.59105,8.4388,31.3087,52.9197,28.483825,133.50535,38.6703,81.5789,114.4201,80.65765,79.484676,71.4066113207547,77.07095,65.2975,59.68835,101.0728,32.21075,106.41685,4.17007294539004,2.44994243453217,0.898369533779753,0.847238810472688,-0.154619092137883,-0.239159416801184,"LIHC"
"ZNF610",0.676279028123284,0.00946204782242621,0.999523714530835,0.00423273964301818,0.99995693859612,0.999501204120991,0.0104757831720113,0.999919709277413,0.999855831785131,0.999998704501396,40.63713,14.44244,10.0645090909091,12.111158490566,11.6706105263158,9.07468917121649,11.3579905811988,1.49156832031709,2.76327762376971,3.225698580794,4.682575,0.8905,3.9347,2.491,2.448475,32.2172,6.4412,12.1642,12.2353,9.5702,6.900908,21.2893501347709,6.39255,7.1174,4.770625,8.905325,3.43595,20.9782,0.466448541028124,2.09652264864909,3.08500709396081,1.11338980532026,1.62527380684967,0.154958778435617,"LIHC"
"ZNF528",0.364250208932628,0.00396271265778136,0.999886038863599,0.0585845306107167,0.950072812143959,0.746095573232028,0.102221456246169,0.954849407075941,0.801058592883958,0.999999972080398,138.515031666667,42.76884,50.8836818181818,81.1587735849057,80.7102684210526,20.5766159567348,22.3769604728748,6.90280709917066,14.602464737161,11.9008794651828,22.288775,13.5685,22.5061,23.463,29.279975,170.33455,57.971,65.371,95.9184,101.0391,75.354988,86.7959188679245,79.28165,52.1666,53.101825,94.357175,22.5242,110.7109,3.44203104224478,5.37833515162098,1.15182712082609,0.65799084655781,0.20392419712466,-0.60386058040634,"LIHC"
