"gene","N1-N0","NX-N0","NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX"
"ZNF223",0.111227989664542,0.960814267164877,0.131331647503238,51.8602913043478,91.011475,53.0345149122807,2.43257872110908,23.2405580284186,3.59052802484985,30.2227,52.195875,29.412625,63.8552,127.71565,68.044575
"ZNF713",0.278760210885295,0.277191196320104,0.153796082381538,21.0200043478261,32.389425,18.4693736842105,0.966467304423305,17.1540589418547,1.15202615618531,10.3199,12.787075,10.155425,28.5434,39.47535,25.80805
"ZNF552",0.183663340078525,0.115539981205239,0.0745463256034269,160.666856126482,235.785275,141.663930701754,5.4290763331459,60.3753433692703,7.41568323170844,100.3907,153.775425,86.913475,196.8689,332.6954,171.43475
"ZNF154",0.420656905007734,0.987561108063177,0.447032381459002,17.4227652173913,30.722925,17.7797096491228,1.35740126513192,15.1686325088088,1.80681072947876,6.9297,16.437075,7.176375,19.9362,35.13495,20.61445
"ZNF571",0.744555273938597,0.392966969346307,0.567971457793396,51.3133604743083,60.730175,47.5546429824561,1.66870182403307,18.4259787761453,2.12390920796596,34.9275,33.44325,32.909175,60.832,76.433425,59.44415
"ZNF443",3.08654634005867e-05,0.710412817336881,1.70200007689747e-05,67.264004743083,134.5955,64.6063789473684,1.87746543361269,33.7802127464191,2.64637741024109,47.9874,98.3524,47.54585,80.1659,159.0285,81.3755
"ZNF792",0.237124710150789,0.341138402395571,0.134802326825025,105.547686166008,158.949525,95.2262666666667,4.43847168921122,60.9302084817728,4.56029916690775,65.0547,91.83945,63.697975,120.2716,183.778925,107.378775
"ZFP82",0.87779708977808,0.660467672924655,0.778486746788328,40.6698865612648,50.4472,36.7619140350877,2.51371661717525,11.1967250864557,3.74939878715324,10.2302,40.787625,12.499775,56.8521,54.045325,45.7226
"ZNF707",0.353126080805981,0.999925130094696,0.361377317538323,227.092515019763,149.6197,226.945934210526,6.96884977544952,22.2651068835671,10.6945303298695,149.8607,127.643,143.24385,280.4356,150.952,274.898525
"ZNF746",0.682249310397403,0.0510399553884797,0.949694821233128,508.12763201581,404.6776,443.003575438596,16.8110007281828,38.2099449608781,18.2057243419142,330.5439,355.028,304.18285,591.0039,441.3215,534.1878
"ZNF678",0.00409421952019096,0.982364816678369,0.00396304783403512,23.7734584980237,65.5457,23.2503877192982,1.65488841468527,40.0175727749073,1.99630377200498,8.947,23.999175,9.3389,29.0927,69.482625,28.532425
"HKR1",0.0095430317617492,0.214682535978074,0.00312867324309773,420.100272332016,755.960375,377.270257894737,14.8060335265856,225.244721213326,18.1363374694288,264.3408,422.21175,256.0129,509.5005,949.548175,467.747075
"ZNF101",0.996414432411069,0.456859988004615,0.936523808848155,79.1494418972332,80.794875,73.6963377192982,2.84188322666357,14.9866410631477,2.56208954507133,53.5019,63.6553,53.931275,93.9988,84.277525,89.737275
"ZNF716",0.998291986648274,0.983377851017958,0.999849990457519,9.66165454545455,10.40735,10.1843596491228,1.78265924716882,10.40735,2.08433078881865,0,0,0,3.8468,10.40735,9.52555
"ZNF708",0.000565675671550192,0.716658829010774,0.000332032114552572,63.1386577075099,143.51075,59.4206973684211,2.78906188442237,52.9643170971504,3.18312282025482,32.3927,52.731675,33.940175,84.2903,226.708875,80.634
"ZNF721",0.142981817845789,0.977888709364223,0.135299085597557,336.903453754941,474.262725,333.627114912281,8.11700369024746,148.514976292653,15.7324085067624,243.7023,257.253825,225.325475,404.6369,606.94515,400.968125
"ZNF662",0.0333626265473018,0.575187765896851,0.0622231308921749,68.6308118577075,177.8558,78.4037578947368,4.77367298128557,136.862775199693,9.09679767621745,17.8682,33.10745,19.146475,87.0963,200.847,92.414125
