"gene","NO-[Unknown]","YES-[Unknown]","YES-NO"
"ZNF789",0.606591353897387,0.580584417230567,0.98550161507201
"ZNF534",0.975816727017814,0.975634216540031,0.484063409265866
"ZNF525",0.823644679476222,0.667677106103822,0.730325928812169
"ZNF814",0.668927611653849,0.879431036418558,0.590645836207083
"ZNF551",0.752666563422123,0.325234575490421,0.113462723619606
"ZNF805",0.898538849902238,0.750924558651291,0.706160711456678
"ZNF468",0.925907439174129,0.996951078669815,0.701042397547218
"ZNF616",0.999912784531938,0.92924824949697,0.59671785088701
"ZFP57",0.997253554411097,0.997878371484541,0.99978256531961
"ZNF155",0.451764408149754,0.549710303473734,0.924650242538826
"ZNF425",0.437933553209791,0.670133162234087,0.599644217899877
"ZNF611",0.995480224337431,0.898643514068081,0.313980790462783
"ZNF254",0.475881463525411,0.550228722661195,0.960435710176517
"ZNF625",0.999990320528315,0.988296387375023,0.919391977552158
"ZNF845",0.82854305049734,0.558886474431671,0.422425131304485
"ZNF90",0.935980747413923,0.95999787570691,0.981037084481022
"ZNF788",0.625430642019002,0.888896498412795,0.441267734537121
"ZNF880",0.899108095908239,0.999693181669489,0.502258314364204
"ZNF630",0.151218767775002,0.155836391127257,0.998291330794003
"ZNF844",0.734568675251432,0.821413960005277,0.924909795750325
"ZNF717",0.949859083718274,0.953186897005824,0.999904838731374
"ZNF492",0.621014822433811,0.522539293321091,0.88142036417401
"ZNF688",0.719795953123476,0.788551672038496,0.957950613944909
"ZNF879",0.923682383213151,0.947659152020156,0.145547231310079
"ZNF737",0.992242158958687,0.982970257494406,0.699587185443221
"ZNF709",0.67323009657414,0.760643374880003,0.934852801027977
"ZNF585B",0.914337824412337,0.905756248269913,0.99665326024164
"ZNF324B",0.436760377717422,0.77466338090773,0.319919679575429
"ZNF564",0.244541185320273,0.121757398693945,0.526344387033656
"ZNF674",0.659971183780543,0.296628149945635,0.18676059758742
"ZNF432",0.912885545976565,0.772360855770978,0.711452608626457
"ZNF10",0.966309325461487,0.814056763545236,0.572175839300107
"ZNF486",0.810754524229679,0.98865385368414,0.413462959308608
"ZNF225",0.995277306041009,0.988315067543278,0.987418673649842
"ZNF350",0.586129046942671,0.871639445790565,0.403446487756884
"ZNF253",0.985479476513197,0.968204162921891,0.511628057941044
"ZNF878",0.0556619749097642,0.337958575691586,0.0487061808146951
"ZNF727",0.359374397606875,0.561714776747015,0.65917462596545
"ZNF578",0.90655227213282,0.966848572004871,0.165397467569913
"TRIM28",0.708276627234632,0.417269955481846,0.375872180274415
