"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZKSCAN2",0.992424233648658,0.43502548163072,0.0368271853737069,134.635966666667,136.361415384615,153.427491964286,13.401275967767,3.79639194361775,6.09305013424307,79.25585,95.61205,106.584725,170.59125,172.227975,187.908425,152.668144,141.10803638814,146.61995,135.8338,129.1147,172.8613,95.86625,176.04735,4.63018389740682,3.15012375381202,0.924279503837684,0.926434635941425,-0.113598903609331,-0.110238903556284,"LIHC"
"ZNF689",0.271308696039989,0.84420256594684,0.0991089005188749,142.382916666667,115.607585897436,132.403901785714,16.0780135699828,4.48950286259924,7.14527458683956,97.3949,67.448025,79.8853,190.720525,159.67125,175.467375,134.574804,122.271650134771,131.50615,118.9832,113.12175,161.038575,71.56985,167.1484,6.36677790227182,3.70980703563423,0.908577582879265,0.904772894651695,-0.13831838432859,-0.144372385428472,"LIHC"
"ZNF19",0.917601314209082,0.986639830762256,0.873379150398266,45.9283777777778,43.9612854700855,45.1209089285714,4.80771092853178,1.31372722816769,1.97381858093435,31.575675,30.182825,29.8584,61.316125,53.039625,52.979325,35.820942,44.3303517520216,34.4552,41.3392,28.296375,42.511625,30.22865,54.2947,1.57091401820877,1.04472654019002,1.23755404735089,1.19979567670482,0.307491532984098,0.262788738081106,"LIHC"
"ZNF230",0.969786254618496,0.95447038791231,0.989192661387211,71.0868333333333,73.7033662393162,74.4348017857143,8.42945829872833,2.926715936952,4.51508614085298,49.16235,44.72265,45.234425,86.6608,93.28585,86.45745,64.231892,73.1361935309973,63.6539,64.0676,54.156975,76.569175,44.7328,89.31505,2.37660343917892,2.32841581825256,1.13862742095465,1.00649920900369,0.187295748912422,0.00934603846203262,"LIHC"
"ZNF222",0.999601544675205,0.998209701433585,0.981662177610231,55.98955,56.2814482905983,55.34696875,7.35013768863185,3.0287188344705,3.95586524612693,35.17045,31.889825,30.80895,69.672575,71.802625,70.329275,42.263878,55.9699274932615,39.8246,47.6448,33.8748,50.78245,31.95985,71.28645,1.84059648762001,2.28304419649294,1.32429701536763,1.19636606519588,0.40522672829448,0.258658894249321,"LIHC"
"ZNF221",0.976676914438914,0.487341324102864,0.00889915816901665,11.6949166666667,11.0331816239316,15.4950330357143,2.0220254393073,0.75136223663078,1.5452704671975,5.82905,4.2287,5.601375,13.761975,13.47315,16.65225,6.301134,12.3939795148248,5.2064,8.3785,3.394175,8.911225,4.72425,14.5719,0.533505758495479,0.67708071779259,1.96694428571505,1.60926936078672,0.975956093426828,0.686405825717578,"LIHC"
"ZNF233",0.476316399475901,0.493816890720826,0.999473504222963,19.3217222222222,28.7682311965812,28.8861892857143,3.51847370200996,2.26238921076472,3.04745078397322,6.954725,7.517925,7.042475,29.54175,36.250475,44.328975,9.680858,28.3669247978437,6.66375,14.0056,3.777975,14.13045,7.12955,37.0788,1.25323160803593,1.731028182093,2.93020771483722,2.10175951978991,1.55100293718812,1.07159760771402,"LIHC"
"ZNF235",0.987552018969542,0.992036671523004,0.998349357068888,59.8302388888889,61.0833606837607,60.86959375,5.12674298602095,2.38911649227518,2.80415484828697,45.480275,42.240425,39.918675,70.97605,73.3213,73.790475,50.347668,60.7781121293801,49.1592,56.9343,41.153275,60.2837,41.0008,72.9384,2.19598487260215,1.74978749661047,1.20716836635572,1.15816164624323,0.271626905891341,0.211836626348102,"LIHC"
"ZNF208",0.425718106348302,0.54985399243126,0.934567944038996,96.7302111111111,47.9565247863248,54.3894625,32.3184351064537,11.5317704914612,11.5030610541772,4.555175,3.798375,2.739375,135.56805,21.312325,27.114825,7.369508,51.9216018867925,6.00385,8.0952,3.6748,8.639,3.3988,25.81475,0.872264670247488,8.21913074719475,7.04546380664658,1.34833481849147,2.81669468304646,0.431178791028605,"LIHC"
"ZNF714",0.0516284740252789,0.16539170236544,0.598518368402769,70.4826666666667,38.2646893162393,44.5143366071429,15.4902356093171,3.58042735256646,5.46210841018457,26.283225,7.451075,7.10355,97.3663,52.0545,59.927825,14.738998,41.5298706199461,11.3594,21.4724,6.660425,19.257475,7.36785,56.191,1.62557954552978,2.92554827726328,2.81768615613803,1.8902758948536,1.49451092811365,0.918596818090968,"LIHC"
"ZNF394",0.999987368192436,0.848732831666458,0.444306547504312,446.711677777778,446.912336752137,422.96151875,35.9729512581778,12.0561410495632,13.5509026450919,331.33305,340.887125,340.21925,482.39615,505.275575,460.48795,412.477098,440.091441778976,410.6333,403.4691,364.294425,452.640075,340.6354,497.56555,10.3264927787794,8.83697197592391,1.06694758063628,0.98255329024704,0.0934892979863414,-0.0253924386711293,"LIHC"
"ZNF333",0.409512789955216,0.724443616127697,0.561434030642055,122.693711111111,105.508911111111,111.993396428571,13.9922934335902,3.58851114449796,5.16737283180795,87.07545,69.26655,73.4884,161.938925,124.42495,139.036475,74.655768,107.69568032345,72.2956,98.1421,58.40695,82.5776,69.96275,130.869,3.19100133804542,2.83885185980682,1.44256342421459,1.35751138381866,0.528634750266484,0.440964296232111,"LIHC"
"ZNF382",0.979321065692544,0.997878789516835,0.845710535176958,24.2151166666667,23.1421457264957,24.5701955357143,4.11583144929073,1.49259042630488,2.13389482286284,10.236875,6.297425,7.083225,32.067825,32.246425,34.802925,10.097258,23.7147199460916,8.0912,16.9173,5.688675,12.73465,6.52925,33.4929,0.962640216089785,1.17255580331689,2.34862969195119,2.0908270713862,1.23181926179613,1.06407374410328,"LIHC"
