"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF77",0.841165025339475,80.6773965779468,79.8293086614173,2.29536280377121,3.80164611035473,54.97055,53.52915,97.5376,92.84795
"ZNF169",0.0041476561851973,81.2005342205323,70.2628472440945,2.26540413587363,2.78799743610949,52.54305,48.92315,99.93835,87.38835
"ZNF613",0.531066927394386,135.124650190114,128.820183464567,6.06558543912975,7.18068572504644,88.7096,81.30025,146.79135,140.83525
"ZNF404",0.21834185193825,51.8983300380228,45.3281834645669,3.31848384519853,3.3981625792186,21.6504,19.0842,61.12055,57.13875
"ZNF135",0.963528426424562,88.8899205323194,88.4929913385827,4.87065118737252,7.35658986895822,28.83595,24.59575,124.3498,131.36015
"ZNF620",0.0712975536744443,57.5182087452472,63.8982330708661,1.76701413902957,3.52107909758161,39.5381,41.6933,70.5392,73.6457
"ZNF619",0.389407938119842,54.0260053231939,51.9681834645669,1.3691948132962,1.94200741649691,39.49475,36.76475,67.11385,61.345
"ZNF354C",0.133106951756509,37.3952224334601,33.078542519685,1.60089316641618,2.45865392180605,18.74895,13.9084,48.1545,45.31715
"ZNF114",0.819001040081228,57.6872703422053,60.465268503937,7.25434256301946,8.88953405615103,5.44045,4.72745,53.54815,69.25495
"ZNF454",0.823560313252063,20.5559030418251,19.9487078740157,1.51685067653603,2.33916126554904,4.47555,3.6388,28.68895,27.84365
"ZNF543",0.591025738337658,100.300040684411,98.0066968503937,2.35763723815913,3.71843608108235,72.3732,68.2394,122.28725,120.8313
"ZNF354B",0.19216953979486,104.659846007605,97.1380803149606,3.30522143176936,4.66813839575248,67.75755,62.6643,133.9067,120.2569
"ZNF223",0.808897938529919,98.6493022813688,97.6070779527559,2.32092605160939,3.91363251908129,73.88165,69.32125,118.2781,120.1004
"ZNF713",0.354945885369308,57.0630353612167,71.3069070866142,6.62238709109304,17.3879952748126,28.0952,24.78095,60.1843,66.3307
