"gene","p-adj-Distant Metastasis|New Primary Tumor-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Locoregional Recurrence","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis|New Primary Tumor","p-adj-New Primary Tumor-Locoregional Recurrence","p-adj-New Primary Tumor-Locoregional Recurrence|Distant Metastasis","mean-Distant Metastasis","mean-Distant Metastasis|New Primary Tumor","mean-Locoregional Recurrence","mean-Locoregional Recurrence|Distant Metastasis","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Distant Metastasis|New Primary Tumor","SEM-Locoregional Recurrence","SEM-Locoregional Recurrence|Distant Metastasis","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Distant Metastasis|New Primary Tumor","Q1-Locoregional Recurrence","Q1-Locoregional Recurrence|Distant Metastasis","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Distant Metastasis|New Primary Tumor","Q3-Locoregional Recurrence","Q3-Locoregional Recurrence|Distant Metastasis","Q3-New Primary Tumor","count-Distant Metastasis","count-Distant Metastasis|New Primary Tumor","count-Locoregional Recurrence","count-Locoregional Recurrence|Distant Metastasis","count-New Primary Tumor"
"ZNF160",0.831186578138884,0.892894985733268,0.691461372430026,0.799935925765921,0.999565004062875,0.598897326682076,0.99991204427691,0.933106253680016,0.986780836104611,0.953463999105263,564.532477419355,306.764,630.726811764706,368.4806,539.95435,33.6129714534865,NA,80.0925401577128,38.7464,69.03885,432.98705,306.764,359.6649,349.1074,505.434925,673.38555,306.764,807.0276,387.8538,574.473775,31,1,17,2,2
"ZNF415",0.999067259719599,0.999800557599527,0.99817874111796,0.994676266924324,0.999999896397948,0.990895963432145,0.988305479018045,0.987064312156391,0.994143519308424,0.967153054782712,143.79834516129,164.7488,139.584888235294,167.3209,114.87645,14.5489423881947,NA,21.1284204066707,17.8192,16.63595,90.6229,164.7488,45.7666,158.4113,106.558475,197.4692,164.7488,212.3849,176.2305,123.194425,31,1,17,2,2
"ZNF439",0.954703920582258,0.996193198823057,0.92905695525606,0.924342436370301,0.820919827865455,0.96574746246508,0.999998990968337,0.972715960592209,0.999974710409397,0.97983441090913,92.2015387096774,41.2574,99.9945235294118,134.6464,94.5666,11.4550005978876,NA,20.6496874935984,15.6858,51.5722,37.3754,41.2574,51.5378,126.8035,68.7805,132.75135,41.2574,103.7946,142.4893,120.3527,31,1,17,2,2
"ZNF440",0.99997317616654,0.999933893289459,0.999909947106451,0.953937064999697,0.997180584718352,0.945370465920953,0.999713956557331,0.999648558816096,0.999932002081145,0.965355731395981,248.98645483871,262.4193,243.983164705882,314.93375,231.50205,24.2008525842033,NA,28.1017506095561,18.95325,111.11765,156.22885,262.4193,156.8297,305.457125,175.943225,325.12345,262.4193,328.1853,324.410375,287.060875,31,1,17,2,2
"ZNF562",0.988279673895764,0.993449750845638,0.974039962154239,0.989009980379443,0.99995361439067,0.968592390067989,0.990753954050451,0.999930416397627,0.972164753124705,0.999999986148169,439.399932258064,344.3727,463.618341176471,372.31815,375.3124,33.2075676624679,NA,52.0081223357722,62.51745,59.6827,310.25195,344.3727,371.9867,341.059425,345.47105,511.68395,344.3727,619.2426,403.576875,405.15375,31,1,17,2,2
"ZNF561",0.999896566855236,0.812863944844298,0.990357826269824,0.999999999962043,0.999947309048595,0.992318661668794,0.901538256488554,0.994094240176723,0.691979226097229,0.966330166180088,584.691129032258,550.6596,660.357941176471,585.29105,435.84245,47.7107130446206,NA,39.0861532713407,108.23055,37.76455,407.7284,550.6596,548.8382,531.175775,416.960175,651.8906,550.6596,720.207,639.406325,454.724725,31,1,17,2,2
"ZNF584",0.999925556747672,0.997898743167405,0.999430033545008,0.992181167654254,0.999883487122202,0.981175763888834,0.92274108071117,0.995493240536627,0.884967009323198,0.998596472195579,164.537387096774,154.9256,171.183858823529,141.9586,122.09395,12.9336420388169,NA,16.2329032311647,81.4633,11.82585,122.73,154.9256,123.985,101.22695,116.181025,183.9748,154.9256,207.1443,182.69025,128.006875,31,1,17,2,2
"ZNF274",0.953366881317835,0.527210799118533,0.999217873412987,0.985018965984274,0.896355948495189,0.785639588710747,0.839977135512465,0.750005855339902,0.481741891222121,0.995734371903749,504.063370967742,628.1224,585.310423529412,438.8746,374.64715,31.3316140438002,NA,42.4225728164321,13.7832,98.47115,360.7672,628.1224,433.1641,431.983,325.411575,646.53545,628.1224,749.5927,445.7662,423.882725,31,1,17,2,2
"ZIK1",0.990146531251592,0.974268608808479,0.968614285819716,0.999658695600409,0.998817065935947,0.992389871870953,0.999487430739784,0.985498307233176,0.999999791013791,0.998139527564579,91.2570387096774,125.4561,78.1105588235294,101.61955,79.77295,14.025571050361,NA,15.052202113305,17.98175,59.03445,30.51965,125.4561,19.305,92.628675,50.255725,129.57505,125.4561,132.4099,110.610425,109.290175,31,1,17,2,2
"ZNF540",0.974624777427508,0.927878502270628,0.996478877649806,0.999425457288152,0.996144807135115,0.999969515814947,0.999934738029426,0.978305118502764,0.991178537513038,0.998998683134095,63.6130322580645,18.8044,45.7200647058824,51.5994,70.5583,16.1171043207235,NA,7.46343994448419,3.2843,43.2442,23.2913,18.8044,23.4252,49.95725,48.9362,64.94815,18.8044,73.8497,53.24155,92.1804,31,1,17,2,2
