"gene","p-adj-gender-FEMALE","p-adj-MALE-FEMALE","p-adj-MALE-gender","mean-FEMALE","mean-gender","mean-MALE","SEM-FEMALE","SEM-gender","SEM-MALE","Q1-FEMALE","Q1-gender","Q1-MALE","Q3-FEMALE","Q3-gender","Q3-MALE","count-FEMALE","count-gender","count-MALE"
"ZFP14",0.257666603921165,0.956754027960652,0.543437486241362,180.474298412698,164.17467325,176.354148979592,7.938036343575,3.97432512641095,9.27269133671489,136.21655,109.466175,130.8819,207.48185,201.73895,204.9619,63,400,49
"ZNF473",0.889303778189809,0.971111057740999,0.761546458666018,224.042276190476,229.87492575,219.946210204082,9.60913194255417,4.85167223724866,11.4564451394484,170.32035,165.39835,157.7786,260.02505,273.596775,272.3954,63,400,49
"ZNF614",0.277147734867538,0.931259593927345,0.628589551602894,236.038161904762,283.95278575,251.84553877551,21.5867182094406,12.1319960733853,27.7876510158963,141.1387,169.123,153.6659,241.17345,318.736075,242.8504,63,400,49
"POGK",0.67442174093061,0.941671804760673,0.469621927081389,1954.92880634921,1881.44263075,1995.22611836735,80.2715085702604,31.965043100991,93.7687776765287,1504.52465,1431.34095,1428.5175,2313.88515,2256.019975,2359.1278,63,400,49
"ZNF514",0.000669135293389966,0.873203800949109,0.000264668970684667,313.413482539683,243.629891,326.521975510204,20.9922271322097,6.60284498083859,21.7764275329193,199.13875,152.7301,230.6642,413.04455,311.369825,407.0971,63,400,49
"ZNF300",0.908676481357847,0.556910734379467,0.216880164031447,108.694771428571,102.57098825,129.999934693878,14.2538407880548,5.31383093708833,16.9723405441562,36.88905,31.811125,43.2482,139.82475,137.523975,174.1328,63,400,49
"RBAK",0.111050727578195,0.208001361845149,0.940313261192178,536.28866984127,484.62864,475.033781632653,24.6646629697495,9.57158822280584,23.6936096043579,406.76885,350.079825,372.0665,621.2702,584.32205,521.8368,63,400,49
"ZNF92",0.449196393010664,0.348744742863232,0.0135478819169432,265.003501587302,287.59960275,228.547373469388,15.2314637442299,7.22171323153609,14.1365323060236,180.0824,186.704375,161.8195,307.253,341.09855,260.0182,63,400,49
"ZNF157",0.816595759782252,0.897022655311334,0.513183218538723,2.71755873015873,2.368577,3.07661836734694,0.567278593091076,0.186791391819718,0.998435935625438,0.4182,0.34065,0.2541,2.6134,2.88635,2.924,63,400,49
"ZNF182",0.148779060057572,0.961121396627071,0.110476359110759,221.76660952381,201.480422,225.857532653061,8.39852839437877,3.97823869831217,14.0182757114219,171.38835,149.3348,181.4104,267.7334,236.029475,239.311,63,400,49
"ZNF673",0.132698342140647,0.18678192764972,0.879866572182884,257.218766666667,227.25075625,218.871979591837,28.3990471628604,4.42790979111167,13.6022986888218,197.16815,168.406725,172.043,267.3379,268.319675,251.3988,63,400,49
"ZNF41",0.332806387484893,0.580514253267331,0.999836387757417,252.839066666667,237.87080375,238.073991836735,8.57288007694536,3.96261917254917,11.250894633598,203.87925,191.91215,189.896,302.0113,275.8409,282.1637,63,400,49
"ZNF7",0.997533245801108,0.430084613416797,0.237840422198508,514.923490476191,512.9849865,565.395381632653,22.4304085327935,10.526937622184,39.0538196198473,397.3328,366.543075,385.9083,605.835,614.735075,717.4886,63,400,49
"ZNF214",0.00696743316879933,0.870261406600216,0.0924307566174871,49.651519047619,37.89911225,46.9248489795918,4.41639341580824,1.36841501697929,4.04307384133101,23.1356,17.0533,25.6276,65.76985,52.58565,57.4187,63,400,49
"ZNF215",0.82319141784272,0.967063301177953,0.973172056563832,45.7756841269841,42.6616585,43.9609959183673,4.32832241205403,1.99000254651153,4.8434839905117,19.59085,14.06415,19.239,60.09045,56.081975,55.9567,63,400,49
"ZNF547",0.0920835531762999,0.969484574275425,0.25660381419884,44.5278650793651,38.78372925,43.6138265306122,2.76443487167254,1.01038363999899,2.58357188921652,28.27555,24.581075,30.0993,56.7601,47.8209,55.0475,63,400,49
"ZNF773",0.552168217795806,0.988924752539213,0.732422238024565,120.73669047619,113.60042075,119.365748979592,6.48172578422427,2.57839930313358,5.83522626657719,92.4437,80.486875,92.3885,147.04345,143.49705,148.0793,63,400,49
"ZNF776",0.999320463834159,0.991456923051745,0.991347629310311,351.988038095238,351.38237425,348.964259183673,15.8819834506518,6.55158386316578,13.1470336551556,278.01415,258.933125,274.9674,414.16865,432.1271,423.8107,63,400,49
"ZNF256",0.512445591916072,0.26912959498108,0.601903343969948,90.2629873015873,82.8084925,75.5584857142857,6.40474707857696,2.5377586099171,5.70546702398622,60.03095,48.384975,46.5435,110.39655,107.43915,95.7004,63,400,49
"ZNF599",0.494547716598477,0.968558528036865,0.386279955101603,97.2885412698413,90.0504275,99.450887755102,5.32114092568085,2.38463456111309,6.95308869857015,72.4349,58.4695,69.8582,108.6732,112.464825,113.8944,63,400,49
"ZNF18",0.0677246414487381,0.921905282092255,0.0360798465663127,175.003049206349,159.2452285,178.82327755102,6.66528062919281,2.62492036509545,6.97381380206603,139.33565,121.631525,151.6011,203.7299,183.28365,202.0396,63,400,49
"ZKSCAN2",0.713304180496487,0.63182517166575,0.895205037920982,196.43193968254,187.880368,182.417959183673,12.2533000744814,4.01437832686965,7.74860823010312,138.70735,137.98325,144.6123,229.92445,223.97375,208.3218,63,400,49
"ZNF689",0.535259191134784,0.977565843214804,0.44743668312419,140.322631746032,149.546861,137.857167346939,7.41214366642365,3.28460310045758,7.587337481472,103.3162,106.4237,102.4672,166.05705,181.2903,168.5254,63,400,49
"ZNF19",0.00445383520317755,0.554256014075406,0.271594853233636,95.886473015873,79.744295,88.4930959183673,5.88887914380479,1.77811565184443,5.60736663043388,65.7418,52.7991,59.7596,124.15845,99.81695,106.6654,63,400,49
"ZNF230",0.997146382019113,0.759788583011941,0.687941501768428,97.9683936507937,97.626242,93.2505428571429,3.02267438621729,1.85055067164582,4.29811059410407,78.816,72.7132,72.5022,113.108,117.61085,112.4527,63,400,49
"ZNF222",0.728784281200439,0.993625726676941,0.694163840089488,64.8525317460317,67.875087,64.2492204081633,2.52772999443698,1.53992813404494,3.95644469386172,50.42295,47.135125,45.082,78.42055,83.86315,75.2924,63,400,49
"ZNF221",0.999748441648573,0.872845008043738,0.816823729925948,13.6059476190476,13.6350685,14.5577448979592,0.897315608258121,0.502136583394376,1.85532985939668,8.65795,6.6215,7.6875,17.22705,17.676925,16.6738,63,400,49
"ZNF233",0.352834120088254,0.760363313766745,0.0863052575999135,31.8619158730159,27.4209695,35.0551632653061,2.71368010079262,1.19391755326379,3.64037812917817,16.60225,10.4155,15.5945,43.75125,37.46305,47.7256,63,400,49
"ZNF235",0.981325995060052,0.992053248122549,0.946120940927606,74.6434365079365,73.825915,75.3908040816327,3.62084991800776,1.69635454475205,3.63001618853556,53.97925,51.503675,57.886,88.8425,88.146425,85.9823,63,400,49
"ZNF208",0.0427196357129868,0.993633627267341,0.0572480654027806,88.1502857142857,45.84738575,90.8023673469388,23.8377868909268,5.45526052653019,25.6593595353588,11.3365,6.239825,9.3549,47.5993,27.5185,49.8186,63,400,49
"ZNF714",0.776549069446996,0.559171348410281,0.139307052933498,215.522336507937,238.31705525,166.912485714286,14.7444912288419,13.5805290318441,21.1425882244141,130.19735,109.639775,87.9802,289.3068,287.942875,193.0652,63,400,49
"ZNF394",0.216277857266139,0.987711548496539,0.389933814066181,470.218487301587,438.02081775,466.170204081633,14.00679702591,7.37318750002944,18.5403788249479,386.49075,349.122775,379.5987,518.6409,482.7124,502.7146,63,400,49
"ZNF333",0.00444238761939941,0.768445620703813,0.118752150353704,181.392711111111,154.3408195,173.124967346939,8.73252275769298,3.05553847500193,9.59162461911786,131.3081,108.917375,126.2912,226.83995,189.3735,219.5398,63,400,49
"ZNF382",0.989671395526251,0.339776336291205,0.142793008334516,37.2713777777778,36.60230875,46.8877183673469,3.07265545204657,1.85359039720052,5.58218748771778,19.32135,15.610025,19.6349,47.1324,46.350075,61.2274,63,400,49
"ZNF577",0.830764042654597,0.980469653997952,0.957239039660589,123.972817460317,113.61761075,119.229004081633,10.7765301998701,7.09802155817399,11.8352928514284,65.2992,53.233475,59.9415,153.3954,127.201825,148.9071,63,400,49
"ZNF75A",0.00772681282182364,0.803234719554119,0.139351591879288,375.276514285714,313.3109425,357.024020408163,26.843454373282,6.83816413331315,24.9849852748383,240.15735,212.1307,235.645,459.98455,387.606125,439.2813,63,400,49
"ZNF496",0.999891629904576,0.883187197841788,0.814654719381614,298.616792063492,298.353535,311.145689795918,15.0229002068774,7.04487073637696,20.2534130362729,240.4757,209.80345,219.2243,343.78985,349.798925,347.1387,63,400,49
"ZNF2",0.999979858075164,0.988138708335266,0.980180987696819,113.798441269841,113.82632125,112.844842857143,4.56903336082962,1.68730319502911,4.76942304429841,91.53405,90.7648,88.2066,129.97815,132.094025,127.0276,63,400,49
"ZNF589",1.16592956197481e-05,0.311394057135241,0.0509792827672777,358.30796031746,262.70053125,316.291585714286,20.6038843443687,7.47643067639382,21.0938366768596,242.2058,160.10005,235.4156,453.83545,331.308075,350.6146,63,400,49
"PRDM9",0.981434211327151,0.996438647821512,0.961648823132709,2.53034285714286,3.58333975,1.88474081632653,1.44646313797564,2.3667933438247,0.771348450848809,0,0,0,0,0,0.3782,63,400,49
"ZNF12",0.999615894764243,0.43257443372459,0.27695054460277,763.28153015873,762.349804,701.984387755102,30.0296384380943,13.3302006825882,33.4472823382982,600.0112,581.2171,530.0231,856.5843,891.75175,796.6034,63,400,49
"ZNF202",0.110919081453984,0.186073522858404,0.912051096417932,276.797793650794,252.70591,247.234216326531,12.0175596393892,4.43000729899007,11.0188741034327,217.84345,193.43525,195.8245,308.62935,297.852525,272.3954,63,400,49
"ZNF3",0.997841869851334,0.843139581790471,0.729824414803063,740.417873015873,743.1421505,706.380257142857,35.8334079237945,16.9198540203109,27.3748174276591,545.3757,548.821925,547.0489,876.3696,855.93945,822.049,63,400,49
"ZNF606",0.162017685790538,0.685585783989728,0.823874822020755,277.1256,251.09522825,260.53476122449,15.9105643146582,5.10813399182559,14.2047523731861,203.19325,183.34985,183.6291,327.77755,307.778025,324.8703,63,400,49
"ZNF91",0.503654714950282,0.623542791679424,0.984998262187453,368.812082539683,340.10313575,335.353353061224,16.5300504868324,9.96004269444565,24.2417292283372,275.95705,226.195275,236.2908,450.02435,420.910375,397.0136,63,400,49
"ZNF226",0.568043210994893,0.81818869916398,0.987859096892835,322.344284126984,305.28356825,308.078818367347,13.0432783499487,6.46976312186914,14.4357490073534,246.631,212.639525,244.5936,394.3078,367.384775,344.6718,63,400,49
"ZNF229",0.854620091098271,0.999220130847575,0.858834047484134,125.172776190476,135.843047,124.116593877551,16.1030283807242,7.49241048723485,21.4999917059825,32.38055,21.181575,26.7845,171.2026,194.45965,184.0815,63,400,49
"ZNF180",0.558945615359044,0.953093147358938,0.399762448542091,150.979652380952,159.80216775,147.422214285714,5.58738040765809,3.36913295229592,6.62881638024993,117.75075,118.357,114.0584,174.6566,184.815675,177.7431,63,400,49
