"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"POGK",0.260581679720318,0.69254619436847,0.0569558365896049,1933.24887948718,2107.22503333333,1847.06789444444,72.9096842595759,81.6779035316946,77.3234718935438,1487.734575,1661.96995,1399.393825,2229.7066,2475.5011,2294.858025,78,60,72
"ZNF514",0.258744298330325,0.0110299188955921,8.7687661881275e-05,229.113142307692,262.281776666667,170.723901388889,14.1156419474158,19.1065835233569,11.0501707522455,144.5745,141.586475,101.3733,280.521275,327.32355,215.302225,78,60,72
"ZNF300",0.144237516522989,0.0201752867146894,0.779806269879177,62.7314846153846,92.5194483333333,103.309134722222,6.61008964017326,11.7818106477022,13.9212763645911,24.28725,36.497875,23.93925,76.6533,120.1988,129.196125,78,60,72
"RBAK",0.31130566552343,0.779240484469021,0.699202867875963,485.506029487179,438.391963333333,464.856825,21.3309975010845,22.3706336498582,23.3362724154421,355.359825,313.058375,329.255875,573.097725,546.03875,541.52945,78,60,72
"ZNF92",0.888034907922058,0.01107443355576,0.0628961244862767,264.080852564103,275.19985,330.445297222222,13.5798089072454,19.51893090749,17.5204619647408,190.623725,165.492025,239.734775,311.883425,330.815975,408.23995,78,60,72
"ZNF157",0.956772650699382,0.618696874719279,0.483019982056285,2.32167435897436,2.48486666666667,1.80874305555556,0.342258683778072,0.481597983357892,0.397329478576013,0.36055,0,0,2.913275,3.277075,1.8783,78,60,72
"ZNF182",0.371443286005633,0.232959193018944,0.0132381240205077,185.576580769231,200.074498333333,168.807893055556,6.14121644387519,9.56714526897641,7.18508832988874,148.403925,152.329175,124.80755,221.098375,224.294025,204.6636,78,60,72
"ZNF673",0.0733923547483717,0.260267298777455,0.768039069285705,235.551878205128,202.037301666667,212.774743055556,11.2574319398698,10.8847612203755,9.35490536890843,174.355375,155.60905,166.628175,262.509625,218.50605,251.611325,78,60,72
"ZNF41",0.015457329661253,0.000548694983851128,0.699066991797919,268.609978205128,228.968918333333,217.3305875,10.4176257083099,11.0020613649049,8.01535723264099,216.337125,162.120925,168.343625,308.247,272.249025,250.6473,78,60,72
"ZNF7",0.0137620288539265,0.199393690384481,0.46746572065719,446.834161538462,548.955488333333,505.800718055556,20.2804780661952,31.45351680711,24.6845528163806,325.2736,382.644675,348.5603,519.18365,659.261425,596.167775,78,60,72
