"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF227",684.30483038464,578.003178906776,724.570607459589,1.25357547138413,0.326048856095212,0.00530206338978292,0.0138261499164339,707,775,254,463.5,36.3305436237885,38.1297011756824
"ZNF141",275.311439259281,203.056182003468,302.680854886483,1.49062615035928,0.575918474488035,0.000526377015474689,0.00174942949260705,215,306,93,188,16.8035988208875,16.3275494557444
"ZNF304",1041.80587919134,790.591256713317,1136.96293316029,1.4381172616137,0.524181315451307,2.22880861896953e-05,0.000112771062959802,870,1128.5,326,785.5,42.7446402098166,59.3372090338525
"ZNF132",413.428380802317,505.317024448582,378.622076390853,0.74927631184407,-0.416430253084861,0.00172120769234915,0.00511832813777511,570,353,345,261.5,38.4286559744158,25.0930606714624
"ZNF20",285.229430427773,381.907125683731,248.609091315668,0.650967406985615,-0.619342783381795,8.60766526338291e-06,4.86333087381135e-05,399,236.5,170,135.75,30.3451259128491,12.0213704191434
"ZNF670",109.544475273185,169.623190440171,86.7873861947817,0.511648118217617,-0.966776145270014,8.49699173665526e-08,7.5802110492793e-07,181,77.5,34,56.75,14.6123235660863,5.47984194998812
"ZFP37",118.218536084092,280.353226118625,56.8038807679811,0.202615398989366,-2.30318427019871,3.007547486251e-27,5.09779298919544e-25,313,24,102,44.75,21.4709167635354,8.61339357309849
"ZNF189",1063.38417890962,1402.33126299022,934.995131909393,0.666743412619699,-0.584796428771213,3.2263771597215e-06,2.02544788360294e-05,1588,952,617,567.5,89.6807024950184,49.8632035928661
"ZNF434",946.109931008293,795.779704942377,1003.0531984575,1.26046592069112,0.333957112472882,0.0179339920326721,0.0387237152807378,894,1011,216,407.25,28.5751057157566,39.4850839547387
"ZNF287",370.763813029261,458.872933596813,337.389146147613,0.735256149241651,-0.443681149888131,0.000474507646011906,0.00159878679604096,503,302,198,158.75,28.0299839457678,19.0827484685756
"ZIM3",0.124802170939213,0.454279902218734,0,0,-Inf,0.242875293530895,0.353367916338941,0,0,0,0,0.231804515342849,0
"ZFP14",472.093002194776,487.755982692851,466.160055036414,0.955723910269211,-0.0653341825519705,0.720445376787669,0.806042847297095,525,455,327,336,41.8469879441759,28.4792930281594
"ZNF473",453.684985328242,421.307626557892,465.949136377618,1.10595941541446,0.14529844501693,0.468794219868381,0.57410786044703,466,449,172,282.75,29.1497855909782,23.421038584699
"ZNF614",516.82215673976,646.676691952829,467.634832795415,0.723135437869664,-0.467662216391872,0.000866251752091818,0.00285106159183618,728,466,213,299.25,31.3219837600792,24.0656224770674
"POGK",2934.88961103771,3324.63436257039,2787.25902333593,0.838365582307526,-0.254348604220818,0.0331118834405655,0.066419695185513,3987,2468,1535,1312.25,210.709223022313,166.54984810456
"ZNF514",517.743413423837,463.656535052491,538.230867352377,1.16083960143351,0.215168642140659,0.306785596440766,0.416001268773678,543,484,291,292.25,37.7123268971831,27.9592790731354
