"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF619",116.047833263482,139.640356351707,113.646199176657,0.81384924921289,-0.297166508693783,0.0457835999153721,0.0791869406699548,165,110,118,243.5,71,159,15.5633309506886,3.53203926779382
"ZNF354C",78.5488486095499,99.375801902777,76.4287395916765,0.769088028758244,-0.378779358358711,0.12433604834299,0.183260523427277,110,62,84,197.5,33,118,10.8275610564602,4.2063306239357
"ZNF114",103.213931866725,23.0817043055686,111.371104732232,4.82508151295234,2.27055331488616,1.60145276512554e-06,9.0482081229593e-06,27,57,17,39,14,136,3.44772127744115,9.87899743558573
"ZNF454",22.3780713898991,38.2594240278937,20.7614067501033,0.542648178262349,-0.881910953912336,0.0113118232451896,0.0235258164424496,45,10,29.5,82.5,5,25,3.95550414889119,1.88844867482719
"ZNF543",324.354918110536,228.499085585278,334.112697469394,1.46220584040237,0.54814641937809,5.00449690912744e-05,0.000190620724965641,292,313,198,355,221,470,24.2547317190912,10.5225491102078
"ZNF354B",225.781772156765,174.83616348755,230.967852081176,1.3210530789165,0.401688434148092,0.0160235213572721,0.0323331770244954,222,211,155.5,308.5,145,307,14.9043408832001,6.76069897519956
"ZNF223",211.812172466744,170.315157999834,216.036419448405,1.26845092348513,0.343067702441436,0.0184683158420087,0.0357757661168054,230,208,159,295.5,137,308,14.6532296631735,6.94491425954088
"ZNF713",121.555511610258,104.268270547438,123.315290640605,1.18267321394289,0.242051495696389,0.574078114852487,0.666481099092442,123,89,82.5,188.5,48,152,12.4739439312944,9.57831394471458
"ZNF552",469.667915058131,459.511064601398,470.701845942948,1.02435367111619,0.0347139101347308,0.717669356544459,0.787345993102174,584,400,438,779.5,277,607,34.5311676296943,24.0043738250598
"ZNF154",87.52098974974,132.836617736228,82.9080216313549,0.624135295254086,-0.680069295551881,0.000966616096251975,0.00284941614460365,158,56,98.5,222,31,103,16.049649513912,5.42064791432357
"ZNF571",160.887993290673,174.663652041301,159.485680723244,0.913101717840709,-0.131152512169279,0.497384121302844,0.593708510991775,226,146,171.5,285,96,222,14.5307469419068,5.88371472826391
"ZNF443",156.308410779108,124.824534941164,159.513356223689,1.27790066511264,0.353775695816065,0.0223249663109866,0.0422802434604718,160,154,118.5,215,98,227,10.4609076200535,5.41086742923053
"ZNF792",236.667175788386,381.77104865035,221.896122862318,0.581228261406338,-0.782823241194823,3.86530140733393e-10,3.97071871844303e-09,491,205,310.5,643.5,117,316,41.6779459704442,8.15298986068006
"ZFP82",162.452475364699,165.709198980935,162.12095260137,0.978346124405694,-0.0315831352093078,0.731860946126041,0.792654507146095,215,126,157,282,64,249,13.7033171040438,8.94496000710161
"ZNF707",634.144855034579,369.114962225592,661.123945919326,1.79110578973297,0.840850551068046,1.19803237549843e-09,1.0976566899837e-08,439,622,349,580.5,439,819,41.4559770301743,16.3158417913324
"ZNF746",1562.17454482879,1014.03681696347,1617.97299616837,1.59557618530399,0.674077495822604,8.00564997168495e-05,0.000279785086639299,1233,1390,948.5,1566.5,943,2059,87.0952637920663,47.9888798473317
"ZNF678",93.1406086182506,100.041988866799,92.4380729043265,0.923992754956154,-0.1140465553995,0.723812648097003,0.791516470157204,116,86,89.5,168,56,127,8.90042139233693,3.42202543745503
"HKR1",1247.34247304448,965.745217094851,1276.00806197348,1.32126780375052,0.40192291169086,0.00461295628939327,0.01085966793128,1191,1161,921.5,1515,816,1655,71.5300777187781,45.7227615582682
"ZNF101",268.26752157651,233.483761308909,271.808383400159,1.16414255910733,0.219267739280294,0.266622698156225,0.35169297538895,299,258,203,353,172,372,25.234611261843,7.84103164969792
"ZNF716",5.55945062492081,0.0522239982979197,6.12006650906805,117.188777353951,6.87269060568643,5.90304255986454e-05,0.000219904552504844,0,0,0,0,0,0,0.0588235294117647,1.50202463086367
"ZNF708",250.495436282178,318.853480876203,243.536832940272,0.76378916194058,-0.388753646418837,0.00936506961520028,0.0198422412472056,409,237,303.5,548,152,359,28.328389283005,9.54220494583854
"ZNF721",800.546856474106,807.170532965653,799.872590004907,0.990958610773449,-0.0131032930546771,0.854163046733529,0.885508479641181,1020,769,747,1302.5,523,1042,57.7596866954028,27.800335259333
"ZNF662",160.800437303177,316.014747207708,145.000178211098,0.458839910138098,-1.12393721169807,6.12917372039381e-10,5.93654254632429e-09,398,89,282.5,570,41,221,30.6741360443686,8.81343688096208
"ZNF320",774.286468169599,700.3891256735,781.808952136268,1.1162494154724,0.158659419874791,0.175536432467392,0.24189776669287,858,690,607,1142.5,299,1188,57.1333034552201,38.2455581420736
"ZNF530",205.988502075514,102.796913280697,216.493035066603,2.10602661264204,1.07452366698286,4.39304880219653e-12,5.51571682942453e-11,135,202,97.5,167.5,139,308,8.42927926591084,7.00764139125106
"ZFP1",492.306378851603,437.367614745636,497.898947652809,1.13839921125019,0.187006567393553,0.172881683088109,0.240192174454381,580,452,413.5,696.5,314,644,31.1911983957422,17.6920814562897
"KRBA2",100.372546141737,134.636268809309,96.8846222773738,0.719602697952034,-0.474727499300297,0.00246083215480324,0.00627234662013757,168,91,107,220,60,134,18.3173729415602,3.36807648420125
"ZNF93",158.705704296132,74.8095498146182,167.24603139904,2.23562408560784,1.16067762314421,2.0695829202501e-07,1.34920886531689e-06,87,132,65,129.5,60,241,7.89340752482356,12.7310794777108
"ZFP90",1075.06391500555,1144.99524257791,1067.94515710896,0.932707069336396,-0.100504042719447,0.164970502642632,0.233995817555867,1434,1019,1060,1840.5,732,1429,91.79950454652,27.8425233845979
"ZNF479",0.914903237666829,0,1.00803710018381,Inf,Inf,0.76218689472863,0.820258277184145,0,0,0,0,0,0,0,0.73023105758422
"ZNF445",1021.01901321608,1183.29437106802,1004.49996481199,0.84890116049935,-0.236331507608995,0.00623143103479307,0.0139897690118864,1491,1009,976,1905.5,697,1363,127.116117861674,27.7128370242192
"ZNF74",1029.67931655411,411.204402343326,1092.6378407552,2.65716474465886,1.40988767793539,2.49530001805432e-12,3.38074496753662e-11,500,977,370.5,710,637,1347,42.3026893238387,47.363621511732
"ZNF829",35.5624356183246,25.4044254006725,36.5964845626365,1.44055549320426,0.526625237192355,0.0384323831044269,0.0675055848310917,27,25,21,48.5,10,57,3.0753725280171,2.43496848063936
"ZNF267",1035.97102113931,805.618823855344,1059.42004721013,1.31503884447512,0.395105415414097,0.00276319734200367,0.00693869554769809,917,1000,712.5,1183.5,730,1330,73.637459438291,23.1520618797331
"ZNF566",354.675044778894,304.780870232519,359.754092487208,1.18036966103794,0.239238744865439,0.047678191126601,0.0816308423834228,398,332,307,525.5,235,472,23.2918778219388,12.2700213351098
"ZNF224",401.272080206809,444.82313837613,396.83873895604,0.892127015705025,-0.164678967833176,0.0678167819358987,0.108956820266681,543,394,415,789,255,551,38.8653834604309,10.7928672310835
"ZNF529",635.248766664584,537.221577028923,645.227582375999,1.20104554613089,0.264290862060393,0.00801457422494273,0.017528649433907,675,592,526,879.5,406,881,36.956305340515,23.9107734849596
"ZNF284",92.9192970074376,67.9590332705372,95.4601621782598,1.40467216180436,0.490233457329928,0.0170516607336871,0.033804169524678,86,92,53,122.5,58,135,7.22277678053091,3.23572158501321
"ZNF749",169.802330323577,104.783624668724,176.421000959101,1.68366957639479,0.75160903432456,4.0463862463048e-06,2.11034605768819e-05,122,165,94,159.5,112,248,11.7683758981551,5.65082201128557
"ZNF17",281.377580886166,281.653063912103,281.349537703885,0.998922340115878,-0.00155557291047719,0.973654726687581,0.981091801902729,368,275,267,441.5,196,376,21.300580754628,7.71840394557669
"ZNF555",151.280168516896,147.352791832275,151.679961353055,1.0293660504628,0.0417561068948543,0.836949402621395,0.873867652136556,188,145,128.5,261,96,206,12.8901656555175,3.93571949922018
"ZNF75D",578.310879855719,877.917739180484,547.811978008288,0.623990100165487,-0.680404954510504,1.03277492593462e-11,1.25039535675655e-10,1148,529,930.5,1412,374,722,65.2142593550049,15.8324617331134
"ZNF197",604.355540897302,702.678011633313,594.346666630762,0.845830745791029,-0.241559091869838,0.016492127659104,0.0329781950297488,946,583,649,1161,437,766,49.657393373469,13.5517655763981
"ZNF732",9.15370115297498,5.76988085882391,9.49816190148138,1.64616256970987,0.719106818707728,0.164168278371646,0.233836329277261,6,3,4.5,10.5,1,9,0.630958334471084,1.08715161677387
"ZNF546",118.887148918053,135.756790208558,117.169880044169,0.863086699856161,-0.212422604811173,0.131450200034101,0.192075938842932,164,102,132.5,228.5,63,156,12.5638246000696,4.91768972105206
"ZNF286A",625.116423362535,341.947844345308,653.941967334348,1.91240266066418,0.93538631797475,2.35755752010594e-15,6.15474873141584e-14,427,588,307,543,398,880,26.6354811882851,23.9309143892024
"ZKSCAN4",268.205907125071,186.404078609874,276.533039369133,1.48351388784732,0.569018432604955,0.000172755366994567,0.000568583198166586,250,273,157,320.5,193,374,18.3134005093557,6.69908905450455
"ZNF643",128.471895311359,39.5660224910946,137.522193742164,3.47576493879609,1.79733051796932,5.21508147568178e-10,5.1997430007533e-09,49,115,33,69.5,70,184,3.59437169496757,11.4577950826111
"ZNF642",232.439680230069,160.197923323598,239.793631531925,1.49685855195229,0.581937898057347,0.00155906179349298,0.00429692640645627,199,229,161.5,264.5,164,306,13.1735273323438,13.6382816487917
"ZNF490",382.261310944387,369.06842229435,383.604299609361,1.03938531837714,0.0557305857712449,0.809691123839375,0.860455457622408,479,362,279.5,613,265,527,39.9866692511498,12.0620786548229
"ZNF626",208.863571045344,364.600458041133,193.010115482899,0.529374308852689,-0.917639914013621,0.0012400214749295,0.00353249815126974,474,109,361,608.5,45,276,32.1432816849477,18.3578542389821
"ZNF793",234.664246147486,120.330247867855,246.303036391521,2.04689212193768,1.03343506950998,2.29410660335335e-06,1.23444783894728e-05,153,198,106,229.5,89,387,12.1453747111515,13.6457225383871
"ZNF383",236.395849479705,202.890337527581,239.806590217346,1.18195175354148,0.241171146896963,0.139909903848344,0.202689988908498,263,223,215,328.5,152,322,16.4753984572531,7.76263457082051
"ZNF669",243.802170138893,181.97749586087,250.095699855817,1.37432213072668,0.458720200613288,0.00173540134131194,0.00466905598972023,235,235,163.5,300,152,341,19.1429604159628,8.09144364973343
"ZNF559",548.814775552985,654.02713183099,538.10453569235,0.822755677101487,-0.281464018754505,0.0283725080778493,0.0528339186496659,848,523,658.5,1029,340,729,51.8125180262594,18.705067987901
"ZNF177",110.595739697267,110.146705531588,110.641449762037,1.00449168432284,0.00646562078015998,0.584962313670566,0.676799400458437,143,91,106.5,178.5,48,163,9.02305645921632,5.48178890814192
"ZNF548",594.819698417569,618.105846379272,592.449252217874,0.958491584715323,-0.0611623293922333,0.71256549108874,0.786839418498641,795,580,601,935,421,799,50.7145497043095,16.5667251091791
"ZNF563",95.4258338419493,115.306168673307,93.4020871824698,0.810035475613649,-0.303943002481286,0.119632822159659,0.178658707982927,147,90,120.5,188,54,127,8.54658537029461,3.48073154633348
"ZNF567",362.651922014102,252.598292997395,373.854986045743,1.48003765824973,0.565633884421077,2.57918656857322e-06,1.36616288554113e-05,329,342,252.5,390,233,506,16.53775148394,12.7589600677996
"ZNF573",46.8632411176543,56.849002998364,45.8467264351868,0.806464916130652,-0.310316322108149,0.188369379756652,0.256454697740984,62,38,43.5,109.5,22,63,8.17461209893712,2.89344466127839
"ZNF527",237.168502299798,218.143060374281,239.105223932934,1.096093653049,0.132371071124171,0.288271456646503,0.374516935035423,287,217,219,355,147,326,14.9346092303844,8.28280883971193
"ZNF33A",1456.31242108584,1848.96866335444,1416.34142636388,0.766016998792358,-0.384551687330701,1.08389179513212e-05,5.17520166971533e-05,2285,1362,1787.5,3128.5,932,1853,147.801938452717,38.2756394967106
"ZKSCAN3",162.086851554023,149.73243425054,163.344486848389,1.09090917853558,0.125530997967295,0.452109544614659,0.547375484372748,196,153,143,251.5,100,229,13.9739539117503,5.54648515689235
"ZNF676",8.327675985481,13.1529429059522,7.83648114926538,0.595796788999905,-0.747107746570809,0.28834489688568,0.374516935035423,14,2,11,23,0,4,1.47588588271342,1.51094296438975
"ZNF699",70.4107493995847,74.7930784548488,69.9646440466536,0.935442764117405,-0.0962787112771113,0.632760670875816,0.710284329228152,87,61,61.5,124,35,101,8.45131794967538,3.23608056657999
"ZNF250",426.522339168913,441.582972803861,424.989220774936,0.962422119848595,-0.0552582937811625,0.451017025128361,0.547375484372748,595,393,435.5,703.5,282,564,38.1559425961641,12.3828760711857
"ZNF79",244.194953758589,218.353597341175,246.825510998685,1.13039360928422,0.176825214485813,0.430795474063464,0.531053329845506,262,231,186.5,394.5,172,318,21.3680952366081,6.60102113509539
"ZNF681",179.358387243324,133.397672528342,184.037022872993,1.37961194813119,0.464262528427912,0.0381645806748777,0.0673843377540809,173,134,115.5,234.5,44,276,12.2988120005298,12.6858883571984
"ZNF766",903.712833402407,682.912414778659,926.189522723387,1.3562347127978,0.43960687588331,8.89577654998893e-05,0.000307721250045535,922,902,633,1162.5,621,1238,51.9826993371154,25.0017044536716
"ZNF471",134.071185115142,253.962226304741,121.866707868297,0.479861551229525,-1.05930987273279,8.25620560757425e-08,5.9550078743993e-07,326,81,219,418.5,30,193,22.8323532569024,8.39002341892724
"ZNF836",206.338954360002,246.777462551778,202.222459514133,0.819452706187477,-0.28726740671904,0.0745347216418802,0.11752218900743,315,197,233.5,403,129,292,23.8586904251743,6.83995011604396
"ZNF493",198.950141294286,435.604944325242,174.859532602512,0.401417694818345,-1.3168238816148,3.02223057760854e-19,3.41512055269765e-17,586,139,384.5,718.5,81,262,37.6569272196741,8.7855081250504
"ZNF167",108.194027678815,129.744540038134,106.000262947626,0.816992090121643,-0.291605984200027,0.13737358779601,0.199869726449989,161,99,117,224.5,59,153,11.3286441211643,3.97931192528452
"ZNF565",164.438649147484,121.914918125605,168.767412185639,1.38430484784286,0.469161684334109,0.00598626962504781,0.0136837773436128,166,158,116.5,191,107,226,9.54196784352145,5.0495446783408
"ZNF34",245.613441862765,289.311874584826,241.165098412016,0.833581748962423,-0.262604404326666,0.00717435704938357,0.0158538668800746,375,221,289,445.5,163,312,26.7944900715241,6.33225447618841
"ZNF140",962.254001190484,881.968706266863,970.426755763548,1.10029613167468,0.137891860296942,0.214655923720653,0.288763325957545,1125,953,831.5,1314,672,1295,63.1366337808932,23.0206366378583
"ZNF658",121.064961959519,99.6158597651985,123.248403500258,1.2372367591944,0.307121602684375,0.120422545407762,0.179049310935225,143,112,89,165.5,71,170,7.95139212202497,4.19646998383852
"ZNF765",537.334524548106,452.677285175536,545.952327358488,1.20605196071807,0.270292064663719,0.0123826919895081,0.0254408035420803,566,533,464.5,743,361,730,35.0240572014829,17.2132133422809
