"gene","HER2-enriched-Basal-like","Luminal A-Basal-like","Luminal A-HER2-enriched","Luminal B-Basal-like","Luminal B-HER2-enriched","Luminal B-Luminal A","Normal-like-Basal-like","Normal-like-HER2-enriched","Normal-like-Luminal A","Normal-like-Luminal B","mean-Basal-like","mean-HER2-enriched","mean-Luminal A","mean-Luminal B","mean-Normal-like","SEM-Basal-like","SEM-HER2-enriched","SEM-Luminal A","SEM-Luminal B","SEM-Normal-like","Q1-Basal-like","Q1-HER2-enriched","Q1-Luminal A","Q1-Luminal B","Q1-Normal-like","Q3-Basal-like","Q3-HER2-enriched","Q3-Luminal A","Q3-Luminal B","Q3-Normal-like"
"ZIM3",0.860331514200236,0.981168511890228,0.964684578976966,0.797120995688766,0.999985937747559,0.94317840562661,0.991831506270647,1,0.998841768730452,0.999999500050137,0.09055,0,0.0535463519313305,0.00775581395348837,0,0.0603772007917483,0,0.0479306466782038,0.00448072312604648,0,0,0,0,0,0,0,0,0,0,0
"ZFP14",0.999989181672704,2.47651454898801e-10,3.78896025665654e-10,6.23864278725961e-06,0.000317693924869022,0.0117576021420637,0.999999997201637,0.999998912188088,0.03414090451453,0.337256909678803,216.231085714286,217.704836206897,326.422770815451,288.574366666667,215.8165875,10.7341807560455,12.4332787875191,7.34490625807498,9.18873635879925,30.3648753922041,151.7925,149.8045,240.6399,219.5056,154.018775,259.6747,276.575675,385.2562,347.3876,247.34305
"ZNF473",0.6722102503675,4.61069290220717e-05,0.148539318807568,0.566143920979179,0.999941047016592,0.0107407028496955,0.102126628605126,0.368016870447205,0.871193935357603,0.302580973609893,400.844443877551,365.877660344828,312.490149785408,369.065675968992,257.511075,16.632164948716,23.0406160209044,9.99708162001023,14.0751693607281,30.1466781536762,273.3804,269.846475,231.775,263.7068,189.226975,503.4691,436.4779,346.2982,432.5482,286.31015
"ZNF614",0.706007096661497,0.89913669210973,0.191140817954826,0.99999913941939,0.644182206799766,0.886476077423389,0.864427181769709,0.552732736783216,0.95590598064199,0.867567473374872,306.284608163265,349.993687931034,284.034918025751,305.062502325581,231.8184625,15.4249085829505,37.7393251578901,10.1554086471538,24.206029246079,29.1365708542604,211.72155,217.3648,212.7295,194.223,176.826375,364.00395,370.036775,336,314.9182,275.525925
"POGK",3.1550783017309e-06,2.47656117835504e-10,0.826258198976229,3.22930793217324e-10,0.986186527000665,0.960365147499356,0.000246865053146195,0.336991598655149,0.547053959402289,0.428821384652159,3218.31616530612,2431.90210862069,2289.18445107296,2357.75006821705,1786.8692125,132.69869633931,135.177656290328,48.0726291124672,71.0551724376946,162.779177911437,2426.869775,1717.1554,1749.9259,1788.0086,1427.75655,3884.35155,2928.24035,2713.1079,2782.5772,1964.6493
"ZNF514",0.0139955234955614,0.797359573533968,0.0614854660057437,0.90377735564432,0.0769062337186514,0.999886421745894,0.0690688100867533,0.775244319699159,0.146425098368842,0.14167312413467,293.02305,230.949598275862,277.111991845494,279.057379844961,179.2969125,13.4073343417451,14.2788556488899,7.37267657614624,10.8334993864554,22.5067979972595,210.64395,153.001225,192.7017,187.0614,143.040725,378.2647,277.7168,344.1296,326.1963,210.96725
"ZNF300",1.05172670572529e-09,2.47667442110355e-10,0.957082461267832,2.0298912772887e-08,0.386202922119016,0.477247476052352,0.122187799081263,0.975923522072251,0.997159734177683,0.999862249369398,154.266997959184,59.6732689655172,68.4737596566524,83.8863914728682,78.9547,13.9791069993187,8.08557303449469,3.89149032737699,7.60111533735539,13.1351302583813,44.174875,17.536125,27.8689,20.4082,58.651625,212.01525,84.86805,82.6171,109.375,109.7698
"RBAK",0.577026175252011,0.998209452720788,0.61368630526729,0.99913351126101,0.668128713584029,0.999999915489912,0.491550901322381,0.174192126674752,0.405897459076233,0.424371468224313,641.772241836735,692.396062068966,649.264266094421,648.704175968992,519.4025875,24.4815510861861,31.7017909457613,12.4761847202828,16.9843190651438,33.1258775236351,468.86535,498.84155,512.8128,508.8924,484.094625,735.80145,809.224875,752.4893,756.0718,527.043525
"ZNF92",0.881639530771359,7.65368524113796e-09,0.000482946704933873,3.35183269151162e-06,0.00656960590104239,0.978970469932126,0.999999992626881,0.994633062473173,0.227212982946753,0.325552485359628,386.297163265306,543.63275862069,1150.40659699571,1086.81130077519,391.2883875,18.6260841984201,44.1024361796378,80.1007570691756,103.371626964382,50.1639668087543,276.945025,358.695425,464.2181,489.7443,276.545425,438.239225,624.635925,1433.4405,1114.1215,495.9512
"ZNF157",1.54340450753132e-06,0.00157758799891383,0.0320790822370465,0.000155901882789578,0.327924279046362,0.774337854525839,0.937682379206844,0.510567620157274,0.989486142051138,0.924708757785442,3.00287346938776,0.760427586206897,1.84177811158798,1.51790387596899,2.27745,0.368544734430087,0.135701121508496,0.14949545595613,0.215799048153861,0.898499122743828,0.955325,0,0.3601,0,0.73295,3.654375,1.185675,2.6466,1.9262,2.96455
"ZNF182",0.865299917669566,2.58191801272289e-10,1.33526317656063e-05,1.98578224530621e-07,0.00146749662315637,0.831308985540665,0.978284388840119,0.999927390795445,0.343420191386064,0.553952802039081,178.175714285714,191.029537931034,247.967409012876,238.813204651163,195.03915,7.86035251632939,8.12432023282068,5.23660070597364,7.7008892241831,16.2183434065413,130.9601,149.510125,192.746,171.9543,183.0668,217.25795,231.3702,293.2555,281.7642,208.1189
"ZNF673",5.1455537743994e-06,0.000635291356704815,0.106550723576546,5.99648945287523e-05,0.593163161455907,0.769660582053074,0.991370288020081,0.379316269815843,0.90278028575999,0.737277499650116,237.000932653061,179.128994827586,203.732878969957,194.92325503876,225.578325,10.5475392943476,7.74396937874836,3.6039614667946,5.45940428236612,13.9544913174135,170.46865,138.008425,165.842,153.6952,206.544825,294.430775,216.9621,233.6066,223.3033,256.461475
"ZNF41",0.065634925010869,4.29146471492281e-06,0.736628554603444,3.91524508754904e-05,0.757082846748542,0.999992386087549,0.966994068362656,0.381003335379553,0.123362057647934,0.125707500964156,268.943360204082,314.480663793103,333.237612017167,334.109049612403,244.08955,8.75093597067241,15.5259676005106,6.51225955408316,10.3360889222781,39.7495658373639,203.549525,223.31205,267.9311,264.6039,169.764475,318.0011,382.515325,397.1767,380.7103,296.116575
"ZNF7",0.189245164798732,0.00651982011699903,0.997483568959,0.999185531128264,0.0939057657547583,0.000612345751356713,0.7585357336351,0.999638033998892,0.999992252196684,0.698053273881316,682.39643877551,578.80220862069,564.971308154506,691.870364341085,557.0828375,27.8363963873335,41.9080825224012,15.8013072063118,31.0305191953161,77.3556387379673,498.163,371.6323,414.2122,433.3752,420.047675,809.047625,662.4397,651.6424,865.9293,642.763225
"ZNF214",0.999822200967266,2.47648790363542e-10,2.49236076221848e-10,3.5308139195056e-05,0.000379359151535419,0.00035417932894044,0.999874364198996,0.999444906619594,0.0356642804605161,0.519007030882826,28.5031020408163,27.2431172413793,77.6655193133047,56.9570007751938,31.0657625,3.55366158020857,3.95085875599232,3.14090633760006,4.70161143509478,3.82026907686102,5.932175,9.024775,36.7958,13.1264,25.27625,39.185075,36.406025,109.1239,90.2778,38.680375
"ZNF215",0.016626962220569,1.81807359944663e-07,0.765155503967492,2.06822946691165e-06,0.752856066107941,0.9998779424378,0.587103384520537,0.999997325822323,0.993572946804894,0.990853223101094,33.9252306122449,21.6566982758621,17.5523454935622,17.1539759689922,21.1312125,3.82115834710127,2.95731059678945,1.10542193120012,1.90213340402018,4.65416645811031,8.5618,7.9913,7.2965,4.8035,12.42985,44.561975,24.2128,20.6251,16.683,29.6718
"ZNF547",0.330529275613606,0.0472343238534595,0.99990599685483,0.181221814457997,0.999974460547663,0.997134347985386,0.932029613346765,0.999998599050605,0.999966166459101,0.999999999495934,57.7546887755102,68.8707931034483,69.620174248927,68.2885860465116,68.1992625,3.37695362354304,4.57069238254636,2.47451504882824,3.03902171858984,8.61652972651025,35.0447,46.875875,50.5637,43.3275,53.5375,72.519575,78.758125,80.8686,84.6278,81.2658
"ZNF773",0.999834755217667,0.863981803214217,0.85960108097303,0.998656912247064,0.999996062079034,0.616682692870063,0.992604841395902,0.996746258253767,0.938505661328505,0.997276410778373,157.008445918367,154.393972413793,168.32109527897,153.416341860465,141.7145875,8.2056456557779,12.4333108998436,7.28436190785841,6.77846532989,9.62330480436197,102.401275,90.3152,116.3324,101.9257,127.254575,198.9102,199.37775,208.6255,183.8179,164.36445
"ZNF776",0.435388129481888,2.19682427804457e-09,0.00626767348466772,7.58728285343846e-05,0.244643247388384,0.492021261078632,0.997122066949456,0.993782281458161,0.359130332815255,0.680033337814135,427.889892857143,529.853481034483,711.124927896996,647.146658914729,473.172175,23.2446024332252,39.066327014042,30.1141556378713,23.3591233892435,52.2586924513239,288.74045,345.6645,508.1083,453.104,341.09505,490.573125,597.6959,784.0382,745.0954,563.07905
"ZNF256",0.936239545426823,0.937443957991912,0.551344175343775,0.947367225204051,0.599595238693069,0.999998539962624,0.990476094379414,0.932019854869091,0.99952894669223,0.999666968296266,148.800980612245,159.414151724138,141.130248497854,140.676620930233,134.7989125,7.79888450893312,10.3341626160899,6.05900969847368,5.97488340874311,10.3712837335225,101.6624,117.90855,97.541,98.5847,112.2915,183.328325,187.984875,158.264,167.7785,158.91545
"ZNF599",6.21475401125782e-05,0.107403692092299,2.77510237012280e-10,0.927998043443178,7.15901603998148e-07,0.44377641383087,0.702077022823385,0.943668441503452,0.209996141749649,0.503343406950809,103.125098979592,72.0477689655172,115.188788841202,107.580815503876,83.728225,5.92136352141787,3.60820033603903,2.34480298770118,3.51454394321932,8.22826207942892,65.801275,50.90365,89.927,81.036,74.35115,119.53595,87.940425,134.8,127.2497,100.416925
"ZNF18",0.97481138076725,1.08769864370917e-06,4.76504142876699e-06,0.758168023005833,0.473976581409845,9.89271319078444e-05,0.993954465598773,0.999919934410883,0.172234562951186,0.913787658643663,182.223614285714,173.505470689655,238.944570386266,196.151695348837,168.9765125,6.15117169079554,7.47009757501561,6.37279802831924,8.60240125183656,21.1432173594195,142.05735,136.844175,169.994,138.3095,149.56945,214.09025,197.301675,284.0282,224.3051,206.254075
