"gene","M0-cM0 (i+)","M1-cM0 (i+)","M1-M0","MX-cM0 (i+)","MX-M0","MX-M1"
"ZFP82",0.999817406532333,0.996227574493811,0.975130207104538,0.99067042089242,0.357088106715664,0.998122908563417
"ZNF707",0.953393833941981,0.913677835748679,0.965452366088987,0.853056374202858,0.151727610418185,0.991592329939997
"ZNF746",0.846799902770582,0.527711931877881,0.324570025785086,0.682173083114274,0.112294926514176,0.838475577868704
"ZNF678",0.98288230252327,0.988369006666203,0.999882201176262,0.99999974887192,0.0272643172190046,0.798187791319516
"HKR1",0.995345718076692,0.984345172227813,0.979780388861314,0.999999148116456,0.351171728668559,0.777738314165703
"ZNF101",0.995488895308355,0.997331434589397,0.625309627301636,0.99865862265567,0.94038736451291,0.780078691555219
"ZNF716",0.990337454780451,0.970021626526354,0.965403684658966,0.98621094489029,0.989937725897503,0.986309444754431
"ZNF708",0.988299279774883,0.99672727983923,0.446193256762746,0.998782608664928,0.00259301058114392,0.997731128932813
"ZNF721",0.999987053452187,0.99507492685424,0.929893349865381,0.976909975786531,0.0266454124370935,0.977923323178045
"ZNF662",0.999742180388315,0.979014541345261,0.804925162666769,0.9971807548969,0.84300275428078,0.941304642346971
"ZNF320",0.855128324292927,0.92146749209184,0.986302295081861,0.95670007774251,0.151339953819824,0.976282155611908
"ZNF530",0.902649052428536,0.997669691146025,0.549078254979201,0.979776870759937,0.134678415271287,0.958434525565919
"ZFP1",0.999957954459481,0.99999839961516,0.999776538203848,0.934389264624437,0.000321637217020054,0.43792061686564
"KRBA2",0.864563560998399,0.870788645581147,0.999709824323732,0.874353514237186,0.999269315282298,0.999154258728691
"ZNF93",0.962482730958143,0.990544601177083,0.969948645762495,0.999736298812811,0.000132446129678221,0.711486625563781
"ZFP90",0.949417373788358,0.966469098510525,0.999397597177612,0.775372760151835,0.0100919098743364,0.623405869077971
"ZNF479",0.999563833917731,0.999962049923206,0.998706532427367,0.999991205497676,0.93988694117539,0.999941845574443
"ZNF445",0.879129933397741,0.695021032738868,0.670406501384874,0.689756320991983,0.036961346157334,0.999072593482539
"ZNF74",0.780062243772193,0.898998808200494,0.94324042619208,0.653776181185362,0.36524302123747,0.686740719834125
"ZNF829",0.967895606014177,0.996697166209958,0.919530101411164,0.999852668805841,0.00048949232552864,0.866169185136602
