"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZNF337",0.167248316273058,0.0468444873537734,0.298794009295218,737.763075,548.074712745098,408.4967,129.074484699878,20.1713472762551,75.4418942161449,555.445525,419.733325,302.5782,859.11025,695.96325,552.266,4,102,5
"ZNF317",0.935781493175189,0.398136322446514,0.286535822766357,672.7326,647.268561764706,547.19878,27.5362259639007,14.4574697403682,61.0811606958676,637.361925,554.55205,470.5556,696.884475,738.1162,666.5696,4,102,5
"ZNF426",0.998050941587127,0.975499876169619,0.967592605754683,76.445875,77.9606068627451,83.55526,24.862402004579,4.89372083619903,27.7406708081221,56.443025,42.03605,35.0448,99.05475,106.57205,101.5864,4,102,5
"ZNF331",0.834726923953896,0.999182035605351,0.767402002629321,399.249075,462.394581372549,393.66246,50.9212222803416,21.8856751795553,63.6586282812754,356.9192,351.012875,296.251,450.190775,514.198775,444.1857,4,102,5
"ZNF227",0.979496671300015,0.789053295801665,0.469252615068394,250.633575,257.900957843137,218.24268,45.8476849896003,7.1265291201183,42.2471132335619,236.6503,214.61715,160.6872,300.884275,304.90755,297.3809,4,102,5
"ZNF141",0.00884542268083366,0.0306552854384358,0.912754528476974,123.07895,68.3158480392157,61.6763,40.1489258384435,3.29447072399754,16.9268036792243,80.464425,41.14225,34.9147,135.093775,89.6404,97.392,4,102,5
"ZNF304",0.787098710307731,0.589021752706827,0.760757974845396,345.519125,303.620223529412,263.3716,47.0681975658437,12.3895221523402,58.0458508257912,294.512575,220.0103,143.5668,409.9259,366.456475,322.5149,4,102,5
"ZNF132",0.603274876344347,0.933161184052012,0.846722691954869,83.530275,61.6320166666667,72.89808,32.1598868496759,4.2819395564583,27.1376334749993,56.50925,30.76195,17.387,111.274975,84.77185,94.132,4,102,5
"ZNF20",0.43380648171553,0.265094494797203,0.631819080839368,209.169275,163.775890196078,133.60378,27.1779402751072,7.15643255446494,33.7953651498752,184.8861,117.419925,84.4511,233.195375,193.2335,175.8754,4,102,5
"ZNF670",0.487202847440847,0.540691044815406,0.958876078379414,65.332,85.8240009803922,90.25444,14.935678582341,3.30598855482282,29.4205459143538,49.786125,64.01015,55.6432,83.739675,108.789025,87.2234,4,102,5
