"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF701",0.760558253500263,201.539351207243,211.46912,3.25470712183582,28.001480308571,140.38225,153.06835,245.006175,242.206775,178.025361607143,196.125769075938,171.43285,184.7218,140.0232,212.31665,135.2182,237.8284,5.09640593504236,3.03688824183904,1.10167319591653,1.07751694030636,0.139696321409836,0.107710550988496,"BRCA"
"ZNF283",0.525462357139553,78.1328217303823,70.15362,1.25623923013437,9.32946174212282,54.4065,41.020275,93.895175,93.741975,85.9849803571429,76.2268237877402,84.87435,72.0072,67.953125,102.825,52.1434,92.2078,2.27546082709981,1.17997158017585,0.886513243023703,0.848397660777373,-0.173785912153788,-0.237187451847202,"BRCA"
"ZNF558",0.16722370640866,410.399684607646,487.45521,5.54536977399998,72.9557258014498,299.1385,343.856275,486.066875,606.04235,454.434489285714,405.469415736505,461.2091,387.0269,373.97275,534.828925,295.9077,480.2404,10.0466307799155,5.26998371474521,0.892250534007282,0.839157119840003,-0.164479235167363,-0.252987135483531,"BRCA"
"ZNF597",0.59679802921898,67.6672152917505,61.60552,1.1441430747381,10.3137859705757,45.91335,55.134675,85.5518,80.418875,70.66700625,65.7923249771272,70.6724,62.3923,58.6198,84.208625,44.0582,84.275,1.6994295092165,1.07911647473677,0.931018992715956,0.882838279158483,-0.103117495935049,-0.179778909815783,"BRCA"
"ZNF30",0.431217752391019,152.838813078471,135.20962,2.2388404384658,16.6397633677005,108.820025,97.14265,183.9987,165.86695,120.975560714286,151.314875114364,118.1665,138.8742,102.372225,140.26415,107.2951,182.738,3.17997524885428,2.10044337162259,1.25078878924754,1.17524171402216,0.3228381936357,0.232957508924524,"BRCA"
"ZNF354A",0.957898475373435,341.270209859155,338.83829,4.58309984578049,58.6104877497486,255.1965,205.4014,389.9595,384.5024,309.580028571429,338.031877584629,314.36905,309.1196,255.121625,353.23265,250.1644,388.7124,6.33653393474628,4.35617883337124,1.09190466563523,0.983301632269462,0.126846899829779,-0.0242940571329806,"BRCA"
"ZNF764",0.129664132259117,245.807924949698,294.13664,3.17577403250054,36.1853863889929,181.25335,184.3133,287.8328,359.902375,153.277233928571,248.487358371455,155.48335,232.8302,128.16095,177.09505,182.1366,290.4352,2.97962673303823,3.05215429147208,1.62116285636556,1.49746066057877,0.697029026246781,0.582518102824806,"BRCA"
"ZNF747",0.836061528780005,311.896337424547,303.05624,4.27103543713675,31.4618319288033,227.395175,252.213375,372.323775,317.965975,242.040833928571,313.386259652333,235.77135,292.331,217.4395,264.7533,229.2035,372.3468,3.71090268247595,4.04279792297631,1.29476607135148,1.23989195464165,0.372691466107444,0.310214408278197,"BRCA"
"ZNF778",0.416635495668251,85.3152120724346,72.50196,1.57658558180039,12.0457348928914,53.973025,46.895325,101.1057,86.791375,128.975958928571,83.1272984446478,132.0608,70.8224,107.718775,153.019325,52.0517,98.5155,3.3524425814204,1.47191850683775,0.644517777849473,0.536286316605685,-0.633707941635514,-0.89892465155189,"BRCA"
"ZNF212",0.2722739912599,349.597078973843,305.51872,4.01577569914636,25.0641577372054,271.17295,243.50505,406.02415,333.2668,318.329619642857,357.387205946935,308.33145,338.5817,255.071325,377.0281,275.9809,422.3318,8.55870779348174,3.86331237312454,1.12269541975986,1.09810951818246,0.166966586685915,0.135021946382692,"BRCA"
"ZNF282",0.620447518429633,762.401635513078,716.00425,9.37553942882177,54.1645979966994,568.538575,608.029525,895.17225,791.97945,577.160915178571,785.139650045746,564.37875,728.7375,463.109,682.185475,588.1566,930.5827,15.2940202368675,9.12587799894007,1.36034791926759,1.29122065634115,0.443975678835062,0.368735563470102,"BRCA"
"ZNF160",0.697345451239648,671.504633702213,640.25048,8.04477539920686,41.1109144105358,523.02705,530.339125,775.079925,731.58755,900.505879464286,660.440491491308,884.1368,639.5902,773.871,1010.867875,514.4826,769.3415,22.0340193822758,7.51086775143627,0.733410526852092,0.723406377836552,-0.447307121272584,-0.467121777467903,"BRCA"
"ZNF415",0.553218628578825,237.492736921529,214.64192,3.83978755318038,43.503431426837,160.910525,114.8026,308.681975,314.8022,277.288123214286,235.263966514181,281.8653,229.7678,217.581175,329.170425,160.5637,303.91,7.58057138996457,3.59883880577104,0.848445882885403,0.815168805809016,-0.237105452777346,-0.294829250161983,"BRCA"
"ZNF439",0.865577783758548,161.97770110664,156.29099,3.36085023651841,21.2722061717133,88.8835,124.495225,214.5861,192.503125,166.667359821429,162.588562305581,170.23955,155.0806,117.82135,221.171875,90.2653,215.8851,7.17840914477504,3.18640270962809,0.975527316685056,0.910955180508877,-0.0357458231865458,-0.134548020495851,"BRCA"
"ZNF440",0.769035062959786,338.45137555332,354.7179,5.52923394192799,52.7292294866983,227.147775,238.11675,409.45785,439.983575,278.213608928571,332.21995452882,275.8554,297.6279,211.3993,329.399475,222.3938,398.1403,9.24273510863072,5.24887334223722,1.19411827411402,1.07892722056556,0.255945738635467,0.109597550580863,"BRCA"
