"gene","2-1","3-1","3-2","4-1","4-2","4-3"
"ZNF714",0.860329047078679,0.961197175791189,0.980709616186286,0.488284904005446,0.818242112612335,0.620195146567149
"ZNF394",0.155243026261241,0.670777871131921,0.586948112035999,0.0696024202047832,0.936392077197823,0.304026820648626
"ZNF333",0.253515778010725,0.673360395698578,0.786969099648123,0.87997519654302,0.540486914590182,0.97033657854669
"ZNF382",0.948469467848164,0.790310158925206,0.204228066055459,0.0741826108385394,0.000801816591942228,0.205186716767621
"ZNF577",0.022684257167414,0.725296451754398,0.0788495308031721,0.0181277198950572,0.993124990207264,0.0643645502800433
"ZNF75A",0.40070004025037,0.0620980903114984,0.575559701515925,0.149986668374303,0.846903791721789,0.980567119703085
"ZNF496",0.000107825309043963,0.0471402002314517,0.109221227721726,0.000983360412806999,0.968054930883944,0.3564260775745
"ZNF2",0.846989924521853,0.969562137079461,0.964301513952317,0.965370505895003,0.977854951232528,0.999966035449645
"ZNF589",0.000632025329147301,0.999999690610335,2.11404118644065e-06,0.000361073658241562,0.975528314539904,1.96168081634251e-06
"PRDM9",0.803146962849863,0.999999999999556,0.629654737379616,0.999999999988519,0.671767331369953,0.999999999993099
"ZNF12",0.000507003141701046,0.125562167228233,0.0982737719961755,0.000115726901520063,0.894584117261433,0.02571105944021
"ZNF202",0.145331919291976,0.332612532511787,0.943894956359152,0.203790327378257,0.999716018520492,0.973900160092279
"ZNF3",0.0629964716576389,0.274522014863968,0.813901273891964,2.34137098598097e-09,1.06589818305025e-06,2.48713182271487e-08
"ZNF606",0.00390717115835049,0.691384947291154,0.0128618242636427,0.00108723078927753,0.909800154723901,0.00319994370260057
"ZNF91",0.961740291017835,0.680649244248662,0.141953425364167,0.779463469183445,0.252169061734583,0.998286592129119
"ZNF226",0.953959991530603,0.747772226762983,0.913410716278476,0.975825084791599,0.999553097127016,0.89241905086579
"ZNF229",0.999554530679502,0.999866151999601,0.999965419793478,0.955510075506757,0.949268399254109,0.940697257640282
"ZNF180",0.603826886731635,0.394366200302028,0.96436792659193,0.653115158388202,0.999991646518461,0.966056170754814
"ZNF641",2.86629697754393e-09,0.0568872042791149,3.37803667438408e-06,8.13445956704406e-07,0.766787178029125,0.00111818212791737
"ZNF610",4.00414976198249e-05,0.884410549096487,3.85168532546221e-06,1.06225940044169e-07,0.254356347140094,1.80617343303879e-09
"ZNF528",0.409018705340054,0.964028279289412,0.492969159564891,0.402382982482047,0.999563132190935,0.494359767454987
"ZNF701",0.288986775171163,0.999995538427179,0.0967205349638546,0.37310839784849,0.999604542034343,0.17606909827795
"ZNF283",0.0235338146399733,0.948043240054108,0.0130958737369544,0.0258175714297619,0.999260854754028,0.0180896732948345
"ZNF558",0.999893794109478,0.951304348424324,0.853506595630807,0.983757435673043,0.944596376486378,0.997342727612594
"ZNF597",4.19829988098641e-05,0.530089104130369,0.00017862635973287,0.000491801147367354,0.960360397118673,0.00385912920455
"ZNF30",0.265032999553385,0.929154673570573,0.00742498835159366,0.121292550119009,0.924597682473781,0.0021058526957185
"ZNF354A",0.0195183335454158,0.103152405468955,0.8557834434531,3.75558436022105e-05,0.0873634384657589,0.0132980267373288
"ZNF764",0.160169304475581,0.734740875641589,0.50967973267522,0.0606560669629126,0.90599002071632,0.212356981979233
"ZNF747",0.856016018376959,0.990945458192727,0.467682526918231,0.992994751853088,0.53127679187201,0.999997361463837
"ZNF778",0.0419297154668304,0.883303513697697,5.74135818340871e-05,0.132206262229432,0.967194488433574,0.00143519845720741
"ZNF212",0.963566246002708,0.94318770148783,0.506800705093117,0.791080838077325,0.269831674232794,0.961360822417295
"ZNF282",0.670297601483894,0.872642500883645,0.963601754175125,0.118514747776081,0.439153981575043,0.225169206957099
"ZNF160",0.820050189933787,0.51871768438588,0.902157413479565,0.909432028597974,0.996491759655812,0.832834422488328
