"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF589",7.19950765670774e-11,0.183275059011248,9.13858985485128e-07,1145.71500803571,641.365499047619,1020.02221217391,65.0324597822782,25.9160940046312,51.5387328625207,666.929575,440.8507,645.34945,1486.19055,772.9967,1273.209,797.227767307692,973.84893501006,753.2248,814.2645,586.4548,929.91525,583.2377,1199.1363,41.1501349413785,26.5066760595956,1.22154417463259,1.08103782562656,0.288706036647347,0.112417004006074,"PRAD"
"PRDM9",0.457257821159448,0.438702127910101,0.999992930598364,6.88742946428571,0.0361514285714286,0.0157434782608696,6.868646688315,0.0129773766316085,0.009928529351741,0,0,0,0,0,0,0.0833423076923077,1.73097847082495,0,0,0,0,0,0,0.0384950310544558,1.5547265344429,20.7695049339834,NA,4.37639492311618,NA,"PRAD"
"ZNF12",0.000152180016429915,0.00260231384126353,0.681398384706422,643.433857142857,728.732937142857,711.477172173913,14.217377694591,15.8804528298465,13.6440750074538,551.731275,621.7205,613.8778,702.04315,826.6968,789.97985,707.958632692308,655.344933400402,691.566,634.8439,602.406525,812.015775,555.7877,744.4432,18.1388099463123,7.52671463389965,0.925682523155598,0.917980207239801,-0.111410610692214,-0.123465047157672,"PRAD"
"ZNF202",0.0275164518747131,0.219755363010346,0.602155346810525,216.157319642857,238.631417142857,230.325131304348,6.37060333720553,7.11575636013715,4.71937226369341,178.60155,191.504,193.8241,245.702825,277.1169,263.9626,226.202953846154,228.23285472837,221.9777,218.0695,189.027425,255.10275,187.512,260.9506,6.77337662944262,2.82362624437147,1.00897380360292,0.982393726937436,0.0128887176526239,-0.0256267464605683,"PRAD"
"ZNF3",3.17229242874362e-10,0.104948406209596,5.37458966221038e-13,814.695021428571,983.316940952381,764.388554782609,17.5679794765376,21.0686672930991,14.3409902893977,702.920375,845.2456,656.0385,903.205375,1077.8689,866.36965,632.698646153846,869.288860160966,613.5827,839.0486,544.07175,691.094225,703.9374,988.8039,20.6907981762796,10.5699120604801,1.37393823338384,1.36745804599771,0.458317147974202,0.451496571402089,"PRAD"
"ZNF606",2.11108874825783e-09,0.798072060114017,5.67726387012968e-08,348.7052,459.310366666667,359.597109565217,10.5774684333286,17.0390608752175,8.02087804899623,280.6557,370.1743,300.5757,393.006625,509.9304,411.2214,310.579757692308,383.863650100604,303.2631,366.2618,260.130075,346.617075,298.8883,443.522,9.53231877468224,5.89677146813541,1.23595836687109,1.20773612087986,0.305630147028512,0.272305273632871,"PRAD"
"ZNF91",0.965224552538586,0.698331855392873,0.546074604953633,585.496775892857,579.727940952381,603.473706956522,16.136990499596,17.4606631159121,14.2811441658429,466.9648,468.0691,487.8065,660.576275,667.4278,690.3763,510.941932692308,544.524531991952,517.7804,529.5256,404.678025,588.3774,435.0962,642.191,18.854386868191,8.31525569135087,1.06572684125315,1.02268374778188,0.091837705198868,0.0323600785679415,"PRAD"
"ZNF226",0.781149901579791,0.903974685130389,0.517737900913093,402.908557142857,412.06776,397.188608695652,9.34401221637247,9.92812443064302,9.45240833804932,320.137325,342.8855,324.7261,454.937925,480.091,466.81315,359.583844230769,427.236398189135,328.1267,418.9304,288.291575,409.89555,346.4173,492.6943,13.89680984481,5.27079943280148,1.18814125006948,1.27673365197041,0.248706358580786,0.352457586074247,"PRAD"
"ZNF229",0.0043535303705613,0.943263695670714,0.0112191078539836,235.193900892857,271.079739047619,238.76664,7.96158678983395,8.84594894995726,6.79721866553213,174.47065,214.2676,186.18495,273.6052,327.2665,282.15,185.197582692308,233.550849295775,176.57815,227.3497,150.95305,218.0435,171.1377,282.8755,8.3544384889706,4.0397903268849,1.26109016057624,1.28753019555364,0.334671423617241,0.364606267219867,"PRAD"
"ZNF180",0.0531840565336896,0.0209643832534753,0.953777769392013,208.123826785714,240.568664761905,244.624019130435,8.93479074996083,10.0549581478189,10.1930685086269,162.41345,192.2471,191.58085,233.2622,263.0307,266.3379,206.593855769231,216.902050301811,206.5262,201.9231,177.75755,225.25515,166.5574,247.6074,6.23815433295944,4.44534561030198,1.04989593951959,0.977711786688565,0.0702463421973548,-0.0325188497458169,"PRAD"
