"gene","2-ETV1-1-ERG","3-ETV4-1-ERG","3-ETV4-2-ETV1","4-FLI1-1-ERG","4-FLI1-2-ETV1","4-FLI1-3-ETV4","5-SPOP-1-ERG","5-SPOP-2-ETV1","5-SPOP-3-ETV4","5-SPOP-4-FLI1","6-FOXA1-1-ERG","6-FOXA1-2-ETV1","6-FOXA1-3-ETV4","6-FOXA1-4-FLI1","6-FOXA1-5-SPOP","7-IDH1-1-ERG","7-IDH1-2-ETV1","7-IDH1-3-ETV4","7-IDH1-4-FLI1","7-IDH1-5-SPOP","7-IDH1-6-FOXA1","8-other-1-ERG","8-other-2-ETV1","8-other-3-ETV4","8-other-4-FLI1","8-other-5-SPOP","8-other-6-FOXA1","8-other-7-IDH1"
"ZNF749",0.929442466675527,0.00263665714011962,0.00128588355801751,0.926197577889884,0.997230273544766,0.054052077921028,0.0279504179518073,0.863417101488679,3.67747635598992e-06,0.999999999989715,0.961126613518584,0.999984398059549,0.0153638353131101,0.999906555917769,0.998769021318692,0.786926689800421,0.963276918857079,0.0393810709036401,0.999958427349407,0.999653178295951,0.993576325483226,0.337457589499438,0.999997537715454,5.1821376281791e-05,0.99862853545867,0.808549628712775,0.999999432875874,0.97228705441026
"ZNF17",0.945925300073338,0.290471658148536,0.128281296502452,0.999999929946062,0.999102352956269,0.97281964034163,0.227705064571624,0.990502016251123,0.0130431912304649,0.975851849807654,0.731245495619421,0.990323526245907,0.0933263615450195,0.965594778005561,0.999988312343543,0.946955776962296,0.99673569907426,0.442133589509335,0.978551997498767,0.999958708025715,0.999999864013889,0.54723487428746,0.99999999479682,0.0391744135645339,0.998150934515899,0.979239847784263,0.98908926761196,0.997087252839567
"ZNF555",0.891598325004603,0.996981523249309,0.845083351178133,0.992533052410401,0.999995996929783,0.962981271589066,0.0357915454899742,0.920891665174482,0.21094960531088,0.99998163913972,0.057938511279342,0.498701369687132,0.0831908465804129,0.96960567715031,0.929688118574055,0.192420439811353,0.505016077621731,0.155084901760492,0.864177309157997,0.819519266366816,0.997965407673798,0.0115725974005604,0.98213987367827,0.282343241655883,0.999999971407779,0.999456943856895,0.76169711956551,0.694766959388805
"ZNF75D",0.254885344688359,0.841719474709347,0.999994278712864,0.99719322477907,0.999995848266473,0.999999997812986,0.958410697241391,0.110714684242227,0.542974165109356,0.96701385608575,0.999995673629984,0.967479544201761,0.99618886298698,0.999869343555961,0.993998505477562,0.996791896977587,0.815847377353995,0.907208494311203,0.974610800038421,0.999967513844895,0.99521898653229,0.999515716361479,0.535805240795365,0.947096651531162,0.999390608466107,0.86600021196613,0.999999999928326,0.991800077814182
"ZNF197",0.79937913127304,0.99335547195748,0.999994164071321,0.998552004899285,1,0.999999824467673,0.00066587921256156,0.562496832384353,0.626953512400673,0.986882730160408,0.959129967139427,0.999999857428365,0.999966367703161,0.999999996138931,0.955537121739948,0.896987718078005,0.995745101482219,0.990223230711542,0.999065893461951,0.99999999999282,0.999081147069398,0.494801352099072,0.999999327990239,0.999999860693176,0.999999996793872,0.151424650012305,0.99998913249016,0.990770211033139
"ZNF732",0.999733550617159,0.221472091962486,0.248227196611689,0.984957162297262,0.997526518428612,0.469716322675239,0.998411606254543,0.999999999663071,0.178476836913371,0.997986929804644,0.998859117148349,0.999993398207395,0.427608835091194,0.999884984690052,0.999997513993813,0.809290227879334,0.908299716010299,0.222755759811826,0.99944107565925,0.91275290946664,0.974322008370133,0.999026885704457,0.999999997209843,0.142550129803756,0.995441357939956,0.999999586300536,0.999960826127997,0.878597164180611
"ZNF546",0.31584737935448,0.99999999999982,0.835030777298148,0.996099372023084,0.77228724163672,0.998307227427197,0.391635198129859,0.999990538807983,0.908062599158069,0.834599867057165,0.691620189708373,0.999989276673983,0.867429167813994,0.761525752956604,0.999622480527867,0.933068536362517,0.99994639878868,0.955233779106712,0.85910588845891,0.99962571454632,0.999999756843497,0.0406364338749573,0.999999241585456,0.813481725446145,0.781760724568439,0.999999915737359,0.9998181336764,0.999779260095617
"ZNF286A",0.878960787551689,0.565904331192557,0.220005889514799,0.999999896794298,0.997807526258196,0.993589904907211,0.0689313214795748,0.96768555565379,0.0176996271373373,0.939683291128219,0.939058153884399,0.999980963340296,0.372043890372833,0.993094406289683,0.999957871369703,0.997497082895705,0.999999461496261,0.834269781672711,0.998599315714431,0.999997814577226,1,0.0942459913227941,0.999761894386564,0.0382252944301118,0.986295082908978,0.992871929114281,0.999999999805111,0.99999999999976
"ZKSCAN4",0.903553585467647,0.987755592689113,0.774484753256572,0.994293682142787,0.999997749303619,0.950968731420321,0.0847535574477988,0.968475651734953,0.219518143165061,0.999996850450754,0.856020959515812,0.999234309019128,0.686902271528993,0.999999920648288,0.999999984714312,0.20138676767657,0.511561301068826,0.134962938739968,0.861084203546085,0.779709119156149,0.827835428892928,0.135577287197901,0.999849829528464,0.414641751376095,0.999999999819456,0.991171086056082,0.999972767920664,0.577866643638751
"ZNF643",0.99891604397156,0.999982923609035,0.998133469446906,0.999987484341768,0.999999999831918,0.999871026403089,0.987560338018327,0.999999882786821,0.993002302270849,1,1,0.99998488260054,0.999998948210723,0.999996445580014,0.999874748259774,0.98162129001222,0.996885717868126,0.973586251654497,0.999576466954651,0.998174236993859,0.991838101141533,0.560714768319342,0.998757028141787,0.932849240033146,0.999999450256583,0.999757683184725,0.996293463319994,0.999650410747513
