"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF320",0.476737427705587,0.0688389161116095,0.635198557296866,524.552407865169,485.722652380952,454.491788461538,21.406552288226,27.8742438656949,21.2635348136801,395.1822,336.8656,328.1364,606.2815,590.0986,543.921775,89,63,78
"ZNF530",0.921737290688167,0.000744345138227964,0.00059478616442088,63.293404494382,60.9379682539683,84.7294576923077,3.03773051427657,5.04628223614116,4.86828429393783,45.5464,36.81955,55.87025,79.1405,79.68405,102.446375,89,63,78
"ZFP1",0.938551935859862,0.822258121490837,0.974558793515969,217.798224719101,213.518688888889,210.712465384615,8.42480220176182,9.03228918278215,8.73247107028814,164.2276,166.0189,160.7213,255.8469,250.48095,236.4065,89,63,78
"KRBA2",0.895893004536154,0.283849275456542,0.604969434638576,61.492108988764,59.1060936507937,53.8490128205128,3.57723567012591,3.35977141927606,3.96759137154181,40.2363,43.4254,31.7394,72.63,76.006,60.16735,89,63,78
"ZNF93",0.431579527666419,0.0915340919278066,0.0056016308768928,73.6656696629213,61.9390079365079,92.4157782051282,6.42599786777653,5.76502327168358,7.03310893237319,43.3194,26.0798,53.1338,90.5206,76.77025,113.47475,89,63,78
"ZFP90",0.000822149966273611,0.219269438185464,0.101322945722867,533.882550561798,437.442120634921,492.767092307692,17.2182245625719,20.4723206745947,17.144687724076,435.2818,333.4381,388.449025,604.0721,509.6824,604.30165,89,63,78
"ZNF479",0.951381057047893,0.0196482523452851,0.0749277056281128,0.0295808988764045,0.074984126984127,0.41525641025641,0.0151051567573784,0.0418153128062096,0.174198131972714,0,0,0,0,0,0,89,63,78
"ZNF445",0.236368805148134,0.0193332117357112,0.636555132576498,535.708804494382,482.333595238095,451.727393589744,19.9132962984967,24.7407065822642,24.1933714475566,407.1334,348.51035,313.57475,632.106,591.39675,563.176025,89,63,78
"ZNF74",0.377269780592159,0.859173410239696,0.179171744545095,275.97233258427,308.602155555556,263.883919230769,10.9291085580518,20.2041340378567,20.2891449399386,206.3274,219.3626,155.09485,330.9019,353.6709,302.6096,89,63,78
"ZNF829",0.98921976561134,0.000580003502529292,0.00292927995485748,10.156,10.4351571428571,17.2501166666667,0.625447557049349,1.28588957098366,1.98509501657307,5.6164,3.9379,7.127575,13.6456,13.8232,18.943,89,63,78
"ZNF267",0.308877529325296,6.9428114068959e-07,4.34477798183508e-09,403.475547191011,368.001668253968,524.995021794872,14.1554306561228,15.7736759309843,19.8084907374556,304.8691,299.44755,396.853475,483.7791,407.16035,619.989275,89,63,78
"ZNF566",0.0291031254012647,0.31756882974523,0.472372524876453,173.249847191011,144.226322222222,157.825569230769,8.13475357034686,7.49956955563298,7.42346379353648,126.1188,104.8029,108.191575,206.1782,179.49205,199.023075,89,63,78
"ZNF224",0.209682992573091,0.0851572790777292,0.949016132504733,223.503326966292,196.431633333333,191.365307692308,9.55789839976494,13.1682737434791,11.1425457143231,158.8286,131.8938,127.270875,268.4346,231.93245,227.33005,89,63,78
"ZNF529",0.565970054043209,0.998532697666527,0.613859520271688,259.520282022472,238.933814285714,258.53761025641,10.5649888265883,16.6909653031842,15.5851057363929,190.2113,158.94305,162.122375,310.0209,278.9248,314.136425,89,63,78
"ZNF284",0.573919653199399,0.0837455783803736,0.587854468767297,39.5072853932584,43.833673015873,48.1870653846154,2.2888737615493,3.79816513195943,3.09506310568426,24.9854,22.01365,26.67785,51.4049,53.6076,59.652725,89,63,78
"ZNF749",0.539684069423737,0.526355323122741,0.999110700519223,58.4007078651685,63.4719476190476,63.2742923076923,2.37559926931852,3.70560242362849,3.94960802123044,42.4394,41.1644,44.57955,75.4118,79.85135,71.198325,89,63,78
"ZNF17",0.000151841215849213,0.184564033029492,0.045365122877932,115.002580898876,91.5602968253968,105.571982051282,2.96597482654917,4.73770453513918,4.34729294421555,100.1805,66.89265,86.837525,129.7521,116.90105,122.37375,89,63,78
"ZNF555",0.932334066923192,0.395244775968394,0.274582409547276,69.5921382022472,67.7677333333333,75.8697115384615,2.5679689988578,4.47337243237472,3.85765018025568,51.2612,44.09595,56.47005,83.9024,81.92565,88.06825,89,63,78
"ZNF75D",0.213172119889561,0.00331248108834259,0.355648676369006,442.832360674157,384.599742857143,335.70405,20.4077475870309,26.4629027266509,25.8218169300628,332.2537,242.2773,228.133875,501.4221,465.3396,348.949625,89,63,78
"ZNF197",0.00211025959435829,0.816362165503296,0.0165689353274048,327.423950561798,275.429411111111,318.737593589744,9.29631981959377,13.4379546891409,9.56274741012581,265.4748,205.8797,257.263175,388.5004,339.18895,360.387225,89,63,78
"ZNF732",0.885534959925517,0.90036660961024,0.668353119787128,5.49703146067416,4.79257936507936,6.11359487179487,0.993513876215823,1.05752570732326,1.05841979006803,1.5964,0.76345,1.0481,5.6391,4.66755,7.1271,89,63,78
"ZNF546",0.00692514685821577,0.00950103473111563,0.961638918270535,61.1641898876404,47.9082428571429,49.0946435897436,2.6862291805982,3.2301018316201,3.15094568109429,42.4188,28.9437,30.09735,76.2935,60.73315,60.9225,89,63,78
"ZNF286A",0.175265934671756,0.131354391495387,0.999447185406343,180.656628089888,219.881353968254,220.595384615385,8.39238144910172,11.7746383904949,22.0808525415225,131.8162,164.3662,132.780425,214.8269,274.7539,246.754175,89,63,78
"ZKSCAN4",0.826038303412764,0.326649069187964,0.741372665999056,127.58733258427,132.324688888889,138.426192307692,4.69722229587782,6.20798793907994,6.02382124112739,98.3146,100.8118,109.3588,159.1707,155.03785,165.545525,89,63,78
"ZNF643",4.89631650635314e-06,0.19243740646067,0.00459213514857781,36.9475741573034,62.0563888888889,45.3105448717949,2.04907423427141,6.076168105049,2.60487545661867,24.1638,37.3341,33.0797,45.0931,70.6373,53.610925,89,63,78
"ZNF642",0.491889636107886,0.999961714315941,0.506735159402691,103.512828089888,113.160547619048,103.44626025641,3.81208255683425,8.84924475327345,5.51143857295996,83.5795,73.12105,75.088525,124.2165,145.5626,121.52245,89,63,78
"ZNF490",1.54758849513215e-07,0.0017154212156647,0.0595815064145782,215.139764044944,160.81649047619,183.505792307692,6.05294277822903,7.01500799275243,7.05719783839844,179.3722,127.38785,136.759,243.5766,191.13005,222.887675,89,63,78
"ZNF626",0.000269201539766839,0.161957107264279,0.074087525442304,310.118366292135,151.827498412698,241.590217948718,30.3401143119079,23.7511809269158,25.1886362083309,109.0377,28.74655,74.252425,392.8571,214.4159,356.40915,89,63,78
"ZNF793",0.666038583850919,0.725970779204128,0.276655916082686,90.9561865168539,80.4643158730159,99.7265833333333,7.17025976753425,8.53125025408767,9.65024475525699,48.8038,24.4919,45.9095,115.5672,120.081,114.29405,89,63,78
"ZNF383",0.999305238396516,0.479976359027601,0.561745422696257,78.4577516853933,78.6872904761905,85.5060358974359,2.72631408368069,5.98231051575955,5.03039368723278,58.9892,50.3648,57.16685,91.6603,93.0855,99.6285,89,63,78
"ZNF669",0.770119018970587,0.998992919305219,0.758479299603305,117.949453932584,123.445252380952,117.628257692308,4.47463380496743,6.7173802329162,5.76491226281347,86.4609,89.9517,81.082325,148.5864,148.9371,139.8288,89,63,78
"ZNF559",0.00562314143157738,0.189122602741298,0.322938754492156,233.379051685393,191.506868253968,211.315603846154,9.28256285037542,10.3727001952936,8.21302600456453,173.8561,140.9149,169.68375,285.8061,221.9284,243.457325,89,63,78
"ZNF177",0.341958543176858,0.778434039923485,0.737428270772992,44.8926674157303,38.3432888888889,41.9219128205128,2.53850852024801,4.22905705321532,3.22848258403167,27.8542,17.79205,25.05615,56.1458,49.46185,49.2963,89,63,78
"ZNF548",0.159626811015772,0.965028361574976,0.109912869802695,238.883396629213,212.075253968254,242.375265384615,7.99573928973272,13.823498280142,9.43214248277421,196.971,144.61145,178.694825,271.5318,271.08525,289.10765,89,63,78
"ZNF563",1.17964138457438e-09,0.00858939132767744,0.00105369408365519,57.9905258426966,33.5205412698413,47.4480153846154,2.64725004909046,2.46229699968913,2.53230889893472,39.477,21.68615,34.482925,73.4754,44.02445,54.15295,89,63,78
"ZNF567",0.778139917251038,0.0102849068948548,0.107401150763284,129.748946067416,135.958803174603,155.165244871795,4.06455612591556,6.57003852296983,8.26466992524901,105.8151,99.82975,102.167375,152.4664,167.19075,184.703275,89,63,78
"ZNF573",0.633071926766712,0.618476216121692,0.999494307532902,29.9499471910112,27.0761650793651,27.1743243589744,2.01297193931398,2.44415501874549,2.1597165025521,15.4162,15.8748,14.915575,38.3597,31.05145,34.2788,89,63,78
"ZNF527",0.907160456725119,0.819058791018993,0.98885208174341,100.745352808989,103.805982539683,104.873671794872,3.29446927820995,6.13967506960802,5.93053382972681,75.5399,72.11995,72.0067,119.1546,122.2074,123.516725,89,63,78
"ZNF33A",0.926385646663952,0.000425372586712269,0.000370544973008036,973.634691011236,997.429674603175,741.094528205128,38.2690655062565,57.2977186668778,40.5375199407948,701.9527,676.118,517.006025,1217.7705,1261.59955,847.732275,89,63,78
"ZKSCAN3",1.94039181362626e-05,0.373228564129049,1.01790367690313e-07,71.9592988764045,101.884138095238,63.7625307692308,3.6624857126369,6.51384019878967,3.67270353987394,50,70.31825,44.009025,81.4208,120.22305,71.774875,89,63,78
"ZNF676",0.91987204666275,0.432770585368764,0.287705078819753,6.77804943820225,5.10866031746032,11.7734102564103,3.13186743075283,1.74105069131585,3.29675158108623,0.5686,0.3284,0.405,3.1315,2.3784,4.158225,89,63,78
"ZNF699",0.0543911492024446,0.0499934202296392,4.53465623028171e-05,24.4136404494382,18.7196063492063,29.8564141025641,1.32969918594545,1.55267516183904,2.1185733966694,15.0862,10.89195,17.062525,31.4077,25.76375,36.584975,89,63,78
"ZNF250",0.91227368408469,0.972499102290245,0.818749027654661,220.851701123595,227.775442857143,217.258162820513,8.59304303241179,15.0605747559782,12.5389763993175,165.756,144.35435,141.681175,250.0257,306.1877,244.6998,89,63,78
"ZNF79",0.358868046383963,0.998502609391228,0.353879890588509,103.426651685393,96.1954174603175,103.686047435897,2.72995284347221,4.20408839851728,4.20484543360061,86.5986,74.5858,79.7296,117.9088,115.4794,119.7031,89,63,78
"ZNF681",0.146325255198124,0.810414532573236,0.417549146189654,130.330102247191,165.545879365079,141.225566666667,9.69812055949115,19.4951374248918,10.8857701460174,81.8738,85.3856,81.56705,155.8912,181.9692,192.59435,89,63,78
"ZNF766",0.742358873057571,0.0868782616292741,0.436002591245416,429.267540449438,412.483904761905,383.598246153846,12.5963120534238,20.9578815305587,15.2460361334562,337.1017,283.4277,300.998025,489.0726,481.97815,453.762375,89,63,78
