"gene","p-adj-LIVING-DECEASED","mean-DECEASED","mean-LIVING","SEM-DECEASED","SEM-LIVING","Q1-DECEASED","Q1-LIVING","Q3-DECEASED","Q3-LIVING","count-DECEASED","count-LIVING"
"ZNF41",0.0295073685902602,166.349022522523,194.375705351171,4.42773542666437,10.5623409729786,117.19225,123.0979,206.175075,231.38645,222,299
"ZNF7",0.664066674004207,482.983048198198,476.458646488294,11.1573342276675,9.93683282283461,360.98465,355.0112,560.507775,555.91435,222,299
"ZNF214",0.00142547692203676,11.9872815315315,17.5587200668896,0.932837897575477,1.32704588401319,2.20035,2.8283,16.8031,22.6436,222,299
"ZNF215",0.987570129242454,36.5577387387387,36.5039160535117,2.71121644856442,2.19121601408412,5.69705,8.15025,48.514225,56.1497,222,299
"ZNF547",0.00080920288698616,31.9843648648649,37.8427615384615,1.20572806177988,1.20120945035951,18.655775,23.26725,40.975975,47.65215,222,299
"ZNF773",0.72906292638577,87.6128806306306,86.2488331103679,2.98656374336341,2.56617796956365,61.19235,56.31575,108.374475,113.17525,222,299
"ZNF776",0.54678971198321,253.310164864865,259.237252842809,7.11465855139675,6.6207002726546,189.001975,186.51775,309.63015,320.44035,222,299
"ZNF256",0.227443293931879,71.8429238738739,77.8154946488294,3.7747599329761,3.20669859452542,27.563075,34.295,100.955475,106.5224,222,299
"ZNF599",0.12762041905633,58.5127720720721,62.8891859531773,2.11918239454528,1.90549899649011,36.5677,41.66405,72.0478,76.1802,222,299
"ZNF18",0.0233804128977556,202.151239189189,220.422407692308,4.89194564665314,5.89379412465342,152.978925,158.16705,238.174625,257.13505,222,299
"ZKSCAN2",0.228799851945396,123.502618918919,130.523059866221,3.55023862004849,4.2725296170685,88.24205,91.37985,148.87975,159.13795,222,299
"ZNF689",0.682949686917223,127.469350900901,129.778973913043,3.71228728116482,4.01430317923402,87.43535,83.34975,162.988425,167.8669,222,299
"ZNF19",0.925901539925777,29.3036842342342,29.191954180602,1.03643486667693,0.691769086522742,18.6509,20.0981,36.40795,37.0292,222,299
"ZNF230",0.181960852480064,71.4002900900901,76.5648528428094,3.34584867966325,2.21737942787481,49.645725,50.64565,82.227825,94.33365,222,299
"ZNF222",0.780979757930813,43.2421108108108,43.9253424749164,2.32686402601726,1.2227609439493,27.42715,26.7169,52.679325,56.897,222,299
"ZNF221",0.699092683066124,10.2416274774775,10.5331642140468,0.627758664519206,0.452411572810226,4.804975,5.2846,13.06405,13.73265,222,299
"ZNF233",0.548460776623748,8.74177477477478,9.18494448160535,0.671863378958629,0.394567581726002,4.6278,4.74885,9.7425,11.73565,222,299
"ZNF235",0.240620643806249,57.5324833333333,61.8976,3.75471804050475,1.57576950599975,38.06735,41.9781,66.351275,76.6422,222,299
"ZNF208",0.153667604023242,10.3405324324324,7.35029464882943,2.14588505595195,0.845525194647466,1.7015,1.6203,7.3701,7.71845,222,299
"ZNF714",0.160377884668883,110.994016666667,121.513840468227,4.8965869999629,5.32478034671074,63.07405,55.90815,150.752825,163.617,222,299
"ZNF394",0.804565222056167,495.746367117117,490.50102909699,14.8209691036361,14.5664659403203,371.745875,369.17725,546.975825,553.2821,222,299
"ZNF333",0.0216629497660762,102.079711261261,112.023401672241,3.15612754251219,2.88924417642883,72.64125,79.8827,121.898325,134.4136,222,299
"ZNF382",0.0296966965864867,8.48343918918919,10.1241515050167,0.499984798146244,0.531657744420796,3.9058,4.4422,10.7324,13.0349,222,299
"ZNF577",0.0280343719774334,49.5615927927928,57.5906886287625,2.80819516178548,2.34850596707265,22.062475,30.35445,60.5641,74.1542,222,299
"ZNF75A",0.0218597569504356,203.777002702703,227.224754180602,7.45954556256856,6.81960263818278,125.077925,143.40275,266.137175,278.4785,222,299
"ZNF496",0.641470669083924,293.635257657658,287.504846488294,9.64498305550093,8.78951817160016,195.38585,182.94985,358.457625,347.5134,222,299
"ZNF2",0.0705068999723414,97.637386036036,103.186262541806,2.04286331112532,2.15834432242781,77.3862,79.31745,112.9439,123.94145,222,299
"ZNF589",0.0002364386008189,226.003075675676,283.18690367893,9.51952245918333,11.275288728655,131.013675,155.9091,283.0441,357.7513,222,299
"PRDM9",0.776779591085086,0.629039189189189,0.705533444816054,0.159721310042466,0.199794185776129,0,0,0.288175,0,222,299
"ZNF12",0.0995678690497496,633.190813963964,598.02485819398,18.1235608448134,12.5006717904752,454.742725,436.07315,731.57185,715.3345,222,299
"ZNF202",0.851507128445157,218.398418468468,219.703389632107,4.98932836021018,4.72453674657848,161.04145,159.0736,273.096275,270.8678,222,299
"ZNF3",0.916240882781818,518.817218468468,516.518042809365,18.1922390963638,13.1183889645126,342.924275,376.47455,591.83735,608.1843,222,299
"ZNF606",0.0591108557383339,109.89531981982,123.997555183946,5.43191304326246,5.00028268660733,50.27985,56.179,144.780975,175.3073,222,299
"ZNF91",0.480744939445082,134.988896846847,142.291568896321,7.96032807952268,6.67798210683269,45.53395,59.50705,185.021225,191.8411,222,299
"ZNF226",0.138991184980693,180.345904954955,194.592532441472,8.77797948502858,5.11540044739445,120.2373,130.6505,216.623475,242.6874,222,299
"ZNF229",0.933448420462961,49.0414972972973,48.1094705685619,11.2775542582714,4.7247771015984,5.39335,5.48435,33.430575,46.2627,222,299
"ZNF180",0.0506145936858907,137.159903153153,160.604328093645,4.24076618909595,9.81595285987465,101.748075,107.36685,157.499275,184.6396,222,299
"ZNF641",0.608158266372664,142.746633333333,146.948237792642,5.59527568364147,5.70430627050167,91.32645,79.8487,176.2171,192.69875,222,299
"ZNF610",0.261410316389036,10.3371981981982,12.0711702341137,0.970786559825835,1.11636824089182,2.765325,3.01995,11.634575,11.6411,222,299
"ZNF528",0.945352815982609,109.285272072072,109.923304013378,7.17823234606715,5.98884968722156,23.7964,27.15305,168.735,158.79135,222,299
"ZNF701",0.0586657245607279,38.9202720720721,45.2691511705686,2.47785935442436,2.22494728144604,15.9251,17.9958,49.0987,60.2799,222,299
"ZNF283",0.043762339870164,53.6909481981982,58.1882100334448,1.91822394098468,1.28359976233774,41.0242,43.71625,61.15885,69.96715,222,299
"ZNF558",0.00116310674973019,292.221846846847,331.332261204013,8.48254997233552,8.17334312977647,214.7713,237.69385,341.222425,397.52625,222,299
"ZNF597",0.235179600531299,42.0370932432432,44.501045819398,1.48877827041186,1.40325484639035,28.437475,30.06975,55.074525,55.35475,222,299
"ZNF30",0.267956120440743,44.6970747747748,47.2695571906355,1.83479397537135,1.46274283286184,26.13825,29.75435,57.116925,60.85805,222,299
"ZNF354A",0.0513146827683426,228.747879279279,249.222795652174,8.1312134407112,6.71791012733633,147.8845,162.7814,267.623775,306.49805,222,299
"ZNF764",0.1199945714849,149.456928828829,158.78802541806,3.17551520187833,4.5922458618034,117.25105,116.76035,174.27475,175.95585,222,299
"ZNF747",0.105060717017831,194.403669369369,206.48090735786,4.32379570040794,5.54674808377889,151.077825,154.1517,231.011025,239.5166,222,299
"ZNF778",0.402514085152162,71.7097698198198,74.1036852842809,2.20598615165047,1.83823192530303,50.289125,51.1148,84.69895,90.413,222,299
"ZNF212",0.0510001363818104,419.590255855856,443.330953846154,8.93730720249621,8.08340433511865,331.181675,352.97305,505.9251,508.22225,222,299
"ZNF282",0.308391694243717,1130.79230630631,1098.16676488294,23.8816297095178,21.1138479520231,875.2299,854.5918,1327.11765,1287.33285,222,299
"ZNF160",0.218708481151158,294.27072027027,314.168159866221,13.4479265070477,9.70366596565263,145.0083,194.20055,388.25455,423.3027,222,299
"ZNF415",0.225715294871736,24.4568626126126,28.2261638795987,2.20216232989321,2.12051709882304,6.208075,8.2988,28.16495,30.84775,222,299
"ZNF439",0.131131580886307,31.5487171171171,36.7035518394649,2.85035978414367,2.03753978521102,11.625825,15.19755,34.4911,41.524,222,299
"ZNF440",0.0243623011719862,316.689298648649,354.347896655518,11.7290453600979,11.4312550664527,216.21355,226.7652,366.8311,428.29025,222,299
"ZNF562",0.029302920480022,584.049102252252,631.199965886288,15.7509609192921,14.450942388213,408.2678,451.71855,705.22835,785.81425,222,299
"ZNF561",0.0124880396896797,636.149431981982,691.780059531773,15.1634552714652,15.4554468481321,481.9485,513.4045,760.715,819.53205,222,299
"ZNF584",0.1154655663816,223.081913963964,235.102991304348,5.62074892740787,5.07342645970972,167.391,174.19335,256.850675,273.8253,222,299
"ZNF274",0.0404430516810887,387.76135045045,421.265487625418,12.3676327865299,10.6378585646479,269.8334,294.20635,479.411225,515.4912,222,299
"ZIK1",0.166061328117829,25.8781247747748,30.3605260869565,2.38142009192702,2.15146063558006,10.14995,11.1915,25.747925,32.2503,222,299
"ZNF540",0.0213960615812022,13.9853481981982,17.4938963210702,1.2259409106069,0.942077147918887,5.122575,7.1894,15.65655,22.91265,222,299
"ZNF570",0.018334001190091,26.2916617117117,31.3614190635451,1.4561410202421,1.49631868762609,9.110125,11.05365,39.446275,47.22755,222,299
"ZNF57",0.0066385169771358,139.396977027027,157.577418729097,4.44321392205363,4.70652729049409,96.31465,107.94875,167.435925,188.65235,222,299
"ZNF556",0.239379597397027,24.1188738738739,21.4166518394649,1.63962266849665,1.55737059544284,6.0513,2.79885,35.066675,29.3676,222,299
"ZNF554",0.00029078860638887,71.9285247747748,87.1827364548495,2.70516122901573,2.99084138319136,41.32675,51.16235,91.454925,113.08295,222,299
"ZNF738",0.0927246075851941,82.0746945945946,94.3014237458194,4.28411128365096,5.38519614322006,35.398075,38.0473,108.636075,112.30575,222,299
"ZNF596",0.00666424576134805,31.6346846846847,37.287379264214,1.51486432015128,1.38987803550296,17.46115,21.1244,38.950375,46.2352,222,299
"ZNF621",0.00130063476071429,285.747393243243,324.687143812709,7.85652909076444,8.58115392173675,205.6748,220.50055,359.12125,388.8281,222,299
"ZNF680",0.980807263636304,129.341655855856,129.526430434783,5.35061398340976,5.28900987619641,79.698775,73.4295,158.864375,161.26735,222,299
"ZNF483",0.181071094198813,6.98221531531532,7.90790267558528,0.49640475735264,0.467818098642179,2.380825,2.4827,8.6759,10.79995,222,299
"ZNF417",0.316423260441659,92.5546653153153,96.888891638796,3.36535748198451,2.76167212133698,60.37845,62.4125,109.277,124.4371,222,299
"ZNF791",0.183811792731817,178.168629279279,188.172885618729,5.56551661137658,4.98771891282149,120.281725,129.0215,221.457925,252.19925,222,299
"ZNF519",0.0236434224988502,31.6006657657658,38.2368836120401,1.60724986536844,2.21866061000155,16.519875,16.8835,38.341225,46.294,222,299
"ZNF25",0.311779378622027,133.511125675676,140.171744147157,4.8669668426829,4.36726872740637,84.33855,92.2232,166.085,173.09325,222,299
"ZNF77",0.0496748478829717,77.4363675675676,85.5184073578595,2.80856956275145,2.86018433842655,48.80115,52.9247,93.79035,105.9317,222,299
"ZNF169",0.0550606527341987,43.4483004504505,47.4499809364548,1.48914995758577,1.41189541527321,29.0444,29.4813,53.58885,59.79745,222,299
"ZNF613",0.0523255495290917,69.0393873873874,75.9479508361204,2.71913994923959,2.30052478780293,40.274225,49.26205,91.72505,101.2985,222,299
"ZNF404",0.896572283716176,17.6804247747748,17.4685588628763,1.33607775133984,0.99319492430465,7.447625,7.3387,19.833775,23.5185,222,299
"ZNF135",0.0346310316585159,16.9211454954955,23.0644782608696,1.33468333016165,2.29374001960549,5.538975,5.9405,20.7234,22.4954,222,299
"ZNF620",0.0549066108942148,17.435413963964,21.6287163879599,1.3476865864814,1.58907376041062,6.878875,7.1387,20.766325,22.17285,222,299
"ZNF619",0.0206270340952136,36.5260418918919,41.1815538461538,1.22241054066407,1.46994738823483,23.308225,23.85615,45.2199,53.2188,222,299
"ZNF354C",0.000990817390810528,19.1224725225225,26.9319993311037,1.60868572782374,1.64349755816045,5.255075,5.5368,26.25715,41.0615,222,299
"ZNF114",0.0691629504474718,122.200794144144,99.6562494983278,9.75675987990903,7.83017138492818,37.54815,20.8334,141.44615,121.9067,222,299
"ZNF454",0.0585367438218817,4.32053108108108,5.48332809364549,0.360698718654359,0.455558392515261,1.3161,1.2889,5.1676,6.04565,222,299
"ZNF543",0.203524397167645,123.493338288288,117.825752508361,3.6237466487311,2.73405146062193,89.62335,81.7709,147.879575,147.369,222,299
"ZNF354B",0.0607586857844797,72.0809216216216,79.4164956521739,2.6837087027701,2.70936427797186,44.214075,48.17565,90.153675,99.0375,222,299
"ZNF223",0.594312475121488,58.7534067567568,60.3940337792642,2.55375245754942,1.85530904979229,36.48225,37.3741,70.8658,78.61625,222,299
