"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","count-[Not Evaluated]","count-[Unknown]","count-Negative","count-Positive"
"ZNF212",0.433925367454012,0.007827201634383,0.999837925691579,0.438016867252573,0.975365548339395,0.945178010976801,478.0601408,401.420466666667,405.433556923077,425.9261,14.1471415919521,53.125202768366,15.8124796568569,28.1460563764979,365.4356,263.7493,328.1899,337.6259,563.0115,500.4398,465.2381,502.1336,125,9,65,21
"ZNF282",0.999990250131853,0.44408547789214,0.928067817112149,0.00936115875049959,0.252519876352263,0.166167629502741,1130.5313224,1126.94213333333,1051.49806,871.486395238095,31.0900554688061,183.614343640752,42.4803153100493,48.8282483794773,873.7396,800.1204,814.7802,674.4186,1328.3169,1213.0014,1277.7992,1044.1086,125,9,65,21
"ZNF160",0.531284663348503,0.291817771466223,0.165820103971659,0.142623591218543,0.0727590807007036,0.784655915710142,276.9831552,202.907966666667,319.913501538462,357.290261904762,13.1145665493367,39.7195473275998,23.1503806768372,32.3466851191833,174.5892,117.854,187.0036,218.7938,369.8952,221.1111,411.8699,447.5842,125,9,65,21
"ZNF415",0.997948685194114,0.999931190052541,0.99721345223741,0.400531069477103,0.867280809924651,0.435641182852929,27.1152072,25.1417333333333,27.3961876923077,15.3384095238095,3.21089292263798,11.6568743386443,3.12634655066091,4.7594747148634,8.1013,6.3291,9.0559,4.9472,26.2172,21.8805,38.8098,14.8706,125,9,65,21
"ZNF439",0.953047447042843,0.967257314077712,0.989583468708074,0.378436683938339,0.960129215235209,0.611086735731784,37.9947624,31.4346,35.4369184615385,24.290119047619,3.69420314319221,11.9438360904857,3.65266330576514,3.82584961703572,13.3755,12.3715,15.7353,9.3716,40.2527,30.2248,44.7521,26.7511,125,9,65,21
"ZNF440",0.880262638414466,0.972474536952592,0.801575148719099,0.990453613894414,0.844651830477711,0.999997672848027,326.5909344,280.6461,338.521518461538,339.360895238095,13.988176322889,41.6568915032775,24.9504072949186,53.8516919650267,228.7105,187.4136,229.6497,71.4866,400.1109,402.9979,416.1905,531.6189,125,9,65,21
"ZNF562",0.84646675680032,0.00115039074268597,0.0766301039482349,0.000800632301549142,0.0156944759145423,0.538438585014239,527.8476568,462.7502,661.367663076923,739.040642857143,19.0637885750115,54.4704834265362,27.7385338310153,76.6805753625027,382.909,427.3859,491.8429,442.8641,675.6542,519.2058,783.3629,867.7441,125,9,65,21
"ZNF561",0.506635142347028,0.986067533730042,0.441137809490334,0.975249359982914,0.774073293318445,0.931214733141769,658.0615328,525.776,672.527263076923,630.847233333333,25.6180578933628,60.9236368430732,32.4968967581799,61.3165115903998,463.3333,461.3924,514.7044,481.8082,783.8585,520.6746,794.14,728.4992,125,9,65,21
"ZNF584",0.999862984457529,0.169351252341896,0.774226007550491,0.056421394576071,0.474641023233462,0.00189629227161392,232.0402512,234.092311111111,206.189201538462,281.213966666667,7.11595278919058,22.5820625334237,8.85841529107961,26.9560522762288,180.2899,170.6245,155.3303,206.8573,268.7494,263.6966,239.024,332.7376,125,9,65,21
"ZNF274",0.979493767242476,0.191374396298994,0.96362992650366,0.00114939923762014,0.051444200153152,1.99507323949133e-05,428.9269504,404.437855555556,373.599383076923,590.30240952381,15.6926237213772,60.5790168913528,23.8724691662797,38.44041288066,307.5704,262.2222,232.2112,447.41,541.6243,593.58,422.8734,667.0342,125,9,65,21
"ZIK1",0.728428227519352,0.860503649193061,0.536219852400009,0.972461291944107,0.918810010218036,0.811375098668789,29.11472,15.6715888888889,33.6365630769231,25.2621952380952,3.80063204870606,3.02371066881978,3.72035089062612,7.42202969607395,10.9367,8.2278,15.8525,8.8175,27.7143,21.1111,44.9383,23.541,125,9,65,21
"ZNF540",0.75695625851958,0.393324480530797,0.992371185244481,0.000175147547788135,0.00475249510256692,8.16916746360086e-06,17.4503512,12.1009333333333,13.6611076923077,33.2410761904762,1.459576717427,2.66860541856603,1.28410934372089,5.53483195503026,7.6131,5.9848,6.0883,16.5486,21.6346,19.8675,20.633,36.3953,125,9,65,21
"ZNF570",0.904856995334283,0.277430416067057,0.480804038121633,0.0639921284874926,0.168456569031026,0.598043197209831,24.365828,19.0381444444444,30.6112523076923,37.7204142857143,1.83110779296123,5.72117704828374,3.08186171614387,6.49055676751227,6.8693,5.6962,14.4597,14.5119,36.0362,27.7778,43.9506,56.2031,125,9,65,21
