"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-[Unknown]","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-[Unknown]","count-1","count-2","count-3","count-4","count-5"
"ZNF354A",0.941176597504402,0.965704391531481,0.984417820815896,0.749583542680213,0.262216769802576,0.045762593741147,0.882166630734007,0.917594526691377,0.452700377627873,0.755426796614715,0.97889554827798,0.999998885451841,0.99994483104427,0.99929723451461,0.999999527565663,324.1068,246.647033333333,256.165184745763,208.923543243243,231.855460714286,238.61185,3.44640000000001,10.2245292340842,9.36407829617201,10.7041894185164,10.7550058836498,109.78815,322.3836,168.4573,166.7852,142.929575,145.9758,183.717775,325.83,291.2657,308.7963,257.4982,276.36635,293.505925,2,117,177,74,140,2
"ZNF764",0.99997377870316,0.999998831907581,0.563672724128348,1,0.951662373535385,0.996815263621293,0.999984831221916,0.999997919608488,0.584642584446174,0.965107070340505,0.999991402917451,0.998944689682513,0.999998129632206,0.999958015839698,0.999170498222568,157.27035,148.530783760684,161.935744067797,157.406435135135,149.453407142857,167.06285,46.03855,5.03785992843599,4.11353050121287,14.4377026504132,4.18798456324594,19.56905,134.251075,112.7971,129.1078,116.5934,112.7951,157.278325,180.289625,169.7705,178.8715,162.58485,182.1127,176.847375,2,117,177,74,140,2
"ZNF747",0.99521669158289,0.997402428496787,0.998868217867459,0.981431768032046,0.950972565384814,0.796659597797287,0.998747278049194,0.977670663904706,0.998602991413544,0.631912513645835,0.999999972298995,0.997415745074886,0.998734121094923,0.987884731048395,0.999467992296602,171.65885,203.307527350427,199.39805480226,214.390472972973,195.521468571429,175.51895,139.50595,6.17064502533291,4.85004046665927,17.3586006772758,6.03721640645088,47.63505,101.905875,157.7274,157.2942,155.43945,147.198425,151.701425,241.411825,236.8181,240.1382,236.5799,230.20575,199.336475,2,117,177,74,140,2
"ZNF778",0.998139856310658,0.999999768752398,0.0349078590131693,0.997491886992937,0.999991464834903,0.0721924220726611,0.997687337484089,0.999997715464052,0.0146132085473197,0.99999994453791,0.996603343545341,0.876041573971375,0.989887905878827,0.865665311876717,0.867160944090434,78.9313,69.1315897435897,80.5168728813559,68.4488351351351,68.6896421428571,94.52295,48.8115,2.46760508076354,2.7875420089277,3.24442625844453,2.54680265187937,52.20405,54.52555,49.5929,56.2577,51.630425,47.733875,68.420925,103.33705,85.314,93.9089,76.88565,85.318925,120.624975,2,117,177,74,140,2
"ZNF212",0.999990946204603,0.999999996283657,0.89982329422064,0.999989259390622,0.7124376396787,0.989378266855575,0.99999971139882,0.815983285565762,0.999816113101822,0.998842031659441,0.924048310601936,0.65130760014554,0.757686468510585,0.828117289556155,0.782842735632148,436.17125,450.470633333333,433.180708474576,421.300240540541,429.015753571429,300.93655,65.10885,13.5467668708202,10.5079187638205,14.6892268875387,11.3538297226099,79.31115,403.616825,355.6666,332.963,333.570475,354.3229,261.280975,468.725675,526.2062,520.6375,492.016825,496.29505,340.592125,2,117,177,74,140,2
"ZNF282",0.997363379070111,0.999548918897651,0.957439001542711,0.981586254894021,0.849991425400678,0.348979882577975,0.99628863614066,0.999963436789202,0.876967438356121,0.902944580726678,0.999434904582989,0.937907140350557,0.968706218627291,0.850409121937768,0.927863487294405,994.9226,1114.32813589744,1077.54426440678,1177.42412972973,1123.06892714286,873.24145,102.6225,30.801903045189,28.4966957846999,44.2624942033147,29.7497368143377,479.71835,943.61135,897.3582,801.9532,940.329325,872.347225,633.382275,1046.23385,1269.7876,1247.1729,1418.838125,1358.306475,1113.100625,2,117,177,74,140,2
"ZNF160",0.999998324980256,0.99998670216291,0.626986356080687,0.99999974982706,0.999987167631754,0.849469142941888,0.99999864526541,0.999999998523349,0.590489075816658,0.999992743612859,0.935175383365855,0.827854638489041,0.67547285833961,0.814501448269099,0.824792552258217,305.0732,291.649936752137,325.361595480226,295.857385135135,292.226785714286,133.8223,5.2687,16.3391412337006,14.089710056968,20.6664683533127,15.3180664740534,90.2587,302.43885,156.0904,197.3149,188.8957,169.70855,88.69295,307.70755,391.6118,417.082,408.846625,390.76985,178.95165,2,117,177,74,140,2
"ZNF415",0.953301842947437,0.884619462918682,0.782853475478675,0.939663270103273,0.99973253533745,0.965077508836971,0.914825322524361,0.970800671797289,0.995802222731145,0.99893976992506,0.592516374654543,0.735273491749978,0.850119935782966,0.773928594829343,0.811229806987251,2.42035,23.1674752136752,28.3583084745763,24.5973148648649,26.4325,56.199,2.42035,2.79116407441024,2.45500605131999,3.25610117839731,3.27348682473055,52.465,1.210175,6.1191,8.6768,7.16035,8.30075,29.9665,3.630525,22.5664,32.5174,30.39495,22.2843,82.4315,2,117,177,74,140,2
"ZNF439",0.991663380452789,0.917459650412785,0.143855171656669,0.996272036413687,0.997990081442423,0.106517556683507,0.996829359629265,0.988740951273097,0.0144913179944509,0.999998720196191,0.984748344157964,0.999263083707771,0.99999993740707,0.99783503334712,0.997255613264717,15.76335,31.8834572649573,43.0267559322034,29.4008891891892,28.860555,41.5659,14.89435,3.14041900210987,3.5908329469511,3.21190591398024,2.76919177314103,22.8958,8.316175,12,16.4695,13.28175,11.8511,30.118,23.210525,37.566,51.8359,34.158575,33.985125,53.0138,2,117,177,74,140,2
"ZNF440",0.999991324790779,0.999997337201937,0.999970773550807,0.999749280895751,0.984114895881871,0.949337510210173,0.999879195416565,0.992723695334834,0.962135593444856,0.999952380491397,0.97527305729297,0.944146798637775,0.935235824753518,0.973392853551297,0.965753262493611,363.97295,344.382628205128,348.561954237288,325.135478378378,330.698352142857,220.8296,240.57515,20.5362054568274,13.3869378417411,19.3653035671296,15.9187116524426,1.96690000000001,243.685375,224.9873,224.7313,222.616325,219.5902,219.84615,484.260525,413.8399,437.5743,401.71255,390.48655,221.81305,2,117,177,74,140,2
