"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF673",0.106803501307337,137.146445255474,159.733893489583,4.84566307085527,8.16583326610757,95.0902,107.25585,164.5634,180.00185,137,384
"ZNF41",0.147988160536263,166.991962043796,187.942500260417,5.45271664951609,8.41081121665693,127.7408,119.22505,203.4413,229.156,137,384
"ZNF7",0.0800727959701861,457.500351824818,486.9943328125,14.100189205107,8.69488141819565,336.8822,364.749625,530.0032,569.719675,137,384
"ZNF214",0.0460253386823747,12.2906729927007,16.2172177083333,1.3769049306573,1.06457746856403,2.0912,2.95775,16.3619,21.120575,137,384
"ZNF215",0.949824697507405,36.3468649635036,36.5910635416667,3.49109614260713,1.95370554866962,6.7454,7.202,51.1491,51.6126,137,384
"ZNF547",0.139546233219251,33.1977912408759,36.1130658854167,1.38439308574874,1.06781718925521,22.4643,21.101275,41.7882,46.025675,137,384
"ZNF773",0.970905681616424,86.9489788321168,86.7876315104167,3.17916448433785,2.3845906139125,67.2464,53.7176,103.1763,115.69495,137,384
"ZNF776",0.683601692072997,253.392497080292,257.895893489583,8.3573576344028,5.88303347197115,201.1757,184.648575,307.2679,320.50155,137,384
"ZNF256",0.00110583638313244,61.9652868613139,80.0174940104167,4.09432122601208,2.94389889991643,25.6077,35.01795,86.6667,110.156325,137,384
"ZNF599",0.017988533010723,55.4068781021898,63.0285408854167,2.78555046462918,1.6406126928209,35.0877,40.57085,68.5598,77.34725,137,384
"ZNF18",0.364954200045334,206.579697080292,214.798063802083,8.99162483111686,4.36216429115202,155.3623,156.5749,221.0066,256.661825,137,384
"ZKSCAN2",0.659267154033379,125.400831386861,128.291829166667,4.89076514053365,3.50294581804976,87.8788,91.123175,154.4213,155.397575,137,384
"ZNF689",0.667565148307326,126.784156934307,129.512186458333,5.64308647089535,3.21331451586621,82.8127,85.81975,163.3956,165.563675,137,384
"ZNF19",0.350336551430079,28.3110423357664,29.5708317708333,1.15213656390172,0.692112589873095,18.2513,20.333125,36.41,36.8852,137,384
"ZNF230",0.0467757967377064,68.0014058394161,76.634278125,4.74181921125909,1.9587370663576,47.619,51.51,76.6773,93.494825,137,384
"ZNF222",0.333429998539213,41.667299270073,44.335953125,3.38060320090517,1.12234815086218,26.0209,27.434075,47.0779,57.151175,137,384
"ZNF221",0.880144667419318,10.503097810219,10.3753463541667,0.82858922704384,0.410545662955129,5.3097,5.011975,13.1802,13.55075,137,384
"ZNF233",0.369214120483798,8.44719197080292,9.19194557291667,0.932174686054037,0.366889652768161,4.5211,4.698475,9.5579,11.597775,137,384
"ZNF235",0.887664103284931,60.4729401459854,59.8822940104167,5.94565456512894,1.32101459580181,38.3063,41.041425,66.4148,73.38335,137,384
"ZNF208",0.972729234576367,8.68382335766423,8.60326171875,1.97153502701013,1.21842980833269,1.8479,1.64875,7.4074,7.508325,137,384
"ZNF714",0.569824032417243,113.502618248175,118.290237760417,6.23530314261875,4.50894820091219,66.1521,55.83295,150.7428,157.52365,137,384
"ZNF394",0.761350463181292,487.406087591241,494.637675,17.2563398954366,12.8097003828896,375,367.195425,552.3013,548.15775,137,384
"ZNF333",0.269882494357538,103.822960583942,109.200383854167,3.56419649416261,2.61472396941379,76.2463,77.025675,130.1255,130.5515,137,384
"ZNF382",0.814673544288547,9.57181824817518,9.37267109375,0.843134690638954,0.408516678404215,4.3812,3.9214,11.4943,12.1772,137,384
"ZNF577",0.0273866954601117,47.4945686131387,56.55086875,3.43168965913908,2.11655416805457,25.5193,27.157325,59.7639,74.12225,137,384
"ZNF75A",0.000225182720285599,186.125418978102,228.332066927083,9.02228643239471,5.97320344912241,118.7496,139.608075,230.1061,289.04725,137,384
"ZNF496",0.0749166263148268,270.732526277372,297.032865104167,13.0505010314264,7.47115181008205,181.07,187.6649,322.0544,363.9808,137,384
"ZNF2",2.57464269692864e-06,88.9860204379562,105.044550520833,2.42345536114503,1.82209347918924,67.1322,82.613725,107.3147,124.5153,137,384
"ZNF589",0.388471574806623,247.647145255474,262.80705234375,13.25268282538,9.36358516268568,138.111,143.135675,319.2354,317.34905,137,384
"PRDM9",0.0956315908520134,1.04468394160584,0.540311197916667,0.362580435711451,0.125974615545528,0,0,0.3387,0,137,384
"ZNF12",0.270468873339146,593.514806569343,619.96423125,21.3091844671061,12.1371481192095,414.378,449.239825,690.9243,731.786425,137,384
"ZNF202",0.0768710825792818,229.342591240876,215.5099671875,7.3481394028787,3.85447572712427,167.1699,157.61265,284.966,268.9639,137,384
"ZNF3",0.0254810207780813,477.160420437956,531.88890546875,20.768161513799,12.5686581372673,331.8317,370.8121,522.7668,615.442075,137,384
"ZNF606",5.69344933842864e-06,90.1482912408759,127.92113046875,6.19379573681135,4.39581152440636,40.5196,65.172875,119.7654,178.514775,137,384
