"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF419",0.99990985272353,0.932407494165874,0.949789041797104,0.676093725999267,0.733977687665295,0.532082124391191,0.999997076321596,0.999999993802947,0.995468696388148,0.824227598758652,124.194410655738,125.379479518072,118.899884662577,153.838633333333,125.159194444444,4.01701605105853,8.52118898082523,4.94149185868221,36.0133233414347,11.0344040571228,79.543075,82.5936,76.08055,64.0641,98.06785,159.552175,147.7605,151.7392,207.4359,158.3713,244,83,163,9,18
"ZNF175",0.992367848447725,0.694987344445099,0.980869270111701,0.336984906022207,0.468309343929526,0.584027003132865,0.843536192624853,0.764440634313952,0.539775550155899,0.194698920923773,100.003810655738,102.841269879518,106.682928220859,132.322633333333,87.2245277777778,2.94918763261681,6.60832814974704,4.15197858272406,26.0854709768729,7.14220356968611,67.805825,59.53215,74.95715,71.2223,72.70535,132.139925,129.17305,131.92415,194.3065,92.731275,244,83,163,9,18
"ZNF14",0.976583106983018,0.999022326407626,0.996319609039305,0.26633749635831,0.420683979640614,0.31403126373582,0.998728317055574,0.982233536760829,0.995726882753337,0.35750134142744,87.5889008196721,92.5913843373494,89.3314496932515,132.953044444444,83.0908333333333,4.52089553499489,7.59511154691146,4.6494454016111,29.5214389790101,11.8912449452682,36.43395,35.63765,40.4896,57.2666,36.227325,125.346725,130.98575,126.4323,190.0692,109.088175,244,83,163,9,18
"ZNF85",0.584526977165896,0.160438477571864,0.997949078354518,0.957685317731411,0.999912391741069,0.999999954302279,0.885452494901617,0.999866409328775,0.999999999746321,0.999999953419773,46.6078696721311,38.9483554216867,37.2213006134969,36.9233888888889,37.2802833333333,3.02973204481855,3.99663591673046,2.68475669459822,8.3823319055195,7.27468755639399,14.459625,12.17825,14.32,20.6974,13.5726,65.327,52.4888,51.54115,38.8292,49.159825,244,83,163,9,18
"ZKSCAN1",0.880679608669479,0.973273534231271,0.992978962862996,0.0156561365537288,0.00717452118570683,0.00953555141991702,0.87192552673291,0.991945996275236,0.957069290174242,0.0134634176005719,718.429060245902,667.871895180723,692.282739877301,1167.98123333333,619.082766666667,25.0284412007314,42.512359958302,36.0754989181412,246.074710605257,104.302441832188,441.354,419.29565,350.0521,817.2043,295.974225,934.2996,843.76105,971.93115,1356.308,996.85395,244,83,163,9,18
"ZNF862",0.761185800705823,0.227451639597749,0.058329313432086,0.976359170877163,0.999904294258084,0.749920564071651,0.857340407309227,0.996517349582859,0.358045198851935,0.999973540813677,194.66706352459,173.209596385542,224.796601226994,166.017377777778,159.957505555556,9.2394672613033,15.2732803141706,11.6090249064326,39.8811189060506,18.9723242261904,98.563075,84.0652,115.13185,84.564,106.8012,251.32425,203.8148,295.1877,169.3273,202.410975,244,83,163,9,18
"ZNF684",0.864545546213492,0.0097355321646031,0.00687481705496307,0.709395053355125,0.508639049190758,0.998442598720727,0.999898608973249,0.997061929539818,0.576521869350451,0.783206132725522,36.2108647540984,33.7021012048193,42.9003214723926,44.9058222222222,35.4936,1.03422628278887,1.64969812892659,2.12185183502896,6.62442736237501,3.66370746983296,25.3626,23.9644,27.54805,31.6607,28.649025,42.680025,39.95895,52.0077,44.77,39.872925,244,83,163,9,18
"ZNF430",0.402663918850205,0.652099446794775,0.970257293192323,0.807912998057679,0.43733158874012,0.5692961740208,0.224847312947392,0.80178900788503,0.561120024839558,0.195085936003864,125.694516393443,109.447792771084,115.641029447853,152.865633333333,88.4122888888889,5.13443311766748,6.4604527967687,5.32160940376359,31.7602636316243,13.6576675449205,80.2312,82.41245,71.22865,81.338,44.4232,164.1631,144.24505,158.56915,254.7548,116.582,244,83,163,9,18
"ZFP30",0.990385458180571,0.999452288144385,0.998814095099662,0.870786972158326,0.940526169807807,0.90034130649262,0.912701614888375,0.840849714134289,0.884257984976097,0.682482453662299,112.693370901639,117.321103614458,114.458685276074,138.342833333333,96.3221833333333,4.35071352138656,11.7575799720849,6.04198355080576,24.2375313262476,15.2382676933652,65.1061,52.12335,59.61235,65.4475,38.0969,152.952175,154.05425,155.9848,198.1982,146.08465,244,83,163,9,18
"ZNF549",0.947119631803716,0.985051316237386,0.998121412685064,0.200523208766311,0.367545574188747,0.278525482072166,0.983558983790869,0.909524736596589,0.946974643945858,0.217830760472603,90.7327270491803,96.3883759036145,93.9149963190184,134.665744444444,82.8515388888889,3.79574602951166,6.02085590229611,5.04663832083753,20.4152734659829,12.9225019866779,46.83615,54.1585,39.68435,111.1111,29.501875,126.407775,132.4667,126.0595,166.5012,109.751075,244,83,163,9,18
