"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF766",0.0110341948611259,361.746482894737,333.472433333333,10.0862969778081,5.53580719448727,305.7504,287.2771,409.164975,370.0741,303.8521125,340.720664137931,294.51755,334.64385,276.50125,351.900075,290.702875,384.87315,11.2722121571241,4.89894008750672,1.12133715752241,1.13624417288545,0.165220125022807,0.184272895721194,"KIRP"
"ZNF471",0.716062910170377,135.163365789474,142.413451173709,15.0732497155542,10.6061637954054,18.321225,25.2249,195.421325,194.2067,181.052678125,140.362437241379,168.54115,93.23545,145.96835,212.445425,21.870325,194.971175,8.82412267422735,8.72451481059901,0.775257448246483,0.55319101596257,-0.367252613363692,-0.854150368137737,"KIRP"
"ZNF836",0.10489954753076,99.1426934210526,91.293341314554,5.03718359889951,2.25531828673107,62.565025,70.8032,123.34205,111.5974,134.55086875,93.3048455172414,125.828,90.85915,101.674675,156.89235,68.976175,113.8827,8.12715606236803,2.12371043595755,0.693454054842298,0.722090075340942,-0.528127795679493,-0.469749281123777,"KIRP"
"ZNF493",0.686001727414948,196.3721,204.347946478873,15.7884709124295,10.3350328079421,119.5805,113.1524,233.568675,239.2506,234.6982875,201.979959655172,229.6154,162.60385,196.35655,260.3503,118.639375,236.814375,9.68711115462559,8.63822507712066,0.860594092128484,0.708157423239034,-0.21659515848935,-0.497857988137369,"KIRP"
"ZNF167",0.418908391554978,106.353580263158,115.073652112676,9.13713831070853,5.54747895302747,46.02415,60.6666,160.615725,145.9385,77.99400625,112.814926551724,71.2361,103.15495,65.5393,92.043275,57.19845,149.107525,4.44803926075983,4.72345935467356,1.44645636217365,1.44807127285183,0.532522799572172,0.534132612406863,"KIRP"
"ZNF565",0.162555567331147,46.9865315789474,43.4791962441315,2.17762590080422,1.27883083743928,36.85725,32.5866,54.528075,50.8159,46.210509375,44.3883644827586,44.0402,41.07045,38.45015,52.12425,32.9409,52.0931,1.67274360979803,1.10093086529046,0.960568604049468,0.932567290793411,-0.058039439676967,-0.100720265936229,"KIRP"
"ZNF34",0.127808394589069,107.213489473684,115.999581220657,4.47323887719213,3.04254231243159,77.626525,85.0023,130.7227,140.2737,114.866703125,113.619396896552,112.12385,104.1106,100.0706,133.027125,82.540025,138.118875,4.35263110747416,2.53080024230633,0.9891412724966,0.928532154398908,-0.015751508609825,-0.10697622437273,"KIRP"
"ZNF140",0.117541051100106,382.445246052632,411.146084976526,14.1453001993199,9.68155442868745,302.526675,310.3448,451.49175,486.3148,362.135471875,403.358084827586,351.4401,377.90685,315.9993,410.7476,307.361175,477.18265,10.9179389426267,8.04479622412313,1.11383202186505,1.07530941972757,0.155531674782783,0.104751854303033,"KIRP"
"ZNF658",0.0829491195344471,50.9647013157895,46.3807558685446,2.47580648267263,1.30283663566836,34.154425,31.5887,63.727125,56.5524,55.345084375,47.5248672413793,56.53385,44.9644,46.78255,65.0718,32.13645,58.896875,2.4724101554386,1.16156046316223,0.858700782157391,0.795353580200181,-0.219772589017572,-0.330331731347781,"KIRP"
"ZNF765",0.0135285294987149,163.886355263158,146.268918309859,6.69665815408095,3.49772330369546,121.4014,114.6266,204.197075,175.0287,174.54506875,150.760584137931,179.21295,146.6713,154.7291,192.803675,117.35945,179.79245,4.08439296045472,3.14149061736948,0.863734422390727,0.818419093039872,-0.211340308422419,-0.289088292530623,"KIRP"
"ZNF124",0.613806109404756,73.39375,70.7281361502347,4.86329000558931,2.63168359314708,49.689425,41.5452,92.23155,89.6966,67.64374375,71.3493227586207,69.57955,65.44,49.772475,80.223,43.0592,90.957725,3.81494067553105,2.31326950299326,1.05478080903263,0.940506226326557,0.0769432277700525,-0.0884906001971448,"KIRP"
"ZNF569",0.000268721257737914,115.927860526316,94.5926624413146,5.66386095933609,2.80269389252021,82.82095,69.8487,142.49205,115.448,138.018284375,100.128853793103,139.51405,94.20625,127.6041,150.797175,72.595925,121.1577,3.60917665531299,2.59302115876264,0.725475282108639,0.675245611463505,-0.463001634264232,-0.566515736443993,"KIRP"
"ZNF777",0.206961860059804,476.654393421053,457.140537558685,13.5423842573383,7.84795843333074,392.50415,382.8383,556.489,517.6832,426.4621125,462.392784137931,436.66345,455.08245,384.0745,467.0044,384.9747,524.00855,9.77107194422644,6.77689580831923,1.08425290450141,1.04218122675484,0.116701307903958,0.0596061722486002,"KIRP"
"ZNF605",0.402749454550604,493.062832894737,516.24448685446,20.4934528783517,14.813701319372,369.45085,366.9886,546.954925,635.514,369.761546875,509.600709655172,349.31705,469.3866,292.75415,431.325625,367.2232,621.847625,15.4719558598437,12.143209890545,1.37818741283946,1.34372656588048,0.462772086292906,0.426239594826512,"KIRP"
"ZNF799",0.501821717788901,151.999134210526,157.617897183099,7.3040047491459,4.25669877641871,108.8877,116.086,176.524425,192.4759,125.52605625,155.941973103448,120.1662,148.59325,107.62015,140.5622,112.67635,189.187125,5.13800729018269,3.66760341109093,1.24230759542761,1.23656444158174,0.313022429158382,0.306337425435805,"KIRP"
"ZNF782",0.699503747218223,57.4970644736842,56.0661056338028,3.32542504053648,1.86739863537858,38.231725,35.0731,71.604475,71.1415,64.895646875,56.359375862069,63.94625,55.0908,50.77745,75.916375,35.16075,71.5566,2.68176554139842,1.62456661895008,0.868461577563541,0.861517289911449,-0.203466072186268,-0.215048344497266,"KIRP"
"ZNF846",0.447363396077174,76.6331513157895,72.2006948356807,5.03334445847678,2.98060483155814,43.054075,43.7331,94.263875,89.1763,66.624353125,73.3613179310345,59.83015,67.88525,46.276175,85.997625,43.247625,90.259675,4.64982853786373,2.55397688444582,1.1011186524152,1.13463278965538,0.138969936684163,0.182225462043792,"KIRP"
"ZNF136",0.133848538014001,169.720685526316,157.928875586854,7.93536830376063,3.73554691120231,112.421025,121.0577,209.598775,187.2819,236.468603125,160.968753103448,234.81595,161.6455,208.150925,265.09095,120.71195,196.1765,6.87905054686915,3.4493133876447,0.680719346992372,0.688392334507089,-0.554867981169911,-0.538697062341001,"KIRP"
"ZKSCAN5",0.193525837437147,429.892306578947,455.691829107981,16.6097767161889,10.2317170115482,334.741675,341.3575,519.882425,556.6158,330.681265625,448.98881862069,331.16585,425.7452,316.6452,349.345275,338.56135,552.535825,4.9897786298928,8.69595246011632,1.35776914296032,1.28559511797488,0.441238203721868,0.362436355526695,"KIRP"
"ZNF33B",0.794421394233088,1222.43618684211,1205.78372957746,53.1858704347871,33.0787889898138,989.770425,920.7668,1472.09615,1449.1701,1226.521028125,1207.95431724138,1209.8458,1143.6498,1089.14,1330.964125,935.662725,1452.0456,42.1366032342519,28.0534482838043,0.984862297133214,0.945285589287494,-0.0220060729892817,-0.0811778332751977,"KIRP"
"ZNF431",0.128057942918048,104.494142105263,91.0564262910798,6.67811950632739,4.68708994694612,74.539925,55.3746,122.263275,108.5675,91.637490625,94.614764137931,86.89305,83.33815,69.292375,107.126125,58.5735,112.0218,4.75190323364466,3.87181742490688,1.03248968836472,0.959088787883496,0.046127373296661,-0.0602637156086403,"KIRP"
"ZNF418",0.480942272853448,53.0912960526316,47.8258164319249,7.2601064783561,3.62847769319565,9.444,10.2005,67.892975,67.9178,82.95734375,49.2834865517241,72.8275,29.2572,58.3446,102.8284,10.102175,68.475125,5.98685642436213,3.27143488559529,0.59408226353347,0.401732861899694,-0.751265377709107,-1.31569161567823,"KIRP"
"ZNF700",0.102699645255065,321.661828947368,369.96953943662,21.3680266097514,15.8852638680872,208.281475,216.2307,370.84065,465.6451,236.462453125,357.15329137931,219.55995,307.70175,175.18505,281.793225,214.0646,419.064575,13.2205399804996,12.9840207463619,1.51040170081679,1.40144753175613,0.594932294387714,0.486917732888292,"KIRP"
"ZFP28",0.0106010642708199,165.740627631579,133.574224882629,10.3112540496944,6.49945194820044,108.07055,61.084,222.927825,183.0443,186.14661875,141.965008965517,180.98815,125.3398,165.63615,196.55285,71.26335,198.6753,6.30504573877567,5.53960967998204,0.762651558856302,0.692530422571864,-0.390904027510852,-0.530050645343587,"KIRP"
"ZNF585A",0.0573414294424356,128.945043421053,117.616407511737,5.75902304585347,2.89121092070227,92.795525,89.728,163.7802,143.295,148.875175,120.562318275862,155.19495,114.8218,134.853175,169.4267,89.996125,149.7999,5.14328112845786,2.61655413990682,0.809821505001503,0.739855259465595,-0.304324140256447,-0.434685036139863,"KIRP"
"ZNF138",0.452070091820615,146.270403947368,152.824964319249,5.96748742078844,4.74131499367602,107.497575,104.0248,185.143675,187.6978,143.4901125,151.069113448276,130.35385,143.9111,121.054375,162.1947,104.192,187.284975,6.36514420129673,3.81624407195359,1.05281897697499,1.10400344907343,0.0742573988789541,0.142744679320208,"KIRP"
"ZNF429",0.948975179822976,146.543614473684,145.912515492958,8.38135905723198,5.06917800556822,88.574925,96.4539,195.52685,175.1244,174.13359375,145.882966206897,174.33215,136.6352,146.8173,197.023625,94.201475,179.6509,7.65216822437219,4.3198526104185,0.837764632689645,0.783763637401363,-0.255383114622137,-0.351509454018749,"KIRP"
"ZNF470",0.0113918142522568,138.568219736842,118.771311267606,6.5433280100629,4.01319581095562,95.987225,78.1179,172.2164,150.9847,201.211365625,123.886457241379,201.66855,118.7016,168.720075,242.137775,82.25695,155.82345,8.49125910558722,3.44379484891348,0.615703078484483,0.588597478387185,-0.699693312913551,-0.764646733251418,"KIRP"
"ZNF100",0.213156343648783,137.116381578947,126.609455868545,7.6652371152818,4.2224553654106,93.048925,82.1547,175.232375,157.644,126.855490625,129.255872413793,125.14215,119.7068,99.4952,157.34225,85.793075,163.94295,6.78140265913697,3.69994480771316,1.01892217496434,0.956566592471042,0.0270438630044392,-0.0640626879641163,"KIRP"
"ZNF398",0.0174654956418276,319.583988157895,282.484275586854,18.0939285117045,6.66444719273937,236.67685,214.7787,349.0244,334.4541,317.57686875,292.120295862069,322.75015,274.72935,282.4715,355.184425,219.180825,338.5214,8.07894859509991,6.86518681246888,0.919841224620264,0.851213701992083,-0.12054323830622,-0.232406720790593,"KIRP"
"ZNF498",0.23599100898643,433.005707894737,461.709946478873,20.1311048183627,12.523433914821,321.0992,329.7269,518.90315,545.3046,351.208846875,453.84766137931,349.54015,423.62675,324.876725,385.785,327.8635,541.06695,8.44025182798822,10.6166493240426,1.29224438796908,1.21195447790476,0.369878936881224,0.27733551091116,"KIRP"
"ZNF441",0.873546188420284,244.297665789474,247.189089671362,14.4997662271675,9.52639896924618,160.660975,156.8724,285.9288,315.5259,263.702359375,246.071382068966,252.03705,216.3838,200.990275,308.8788,155.201325,311.29715,14.8153045615277,7.95792384214855,0.933140616004265,0.858539647246308,-0.0998335960973581,-0.220043335657164,"KIRP"
"ZNF420",0.00115185408451324,89.6868697368421,73.0417948356807,4.91861585783979,2.46867315190927,57.056575,48.1144,118.888725,91.4582,124.406528125,77.4124651724138,128.65325,73.31515,108.984275,144.0607,49.502675,98.999925,4.84825106162179,2.26145135858884,0.622254043571026,0.569866287870691,-0.6844243946374,-0.81130464658469,"KIRP"
