"gene","Type 2 Papillary RCC-Type 1 Papillary RCC","Unclassified Papillary RCC-Type 1 Papillary RCC","Unclassified Papillary RCC-Type 2 Papillary RCC"
"ZNF33A",0.744523064783103,0.13465552758643,0.0451004565945067
"ZKSCAN3",0.381070549796757,0.384564485520548,0.0641154409123285
"ZNF676",0.478409398358566,0.977939107914279,0.786237111434099
"ZNF699",0.968589316295596,0.0666205759426258,0.0513417340702594
"ZNF250",0.000480593907128735,0.228741428542422,0.425286902768076
"ZNF79",0.00104718274855287,0.0827109490878434,0.818749013356254
"ZNF681",0.0435860996817937,0.208029999082868,0.989647511837604
"ZNF766",0.998945845625259,0.864259926588578,0.856119831151715
"ZNF471",0.000485571479489244,0.0351964283008426,0.908298998286698
"ZNF836",0.267205183720452,0.26724062542148,0.0234022718622974
"ZNF493",0.000874745506907249,0.774375922043618,0.100311508310874
"ZNF167",3.88315659627381e-08,0.728668857415769,0.000892281306835496
"ZNF565",0.97438206488706,0.793902046576798,0.886470869022708
"ZNF34",0.0462257119819387,0.221996655247112,0.986834688485452
"ZNF140",0.000624590835632266,0.508725525211779,0.201407080462092
"ZNF658",0.186858931632144,0.60613328887189,0.926747897485904
"ZNF765",0.843566531029218,0.205937276328011,0.42918057613208
"ZNF124",0.398216318569091,0.999353750647909,0.625582786147572
"ZNF569",0.979800566181399,0.917085001865778,0.968162685172221
"ZNF777",0.913751957650417,0.592699085677431,0.793698098226258
"ZNF605",5.10668054206631e-05,0.840435583111169,0.0194236078572514
"ZNF799",5.22508507816433e-06,0.202935528342818,0.115095341341669
"ZNF782",0.987244472558397,0.973856760297004,0.943436588195439
"ZNF846",0.0142030431866517,0.42637128275826,0.652433145514098
"ZNF136",0.321678317320272,0.167808876080014,0.0147287000612724
"ZKSCAN5",3.37805504124766e-07,0.0913425458952178,0.102222117851822
"ZNF33B",0.263609890781927,0.256913093371254,0.0216362238923901
"ZNF431",0.777267957863291,0.771423338281373,0.984824475376497
"ZNF418",0.885018954088327,0.405107295771284,0.251197360122627
"ZNF700",0.000222270037769423,0.164313508925704,0.438338821927413
"ZFP28",0.0319435222241994,0.732969380460486,0.486934446238669
"ZNF585A",0.999999362353135,0.713779509974779,0.728914221633711
"ZNF138",0.133397123019719,0.179465681721377,0.951180202443784
