"gene","p-adj-DNA_meth_cluster:1-CIMP","p-adj-DNA_meth_cluster:2-CIMP","p-adj-DNA_meth_cluster:2-DNA_meth_cluster:1","mean-CIMP","mean-DNA_meth_cluster:1","mean-DNA_meth_cluster:2","SEM-CIMP","SEM-DNA_meth_cluster:1","SEM-DNA_meth_cluster:2","Q1-CIMP","Q1-DNA_meth_cluster:1","Q1-DNA_meth_cluster:2","Q3-CIMP","Q3-DNA_meth_cluster:1","Q3-DNA_meth_cluster:2","count-CIMP","count-DNA_meth_cluster:1","count-DNA_meth_cluster:2"
"ZNF282",0.744453417030404,0.61685238160464,0.972709861081028,815.234788888889,911.47166,927.251143442623,63.6339442766342,55.7429130185435,32.7931893687624,678.6089,709.908425,709.339575,882.8555,1097.3613,1060.012725,9,30,122
"ZNF160",0.971547436008607,0.933985263805631,0.563137627787197,606.250288888889,637.970776666667,561.897866393443,87.5198994105919,97.1345747257972,28.8134904446172,430.5678,334.1289,374.74435,688.4343,650.55975,678.21055,9,30,122
"ZNF415",0.117530399175864,0.142391733157008,0.873061687199544,189.7116,127.630473333333,135.928695901639,21.9615800052109,16.3737382767762,7.33647451397527,156.7424,48.957475,71.806025,197.0623,203.636,187.32825,9,30,122
"ZNF439",0.982820109683179,0.881335030966207,0.48946782570402,101.182633333333,95.7006166666667,114.641499180328,23.6563833760632,18.3680595896422,6.94417820070871,68.3542,20.773475,59.996075,154.5866,147.76965,145.1665,9,30,122
"ZNF440",0.054364746362883,0.0149392113983375,0.903461642094653,112.027377777778,207.92755,217.395618032787,12.8456811752668,22.6330389382423,9.71293065815668,87.9121,131.199675,142.4267,132.3281,258.58855,266.151125,9,30,122
"ZNF562",0.348813087089816,0.557753793809946,0.677483414148229,258.9211,318.462253333333,299.115142622951,34.4289363436364,24.7864858010318,9.69864827696983,205.0237,210.77095,224.230475,313.2718,393.699625,352.4595,9,30,122
"ZNF561",0.464884488907925,0.998152407752906,0.0913242969473836,510.552455555556,579.132323333333,513.603133606557,61.4266789681566,41.1743427738009,11.4274006360425,389.3636,431.492975,422.214125,507.4688,673.62545,585.2381,9,30,122
"ZNF584",0.0412181417856364,0.00169758549069687,0.349392658410212,215.239188888889,173.825066666667,161.206425409836,16.27864036492,10.4995385545745,3.67399752941096,187.4361,131.2655,127.116325,238.0952,204.17515,182.891125,9,30,122
"ZNF274",0.990249826533934,0.382229631938274,0.115323359237645,393.0639,402.402586666667,477.557062295082,67.8046235973543,46.2832643561638,14.6601138272875,299.6337,222.150925,355.0573,435.7208,498.5782,565.22065,9,30,122
"ZIK1",0.269378023103093,0.993885979986147,0.019931594392478,63.8354666666667,38.4893133333333,62.2706786885246,28.3389144958934,6.89852788316286,3.60892182864409,13.9711,7.341275,30.668825,97.8105,57.03695,85.56375,9,30,122
"ZNF540",0.293894275754686,0.0270323730678191,0.240600566988214,26.9374111111111,57.6099033333333,75.3672024590164,7.88671480290404,11.599172843625,4.77162243024638,12.8068,18.23265,38.98075,19.8036,67.941425,96.607225,9,30,122
"ZNF570",0.528561982184513,0.688528548928016,0.81218321156528,46.5767444444444,58.32377,54.7337008196721,8.38589176580575,5.93024724504854,2.5236783104309,31.8165,38.426025,29.307975,46.2451,74.3797,73.658775,9,30,122
"ZNF57",0.327297026800762,0.395895349904988,0.889207013233616,78.4562333333333,105.180836666667,100.55782295082,5.22035902144458,16.3524523031717,3.15245062503268,70.9736,52.996225,76.3772,85.1227,124.157625,117.114075,9,30,122
"ZNF556",0.0817498642546223,0.142875057912763,0.697910219536538,0.686477777777778,9.27513333333333,7.54833196721312,0.50504864336071,2.15376077007645,0.948194969747648,0,0.40035,0.48295,0.3834,13.9345,10.616625,9,30,122
"ZNF554",0.593755301011808,0.993154618609132,0.113734730576681,117.9139,102.949706666667,119.470966393443,13.7638073550809,7.89073824539452,3.58645674551986,100.259,66.515675,88.238625,119.9185,127.882825,139.9984,9,30,122
"ZNF738",0.81891575169049,0.77498920657379,0.0619041876869277,143.147377777778,160.59805,125.227352459016,27.8864908979329,23.0935169447612,5.18880549882252,94.3048,83.8112,80.65605,213.0506,171.403175,160.06645,9,30,122
"ZNF596",0.00715564531452506,0.00544360996411797,0.926352980698687,30.0131111111111,92.7905133333333,88.6998327868853,3.99818347094598,11.3661911224794,4.83369387574051,20.3478,56.600675,50.423,41.0256,107.8272,111.1302,9,30,122
"ZNF621",0.763735101483919,0.585431486131528,0.927709268231087,637.605622222222,753.422473333333,786.156766393443,105.535401065,113.307144449209,34.8787647849724,460.1586,380.3546,562.0512,596.6258,787.70385,920.58675,9,30,122
"ZNF680",0.0099103980536922,0.0117108835427738,0.821093811844008,118.038377777778,216.160333333333,205.51817295082,13.8074009703812,19.8205912231382,7.5757188140216,104.1494,154.061825,145.8284,142.4187,247.355425,255.852475,9,30,122
"ZNF483",0.00655377183795469,0.205722655021066,0.0125794636010134,10.7976777777778,31.03245,20.9413090163934,4.28678904503183,4.84011094670918,1.30280727214292,4.0925,11.702625,11.528825,10.7362,41.9649,27.645575,9,30,122
"ZNF417",0.708720030303127,0.915913092881807,0.703856663095345,104.798666666667,123.618396666667,113.426395901639,18.7283056373086,16.5514265512052,4.90132212848794,77.7483,64.301925,78.082625,104.7672,147.134775,141.71735,9,30,122
"ZNF791",0.889623338787607,0.384167710908061,0.351681387785742,207.783855555556,192.307756666667,167.385872131148,34.1930442113723,14.8767372822457,8.05074354227498,155.9239,143.3415,94.575375,217.2004,245.4536,228.13695,9,30,122
