"gene","M1-M0","MX-M0","MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX"
"ZNF670",0.999831615160084,0.10196581928609,0.660384054100121,40.3229060606061,40.2306,35.3943483333333,1.15268389677773,5.01013604840782,2.14469206985656,29.455,31.9132,25.584575,48.828325,43.34125,41.359275
"ZFP37",0.996305077991645,0.433860918057083,0.814561405230132,51.9701601010101,52.72259,46.815715,1.97579791960836,10.4703729434422,3.77935329977183,30.225375,32.343675,25.835025,69.23655,69.174225,61.023125
"ZNF189",0.973673331385775,0.323325339678684,0.911008963981523,535.481172222222,517.60714,482.391733333333,18.1650076070695,71.2435978225556,30.6401463165013,367.415425,389.64565,324.75335,609.829075,583.305675,569.44885
"ZNF434",0.342703942114298,0.663979639496342,0.206987953101964,308.898699494949,346.87835,298.246708333333,5.99149429805827,24.1968768352734,10.7003512783228,250.898775,281.273925,247.771125,356.07055,386.912025,333.6252
"ZNF287",0.571586917294102,0.916410592072745,0.496733469404156,174.53182979798,150.11503,178.909676666667,5.35091479157736,24.3998935246541,9.29265266754915,123.9318,105.865075,123.013225,221.319325,176.773625,238.506175
"ZIM3",0.0012575953872016,0.903380929625039,0.00124305590463192,0.0700782828282828,0.63715,0.039005,0.0255731751550336,0.63715,0.0227491548765854,0,0,0,0,0,0
"ZFP14",0.545934590391937,0.442013070227366,0.28168690952275,158.296605050505,179.22876,147.234251666667,4.31050294100729,28.1256153298819,7.6330561248352,119.2117,119.771125,111.71745,193.31555,183.23305,178.8306
"ZNF473",0.00978397226224947,0.0984365955549615,0.000799472963082692,173.729490909091,225.23483,157.287241666667,3.96606105191794,22.8129175101206,5.59192075684029,136.745875,192.470375,128.8042,201.170075,256.886125,182.440175
"ZNF614",0.998189381134806,0.197373739244067,0.703899158770978,145.579620707071,147.32529,121.684523333333,7.03942384085479,19.5680609849227,10.2408102425955,86.0526,109.31235,74.905425,178.6068,185.9207,147.940025
"POGK",0.2605867410167,0.5034513839,0.121140557923287,1396.89850707071,1670.23314,1308.33727,36.1407988838005,250.337283205378,74.9741638866559,1091.31355,978.19985,949.00695,1577.095025,2281.15285,1410.976825
"ZNF514",0.319598172182007,0.725016183508535,0.206822492960105,261.347279292929,339.97148,242.425176666667,11.4464385625228,103.094196640173,19.9245258160005,149.744625,129.596375,132.078475,334.892075,413.0081,324.62
"ZNF300",0.586097154370028,0.642682340721367,0.847074892789419,216.347167676768,281.57056,243.314436666667,12.4635601654708,93.0436835583447,34.4070918364048,95.5797,128.93505,110.8452,288.65955,295.307975,262.24515
"RBAK",0.835861245771843,0.121554166548494,0.948843075196344,494.206851010101,458.29037,437.816223333333,14.3874482117401,40.8175121869198,22.352657330962,349.232925,350.099175,345.59065,647.971275,560.6878,521.145925
"ZNF92",0.997990273146002,0.0459007138389933,0.593746421249219,177.321819191919,175.7221,148.530633333333,5.98050874198819,19.0245942819172,9.82145440842334,112.8953,135.349325,104.958925,225.201225,220.074125,188.795125
"ZNF157",0.995778251938038,0.76021379917527,0.920523420374251,3.17588585858586,3.25718,2.87803333333333,0.200745954881492,1.06810853181375,0.375027324862598,1.0112,0.184975,0.793175,4.253575,5.09105,4.23615
"ZNF182",0.0638464256237063,0.740282512841329,0.164216309087951,197.632752525253,263.72855,207.478841666667,5.80852855174928,58.0058555185734,12.407479604932,140.28085,161.79275,143.21695,236.9947,233.77715,245.893025
"ZNF673",0.528232765289624,0.242334433308403,0.942457373846894,185.944300505051,207.25635,200.427311666667,4.09378421827354,19.6655564124365,9.15176531586147,151.01935,166.186375,160.741475,213.661575,225.419925,225.062625
