"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T0","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T0","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF490",0.945310569538651,0.673388224373503,0.972906508974722,0.565637217803628,0.90081190478804,0.701619801318691,0.638128428323956,0.955454051771994,0.998742492463588,0.981364833734887,0.827157740077542,0.99170397625462,0.999907866774354,0.999999757414231,0.999979891174479,322.3429,241.2798,206.51328515625,193.906537073171,201.784317460317,188.4328,NA,57.8754046132149,7.2442610824846,5.01283934603154,10.814855529437,NA,322.3429,185.13325,150.23145,144.3433,144.03945,188.4328,322.3429,281.51225,247.8773,231.1003,240.08585,188.4328,1,3,128,205,63,1
"ZNF626",0.726260005707642,0.960468389201009,0.767102727828567,0.996069240137024,0.393599089945412,0.0351765270195169,0.980518373484537,0.648458764705944,0.967430775414673,0.676243890095221,0.933535901128283,0.999891305744426,0.996192588018529,0.960755068622891,0.98959988192647,45.384,1018.57753333333,550.68974453125,348.283113170732,476.650325396825,851.99,NA,420.540540556402,63.3666562290262,37.9022291709791,64.9322358266278,NA,45.384,779.1919,56.998325,20.9797,52.3287,851.99,45.384,1437.7059,802.5617,430.0669,884.6205,851.99,1,3,128,205,63,1
"ZNF793",0.999993777554287,0.999996771084577,0.99999985578,0.99891447899377,0.998767363859779,0.171873164568984,0.998026260484351,0.996893950987486,0.30202056514914,0.999094799347208,0.881319325698811,0.676174925680926,0.554197863779581,0.382029198593592,0.356933831842703,194.7246,173.264033333333,178.368659375,141.655703902439,134.310401587302,409.204,NA,18.6765882755509,14.1435868697259,8.82407287389075,16.0077338412911,NA,194.7246,159.43865,88.155125,57.1767,52.36215,409.204,194.7246,191.05125,221.578825,172.1891,173.45865,409.204,1,3,128,205,63,1
"ZNF383",0.999972856932533,0.998874626357799,0.99963742004413,0.999784774641119,0.999997164159567,0.919496186802201,0.998198234693628,0.999052690440034,0.999804956896979,0.89439468015291,0.999286716811764,0.999866878214888,0.999997822247034,0.999927299853448,0.999999802453575,81.0706,89.6026333333333,96.9001109375,92.3317726829268,98.5947253968254,101.3682,NA,16.4994924635409,3.62041399511831,2.7971233714262,5.41590397573364,NA,81.0706,73.8511,69.699625,62.7279,74.41815,101.3682,81.0706,101.73185,116.227775,110.9208,117.3,101.3682,1,3,128,205,63,1
"ZNF669",0.902752447413738,0.992582072105041,0.891254755382682,0.984517313542573,0.944452257207708,0.949660249520015,0.974268889272664,0.975767713546833,0.832506038934369,0.991119055676522,0.990168880810547,0.999700350462045,0.999740735654016,0.999968292637042,0.999998559286021,110.9387,62.0708333333333,87.5192671875,83.4711087804878,79.9771365079365,75.8706,NA,7.41295429216839,3.82085138138456,2.82562367151475,4.46033946046224,NA,110.9387,56.0584,57.029775,56.9201,55.0583,75.8706,110.9387,68.8323,102.161925,99.7347,95.0286,75.8706,1,3,128,205,63,1
"ZNF559",0.93222385619646,0.71428211558083,0.993546080721702,0.547291024468498,0.917767687391151,0.209959490903802,0.680996514921598,0.986805569272824,0.998891602952242,0.750103614808369,0.998593566310202,0.99749747275684,0.957709593767086,0.878632274471683,0.94491258280495,516.0473,355.021866666667,307.29011796875,269.907776585366,298.606236507937,432.2139,NA,92.5869647067436,13.7600500499095,9.23022203894961,21.2698810889781,NA,516.0473,285.79505,180.9681,179.6307,207.1956,432.2139,516.0473,442.87995,375.1399,338.0448,375.66815,432.2139,1,3,128,205,63,1
"ZNF177",0.996975565429594,0.987491041879233,0.999981153873742,0.903323045127985,0.957195814453325,0.00616691380571921,0.939608655796928,0.986926962170775,0.428158274188372,0.972076150493159,0.991776788009899,0.838714874001661,0.681375539823673,0.420819767683624,0.498329644013948,120.8805,86.5745333333333,80.42672734375,55.5787434146341,62.5293873015873,172.8856,NA,6.34458621144393,6.53780871475136,3.96324006722345,6.99357493609943,NA,120.8805,83.11545,36.9698,25.8541,27.63965,172.8856,120.8805,92.9102,107.057125,65.3801,74.112,172.8856,1,3,128,205,63,1
"ZNF548",0.997411897276369,0.999998286645418,0.978073697735742,0.999989294131302,0.986622638418096,0.998505084562658,0.999999960664282,0.964594165296387,0.999219151769933,0.981407902074368,0.999222584715916,0.999999999402524,0.998664023141648,0.999254694876423,0.997571255680484,238.557,184.062333333333,227.8414375,223.100509268293,233.504333333333,186.5672,NA,20.5061869347061,9.47390365566893,6.98536330459432,12.9471028922763,NA,238.557,165.19595,160.06295,155.277,173.739,186.5672,238.557,200.45415,261.8195,273.7401,268.2378,186.5672,1,3,128,205,63,1
"ZNF563",0.981057028111856,0.571336074271146,0.712366211085438,0.585623270419989,0.7336591081001,0.999940234218226,0.612553094982678,0.777962028996938,0.999159131770401,0.999924384871231,0.374013736800364,0.545933106514209,0.879730854104625,0.869054368381806,0.857763938435951,106.2839,81.8029,56.85942421875,57.5774297560976,58.5402793650794,23.6318,NA,1.67320441966903,2.41541546926671,2.21688776657532,3.7470702668999,NA,106.2839,80.94375,38.408925,35.4982,38.3749,23.6318,106.2839,83.4759,69.056375,74.604,73.8593,23.6318,1,3,128,205,63,1
"ZNF567",0.999985918966568,0.999999980682642,0.999888482979374,0.999999999954484,0.999422486578688,0.996501824500398,0.999988551551368,0.999999953664111,0.979299921653525,0.858249415354881,0.998853597672403,0.988383563835963,0.99171331292832,0.994711360897189,0.982207039387915,135.7642,149.536433333333,138.9597375,134.812848780488,147.295515873016,94.5274,NA,7.10245883393757,5.59014268043716,5.50791889014585,10.7429286252374,NA,135.7642,145.63105,94.73815,84.9146,97.21165,94.5274,135.7642,156.6267,168.476925,164.3754,167.48355,94.5274,1,3,128,205,63,1
