"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF175",0.344093688627737,0.245945728301705,0.139727979752005,217.26032985782,327.362790909091,177.382676076555,20.1222256981209,108.891474291783,14.0695920996329,82.7825,111.143,74.6304,211.2319,307.2859,197.3553,211,11,209
"ZNF14",0.995413544813899,0.00155646699126577,0.571575721772045,187.418497156398,185.023054545455,158.548016746411,5.96535298807954,35.403239686648,5.60291062674817,129.56135,130.64325,101.1743,240.67875,185.4983,207.4002,211,11,209
"ZNF85",0.511993792252939,0.0750701100115897,0.909498800853047,150.522316113744,117.268945454545,129.76756937799,7.16402103503352,27.5165795156413,6.25517329733687,90.3539,61.2313,69.4311,194.44645,162.72145,176.6695,211,11,209
"ZKSCAN1",0.327952271203476,0.00818897450215517,0.87980320209993,585.696131753554,443.046163636364,491.258153588517,22.8701740523546,59.9584886180162,22.0581053796524,341.3447,285.43675,256.8902,743.0236,550.7601,620.2703,211,11,209
"ZNF862",0.87618147255616,0.0185457504652052,0.92783037352774,475.539636966825,425.253736363636,387.396798564593,25.2601111796831,59.8095721922021,20.6235806529474,251.02035,259.88755,201.918,585.5466,573.55545,512.9127,211,11,209
"ZNF684",0.950809623134932,0.861243612117993,0.886907298586646,51.2052734597156,47.6140545454545,53.155995215311,2.05823619799412,6.54780768388604,3.1747218303349,33.3072,33.05865,30.3523,61.69135,62.006,59.1716,211,11,209
"ZNF430",0.802774732317044,0.00173560433534392,0.890342254359955,128.013227014218,114.064063636364,103.922042105263,4.78647716534576,25.3169079581154,5.02231446936905,76.0709,44.24075,46.9236,170.4508,154.0953,138.7788,211,11,209
"ZFP30",0.678106189703428,0.00327414347808319,0.147713279429762,199.515087203791,230.299963636364,161.662736842105,8.99005896604519,36.0626330442071,7.24245572438371,125.5769,149.35795,92.1684,244.24985,326.1795,197.947,211,11,209
"ZNF549",0.785221202886188,0.00053313133030386,0.857362060056348,175.180590047393,156.123636363636,140.920538277512,7.22066168727709,27.0298973796299,5.4881465182275,108.72055,86.37965,89.5382,210.55315,229.59485,171.3424,211,11,209
"ZNF211",0.321949695085701,0.0144595990738677,0.844999325148047,432.659915165877,297.228527272727,349.29504784689,23.0202058561099,52.3144082355575,19.1053066382559,204.9077,166.9501,175.2351,535.3196,337.8345,468.8797,211,11,209
"ZNF205",0.813620231382041,0.126087077145444,0.99999385335427,408.882003791469,369.514418181818,369.299597607656,16.0428226808137,32.168886012944,12.6852058644165,263.7343,325.0758,259.1221,465.20325,414.53745,428.8262,211,11,209
"ZNF45",0.836337689088046,0.718570115845576,0.943437927182503,241.568916113744,222.397245454545,233.338449282297,6.83686969925495,33.5233235911178,8.12979080339933,176.0969,157.6482,158.3697,284.69785,263.9935,272.8346,211,11,209
"ZNF133",0.458775625596375,0.634431170460134,0.302327196514423,472.33621563981,555.134045454545,452.390169856459,17.0271701623097,60.0804708561403,13.866198566543,334.729,426.4896,313.001,549.28495,708.04395,529.8185,211,11,209
