"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF605",0.812961214768113,0.999606239954082,0.815156636054841,0.965603788056229,0.827684829501124,0.980007565957724,0.751404417255348,0.404311597789504,0.881336815854497,0.999997945014583,392.960594,364.015831372549,397.478476829268,433.7280625,430.015480555556,10.8980771761237,21.1124664377054,19.2543565208995,96.4850323543093,30.1927770252864,263.5226,251.949,295.608825,217.02555,299.158075,479.74305,459.54615,466.95755,586.7113,511.96015,250,51,82,8,36
"ZNF799",0.421534721446405,0.876025833700329,0.195844394233767,0.950936107967392,0.641242275992458,0.995799644687664,0.972734673464082,0.423474928273721,0.99999739964757,0.995343453899534,174.427996,143.220315686275,188.72417195122,205.0938375,187.352591666667,7.92195261583916,9.75166885443471,13.3324025094467,55.7859897974423,17.0763392980869,89.460225,83.9337,104.505425,103.8948,119.119825,226.468875,211.5449,259.74435,221.0652,265.05585,250,51,82,8,36
"ZNF782",0.376800948525541,0.898317792266671,0.893534314858257,0.834753390341648,0.427696021684912,0.678879378955251,0.974323237632567,0.396494196506968,0.801555604180982,0.959991601059164,36.0302724,29.0307901960784,33.13925,45.536125,38.7632138888889,1.80093014991546,2.33570898364594,1.77219090181501,13.5059327071179,4.40023861265185,20.6581,17.5188,23.65145,26.61175,18.28815,42.627975,38.3562,41.008725,45.007325,56.29755,250,51,82,8,36
"ZNF846",0.600329545951891,0.999963717329538,0.676815679698823,0.768415198271377,0.442356090357094,0.808565972674362,0.466290133172999,0.12575056609342,0.628283862465449,0.997647575982029,124.5461176,104.682625490196,125.82931097561,162.20705,150.902747222222,5.47552585717425,8.72826133643177,9.66215998738054,76.2438078735274,17.4147116697611,61.883,62.36015,65.769475,69.6142,87.563175,164.87615,120.1444,169.17145,117.046875,183.68055,250,51,82,8,36
"ZNF136",0.182528796948854,0.998565108485702,0.223456665946225,0.992468071445427,0.691456052161342,0.997579427699319,0.969963251146585,0.235941649831018,0.995485321880125,0.999963311941646,157.1596208,133.536649019608,159.692118292683,168.116925,165.031333333333,4.45103640669614,7.5933129336864,7.31490110239834,36.6349279186239,14.2104061355648,106.72305,94.4945,106.8583,103.21985,99.8168,196.9828,164.4116,217.735975,179.801175,213.4459,250,51,82,8,36
"ZKSCAN5",0.83825903003231,0.926001947357358,0.579594970362071,0.996250746118402,0.941137483859361,0.999993610881663,0.824653647285119,0.496053267436417,0.992839085095124,0.999882553551787,326.6444608,308.95387254902,338.163109756098,341.159525,347.720347222222,6.75390325478394,10.9471203819373,15.2589783685137,34.0642733866371,18.8927908500237,253.565125,267.19395,255.36465,269.4084,264.37135,374.8555,359.1354,378.5948,382.84295,398.060125,250,51,82,8,36
"ZNF33B",0.206661037189767,0.850510201320586,0.796204506574243,0.613198253160113,0.989084926928606,0.840172605390782,0.998557445201739,0.706968853265336,0.99513323664658,0.764237561214939,660.4273452,547.452350980392,616.167313414634,484.5320625,642.950880555555,23.6216550216922,33.5304440422019,33.5480165088928,71.0838638568581,60.6144307018479,402.932875,404.3807,412.91565,441.07055,419.61415,806.5466,663.69125,725.85785,600.15425,822.09565,250,51,82,8,36
"ZNF431",0.208926487743537,0.999938035478142,0.30418375270448,0.459563293778699,0.109506186531209,0.520056309215031,0.204226052823178,0.0105829536585944,0.358642312233194,0.982035074089585,182.488432,143.001252941176,184.463762195122,254.4263125,228.547927777778,7.2934613196886,8.85969693959414,10.4357487158835,83.5241590664287,34.651982624332,107.729275,91.1637,97.196125,92.18675,124.64,225.7169,184.5718,230.4185,327.282475,251.923175,250,51,82,8,36
"ZNF418",0.726683924672266,0.55790619837777,0.999999999720132,0.999797926130068,0.96363952093997,0.959442127483339,0.416192994837765,0.983031122948234,0.977500563244138,0.877644107014896,61.4134948,76.3179549019608,76.4004292682927,56.5544625,85.5089472222222,4.02926528446037,12.4170877150508,10.0825312348621,24.9125642165536,19.1135005278478,10.51035,15.78115,12.527375,12.5396,5.394825,91.420525,101.8099,94.6693,62.5467,139.4253,250,51,82,8,36
"ZNF700",0.285298022070163,0.991020456687339,0.649364476413813,0.850948531504327,0.406151656566592,0.787426995036945,0.937619402280683,0.25740300226792,0.863348407295136,0.978792421191372,384.9404724,309.176725490196,370.353792682927,475.953425,419.633008333333,17.6115620050742,20.2626708417089,19.9289297118077,145.301833519032,43.7527051337689,229.213125,209.9435,227.111925,189.905925,268.806125,434.597625,402.58785,477.664325,562.134375,538.007475,250,51,82,8,36
"ZFP28",0.691797270906499,0.99999617203556,0.771234022223912,0.0449955572962079,0.0150403583152212,0.059888139669795,0.968939042761641,0.99482858210069,0.973675030842012,0.0375172627444703,110.2261968,90.3520392156863,111.03787195122,209.5640125,98.9206972222222,6.22975960688252,9.69340734362787,11.0754514551216,88.3896168254597,14.7587979485031,22.579875,35.18715,32.224825,52.4344,22.245475,168.4558,153.446,159.30445,289.198,142.299825,250,51,82,8,36
