"gene","p-adj-cluster 2-cluster 1","p-adj-cluster 3-cluster 1","p-adj-cluster 3-cluster 2","p-adj-cluster 4-cluster 1","p-adj-cluster 4-cluster 2","p-adj-cluster 4-cluster 3","mean-cluster 1","mean-cluster 2","mean-cluster 3","mean-cluster 4","SEM-cluster 1","SEM-cluster 2","SEM-cluster 3","SEM-cluster 4","Q1-cluster 1","Q1-cluster 2","Q1-cluster 3","Q1-cluster 4","Q3-cluster 1","Q3-cluster 2","Q3-cluster 3","Q3-cluster 4","count-cluster 1","count-cluster 2","count-cluster 3","count-cluster 4"
"ZNF132",0.989595452326003,0.768000645498232,0.889979944908076,0.203921086369923,0.265840811543938,0.633723120970467,64.6964708333333,73.7715264705882,92.2397128205128,123.967543333333,8.04891662162463,8.30856849701747,10.8800514962675,37.0095713287211,36.405025,40.917425,48.2412,34.062625,79.6107,96.024675,117.65595,126.8232,24,34,39,30
"ZNF20",0.607960424860203,0.000351757950445175,0.00958886610731313,0.00190266435235986,0.0370498574757753,0.992426670441385,80.7788,97.0409382352941,134.128874358974,130.780253333333,5.20952967219412,7.59881874577028,9.03827468489376,10.7640596569247,60.9528,65.7162,92.93265,85.876125,94.048775,121.1692,164.85425,169.493075,24,34,39,30
"ZNF670",0.984094116241266,0.0055579194270271,0.00656136455819256,0.0377707214885035,0.0526983418753789,0.949978867904336,63.4375916666667,67.5725647058824,101.169264102564,95.5396866666667,5.27866023486814,4.03419356160257,8.92903486724284,9.4614523276884,40.540875,48.454075,56.46025,52.8192,79.23855,77.16765,127.827,112.278325,24,34,39,30
"ZFP37",0.97073491532749,0.911248798600669,0.605516191725342,0.996491336283422,0.995261911761705,0.778524854292763,44.2915083333333,38.7855764705882,52.2829102564103,41.5554033333333,6.45844052190035,5.57128330656709,7.55564537497353,11.9456091211258,19.522725,11.998675,14.8976,2.114725,63.047025,50.796175,79.05185,48.565825,24,34,39,30
"ZNF189",0.282286000876171,0.452398557026215,0.97842420493679,0.618124870850814,0.938567783731449,0.996679963401925,342.7500875,285.955582352941,297.082425641026,303.164506666667,26.5008504291511,16.1107202117052,16.5800168361983,27.3894655866439,276.15105,221.6859,223.69605,207.921875,377.4401,343.990525,332.96755,323.604175,24,34,39,30
"ZNF434",0.965485350159874,0.621329583685205,0.245152542262556,0.390331533646623,0.119758986884752,0.959994302578508,264.2131,253.179891176471,291.861851282051,302.451053333333,9.74655436247727,10.5902365397076,17.2502075236369,19.5920167325096,235.85415,219.8398,211.02445,217.8558,288.167525,290.0859,357.2667,383.191975,24,34,39,30
"ZNF287",0.972842015823735,0.200340583762551,0.0408651289225387,0.657480120218083,0.317502613322456,0.846187167063513,94.0172416666667,86.3987529411765,128.0231,114.89787,11.8561216534196,6.1568717914961,11.9922413479982,15.3354996396237,51.623925,66.35525,76.23345,73.573175,121.33275,109.17995,158.4987,136.974025,24,34,39,30
"ZIM3",0.992037242727075,1,0.988421899048741,0.475238001311641,0.579854512456205,0.367243369421559,0,0.0456558823529412,0,0.238916666666667,0,0.0271680631918569,0,0.225232212028495,0,0,0,0,0,0,0,0,24,34,39,30
"ZFP14",0.613197329190244,0.0318265730078119,0.338607432864359,0.00365867239657469,0.0621309568205011,0.764684783433808,119.210941666667,161.990514705882,213.689756410256,244.70007,13.9048227637448,14.3911528176095,18.9230794241138,37.8431713525971,61.2019,107.7018,138.6541,119.57315,154.714,208.019225,288.89715,274.092125,24,34,39,30
"ZNF473",0.814851028068038,0.0788257819490841,0.341913636896684,0.223415205400537,0.649315101340425,0.975908423453132,266.178408333333,301.494355882353,360.56371025641,345.426423333333,28.2005825734362,20.6003658425924,28.5554877734858,27.5199383214286,192.3763,220.693775,239.7548,237.123875,286.5503,379.92665,416.69005,394.0339,24,34,39,30
"ZNF614",0.999708481730623,0.49074116260094,0.46372594186866,0.110755375486788,0.0857975616306916,0.723140743764495,219.9377375,227.443264705882,331.0488,407.734393333333,18.3506214281478,14.9209173565285,31.4243647710403,103.52868479326,160.520425,178.592525,197.7512,198.1896,259.9216,261.73735,408.9802,381.456475,24,34,39,30
"POGK",0.842895168783501,0.0155247662358621,0.0794962508524094,0.172409226887954,0.517903303668274,0.796273505435993,1859.80305,2440.11807941176,3936.68591794872,3349.13904,217.340847061833,317.839670180842,570.769239256791,520.374327953203,1201.32815,1538.231075,1993.2334,1794.39405,2110.71585,2615.46,4177.097,3601.2472,24,34,39,30
"ZNF514",0.152806976163352,0.0197454962246217,0.829276851228221,0.00410666575791419,0.425091608859898,0.876159040793599,171.546820833333,243.9361,269.556328205128,292.919506666667,20.1198606073367,20.125586528614,17.7581629654704,31.6990642542668,106.138025,162.472825,167.82175,174.700225,241.538525,290.47755,343.67305,354.499475,24,34,39,30
"ZNF300",0.997695153916205,0.00334628150449578,0.0019406350452067,0.0253068480098946,0.0208679174839507,0.950194488250715,94.6487208333333,105.211667647059,288.922433333333,261.256266666667,12.6958713758118,14.5646032105499,36.4311930219906,61.3115796109096,65.269325,27.098325,89.41955,19.3154,122.73975,161.506375,410.5438,315.267125,24,34,39,30
"RBAK",0.438900517327318,0.536834257452554,0.996144306673956,0.146176827441051,0.880449296135115,0.76220178822003,464.783325,538.040038235294,528.536494871795,571.961386666667,28.52875230246,25.7533413461953,30.2874863802926,42.3270199939137,370.313875,435.768775,405.7905,427.31885,584.44075,643.37375,637.1896,643.932825,24,34,39,30
"ZNF92",0.887302370200332,0.00937100276852398,0.0375496758964751,0.0584387070540392,0.190299303316233,0.946153507980254,191.448833333333,226.443094117647,341.912533333333,317.66252,15.8203336895537,22.6022436500586,40.9261715710715,31.2213190992266,138.878125,150.31915,171.3152,208.940675,238.00385,257.20285,384.9239,384.51505,24,34,39,30
"ZNF157",0.999856528162161,0.941913335138057,0.893128996262464,0.862919763199163,0.865335294444071,0.44924257820208,1.85725,1.79077941176471,2.35517692307692,1.13215666666667,0.540928410804925,0.509763908301095,0.732688810792835,0.435177921750319,0,0,0,0,2.399625,2.338475,2.657,1.036625,24,34,39,30
"ZNF182",0.884794594991472,0.0933485156982392,0.295494868607771,0.126114295689629,0.360473638492116,0.999999089702923,142.631058333333,163.280552941176,207.190497435897,206.84001,14.259706904754,10.4390667879297,14.5633529274398,30.9793849246512,102.480075,129.6255,151.85465,129.679525,161.9349,214.860075,255.212,222.199675,24,34,39,30
"ZNF673",0.98715494367603,0.867011523829345,0.607546146321468,0.979429231091321,0.861667283014752,0.980917285331621,188.622754166667,181.410605882353,204.866397435897,197.337256666667,23.2951345238284,11.6221676410974,10.2093143075248,15.3035854471793,134.833275,133.9101,171.1335,141.763725,212.91455,214.5251,235.16265,212.71175,24,34,39,30
"ZNF41",0.832832825015453,0.095323839959892,0.369099942136774,0.436045793684672,0.876932816046875,0.85597266891223,222.3620875,249.540861764706,295.508294871795,272.176333333333,13.2849878897147,19.1313226311704,17.424618148574,30.9300591048275,173.29865,183.568375,223.32855,190.827075,260.196225,294.832475,350.7378,301.2432,24,34,39,30
"ZNF7",0.691589379686576,0.0735781379136942,0.465209992089483,0.0482404536048583,0.330971061648396,0.986654535975688,402.4083875,456.294388235294,519.33908974359,534.44767,34.8514130139084,17.5086599520322,33.0707428109031,41.9996648695615,308.624925,395.638975,356.77115,388.2397,433.689075,530.9007,622.61535,664.385175,24,34,39,30
