"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF573",0.22890755554385,9.97208267716535,8.21582285714286,0.710740892333038,1.00380595022092,4.7396,3.92835,12.6075,11.95545,35.9721545454545,17.0520721621622,34.4186,14.8532,27.7974,42.24435,9.86955,22.31935,3.91336235585819,0.556669720253035,0.474035330316818,0.431545733992667,-1.07693350628416,-1.21241463465324,"UCEC"
"ZNF527",0.150385580625267,108.548620472441,93.2129142857143,5.20670410050894,7.13620115756598,77.79915,66.14975,124.681,110.80435,144.023345454545,101.862362972973,136.4205,92.78245,114.5547,168.31595,72.72095,118.452025,10.9231067714386,2.72911768701342,0.707262858333764,0.680121022866798,-0.499681594229814,-0.55613660800308,"UCEC"
"ZNF33A",0.901805021408574,1180.50612913386,1169.01566857143,43.0047623627383,83.8223691575205,832.4993,823.9316,1432.43335,1502.1399,1300.18550909091,1095.43233756757,1243.1907,1025.47795,1012.663,1542.78415,810.930975,1384.310875,95.830692341734,22.192759912232,0.842520032647876,0.824875821545319,-0.247217105141053,-0.277751145377394,"UCEC"
"ZKSCAN3",0.308104623726261,76.0856165354331,68.3577057142857,3.604979456539,5.99907067613753,47.43775,39.82335,100.2163,87.64,84.7787545454545,73.9442064864865,79.8046,66.51255,69.7934,103.0642,50.7246,89.61625,7.57311477150781,1.80685012098035,0.872202085097168,0.833442558449012,-0.197265655538987,-0.262845323985739,"UCEC"
"ZNF676",0.66120376537138,5.0636937007874,3.52524285714286,1.78422097592432,1.57639906780599,0,0,1.60515,2.34945,63.0238,4.30101783783784,51.4641,1.1495,41.6597,64.2677,0,3.2279,11.6180522334778,0.963521350948921,0.0682443432137992,0.0223359584642498,-3.87314672404442,-5.48448802593492,"UCEC"
"ZNF699",0.447759749195086,9.71210866141732,8.36998857142857,0.823624802439272,1.53360697809336,3.11465,1.8844,13.2026,11.242,40.2333,13.310577027027,37.2671,11.0776,24.592,53.931,5.275075,18.32985,5.7322161659265,0.55456602005715,0.33083483152083,0.297248779754797,-1.59581696008508,-1.75025720735652,"UCEC"
"ZNF250",0.418345502342633,334.463185826772,361.4222,14.5039215374427,35.2684127714891,230.32785,197.73955,389.6687,472.9643,340.022418181818,337.501446756757,363.1433,296.23375,311.6075,387.06065,237.47035,406.48695,20.551651577582,7.79041390519507,0.992585867018588,0.815748906836502,-0.010736181988532,-0.293802945886329,"UCEC"
"ZNF79",0.00204039228193453,100.662364566929,79.01956,3.34385468586359,5.03863207678567,81.55025,56.4975,112.4162,96.15205,121.975763636364,101.989054594595,122.9642,100.6563,101.4599,137.67785,74.470125,121.347875,6.33327353887635,1.85322244397868,0.836141964223698,0.818582156432523,-0.258180184048165,-0.288800875830384,"UCEC"
"ZNF681",0.715712093794466,149.861266929134,156.370051428571,7.80544593556622,18.8384302438622,87.51225,88.675,204.36985,207.23765,107.670663636364,144.793768108108,96.3705,132.01225,76.98735,136.32045,84.3157,191.622,12.8331260613183,4.61788689993615,1.34478383635788,1.36984087454148,0.427374289304156,0.454008314468167,"UCEC"
"ZNF766",0.166088311219753,475.3106,438.237157142857,12.3748219257522,23.675299847884,390.9263,361.3218,542.2352,554.80745,422.180990909091,412.181826486487,418.1118,401.14045,375.1928,449.86515,333.823425,472.2438,27.9784856255252,6.57058528376316,0.976315455603359,0.959409540701793,-0.0345807250680832,-0.0597813086159155,"UCEC"
