"gene","p-adj-Mixed serous and endometrioid-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Mixed serous and endometrioid","mean-Endometrioid endometrial adenocarcinoma","mean-Mixed serous and endometrioid","mean-Serous endometrial adenocarcinoma","SEM-Endometrioid endometrial adenocarcinoma","SEM-Mixed serous and endometrioid","SEM-Serous endometrial adenocarcinoma","Q1-Endometrioid endometrial adenocarcinoma","Q1-Mixed serous and endometrioid","Q1-Serous endometrial adenocarcinoma","Q3-Endometrioid endometrial adenocarcinoma","Q3-Mixed serous and endometrioid","Q3-Serous endometrial adenocarcinoma","count-Endometrioid endometrial adenocarcinoma","count-Mixed serous and endometrioid","count-Serous endometrial adenocarcinoma"
"ZNF561",0.887052220460675,0.159300208598131,0.870607488045082,748.995594285714,706.316925,658.554036206897,25.0864158480944,77.3410068118529,48.6991821317874,568.8261,479.450925,409.708775,875.7885,966.3633,787.12245,105,12,58
"ZNF584",0.649349002103022,0.978232573010041,0.606164806457212,217.640145714286,196.636633333333,220.180915517241,6.93925364947162,17.1650990962341,11.9778450746722,167.8347,154.6645,145.6954,263.7563,246.668325,274.2558,105,12,58
"ZNF274",0.620977499544565,0.00053603777858513,0.529437619878957,328.057462857143,374.63975,430.690901724138,15.1958575946574,53.4091453592617,22.8852214510833,221.2068,238.1439,320.657,405.4807,519.965325,513.157675,105,12,58
"ZIK1",0.913786051024892,0.000319161604831364,0.225631289412219,16.543220952381,25.2905083333333,62.5326327586207,3.54957639685128,18.8492290618953,14.3570178704395,3.1332,2.522275,4.64665,9.9368,9.927675,79.76995,105,12,58
"ZNF540",0.81993085518716,0.384796873181676,0.420219371457572,43.076900952381,35.775825,51.7053396551724,3.79768898471304,7.21698467943509,5.74990001297581,19.6943,18.807725,22.357575,52.3969,41.514975,61.83005,105,12,58
"ZNF570",0.860910991378678,0.0639436214378727,0.220367948883992,40.6525504761905,35.7952833333333,51.9646086206897,2.53525752466494,5.48209023973898,5.11484901219909,21.5401,21.851425,30.554475,55.0688,47.608,60.9174,105,12,58
"ZNF57",0.981137295433876,0.000344692634755006,0.155168250236643,125.163571428571,122.877708333333,99.1381879310345,4.05592971952212,17.325414326715,4.29200910878197,96.5431,76.708025,76.2977,142.5474,142.257675,125.0772,105,12,58
"ZNF556",0.991606445077269,0.924634003567161,0.996842276253165,14.01458,14.8545083333333,15.3899482758621,2.52645797917869,4.95459373534725,1.94636976303269,0.8803,1.165675,5.1228,16.7856,30.75405,19.9575,105,12,58
"ZNF554",0.775130869446423,0.19605648794533,0.271384347818133,143.272554285714,153.400041666667,129.430615517241,4.66711056966748,16.6953769417794,6.40302347837966,112.2127,108.688575,97.20045,172.6044,192.0961,151.208525,105,12,58
"ZNF738",0.977861195987464,0.00740657972222791,0.183558420700237,319.008581904762,304.307883333333,438.507629310345,16.5644122847322,55.3272259041273,44.1895230526539,197.0842,131.57595,215.7569,424.5155,458.4603,562.835275,105,12,58
"ZNF596",0.267411241415842,0.957345124432734,0.231429133884737,88.6368095238095,117.54085,85.8328793103448,6.2711208215495,21.2345668378575,6.73056941452304,50.7246,62.735175,49.430825,105.6992,179.23605,121.893325,105,12,58
"ZNF621",0.605329910898186,0.252156632680056,0.994697294256413,517.166019047619,457.6061,463.970127586207,21.1782799251906,58.9619677040234,23.4964512745057,361.7995,298.433325,364.773225,630.6396,614.154725,532.901,105,12,58
"ZNF680",0.907926039130109,0.590030486990607,0.635802531800963,274.701831428571,255.683508333333,298.614334482759,14.0550836360375,33.9377155704732,21.3805393696724,165.8465,215.183225,192.006125,348.8372,309.999725,371.398175,105,12,58
"ZNF483",0.842049065514203,0.978670640115559,0.798794355460636,10.9332171428571,9.1075,11.2800827586207,1.1206438896963,1.42361403445278,1.32294141006754,4.1344,6.32635,4.675275,13.6235,12.150875,14.27375,105,12,58
"ZNF417",0.726294392696448,0.920301626195658,0.620042994547537,112.611988571429,89.82265,118.840056896552,10.909529513127,13.051422493501,10.0090376810527,65.1925,60.7273,73.183725,133.4935,129.2511,141.090225,105,12,58
"ZNF791",0.910374614209709,0.0482194468162978,0.684658234991371,119.668463809524,130.206883333333,152.26680862069,6.76932692978264,19.8548245019786,14.0683809425925,60.7581,75.25455,62.6825,169.5973,202.127375,202.26905,105,12,58
"ZNF519",0.856698101304145,7.98007204760864e-09,0.0190222253068196,42.2163152380952,48.095025,79.6156827586207,2.67578952649979,6.8640603260435,6.58686135700926,23.6134,38.0663,44.29255,57.8867,67.36775,106.88415,105,12,58
"ZNF25",0.563683998822399,0.95683503148855,0.680870052757367,172.063861904762,145.377191666667,168.099012068966,8.84859190017648,22.4971393444422,10.139544064519,103.855,84.684225,108.386425,197.9427,209.673175,237.733775,105,12,58
"ZNF77",0.470457242507084,0.372698349489644,0.901328559890326,113.261480952381,94.00515,101.420462068966,4.82189121984996,13.6677452138375,8.15764406141871,82.6041,59.132125,65.66195,133.7852,131.6773,113.8069,105,12,58
"ZNF169",0.918843903526876,0.094250370523599,0.314586647546547,56.8528438095238,53.0428083333333,67.77555,2.91717125617715,8.6503609280319,4.67328101329603,34.4494,27.949025,42.362375,71.8563,75.106425,81.297775,105,12,58
"ZNF613",0.999716362704504,0.411844923671314,0.800841321244556,129.053307619048,129.423608333333,140.218334482759,3.86034698675706,17.1855363207829,9.39677771431085,105.2632,106.20115,94.9091,145.3744,147.448875,166.1479,105,12,58
"ZNF404",0.998725250501454,2.26717992952707e-05,0.0537172257982349,31.6052180952381,32.1239166666667,58.3286810344828,2.63394845447949,5.39060841312102,6.40924581747424,12.9271,19.12985,25.761875,42.2535,38.509575,76.680075,105,12,58
"ZNF135",0.916115316402554,5.75896048671254e-06,0.0811947333824053,111.074966666667,128.60125,227.374301724138,10.7514335864004,33.7827347300688,25.587254660561,13.0072,78.31345,91.244575,169.1607,146.473125,325.567,105,12,58
"ZNF620",0.990350243390905,0.00549639036604865,0.189493233710694,81.7037895238095,80.0252916666667,103.086106896552,3.76437644445767,10.1711764381798,6.22945652682236,52.736,62.545375,73.9828,100.4657,93.795775,127.003925,105,12,58
"ZNF619",0.694962229758349,0.0973283353315262,0.15532990311788,40.0173009523809,33.92525,48.3701637931035,2.33285454852273,6.6122901500585,3.41640843034498,22.6454,19.8693,31.138275,54.2067,41.487475,65.04595,105,12,58
"ZNF354C",0.986454006999116,0.0374214556586894,0.327748121940226,19.3882647619048,17.83335,32.5460172413793,2.49907520994461,7.72675186107665,5.63384347654728,2.0138,3.40835,5.84585,26.3058,22.410625,41.59255,105,12,58
"ZNF114",0.919520656383022,0.978682004133389,0.959759901303432,120.708208571429,175.368175,135.575648275862,53.8003370446385,77.5196244858809,34.4991931700204,5.848,17.12225,11.408325,62.2748,169.14275,130.767925,105,12,58
"ZNF454",0.954504859249454,0.00029547576183131,0.181090744029721,6.42366952380952,7.393025,13.5530896551724,0.679130473598819,2.81375437530791,2.095566110682,1.9493,2.614575,2.614275,8.7864,7.5795,19.037775,105,12,58
"ZNF543",0.999782382515703,0.536025844661972,0.856132121416052,91.5756066666667,91.8685166666667,100.018465517241,3.97389598822898,12.4151757140681,7.96592179902011,64.3666,54.21045,63.966425,116.2992,132.43395,131.43015,105,12,58
"ZNF354B",0.676938580572948,0.785737441751551,0.483919957006555,94.7980542857143,80.9253833333333,100.648972413793,5.49643019810738,13.6601974044747,6.67469898186461,50.3708,57.29505,64.4276,124.1197,106.521075,118.816175,105,12,58
"ZNF223",0.950575458165336,0.0247375408893111,0.227230778469327,68.8259961904762,64.0912,90.9168827586207,4.13929399604675,13.4895290761581,8.52614958187808,36.5536,34.64,45.566075,92.736,100.528425,116.1281,105,12,58
"ZNF713",0.804404411112725,0.212068738941027,0.961393758045898,64.2303295238095,57.7338,54.8607,3.61684906963152,9.82113238974092,3.56540537243499,37.0951,38.22185,32.934575,81.9308,65.295125,77.11035,105,12,58
"ZNF552",0.837572816428197,0.999168064573705,0.859096690676218,245.449265714286,218.542508333333,244.460225862069,13.0937191727174,41.8552626278426,24.9663031566319,146.8983,121.936725,131.43225,319.5625,254.452875,300.60245,105,12,58
"ZNF154",0.999922656541295,0.101752999281926,0.53204437620396,7.74445714285714,7.6904,12.7874,0.540566894854767,1.45355141875673,3.25896582912746,4.2811,3.906225,5.249525,9.8343,10.527275,10.55335,105,12,58
"ZNF571",0.999482051418267,0.0537058239722448,0.434795941247059,82.0821323809524,81.658375,99.4118844827586,3.36137596876503,10.3301700009562,8.092271144838,60.7308,63.419225,61.9315,105.612,101.2314,115.655725,105,12,58
"ZNF443",0.986469476517127,0.956554945431162,0.952395736055467,185.984704761905,180.749466666667,191.060672413793,8.19361613492696,31.4328640166585,18.9787015011574,123.7908,125.108825,101.672125,231.5725,194.325325,232.9414,105,12,58
"ZNF792",0.831557000460809,0.192307988282231,0.937287999232268,100.24198952381,110.247925,116.414818965517,5.0634723873169,17.793635609125,8.36889848880661,58.0645,67.5261,62.500125,132.8125,160.1591,162.579775,105,12,58
