"gene","p-adj-MSI-L-MSI-H","p-adj-MSS-MSI-H","p-adj-MSS-MSI-L","mean-MSI-H","mean-MSI-L","mean-MSS","SEM-MSI-H","SEM-MSI-L","SEM-MSS","Q1-MSI-H","Q1-MSI-L","Q1-MSS","Q3-MSI-H","Q3-MSI-L","Q3-MSS","count-MSI-H","count-MSI-L","count-MSS"
"ZNF566",0.560723120146879,0.464222520985855,0.185160842471461,160.529071428571,199.232,132.95726,16.3922203310089,10.2899,15.8748002412083,122.649,194.08705,95.25075,186.04405,204.37695,172.46735,7,2,10
"ZNF224",0.49354217318895,0.995295355751194,0.437814848220557,172.586742857143,102.03835,176.04792,21.7714409330189,78.18545,25.8436990880597,152.3363,62.945625,128.469825,194.87125,141.131075,221.437725,7,2,10
"ZNF529",0.947302497115128,0.999589977268287,0.949346122967694,317.509485714286,279.37375,315.47304,54.7266630878641,8.15045000000001,51.7872997319939,228.5756,275.298525,192.6112,382.13405,283.448975,415.15825,7,2,10
"ZNF284",0.795562336717436,0.506572219346394,0.998561610622159,38.6681142857143,24.22075,23.12184,14.5009802724379,13.20635,5.91853126146456,11.16075,17.617575,8.42175,60.7689,30.823925,32.79635,7,2,10
"ZNF749",0.366812405371471,0.969671218116152,0.276514929330072,64.4029142857143,101.1149,60.57565,6.84756185988604,52.791,10.3799408710931,52.2064,74.7194,35.553725,76.73185,127.5104,84.912475,7,2,10
"ZNF17",0.467166140725393,0.604596750004404,0.180816320547735,94.6505428571429,137.7343,73.30418,15.6464320322232,79.8327,9.87350970707647,59.0445,97.81795,58.8651,115.80285,177.65065,92.55325,7,2,10
"ZNF555",0.747791852186674,0.691590303449738,0.423078989330129,72.6968857142857,87.5715,62.37158,10.8047062493603,24.0103,6.8224385284605,52.00315,75.56635,49.70075,90.0797,99.57665,71.648325,7,2,10
"ZNF75D",0.991293588563382,0.678935140856302,0.912110319115747,257.950042857143,270.1172,308.34929,34.082989262498,76.8216,43.6624053152912,195.8178,231.7064,192.300075,336.8768,308.528,391.075625,7,2,10
"ZNF197",0.930872463881604,0.851831445256064,0.756004197820417,347.366014285714,389.64915,308.36513,52.6175620395412,40.91245,49.5778758780591,245.6263,369.192925,169.550125,475.4381,410.105375,433.991625,7,2,10
"ZNF732",0.960187136814624,0.966496955744946,0.991696037090693,2.01838571428571,2.4485,2.26045,0.815667554661758,2.4485,0.498676681996127,0.80995,1.22425,1.152275,2.13065,3.67275,3.077525,7,2,10
