"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF394",0.0153941043562424,450.281538297872,478.441761449275,7.51105239198037,7.50708686722392,380.296675,395.5657,511.348775,535.1061
"ZNF333",0.157437711884282,218.421855851064,207.386706376812,6.4230991325411,4.56707052734752,157.228775,142.3868,260.19775,262.4082
"ZNF382",0.125708164471955,72.782720212766,67.7103843478261,2.64764489599288,1.9695224193783,48.787975,43.4784,94.30605,83.0709
"ZNF577",0.0640132818549074,184.540123404255,160.086459130435,11.5622178316857,7.41066536667292,85.937225,63.7691,245.962925,204.3796
"ZNF75A",0.366084442683879,244.111512765957,236.823332463768,6.68059748642856,4.70329143707781,188.0263,175.5861,280.245075,277.2735
"ZNF496",0.744804410442978,332.213706914894,329.01767826087,7.26385005763083,6.06690718731029,255.219275,251.9191,405.89185,399.714
"ZNF2",0.00268779693133359,118.466868617021,125.745422898551,1.70590834610035,1.51982204780317,102.96605,107.2184,132.48055,143.0242
"ZNF589",0.856711362129199,204.582048404255,202.885923768116,7.58687137942413,5.56285229736699,133.072925,135.3202,238.34665,247.946
"PRDM9",0.380807258078087,0.164768617021277,0.294289275362319,0.0376322177283169,0.107014148964599,0,0,0,0
"ZNF12",0.0780753435761771,884.258362234043,926.669107536232,17.3766452971581,14.9927651274847,714.91725,767.6603,981.652075,1045.481
"ZNF202",0.290858792781783,248.335792553191,240.099395652174,6.30798335953151,4.61018729119112,185.2885,185.2971,282.2519,284.6652
"ZNF3",0.0465497001034104,583.28750106383,609.32671884058,8.73396320970471,8.3758574349171,498.3312,507.9679,654.396,671.8671
"ZNF606",0.775826052881491,261.511812765957,259.056216231884,6.10694078823579,5.42200216484854,208.982475,200.7648,301.0004,306.7611
"ZNF91",0.503347445543818,377.685582446808,367.316981449275,10.3937226551099,9.92543270915244,291.30735,261.9048,437.888025,419.9944
"ZNF226",0.794863956293138,327.790583510638,324.64278057971,8.73757035663563,7.55715047443328,232.907075,232.2137,390.445325,378.4344
"ZNF229",0.50170151196818,140.302970744681,134.484427246377,6.92910282785357,5.15389875364043,69.3056,54.4444,183.4114,196.6708
"ZNF180",0.512397307873948,154.440006382979,157.197685797101,3.18195066868223,2.57595824422075,124.223375,126.474,175.6765,178.2257
"ZNF641",0.320867054539848,197.858182978723,190.500951884058,5.84554366229195,4.44178023979172,140.845,129.2639,248.87625,246.2018
"ZNF610",0.238484398664702,64.5243489361702,68.8217988405797,2.35990171836924,2.36016322746173,44.1459,40.7332,80.151825,84.9057
"ZNF528",0.127069571384693,362.956491489362,342.861666956522,11.2496452065426,7.52708937300358,266.6731,247.198,432.7327,424.6047
"ZNF701",0.00511086432175212,126.947704787234,141.094087826087,3.20329092244199,3.27765707270532,97.388675,106.0596,150.034925,164.2283
"ZNF283",0.364812287106853,49.5950143617021,51.1085962318841,1.13664282031402,1.06464951337035,38.7688,38.285,59.140875,62.4479
"ZNF558",0.250152119568557,414.090265425532,433.749924057971,11.3949894770641,10.9687510533143,311.40265,309.0105,489.248475,490.7817
"ZNF597",0.358660679119491,51.9209377659574,50.3198327536232,1.54800165679194,0.971493554586077,36.688975,38.2724,62.27215,59.6162
"ZNF30",0.639415864934875,62.6823994680851,63.7695315942029,1.83339359164626,1.39010015849955,45.1765,46.2663,74.982975,78.4314
"ZNF354A",0.95914863806836,369.218494148936,370.092198550725,11.1390066310425,11.0229678369551,274.467175,275.1016,434.751125,413.1674
"ZNF764",0.0193079594268633,204.823808510638,195.720609275362,3.34521154094622,2.20865836722565,172.973075,170.4289,232.44945,224.3217
"ZNF747",0.121282597459073,303.520019680851,294.541888405797,4.66393484079827,3.43207294351491,264.012,257.7477,332.123825,323.9131
"ZNF778",0.025528735584802,88.9861175531915,80.3533472463768,4.0192051969623,1.81775104661182,62.700975,55.7868,105.0055,98.049
"ZNF212",0.177258086023473,270.76869893617,279.191615362319,4.24667570366648,3.97740366604568,232.416125,230.7936,301.4842,315.1125
"ZNF282",0.420079710380624,611.153370212766,622.429028405797,9.95113905518632,8.77397975361879,524.555225,515.5626,675.632575,702.9038
