"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF471",0.526847169634342,0.75428143475397,0.890480407614993,6.903,220.817241935484,167.155733333333,NA,34.2735439538767,129.516333333333,6.903,83.7706,37.6394,6.903,303.94105,231.9139,200.652983333333,145.098937898687,199.5687,102.3835,169.578175,233.747875,42.1506,204.2044,5.93353618666561,5.78204699603153,0.723133718164769,0.513023835902123,-0.467665647301968,-0.962902237595157,"KIRC"
"ZNF836",0.358371173024409,0.429626177006626,0.997660327218078,48.3213,120.836483870968,122.8614,NA,9.13899428836662,33.6421,48.3213,87.4027,89.2193,48.3213,152.81205,139.68245,143.565043055556,153.377722138837,143.60755,144.3327,118.5366,163.127225,110.39,194.0035,5.05027532034972,2.69507465146774,1.06835005844343,1.00504952559945,0.0953844418119641,0.00726659451493064,"KIRC"
"ZNF493",0.444085398006151,0.26945302370437,0.615766358296111,120.4895,199.451393548387,235.561633333333,NA,11.0245484499322,49.2233333333333,120.4895,165.3464,186.3383,120.4895,235.8285,260.1733,282.6112625,223.810130393996,280.7347,193.437,229.57045,330.929525,143.2688,263.7256,8.35887808749651,5.88863892860286,0.791936345403065,0.689038440919487,-0.336543621478907,-0.53734362287668,"KIRC"
"ZNF167",0.183566982201458,0.590117864855347,0.49083307334759,19.454,55.5758451612903,41.8868,NA,3.506905571512,12.6117,19.454,40.92605,29.2751,19.454,67.46725,48.19265,81.1133611111111,56.9163373358349,79.99355,52.4005,68.757525,94.0273,38.674,70.0707,2.22877228502596,1.13303538662734,0.701688803868816,0.655059064137046,-0.511096751902687,-0.610303100151934,"KIRC"
"ZNF565",0.205938342438094,0.321390500740935,0.990798770638961,31.3775,59.7977709677419,58.5395,NA,2.96579332843565,3.7068,31.3775,51.00645,54.8327,31.3775,62.84445,60.3929,47.264225,60.2813660412758,46.03875,57.3742,41.97735,52.8464,48.6225,69.7021,0.974481910839299,0.831119614296524,1.27541213341117,1.24621541636122,0.350963511203468,0.317553469047577,"KIRC"
"ZNF34",0.916796060524973,0.999783388824806,0.80471553303154,162.5353,145.331635483871,161.5604,NA,7.67090388057232,23.5492,162.5353,118.0598,138.0112,162.5353,163.6186,173.335,116.234784722222,132.722594183865,113.618,126.9497,101.78505,132.3067,100.7695,155.8711,2.91900680592871,2.03522841486802,1.14184918482918,1.11733792180816,0.191372112463125,0.160065572918994,"KIRC"
"ZNF140",0.995827577753333,0.891939758076881,0.571202041791238,448.6978,440.916132258065,495.0399,NA,16.1987190652147,24.0121,448.6978,395.97325,483.03385,448.6978,507.69065,519.052,391.62045,426.628317260788,379.6964,407.4336,344.496,435.154925,356.7749,479.6975,7.09570748385472,5.04316785140207,1.08939233704672,1.07305099547955,0.123523624187838,0.101718640099314,"KIRC"
"ZNF658",0.444549442528309,0.768469197771045,0.741206245069797,29.4948,55.1703967741935,45.9667333333333,NA,3.72200747600979,10.1860333333333,29.4948,38.1622,35.7807,29.4948,65.34905,51.05975,67.5544597222222,61.9847084427767,62.8071,59.1377,56.019075,81.415575,44.7192,76.0925,2.46565614435617,1.07804763290964,0.917551686412003,0.941576668879792,-0.124138666490085,-0.0868495222897241,"KIRC"
"ZNF765",0.17379768785236,0.30489968637562,0.972505285118244,72.1682,150.461203225806,144.755833333333,NA,7.36034107503804,31.3729333333333,72.1682,131.13605,113.3829,72.1682,166.3591,160.4423,210.490551388889,205.88729043152,206.0505,197.4096,187.032275,224.47655,161.5624,232.7552,3.57282621873115,3.25735256733026,0.978130795292258,0.958064163882155,-0.0319007001570372,-0.0618058149021721,"KIRC"
"ZNF124",0.512134162145385,0.500784326247931,0.954173727197695,24.4744,67.9075838709677,74.6765,NA,7.10405086013152,4.5092,24.4744,36.98495,70.1673,24.4744,89.0741,76.9311,81.3093777777778,77.7461187617261,80.7786,74.4273,63.1234,98.574675,53.3981,95.685,2.73298489065702,1.62159704059902,0.95617653075897,0.921373977761437,-0.0646510995481003,-0.118141242207526,"KIRC"
