"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF214",0.00578421711705834,32.0472912650602,49.790725,1.470963914462,9.14613703026375,13.8325,18.31195,43.94375,68.900175,332,20
"ZNF215",0.332138495880872,56.4826677710843,69.689605,3.24745224250306,12.781797327778,18.08675,26.698525,79.123175,91.98,332,20
"ZNF547",5.72024020942807e-05,53.8097509036145,95.548415,2.32156525751767,16.2790455072032,27.73075,67.522725,66.9389,95.610225,332,20
"ZNF773",0.646316568791212,111.544261445783,117.88123,3.33046862347797,9.99542026627853,72.418075,87.6187,136.015,132.48945,332,20
"ZNF776",0.32451155693736,347.184870481928,386.793875,9.66901415032654,31.087212593296,227.93465,283.171475,430.457175,449.024875,332,20
"ZNF256",0.687981638018113,125.971836144578,119.955095,3.62542606704387,9.61354376994269,82.2039,95.440875,166.3804,136.672675,332,20
"ZNF599",0.999536879885317,84.3400328313253,84.333265,2.8319949371488,6.27618575316869,51.140575,70.93045,104.659075,93.867825,332,20
"ZNF18",2.93735664386174e-05,183.635404819277,261.6542,4.20352519032688,28.0980982434268,136.603025,197.913225,214.45555,280.917925,332,20
"ZKSCAN2",0.730348342807058,151.151687048193,160.376345,6.50728717152827,13.4262203028067,93.15755,124.59865,166.430375,192.640625,332,20
"ZNF689",0.570771324345043,103.340456626506,94.92731,3.49353045939917,17.0202015151236,66.7179,39.134175,124.184075,151.326175,332,20
"ZNF19",0.000102196376922326,49.3812897590361,76.039195,1.5772582053582,8.93376812297168,30.3962,50.7431,60.29905,87.83925,332,20
"ZNF230",0.221789548810345,109.817018373494,125.843215,3.12690761143286,12.2958234881204,72.628225,88.875575,133.09895,135.016625,332,20
"ZNF222",0.00104614233253875,89.6244036144578,141.98763,3.67690731968813,21.2184461633295,47.529775,105.8072,109.269775,144.513875,332,20
"ZNF221",0.981184822320031,15.5233807228916,15.452255,0.719338920630678,2.8576299772205,8.06525,7.620925,18.541625,16.902475,332,20
