"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF643",0.999963302033237,0.799482901458261,0.962183187224824,0.996884662160256,0.998829809456752,0.999987961550949,0.938521079674676,0.982183938656251,0.999999999954186,0.999989980820039,49.6994957746479,50.6620684210526,57.2983393939394,55.7506625,57.3400185185185,3.35210809162126,5.51958189423922,6.46684150208691,15.1488253538015,10.1290941824688,26.2116,25.44935,23.9182,31.847875,31.40605,58.1213,64.588125,62.8763,60.457225,57.35465,19.6656315789474,51.0391666666667,15.9687,40.4377,12.8258,20.289,27.1577,58.907575,3.19341399133616,2.2678298465392,2.59534846169424,2.53231008159712,1.37592825349948,1.34045407372048,"BLCA"
"ZNF642",0.994725404203904,0.987468700771797,0.958893902408365,0.99954445867775,0.999999981290482,0.99498895206371,0.958993121086237,0.919123047905351,0.998043069352448,0.983164632339934,136.11348685446,129.146260526316,143.106589393939,128.4905875,150.1088,7.24680340203885,10.03873555527,10.7479588307051,14.2333229863991,24.4686149740323,88.7224,86.68115,95.377375,103.65285,83.82,143.8923,160.686975,162.50245,146.14585,150.4259,80.0023842105263,135.508030637255,78.3533,117.77985,60.8878,96.0122,89.119425,146.76605,7.29935708203192,4.63059865011199,1.6937999032712,1.5031893998083,0.760263452232592,0.588026798308929,"BLCA"
"ZNF490",0.0865738616263193,0.615064319307955,0.0142733031168329,0.362375388937504,0.982848791340666,0.151422095553261,0.582388231885883,0.0268190131227545,0.992255631647914,0.124222616225596,201.430642253521,165.977494736842,217.356218181818,149.1932875,225.342462962963,5.54149854343231,9.4723445670788,9.85754375319758,21.5596311737886,18.6045248463909,147.3405,124.61855,154.554675,112.07315,159.0673,243.623,212.067375,273.079125,157.021025,282.2513,135.386963157895,202.414520098039,128.9753,188.95185,94.96995,168.23275,146.8158,245.318725,14.0161453284051,3.92756385102011,1.49508132376065,1.46502353551416,0.580223960808145,0.550923841641946,"BLCA"
"ZNF626",0.776113272451901,0.538451143635187,0.238206078255945,0.989190662620156,0.999990847721373,0.836617269634543,0.775912166111803,0.406042082585169,0.999987594936682,0.847958721870543,420.027084976526,296.248660526316,551.724001515151,315.085625,563.661885185185,38.9212199227236,80.4688687855987,76.6865862990419,171.49465098918,184.191209945717,34.0875,28.1462,64.2799,15.127675,62.5748,566.715,189.113775,887.32655,430.006775,587.16645,305.694436842105,440.311384313726,205.7902,161.3794,142.0536,305.4612,35.3713,611.618875,70.3925159709826,29.7515651681412,1.44036440068143,0.784193805147184,0.526433848159965,-0.350717849766777,"BLCA"
"ZNF793",0.852845237012016,0.986771968421526,0.740179599028328,0.99999999991885,0.991422342426222,0.9996796907408,0.998636314600925,0.88464582534685,0.999996882268129,0.999896510115948,159.670315023474,133.776534210526,170.091159090909,159.4414875,168.058118518519,10.0666475989206,19.8278354396478,20.3987947756898,61.8170341042662,20.5094130414178,72.5295,73.54775,56.34485,64.970525,111.5073,196.8504,158.9922,208.88485,156.633725,226.7323,118.5909,157.927193627451,117.6236,121.93265,87.1625,149.58435,73.499325,200.55185,11.1243956141735,7.05260784297965,1.33169740365788,1.03663422986544,0.413266301751019,0.0519069376947736,"BLCA"
"ZNF383",0.853920417598117,0.301421139501172,0.180196678170889,0.673095399527376,0.937223486626625,0.265019316916697,0.949699674933879,0.695561282503129,0.983005382899167,0.524709961220903,93.3981577464789,86.2406710526316,104.43776969697,73.99785,99.4319444444444,2.77025901864165,5.86969279107086,5.35307586331803,11.4974882338802,7.96444379595326,66.197,62.883475,75.51125,56.799125,64.3572,113.189,109.1302,122.899775,89.4407,117.44835,81.8631684210526,94.8809512254902,78.0591,88.9159,64.00885,97.98135,66.4691,116.7789,5.13504276463429,1.98830758350768,1.15901879997464,1.13908436043972,0.212903967906254,0.187874596809973,"BLCA"
"ZNF669",0.991713171339089,0.344942936127425,0.898508985451448,0.957021419614145,0.91535464083495,0.648616854088983,0.66419183925201,0.936955101144056,0.999997312678683,0.687981998911169,82.5644441314554,85.8156894736842,93.3460393939394,72.195075,93.8991703703704,2.694451815199,5.73836874668218,6.10479183331706,10.9462148811122,8.53695497195991,55.9242,69.4202,57.386225,49.39015,66.2743,100.4717,100.50765,107.2895,94.876175,102.56515,64.8352,85.8431446078431,61.2651,78.8639,53.1026,78.54485,56.9149,102.3991,4.9763847716722,2.05668168538562,1.32402066482163,1.28725652941071,0.404925639367959,0.364299588002574,"BLCA"
"ZNF559",0.038622539730384,0.99329974995796,0.19756383317253,0.0313455677050477,0.000803406006562479,0.0272206684454145,0.999803979076225,0.212343406032629,0.993797288580888,0.0894751631844709,300.960469953052,217.777342105263,291.038131818182,475.478825,306.807981481481,10.6566049249339,14.2239649393904,19.0681834554523,193.337312697723,28.267283179153,188.6186,144.34145,198.3177,208.944475,184.68595,381.1491,275.457,347.1526,451.78205,399.66995,365.469731578947,294.221457107843,339.081,259.06435,309.86715,416.8683,184.1086,365.628775,33.6828535413949,8.21479849800947,0.805050135989953,0.764019069189958,-0.312849462353578,-0.388319447879665,"BLCA"
"ZNF177",0.174631154981591,0.669186079108278,0.857043433183054,0.765292227932909,0.225137412532003,0.47692734572429,0.999999999953901,0.530456178998514,0.924308437792693,0.829890640008965,73.4987896713615,46.1347894736842,60.3307939393939,103.1324375,73.4448666666667,5.22828115328009,6.28090984309673,6.00576964422823,59.8645278040282,8.80905915164009,28.3988,20.499,27.959925,37.70535,38.41435,92.9742,57.130125,66.595125,59.523175,102.8312,53.6091368421053,68.5696370098039,40.0056,48.83015,32.507,77.11345,28.936575,84.922925,6.69566058263911,3.39531313762059,1.27906623849889,1.22058286839842,0.355090978433318,0.287570246588922,"BLCA"
"ZNF548",0.957449014158231,0.999999999654799,0.97549775088581,0.5891446646196,0.838002445767646,0.626640914244745,0.607595695406015,0.961585373523081,0.705917801948548,0.977994055087981,223.114962441315,235.149668421053,223.201360606061,274.805275,251.865637037037,6.44872038121573,16.9855876670763,12.3566960783454,36.160220553263,22.053572041013,162.5344,179.378475,151.711275,219.1645,165.19595,264.7842,276.368275,258.97405,319.10165,310.57675,302.966836842105,227.588002205882,303.0462,209.32105,223.5625,364.8652,159.54495,270.107225,25.5576783789781,5.0228524362454,0.751197736947336,0.690723229659372,-0.412735378141379,-0.53382035125688,"BLCA"
