"gene","p-adj-WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR","count-TUMOR FREE","count-WITH TUMOR"
"ZNF2",0.223064450742006,108.723838219895,114.453087591241,2.83060556298443,3.89099017448509,81.23175,83.6361,129.2114,134.918,191,137
"ZNF589",0.997153449040673,252.932647643979,252.879000729927,9.19103903191854,12.2721007530865,165.395,158.1125,313.63185,310.3448,191,137
"PRDM9",0.531133716060286,2.53679528795812,4.26565401459854,0.719315151820937,3.09946294566218,0,0,0.97325,0.8901,191,137
"ZNF12",0.588482486099268,687.744141361257,669.492427737226,23.6321723351504,22.3071230357457,501.52915,496.8944,787.2507,801.1194,191,137
"ZNF202",0.364930480524777,289.246843455497,276.719767883212,9.41996214100791,9.65791216725622,200.3336,201.8967,346.63515,317.7693,191,137
"ZNF3",0.900393217970558,743.541204188482,738.703510948905,20.3248144718758,35.7403379369548,558.32985,484.171,890.80455,887.0555,191,137
"ZNF606",0.48421987421933,260.962280104712,247.255435036496,13.004727607476,14.3279461814885,162.2584,126.2944,312.5211,323.2494,191,137
"ZNF91",0.389396138726186,420.905092146597,390.708059124088,21.4528685594513,28.5854822024909,208.2073,156.8833,513.5532,537.9747,191,137
"ZNF226",0.118728813642289,385.766048691099,352.969130656934,12.6327891153334,17.4004709587052,279.8067,229.1778,470.989,423.6786,191,137
"ZNF229",0.00957327726727197,147.468313089005,203.071287591241,10.5874603024232,20.4203148784875,21.1754,50.9508,229.85855,249.8876,191,137
"ZNF180",0.889914908930893,187.114995811518,185.756324817518,5.85229920692843,8.2207565990897,134.7375,126.1062,217.32075,213.1148,191,137
"ZNF641",0.257212663789036,88.9951565445026,96.3104759124088,4.15042677888237,4.94306946751955,49.1493,55.4017,120.0552,126.9991,191,137
"ZNF610",0.606249257004984,81.2739130890052,76.4542416058394,6.25262741567529,6.7574318940704,24.25805,24.6609,113.722,98.3534,191,137
"ZNF528",0.0689905565069731,310.461884293194,260.132652554745,19.4992630061443,17.9328716147837,139.08375,122.1122,383.9697,343.9198,191,137
"ZNF701",0.513203267635252,126.486980104712,120.933905109489,4.9044891553477,7.32174866076419,83.1639,64.2144,157.11565,152.0494,191,137
"ZNF283",0.189662903791051,59.2959293193717,63.9437343065693,1.79745466878551,3.34106532492688,42.5145,41.9287,72.0479,72.7273,191,137
"ZNF558",0.0777090159140208,434.46685026178,373.68579270073,24.4658064147795,21.9239477620203,234.3168,230.5842,511.6963,465.4631,191,137
"ZNF597",0.38761470456915,35.0892209424084,32.9673,1.53246071391232,1.95537085075364,23.0496,17.0027,45.30415,46.1716,191,137
"ZNF30",0.977278084190067,75.4491277486911,75.6021372262774,3.54324795140091,3.97123386338428,46.06515,40.9056,92.36955,100.471,191,137
"ZNF354A",0.129466642938391,266.756397382199,245.279089781022,10.1851538328343,8.75280201259964,174.9164,169.9765,325.04525,297.4578,191,137
"ZNF764",0.412872379337118,175.501437172775,183.307741605839,5.76436126016438,7.86228048455157,132.13545,125.1176,200.9283,210.3071,191,137
"ZNF747",0.991142805743967,225.053136649215,224.935071532847,6.95276470937502,7.96818597209967,171.6028,166.0534,259.98515,261.5236,191,137
"ZNF778",0.51352706936452,58.6471104712042,60.6620635036496,1.94958553703344,2.41742452835599,42.4574,45.2946,71.74285,69.7674,191,137
"ZNF212",0.382328747167973,466.150103141361,452.342106569343,10.6617691191548,11.2410191745302,362.4119,353.3382,545.2373,532.833,191,137
"ZNF282",0.00997655022212085,1257.72179057592,1150.19850510949,29.8752883282664,25.7668180274002,981.0012,937.0476,1457.6304,1388.9294,191,137
"ZNF160",0.0682818097349557,640.254733507853,572.938390510949,24.5412969176003,26.783046959186,425.0077,367.378,761.1834,677.7738,191,137
"ZNF415",0.352428937553943,174.775254973822,164.142734306569,7.08514498923054,9.17596502546078,108.5672,77.8663,233.42135,233.7723,191,137
"ZNF439",0.863418513877311,232.100592146597,236.617210948905,15.5538863553667,22.1252675033389,83.2631,67.5078,324.9001,302.157,191,137
"ZNF440",0.123657482686167,847.193522513089,734.738001459854,47.7023891273258,54.557309804107,334.7661,276.8879,1150.9459,1119.6375,191,137
"ZNF562",0.915852340788259,562.225482722513,565.747040145985,21.2405146638117,25.8732267924122,359.7644,351.76,709.00485,680.3678,191,137
"ZNF561",0.0158625114676586,948.083303141361,824.072154014598,33.8039042412877,37.7555291086963,612.9098,513.2021,1218.3775,983.5155,191,137
"ZNF584",0.788011710170059,197.255779581152,200.020328467153,7.02599052200266,7.15224876866572,142.19095,151.4411,224.852,233.0456,191,137
"ZNF274",0.171188099594079,480.839584293194,445.057655474453,16.9415454565169,19.7787009465524,318.6063,310.9226,605.7874,549.5364,191,137
"ZIK1",0.00966276103787644,88.8517371727749,116.834008759124,5.87037594141001,9.70481829188968,22.7035,34.2679,132.1504,156.0424,191,137
"ZNF540",0.0374984341811643,42.1753235602094,33.2729591240876,3.083989676775,2.61323977260891,17.9928,12.4654,49.53235,47.0528,191,137
"ZNF570",0.209513054137353,46.4842743455497,51.7383781021898,2.58503211515721,3.36999257571884,25.66395,27.1684,56.39615,64.9439,191,137
"ZNF57",0.200159205373839,135.04387591623,127.063927007299,3.97709593906636,4.80962243416702,95.39355,85.837,163.78385,152.2386,191,137
"ZNF556",0.0556107730856006,10.7951204188482,15.4237328467153,1.49708847245897,1.93360499319099,0,0,13.6325,22.2107,191,137
"ZNF554",0.115908187964435,121.509986387435,109.405076642336,5.62085430323229,4.55753589516899,71.7017,70.2576,142.0947,137.0609,191,137
"ZNF738",0.293135823725344,341.856706806283,308.778383941606,21.9238350302901,21.0078467613206,152.3418,136.1868,426.705,400.1819,191,137
"ZNF596",0.654551933799749,42.0936146596859,43.6763934306569,2.31016258715761,2.65314742166519,21.65095,22.4719,51.81115,57.0441,191,137
"ZNF621",0.118281783870746,555.353462827225,510.724105109489,18.9457753324257,20.8409407506772,375.29445,337.4083,672.78395,642.5641,191,137
"ZNF680",0.755151373797498,265.31692408377,259.637684671533,11.8903287298242,13.6668435254923,158.4523,151.7939,337.871,327.044,191,137
"ZNF483",0.330917576263446,9.47318691099476,8.29617664233577,0.938976415335338,0.567687665947932,3.23945,3.5603,10.7603,10.1981,191,137
"ZNF417",0.268190269763222,123.307562827225,132.069055474453,4.39095339904752,7.0390863612538,82.8952,82.8402,152.9917,156.465,191,137
"ZNF791",0.119645667956273,142.910014136126,155.154886131387,4.87064107269989,6.30509951734848,92.174,106.5608,191.0252,197.1762,191,137
"ZNF519",0.369666458959598,58.8488534031414,54.5417372262774,3.08152124275605,3.68670519426833,31.75585,24.2928,71.6087,69.3569,191,137
"ZNF25",0.217202020256184,159.335167539267,170.623277372263,5.18984177830284,7.99306914419831,113.9864,107.8539,190.9226,214.9253,191,137
"ZNF77",0.50928114108018,100.376553926702,96.4766744525547,3.93883862058882,4.29155989792906,62.55205,61.7528,127.0177,120.8945,191,137
"ZNF169",0.0533870371775274,61.7347989528796,54.7097138686131,2.55868538545219,2.36105914823322,39.0695,34.5166,75.6096,68.5596,191,137
"ZNF613",0.0801201162617101,167.591777486911,137.074208759124,13.5319050945063,8.0744262421509,93.1752,77.809,181.605,159.5648,191,137
"ZNF404",0.208288690003984,67.3248146596859,60.1548291970803,3.87325954206318,3.9904087788902,29.5405,29.1819,84.3367,72.543,191,137
"ZNF135",0.211629836120343,67.3182931937173,80.3075678832117,6.64558641121748,8.02078507478321,8.99825,9.9656,99.82875,133.9678,191,137
"ZNF620",0.182368321494397,63.403997382199,56.9352401459854,3.13070228154124,3.69010831444895,31.79065,23.4102,85.13875,79.3584,191,137
"ZNF619",0.965424572812318,41.5003785340314,41.3861547445255,1.72466134612123,1.97077170794564,23.6885,24.5091,52.90315,53.6013,191,137
