"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF394",0.825093943745513,0.937857516844849,0.596325659970436,0.899558456768136,0.881291686101039,0.957705225885133
"ZNF333",0.998057890351393,0.99389392122796,0.214367230547417,0.993548830790147,0.212013538798141,0.999996005619713
"ZNF382",0.999160415998194,0.999614582274804,0.721366817099507,0.992427567131692,0.917653656511358,0.322744611289754
"ZNF577",0.998773658195694,0.976920758746603,0.660693393657088,0.953090861304815,0.351937218711498,0.954368839861418
"ZNF75A",0.456776667968801,0.421357448149201,0.994028605540601,0.59679668503237,0.759597016769806,0.593248506923885
"ZNF496",0.99930125278708,0.971953637417469,0.506271512980067,0.985518254284946,0.758640388680346,0.978349885158539
"ZNF2",0.998273396909667,0.989697202862787,0.145145878679412,0.999898301592835,0.727610267731494,0.695629613991061
"ZNF589",0.98862529116158,0.971186341657979,0.949379706867433,0.957952738952237,0.847994255801218,0.992116664757617
"PRDM9",0.999918548075929,0.998796188084975,0.978936288273683,0.986025782769845,0.596659231458408,0.822107032380135
"ZNF12",0.994138026310671,0.991272842363887,0.998431073751527,0.997193737377918,0.994587124174599,0.975612837472956
"ZNF202",0.788368164431246,0.703109476405676,0.914325738647753,0.533487277924878,0.257360583167732,0.623816500935399
"ZNF3",0.999525393896863,0.96833012019982,0.413179921906835,0.997861132210829,0.988852400759821,0.609865606670878
"ZNF606",0.913718799431267,0.745210914209441,0.399501051976235,0.89442659294551,0.995868778526336,0.536138791587001
"ZNF91",0.00300244131940219,0.000285132260748,0.0326996457797043,0.00078080959167881,0.377079268996295,0.674082723167069
"ZNF226",0.982845882525396,0.864680686629483,0.266890922710556,0.965833617681217,0.971213151438719,0.513838426099945
"ZNF229",0.563422853698732,0.392148836183537,0.604523736827547,0.733535810839329,0.623461041616195,0.0676672802666227
"ZNF180",0.997170656375137,0.868141675056226,0.056396591062561,0.98497308372549,0.907182213462552,0.245352442833219
"ZNF641",0.614463780693452,0.733701894952064,0.823954217809378,0.545218567770697,0.963840144445097,0.530884913342508
"ZNF610",0.750628286726807,0.503636023577612,0.293745650724533,0.695925271389424,0.977533502342256,0.525776469490981
"ZNF528",0.224633154289055,0.0706966242182842,0.0858085286006854,0.0964506204762207,0.285808268249179,0.939474180731766
"ZNF701",0.0279148049438428,0.00904814392234099,0.353243390809319,0.0319401690057874,0.996525620085882,0.241981276555216
"ZNF283",0.289096645331348,0.176100875374971,0.637858440480716,0.347530097493736,0.95911899941161,0.328055224441541
"ZNF558",0.995350290230588,0.921102177232325,0.290552415981112,0.833181911437359,0.0379718529321343,0.781412735331477
"ZNF597",0.127146941066824,0.0705643256743741,0.678111671556321,0.094611477865552,0.939527672510953,0.94876396127938
"ZNF30",0.702129377381474,0.841544884669401,0.673000125612512,0.945128177197418,0.0959790833173449,0.617397167667906
"ZNF354A",0.999991587362408,0.999998692608368,0.999926441909466,0.994618077588041,0.76666976257769,0.725046605628034
"ZNF764",0.999996296750879,0.994393671715912,0.73580059268805,0.999065449663831,0.956144848091666,0.956868883189202
"ZNF747",0.925767480280919,0.976367018870678,0.791215472412203,0.88937098994295,0.971567612139413,0.515964589468078
"ZNF778",0.999633809139862,0.999994126967634,0.943388846461281,0.990131785996377,0.279048341112096,0.594780699385795
"ZNF212",0.659213926199473,0.526928051029852,0.792205147951431,0.605937589218124,0.982561824665249,0.945936361377858
"ZNF282",0.995047539260577,0.907954112503838,0.224961180241418,0.922496216909917,0.318105214227856,0.997768874112342
"ZNF160",0.294636102687119,0.138979378815841,0.304336396852864,0.227561131566625,0.918374202448378,0.690845873134362
"ZNF415",0.96487400228922,0.75265132052037,0.096008047656306,0.969798164049228,0.999540159304374,0.0719574543181706
"ZNF439",0.718504529387807,0.38477264403735,0.0798384408978561,0.579657727186531,0.761181196647459,0.491515094988319
"ZNF440",0.792139040137952,0.245746283207091,0.000215545429769093,0.374904912915803,0.0141966484631414,0.667700581439667
"ZNF562",0.999916472704219,0.8826993749805,0.0152790413895627,0.975661997747596,0.399105168892649,0.483608379202567
"ZNF561",0.997190575462009,0.734030862479334,0.00153199295099049,0.816325704927253,0.0154826120938913,0.911030383110226
"ZNF584",0.258311876514906,0.213134303628569,0.967580030873829,0.202929320650885,0.940002005086167,0.999405943780157
"ZNF274",0.98560598837173,0.993307554240771,0.984459680374796,0.982929881820225,0.999717446103066,0.969291504835966
"ZIK1",0.552252096142519,0.304085935218724,0.238542978146308,0.602645679245417,0.985248520987735,0.113826029446293
"ZNF540",0.990527125157304,0.999896980510665,0.361267012083964,0.999707152615118,0.303952137872677,0.999330654004224
"ZNF570",0.949335220250469,0.937975774543001,0.997914104493309,0.988173776773045,0.778324115857992,0.663439510086938
"ZNF57",0.998535622823298,0.977586436058591,0.0595442589649107,0.974129836579815,0.0495516505449988,0.99970732819214
