"gene","cluster 2-cluster 1","cluster 3-cluster 1","cluster 3-cluster 2","cluster 4-cluster 1","cluster 4-cluster 2","cluster 4-cluster 3"
"ZNF189",0.285529232579121,0.455759814808189,0.978654170137493,0.649264538107546,0.928886928746056,0.994609019980965
"ZNF434",0.965520972267067,0.621627253488943,0.245504104953112,0.46699891701677,0.163610795095347,0.984125801762359
"ZNF287",0.972710701876479,0.199121620445132,0.0404210779355666,0.569642853187133,0.24760324341582,0.916591702329474
"ZIM3",0.992116641420759,1,0.988536675941162,0.454916203576662,0.555869568736829,0.34858398192884
"ZFP14",0.615920559700781,0.0327054457155034,0.341775853389542,0.00483569015567664,0.0757025402365948,0.799873584910179
"ZNF473",0.816493503447707,0.0805196230857274,0.345201645581634,0.249830168640545,0.685672354507873,0.968687941101838
"ZNF614",0.999709157803791,0.491457120245952,0.464454344199633,0.14613946237435,0.118634728029846,0.799333849009057
"POGK",0.844481383605518,0.0161123175588724,0.0813832712565502,0.185021001241175,0.537335680413304,0.795787272415148
"ZNF514",0.15509784811811,0.0203362210155188,0.830694344556258,0.005498106707716,0.470233321269135,0.903306522379431
"ZNF300",0.997722807443077,0.00351802673332979,0.00204930299454886,0.0281472185597093,0.0236291178416008,0.950650534696845
"RBAK",0.44122596019445,0.539019425306855,0.99617328087032,0.130745395977391,0.847822790174105,0.720120763348684
"ZNF92",0.886642700195965,0.00918330863049255,0.0369855782751517,0.087203827547528,0.265121177224895,0.889418631617675
"ZNF157",0.999858065505504,0.94248835305439,0.894138478168462,0.884575501352142,0.888775387875794,0.489824031436554
"ZNF182",0.882040171946728,0.0889227562992652,0.287707646373593,0.0758860919628632,0.241497180241265,0.995371942084398
"ZNF673",0.987255433647364,0.867931537130951,0.609666523724876,0.967658778645544,0.829184431744267,0.990809542732451
