"gene","Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","Cluster 14 (HNSC)-BRCA basal-like c8","Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","Cluster 5-BRCA basal-like c8","Cluster 5-Cluster 13 (HNSC-LUSC)","Cluster 5-Cluster 14 (HNSC)","Cluster 6-BRCA basal-like c8","Cluster 6-Cluster 13 (HNSC-LUSC)","Cluster 6-Cluster 14 (HNSC)","Cluster 6-Cluster 5","Low purity c2-BRCA basal-like c8","Low purity c2-Cluster 13 (HNSC-LUSC)","Low purity c2-Cluster 14 (HNSC)","Low purity c2-Cluster 5","Low purity c2-Cluster 6","mean-BRCA basal-like c8","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","SEM-BRCA basal-like c8","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","Q1-BRCA basal-like c8","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q3-BRCA basal-like c8","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2"
"ZNF44",0.999993322566838,0.999969232935189,0.999999439428562,0.999886317520876,0.957981484330028,0.846972465141631,0.99996319321512,0.978120018545366,0.91122534670472,0.999849758215517,0.999860505243521,0.977969110411738,0.93911623213716,0.999999849907825,0.999965969380772,297.6333,157.66604,113.3463,525.516044285714,479.765984444444,547.801075,NA,19.0693099884762,11.5591116115785,120.134275321121,140.280251457893,343.778195814497,297.6333,122.9405,99.496825,143.27215,149.6249,156.510825,297.6333,189.48,135.98115,410.364525,330.9653,265.738725
"ZNF790",0.999989132299623,0.99714456213065,0.855085043386486,0.995902394344634,0.976010874688735,0.0834097210133782,0.999607867890119,0.999568026960947,0.287824055993244,0.910217569442324,0.999999526530075,0.999992458406874,0.853543692624174,0.865640931283827,0.991132889596716,79.8005,89.67876,49.99325,110.347775714286,98.6368711111111,84.9019,NA,16.9513294991455,10.8914207507725,7.01282031066405,10.2330703859588,16.3399810658878,79.8005,68.0878,33.630675,71.4438,56.0877,64.899125,79.8005,121.3536,63.1765,128.861075,114.9819,90.23805
"ZNF677",0.85394837844861,0.737195596270473,0.999386342798968,0.97991881137865,0.838254799188948,0.34650249764977,0.948552188999981,0.968196745326817,0.677441389334858,0.93559095482081,0.999999997134046,0.207082929406679,0.0378028335719609,0.342586038921362,0.156227322686226,62.4246,13.36782,5.8946125,34.6988314285714,27.7836111111111,63.602975,NA,11.1707391075703,2.9211370434447,4.74292822240177,5.77934992275592,17.3308066490483,62.4246,1.4507,1.769375,6.91665,3.0086,34.93745,62.4246,4.0603,5.7436,44.96685,39.9822,98.312275
"ZNF823",0.999999732187442,0.999972782260894,0.999956254004982,0.994481582653602,0.762060123879603,0.367470022144837,0.986630053293769,0.622805044035177,0.236450624665611,0.989802750732289,0.999999999988841,0.999987282717208,0.998597530252843,0.711480711112197,0.539094862398684,139.6509,117.95534,86.545575,289.877058571429,322.422115555556,142.444925,NA,23.607974091154,13.1401296488732,33.6989176802308,47.3562049789965,45.0446323628051,139.6509,70.7965,69.568625,117.066825,131.4971,56.86035,139.6509,151.2859,83.860875,371.22945,398.3629,169.625975
"ZNF311",0.999776814039459,0.999999000074085,0.999208991269242,0.99998963526766,0.999463460845835,0.999993120485837,0.999945094393384,0.884920706078088,0.966030519364287,0.415608407280903,0.999276351998613,0.999995954883059,0.993948202367973,0.990973498755768,0.651326608909735,49.2318,32.3836,43.743825,40.9005871428571,60.9341066666667,28.479725,NA,15.6819085663385,11.9238086436751,4.19703452103426,12.4166182834426,5.68800300352637,49.2318,4.6674,21.0036,13.962475,4.0018,19.8506,49.2318,53.7956,55.53585,64.858125,77.6717,36.513925
"ZNF347",0.994274862044916,0.604759028288472,0.394139942481843,0.986268996128174,0.99999125604636,0.0713506444489825,0.998655725957665,0.998604333460305,0.0132502936123022,0.760656985592844,0.981652555224211,0.999836033262124,0.410461997033211,0.999930192413498,0.950413984482706,194.9964,143.0137,47.2277375,137.192471428571,159.631575555556,130.059625,NA,48.3200509168296,14.2718451269191,8.34968260770631,16.5671728533363,33.7847431867856,194.9964,82.4549,8.4437,92.245625,97.2591,70.751725,194.9964,180.1828,67.837775,166.42685,186.8622,157.194975
"ZNF273",0.999998898441653,0.988993656355158,0.923387222789085,0.999902099379216,0.977411303755987,0.161185928088279,0.999999865196717,0.999254039528595,0.411773522348703,0.944943179025683,0.999995596788488,0.998386531504516,0.605563398911486,0.999781484608798,0.999971671911954,200.7884,184.09082,94.2821375,238.648744285714,210.906937777778,222.1348875,NA,49.1626620072327,8.76478694663924,21.615488870223,21.6433022583644,50.8041303862317,200.7884,120.7022,82.03365,130.66945,108.959,81.11115,200.7884,245.8031,103.695825,265.269975,244.8537,302.152025
"ZNF84",0.999264076084982,0.998116558755563,0.999996494541682,0.999951701830881,0.797109017847049,0.490894233452248,0.999443001942476,0.641995561276068,0.312442168951957,0.982195706339223,0.999999135472944,0.95806338772244,0.879883699743666,0.999716090164588,0.988687347384312,571.7963,401.73626,371.74195,661.612607142857,720.020535555556,613.94385,NA,75.3512197174644,85.7729378796799,43.7925629971215,81.640771676716,204.358375545548,571.7963,289.7126,230.7242,366.789225,406.015,380.48735,571.7963,394.6032,442.4003,851.016225,802.2752,532.987575
"ZNF667",0.999999930686022,0.999999999246981,0.999990616481183,0.986881631497783,0.793124436649806,0.459336311333552,0.999905465259809,0.999057113486615,0.984590001585901,0.24732104733938,0.980197181699845,0.826364902791072,0.627922823082694,0.999799215021201,0.752863613322655,21.2372,27.70074,18.7048125,92.0320714285714,46.6560511111111,102.96475,NA,25.3660655918414,14.1707278812628,15.2071933131401,10.4260938885788,56.3173938570777,21.2372,1.1606,2.30175,5.538725,3.2558,27.272325,21.2372,5.3096,8.70465,111.44455,62.5166,104.23955
"ZNF649",0.998342020591685,0.99547894678871,0.999986413849672,0.999997989945815,0.825701126559279,0.498420376472101,0.999999955645191,0.889452671511909,0.627874224833292,0.999666045277775,0.979659028304531,0.275747655708476,0.101130638677392,0.503463060523006,0.438361031796297,188.2391,114.58126,100.1657875,205.590248571429,196.354655555556,310.5485,NA,22.4974747630617,24.576106012544,18.8337400458726,21.677209102281,112.331167949895,188.2391,74.1301,59.549675,104.4443,79.5761,131.28685,188.2391,125.0544,144.9563,248.0855,274.3446,299.548675
