"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","count-1","count-2","count-3"
"ZNF738",0.830898183678258,0.66662283964488,0.314393043646998,62.8966016129032,57.2788514705882,71.4414704918033,6.7654225584236,6.02184729061271,7.9851170416469,29.13285,31.275575,29.9367,84.442475,70.906775,89.14,62,68,61
"ZNF596",0.563477994586999,0.998932959431438,0.538016456616482,44.0621209677419,38.6128544117647,44.3029245901639,2.71457732070781,3.45623300423114,4.98099097524679,26.246175,18.46695,19.6937,57.94545,50.11445,58.2336,62,68,61
"ZNF621",0.581926179762328,0.999872518580968,0.594423100651688,366.314922580645,340.062008823529,365.90221147541,20.922144715174,16.4969569395443,19.2944890453558,254.323275,229.94515,270.4789,437.289225,421.97665,428.4595,62,68,61
"ZNF680",0.417992323936574,3.9992526181809e-06,0.000472763945291832,216.494196774194,257.710723529412,383.913257377049,17.8271045716259,22.8561439610015,28.2096859182651,110.21745,133.742725,206.2257,298.194,318.581725,512.5725,62,68,61
"ZNF483",0.712364861109757,0.217735222317248,0.621984858266537,6.23908064516129,5.24408235294118,4.06100491803279,0.866991653121854,1.14188320540825,0.522237914159759,2.1278,1.13685,1.5283,8.8343,5.912425,5.0226,62,68,61
"ZNF417",0.755284950851669,0.756548536047354,0.322669216422821,86.6518483870968,80.2011308823529,93.2569262295082,5.84205199024497,5.30076416224462,8.0978743396208,52.94495,51.76775,51.5182,112.0306,98.4817,109.488,62,68,61
"ZNF791",0.116580788225041,0.932472984933442,0.239382533965108,118.703733870968,96.7986367647059,114.683970491803,8.78826830413582,7.00911009846571,7.75611090102449,68.677075,53.3948,72.113,161.08135,135.15335,148.4064,62,68,61
"ZNF519",0.280411663395386,0.686466452856955,0.0494238099761655,18.8180548387097,13.9326911764706,21.536106557377,1.67554120202587,1.78158536891769,3.19207326407257,9.208475,5.92815,6.4785,25.032175,17.666325,28.9011,62,68,61
"ZNF25",0.670853364999584,0.54393780055585,0.971545317219615,140.486420967742,128.310939705882,125.028403278689,12.8242043995428,10.2951150067581,6.15865406594077,89.810625,77.50105,90.6549,160.290575,160.021625,154.8235,62,68,61
"ZNF77",0.0891276029503704,0.891559659063879,0.0289606743163597,68.7472822580645,55.6399,71.6502114754098,5.74120457699609,2.98776223169794,4.32315609343989,38.298675,40.96325,48.1449,80.56285,69.2513,94.7776,62,68,61
