"gene","p-adj-Notassigned-CN high","mean-CN high","mean-Notassigned","SEM-CN high","SEM-Notassigned","Q1-CN high","Q1-Notassigned","Q3-CN high","Q3-Notassigned","count-CN high","count-Notassigned"
"ZNF780B",0.156564760302304,78.7146,228.216794444444,NA,23.1387260721853,78.7146,143.40125,78.7146,271.573025,1,18
"ZNF557",0.193462523684838,85.2139,151.385122222222,NA,11.2117299453484,85.2139,118.334175,85.2139,183.5372,1,18
"ZNF337",0.719310911568713,734.3708,599.809788888889,NA,84.4811697168498,734.3708,376.106525,734.3708,757.078475,1,18
"ZNF317",0.303271610264659,398.6279,807.096305555556,NA,88.2724447825037,398.6279,578.481475,398.6279,825.27995,1,18
"ZNF426",0.194146587451039,0.7222,64.3309055555556,NA,10.7949608420505,0.7222,32.3702,0.7222,75.452275,1,18
"ZNF331",0.262352821422512,149.4855,384.182188888889,NA,46.4438852141966,149.4855,226.4628,149.4855,479.16355,1,18
"ZNF227",0.487885092439445,153.0962,233.787122222222,NA,26.1066708675172,153.0962,157.773425,153.0962,308.977775,1,18
"ZNF141",0.316330522504121,31.0525,137.715466666667,NA,23.7012533679804,31.0525,78.67935,31.0525,142.11515,1,18
"ZNF304",0.519969271752018,101.8234,202.061638888889,NA,35.0012032488214,101.8234,104.1822,101.8234,274.029875,1,18
"ZNF132",0.250625589306111,3.6108,41.0469833333333,NA,7.22075326053269,3.6108,22.036575,3.6108,48.262,1,18
"ZNF20",0.772717940261376,153.8184,176.184527777778,NA,17.4845828913203,153.8184,144.196225,153.8184,203.202525,1,18
"ZNF670",0.370234487043265,27.4418,86.6229722222222,NA,14.7510969353956,27.4418,40.0021,27.4418,112.07495,1,18
"ZFP37",0.227959491479645,18.0538,64.8646888888889,NA,8.58602695661569,18.0538,38.9869,18.0538,82.970875,1,18
"ZNF189",0.123707920831423,109.7671,374.301327777778,NA,37.4699896797849,109.7671,242.697775,109.7671,437.526175,1,18
"ZNF434",0.149259384917168,140.8196,320.591638888889,NA,27.302447066288,140.8196,247.42865,140.8196,401.76635,1,18
"ZNF287",0.0241848132308407,27.4418,128.51225,NA,9.3711569961707,27.4418,103.54185,27.4418,136.143525,1,18
"ZIM3",NA,0,0,NA,0,0,0,0,0,1,18
"ZFP14",0.38140990341973,102.5456,145.001061111111,NA,10.8388559922859,102.5456,120.122625,102.5456,178.9009,1,18
"ZNF473",0.266348281195801,410.1823,278.600805555556,NA,26.2655814245856,410.1823,191.762225,410.1823,361.14515,1,18
"ZNF614",0.437477186858795,114.1,224.856494444444,NA,31.9545723711803,114.1,127.635375,114.1,294.849375,1,18
"POGK",0.369807453989544,972.7388,1835.21977222222,NA,214.779736463602,972.7388,1227.464425,972.7388,2542.881475,1,18
"ZNF514",0.186068520895085,50.5506,187.778344444444,NA,22.8460861041346,50.5506,109.612525,50.5506,248.850825,1,18
"ZNF300",0.13914183987204,464.3437,182.887944444444,NA,41.6116724207607,464.3437,7.6449,464.3437,313.3587,1,18
"RBAK",0.0209041639368291,55.6057,457.285166666667,NA,36.2023282732982,55.6057,379.0817,55.6057,535.877375,1,18
"ZNF92",0.29075909252074,132.1538,226.578138888889,NA,19.8668041561586,132.1538,175.47845,132.1538,268.593325,1,18
"ZNF157",0.455776993886994,0,2.37515555555556,NA,0.713919027933768,0,0.091175,0,3.964775,1,18
"ZNF182",0.0401678673994245,57.05,188.82415,NA,13.6070301556445,57.05,154.14825,57.05,204.126925,1,18
"ZNF673",0.439942814899169,138.6532,217.484533333333,NA,22.8688448467239,138.6532,146.587975,138.6532,261.79695,1,18
"ZNF41",0.0919937423297581,32.4968,141.668105555556,NA,14.0254509124058,32.4968,100.8263,32.4968,194.799525,1,18
"ZNF7",0.428543494380198,649.0775,499.997944444444,NA,42.1687549711065,649.0775,391.1692,649.0775,592.549475,1,18
"ZNF214",0.625564483722334,12.9987,27.2353444444444,NA,6.57182933285286,12.9987,2.33425,12.9987,45.972225,1,18
"ZNF215",0.429829426821663,0,14.68655,NA,4.16606032749214,0,1.8287,0,24.7792,1,18
"ZNF547",0.316695102990827,34.425,75.7663555555555,NA,9.19347155627091,34.425,43.532425,34.425,100.45465,1,18
"ZNF773",0.693998405768959,110.4893,87.6636111111111,NA,13.0851174769737,110.4893,41.151775,110.4893,143.25865,1,18
"ZNF776",0.34472262977545,98.4221,286.241805555556,NA,44.3341912618982,98.4221,190.20905,98.4221,384.31035,1,18
"ZNF256",0.568829822269733,154.5405,103.925833333333,NA,19.9841065824885,154.5405,47.572,154.5405,129.94075,1,18
"ZNF599",0.824837589845065,77.9924,86.51645,NA,8.70022594371639,77.9924,70.012175,77.9924,104.4312,1,18
"ZNF18",0.446315282371258,153.8184,282.4921,NA,37.8627773601331,153.8184,180.406575,153.8184,346.885875,1,18
"ZKSCAN2",0.00182215287031795,558.9457,195.89195,NA,22.580081058894,558.9457,122.38425,558.9457,278.862125,1,18
"ZNF689",0.324303641801,26.7196,85.0640222222222,NA,13.1864429702659,26.7196,50.004575,26.7196,120.530125,1,18
"ZNF19",0.136973463880319,36.1076,98.4929,NA,9.16928026852765,36.1076,69.926775,36.1076,132.9683,1,18
"ZNF230",0.37160161664199,67.8823,93.3346055555556,NA,6.36266602853074,67.8823,79.03355,67.8823,111.2907,1,18
"ZNF222",0.897237875618743,61.3829,57.8018222222222,NA,6.26679890298818,61.3829,41.0214,61.3829,75.493925,1,18
"ZNF221",0.352127983319578,2.8886,9.96300555555556,NA,1.69643851853082,2.8886,4.91995,2.8886,14.96775,1,18
"ZNF233",0.352489136847899,5.0551,28.3884388888889,NA,5.59963028769155,5.0551,7.474275,5.0551,48.602025,1,18
"ZNF235",0.129888763874747,15.8873,69.1126555555555,NA,7.6718035244391,15.8873,43.839125,15.8873,83.69065,1,18
"ZNF208",0.65141217161201,0.7222,7.92933333333333,NA,3.59515958091184,0.7222,0.80325,0.7222,7.658675,1,18
"ZNF714",0.219506630385468,44.0513,191.613388888889,NA,26.5542389776784,44.0513,121.226675,44.0513,247.81875,1,18
"ZNF394",0.356304003442428,836.252,584.629522222222,NA,60.8785634565392,836.252,430.812425,836.252,669.309025,1,18
"ZNF333",0.363884694273364,82.3253,146.370861111111,NA,15.7482444309704,82.3253,112.090675,82.3253,157.822275,1,18
"ZNF382",0.160456814249607,9.388,37.0982333333333,NA,4.33152062112624,9.388,20.051125,9.388,49.570475,1,18
"ZNF577",0.201897808680374,38.9962,228.545394444444,NA,32.7576612758756,38.9962,138.120025,38.9962,302.768,1,18
"ZNF75A",0.691276417464492,218.8121,286.146833333333,NA,38.2402686845606,218.8121,154.989725,218.8121,430.789225,1,18
"ZNF496",0.875592123894852,444.8456,413.675005555556,NA,44.9930856089446,444.8456,283.83235,444.8456,534.6273,1,18
"ZNF2",0.0160045493083538,252.0311,151.202788888889,NA,8.64902168604891,252.0311,136.352625,252.0311,162.064475,1,18
"ZNF589",0.789646291274694,459.2887,583.942277777778,NA,105.521788490322,459.2887,343.0588,459.2887,692.010525,1,18
"PRDM9",0.770672446852362,0,0.0768555555555556,NA,0.0595288424750537,0,0,0,0,1,18
"ZNF12",0.0407045396231478,186.3152,519.297994444444,NA,34.4883202018044,186.3152,448.174375,186.3152,590.233175,1,18
"ZNF202",0.599038024297174,210.8684,325.709566666667,NA,49.1720748570047,210.8684,188.051575,210.8684,396.3071,1,18
"ZNF3",0.746327418116916,1308.1928,1177.08120555556,NA,91.4831315341472,1308.1928,846.20695,1308.1928,1398.58065,1,18
"ZNF606",0.931962366471871,339.4476,326.090183333333,NA,35.365391668368,339.4476,233.873125,339.4476,409.833025,1,18
"ZNF91",0.0350250466109319,56.3279,273.516722222222,NA,21.7508569774323,56.3279,232.028275,56.3279,323.6395,1,18
"ZNF226",0.326300359450654,205.0912,296.239188888889,NA,20.6880962997541,205.0912,251.726425,205.0912,344.81825,1,18
"ZNF229",5.95644853773614e-07,106.1563,7.03041111111111,NA,2.94751404297285,106.1563,0.605275,106.1563,5.765375,1,18
"ZNF180",0.310970030154473,77.2703,149.222422222222,NA,15.8067179032062,77.2703,104.95645,77.2703,193.385675,1,18
"ZNF641",0.285264233228569,14.443,85.3231388888889,NA,14.738327884594,14.443,35.70455,14.443,121.9706,1,18
"ZNF610",0.506925028307646,75.1038,117.11055,NA,14.2148661861039,75.1038,74.216425,75.1038,162.61735,1,18
"ZNF528",0.340134461751521,110.4893,280.333044444444,NA,39.7013988133716,110.4893,168.655275,110.4893,389.067925,1,18
"ZNF701",0.303309130071335,46.2177,93.1185444444444,NA,10.1363625098613,46.2177,57.364425,46.2177,121.795325,1,18
"ZNF283",0.37850329532658,31.0525,51.0689222222222,NA,5.07837771697919,31.0525,40.007575,31.0525,65.096175,1,18
"ZNF558",0.0814524116150391,68.6044,420.720888888889,NA,43.6150478609572,68.6044,316.282625,68.6044,510.513525,1,18
"ZNF597",0.997483619637173,35.3854,35.4671777777778,NA,5.86190097949761,35.3854,22.66615,35.3854,44.1427,1,18
"ZNF30",0.296037456179984,51.9949,90.3299777777778,NA,8.1573486936088,51.9949,58.7518,51.9949,110.0663,1,18
"ZNF354A",0.472753655143468,209.4241,323.668488888889,NA,35.691501836904,209.4241,215.8994,209.4241,410.77965,1,18
"ZNF764",0.773473943052518,295.3602,262.076044444444,NA,26.1091967686046,295.3602,208.841225,295.3602,282.764175,1,18
"ZNF747",0.616395656708505,310.5254,245.323988888889,NA,29.3119902729697,310.5254,158.635275,310.5254,314.404875,1,18
"ZNF778",0.275806231245518,24.5532,72.0035888888889,NA,9.66763531602157,24.5532,40.38645,24.5532,87.652475,1,18
"ZNF212",0.514135649946711,428.2361,553.981933333333,NA,43.2933134000676,428.2361,438.796725,428.2361,642.338075,1,18
"ZNF282",0.636648423023716,1119.3356,1388.04941666667,NA,128.164438080295,1119.3356,1060.917425,1119.3356,1618.49265,1,18
"ZNF160",0.109151298575307,257.8083,606.60685,NA,47.3303770641214,257.8083,454.3436,257.8083,805.760775,1,18
"ZNF415",0.311495619031913,87.3804,185.966438888889,NA,21.6820320454083,87.3804,125.6406,87.3804,249.198825,1,18
"ZNF439",0.332409098830377,49.1063,117.401038888889,NA,15.7038056200141,49.1063,77.4351,49.1063,156.63685,1,18
"ZNF440",0.17462267147493,74.3817,277.187466666667,NA,32.8406833187638,74.3817,154.1418,74.3817,343.712,1,18
"ZNF562",0.154331519359015,139.3753,409.356733333333,NA,41.546377766773,139.3753,307.677575,139.3753,467.048375,1,18
"ZNF561",0.179265386667456,403.683,733.771533333333,NA,54.0604620098149,403.683,594.6674,403.683,900.483525,1,18
"ZNF584",0.0251832550958176,331.4678,198.286883333333,NA,12.4482544894693,331.4678,180.058875,331.4678,205.507275,1,18
"ZNF274",0.832515500462935,254.9197,291.263805555556,NA,38.8257104507994,254.9197,188.95005,254.9197,384.906725,1,18
"ZIK1",0.66485533084361,0,9.91318888888889,NA,5.15841495854763,0,2.2679,0,8.176625,1,18
"ZNF540",0.560393635336847,15.8873,55.0302,NA,15.120154600238,15.8873,20.862575,15.8873,58.002575,1,18
"ZNF570",0.435716501729648,23.1089,37.4485555555556,NA,4.12101996613966,23.1089,21.2044,23.1089,51.7776,1,18
"ZNF57",0.198470082333072,54.1614,131.864988888889,NA,13.3216240018399,54.1614,100.603775,54.1614,158.797975,1,18
"ZNF556",0.784193856925138,6.4994,10.6852722222222,NA,3.45151661261783,6.4994,0.10885,6.4994,17.992825,1,18
"ZNF554",0.631159390336254,123.488,148.826705555556,NA,11.8901350371584,123.488,98.9903,123.488,186.9696,1,18
"ZNF738",0.319226182610699,114.8222,293.339155555556,NA,39.9130268038574,114.8222,168.390625,114.8222,406.1724,1,18
"ZNF596",0.103892333022344,17.3316,134.251316666667,NA,15.6099995653432,17.3316,80.690225,17.3316,193.41595,1,18
"ZNF621",0.0140347975897863,64.2715,497.465744444444,NA,36.3056275365032,64.2715,437.983475,64.2715,584.34135,1,18
