"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZNF643",0.999167990299988,0.131606670363833,0.807708284952545,29.0124485355649,28.8779125,26.7311571942446,0.961692830367319,3.78512285353103,0.713844668451281,18.52665,19.46975,17.99485,36.0034,35.426725,33.80575,239,16,278
"ZNF642",0.218977585004657,0.838419529022074,0.148955967577688,90.7220464435146,103.6013,89.2290165467626,1.96890556502616,8.83895521652588,1.74783302467507,70.5633,79.154975,69.0485,107.24235,118.702825,106.743425,239,16,278
"ZNF490",0.0947382010810213,0.743543421166122,0.0510483747668045,243.498879079498,287.76785625,238.16703705036,4.67008947908482,23.2125658804791,5.37728551645255,189.29125,247.184525,186.269025,283.74255,303.716325,280.465575,239,16,278
"ZNF626",0.32300118748057,0.338820678202974,0.602234061224829,258.628171129707,218.4381875,245.194795323741,8.18171657157904,18.6558397830967,5.50292183195896,192.4275,183.06255,190.68885,296.49015,262.0073,275.8984,239,16,278
"ZNF793",0.273984589205895,0.851838520271979,0.194966498828298,104.687032635983,72.4878125,108.545689928058,4.28173757740524,9.66730713695165,5.6039082125638,52.7631,39.74465,59.761575,145.92385,96.6859,140.6669,239,16,278
"ZNF383",0.639493580976332,0.946442269430815,0.704898456865075,112.20610292887,105.13870625,111.359937410072,2.05788575987714,5.92109258827758,1.76172885491011,91.596,92.959575,92.257975,131.1145,120.705025,127.844975,239,16,278
"ZNF669",0.212898188733228,0.870934148842405,0.15096841312362,63.4092347280335,51.876975,64.5820003597122,1.82273496352374,5.70924402675535,1.51460865612117,46.3949,36.680425,46.964875,76.05265,60.225075,78.749375,239,16,278
"ZNF559",0.00141636472821671,0.322543765640363,0.000198690719804273,288.88380502092,194.33518125,302.112938129496,6.79415184175181,15.5383686957619,6.33202697937549,211.5114,167.667575,222.96805,361.6377,216.0623,371.53595,239,16,278
"ZNF177",0.0753323610547384,0.85516924496703,0.0471286950382566,76.2321468619247,45.5865625,78.7899143884892,3.58378393710904,8.17524656295288,3.26766251175402,42.0451,26.557625,45.4723,95.5426,45.6253,96.270725,239,16,278
"ZNF548",0.0167893234490455,0.931303241292115,0.0230549374363624,336.256777824268,249.0624375,332.368724100719,9.6224803066981,21.5665984822574,5.80465928632283,262.2144,200.98605,272.737125,378.3884,285.607825,377.987175,239,16,278
