"Gene.ID","tumor"
"ZNF321P","BLCA"
"ZNF812","BLCA"
"ZNF736","BLCA"
"KRBOX1","BLCA"
"ZNF487P","BLCA"
"RP11-15K19.2","BLCA"
"AC003682.1","BLCA"
"AC005324.8-001.1","BLCA"
"RP4-734P14.4","BLCA"
"CTD-2140B24.4","BLCA"
"CTD-2006C1.10","BLCA"
"ZNF625.1","BLCA"
"ZIM2.1","BLCA"
"AC078899.2","BLCA"
"AC002310.13","BLCA"
"AC002310.11.1","BLCA"
