"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-1","count-2","count-3","count-4","count-5"
"ZNF577",0.454780088173874,0.118587742064464,0.984303522562809,0.944623648019073,0.182157569224031,0.0321457868451035,1.29108787936261e-05,0.0905617067637315,0.236981475716985,2.64794875903807e-06,293.428241044776,262.617275362319,251.892766666667,305.956171578947,214.439488888889,16.1391297448067,10.8968519890974,10.218852371865,10.4440121439616,7.41430114696553,165.76685,204.6913,193.091325,234.9496,163.00145,363.741825,314.3996,292.8603,356.47625,256.908475,134,69,84,95,108
"ZNF75A",0.0987401927189393,1.11521691881222e-09,0.00645203575880393,0.193481523023436,0.989413524006795,0.000311737162563053,6.94619917140926e-11,7.77511082565852e-05,0.863240121796598,6.70187395912514e-07,388.825415671642,344.071714492754,276.514945238095,353.289042105263,259.055259259259,16.7673908921027,8.5035015233677,7.38621962032734,10.6506937690853,6.55804541762929,285.22975,294.1837,231.65335,294.1965,213.04205,468.34725,389.9315,305.115475,405.94155,304.632625,134,69,84,95,108
"ZNF496",0.999873092389513,6.94422297442543e-11,7.64841523448467e-11,0.928294855918725,0.983072578018508,6.9437122718341e-11,0.641313037999513,0.687978418761852,2.85518053644296e-10,0.24948958045178,344.580632835821,342.021576811594,476.34100952381,332.44398,364.567703703704,10.4439084036326,9.85551792449786,14.4841845260811,10.9101382484423,10.0429399430802,259.571525,291.9386,382.3225,244.02155,283.8404,412.48945,402.5974,558.36635,400.2984,433.362625,134,69,84,95,108
"ZNF2",0.931603018883332,1.65158228475626e-05,1.42492900723212e-05,0.999197172710756,0.875290192340871,0.000212546645388612,9.84849757301731e-10,5.79375680764826e-09,0.720846366812629,8.64127081001698e-08,126.019732089552,128.862388405797,109.764553571429,125.226677894737,105.377886111111,2.23809480425523,2.674899702754,2.35127085389715,2.89757884725406,1.97484190542388,107.540775,113.2908,96.324525,109.0971,91.67955,141.2427,146.3952,126.274925,145.4999,119.469075,134,69,84,95,108
"ZNF589",1.92223356121346e-08,6.94533319745005e-11,0.546309209320442,6.99182933772136e-11,0.914364129778301,0.942807247902678,6.94170276815953e-11,0.00740940842579796,0.341365697006969,0.0514646362314211,641.621488059702,487.894702898551,445.884714285714,465.082184210526,400.059173148148,21.0789494063302,15.498079394883,16.4177856123193,13.6840719231629,10.7498811640747,480.5745,396.0139,348.509975,368.53455,339.0846,794.90225,569.3452,520.402325,526.8594,443.577425,134,69,84,95,108
"PRDM9",0.93401484552046,0.932463243879967,0.999999467957463,0.976396995659765,0.728213631284101,0.711874368176508,0.822082487993861,0.999914110096317,0.999698082512228,0.532443422153753,0.0350641791044776,0.0104057971014493,0.011747619047619,0.0518021052631579,0.00585925925925926,0.0142685699662672,0.00739889535891787,0.00679960016968331,0.0439114372370298,0.00412765287257517,0,0,0,0,0,0,0,0,0,0,134,69,84,95,108
"ZNF12",0.154599819212133,0.195380068223793,0.999460383630012,2.11628647939222e-06,0.13685527606919,0.0549968543341902,5.72240632656928e-09,0.016269946678695,0.00378783713065023,0.930847617059684,758.343864925373,705.839760869565,711.455447619048,648.424894736842,630.925088888889,18.5081856666687,11.7651038318763,13.6421573418219,14.5431104302302,12.5469133628274,627.00405,643.9815,628.5996,570.2971,567.271575,868.921575,775.3197,802.3448,746.73635,697.405975,134,69,84,95,108
"ZNF202",4.98384128848617e-05,9.43999253864014e-05,0.995705803208703,0.000613596908728642,0.895739859455462,0.982550900052781,0.0763202155174456,0.15541031988638,0.273741987113831,0.579087149562739,230.792305970149,263.530205797101,260.597451190476,256.689821052632,246.750683333333,5.22913095304974,5.28387348889556,5.2816369908765,4.55923977347049,3.1432789763179,191.457,234.8538,225.9544,227.1992,228.8929,261.49095,288.7139,297.1817,293.45625,266.679,134,69,84,95,108
"ZNF3",0.547816478145292,0.0249008046421747,0.770982447359837,0.94497982146289,0.932681330498628,0.22094461393414,0.00272012827091961,0.501429824061102,0.995209978255386,0.0650812331614707,661.959265671642,634.696357971014,611.82045,649.842314736842,605.00792962963,13.4343140656997,9.43137724179653,10.0664942613891,11.622557203986,11.5051465945718,573.3354,581.8827,560.38235,573.0555,542.0542,701.041225,679.9454,676.273,722.1873,649.583375,134,69,84,95,108
"ZNF606",0.0724233309889848,0.0228202147441304,0.99955800010804,0.247926901608008,0.955961559847941,0.868366620635149,8.37589997360055e-11,0.00316952646359425,0.00342875601263859,2.78397016810761e-05,433.967774626866,399.160450724638,396.059091666667,409.205467368421,348.919930555556,10.3249002496287,8.80331023618968,8.80350231868778,9.23367721597502,5.89988863910435,362.713275,363.8512,337.797725,367.5568,307.5374,490.7367,441.89,445.545,455.6327,390.13905,134,69,84,95,108
"ZNF91",0.587171809442204,0.0463213408167653,0.838953639902819,0.000121952374209089,0.124743365495034,0.639342942077797,7.45700168280905e-11,1.8718574762322e-05,0.000840729864177936,0.0689484763192659,533.043732835821,498.141763768116,471.060697619048,437.725648421053,378.466071296296,18.6316953485772,17.334031664399,13.9937935180296,15.2320295791401,11.5463677783262,387.75735,422.4413,384.41145,351.47545,301.551925,632.959575,553.2186,546.464,520.40555,453.9995,134,69,84,95,108
"ZNF226",0.285746633866939,0.000104978569938297,0.258264111926846,0.999440522097844,0.466748959162308,0.00091286381485034,1.24621535313452e-10,0.000586344724229582,0.254348673550118,7.42671057984978e-09,480.811314179104,449.951495652174,415.147038095238,477.623952631579,383.855281481481,12.9882042746039,9.38355276313371,9.18838569445596,9.21687255136849,7.73668972098594,391.041525,384.8769,367.175675,409.95915,319.543375,540.989875,506.0477,464.726325,525.1091,443.328075,134,69,84,95,108
