"Gene.Id","tumor.median_BLCA","healthy.median_BLCA","fold.change_BLCA","log2.fold.change_BLCA","tumor.median_BRCA","healthy.median_BRCA","fold.change_BRCA","log2.fold.change_BRCA","tumor.median_CHOL","healthy.median_CHOL","fold.change_CHOL","log2.fold.change_CHOL","tumor.median_ESCA","healthy.median_ESCA","fold.change_ESCA","log2.fold.change_ESCA","tumor.median_HNSC","healthy.median_HNSC","fold.change_HNSC","log2.fold.change_HNSC","tumor.median_KICH","healthy.median_KICH","fold.change_KICH","log2.fold.change_KICH","tumor.median_KIPAN","healthy.median_KIPAN","fold.change_KIPAN","log2.fold.change_KIPAN","tumor.median_KIRC","healthy.median_KIRC","fold.change_KIRC","log2.fold.change_KIRC","tumor.median_KIRP","healthy.median_KIRP","fold.change_KIRP","log2.fold.change_KIRP","tumor.median_LIHC","healthy.median_LIHC","fold.change_LIHC","log2.fold.change_LIHC","tumor.median_LUAD","healthy.median_LUAD","fold.change_LUAD","log2.fold.change_LUAD","tumor.median_LUSC","healthy.median_LUSC","fold.change_LUSC","log2.fold.change_LUSC","tumor.median_PRAD","healthy.median_PRAD","fold.change_PRAD","log2.fold.change_PRAD","tumor.median_STES","healthy.median_STES","fold.change_STES","log2.fold.change_STES","tumor.median_THCA","healthy.median_THCA","fold.change_THCA","log2.fold.change_THCA","tumor.median_UCEC","healthy.median_UCEC","fold.change_UCEC","log2.fold.change_UCEC"
"ZNF200",222.7771,178.4257,1.24857069357161,0.320277508392945,248.7562,197.12665,1.26191055344369,0.335609653049026,183.26415,117.0599,1.56555874385678,0.646677643181677,218.502,151.8781,1.43866693091367,0.524732629091668,255.0566,158.6769,1.60739590954953,0.68472531569387,187.7146,164.6041,1.14040051250242,0.189540592743938,185.5331,153.4827,1.20882092900372,0.273600544030749,192.6445,159.26775,1.20956376918742,0.274486831380895,163.47535,136.9963,1.19328295727695,0.254936182728608,198.0431,126.38715,1.56695597614156,0.647964647650669,205.3998,172.1679,1.19302030169387,0.254618593665042,243.7766,174.2531,1.39897998945212,0.484375326816711,176.2144,163.50865,1.07770689807542,0.107964864370918,214.7556,151.8781,1.41399978008679,0.499781895771274,159.6571,175.5716,0.909356068976987,-0.137082785768555,237.2726,168.5668,1.40758797105954,0.493225090295062
"ZNF202",254.8123,227.9152,1.11801362963067,0.160937776088722,226.4717,302.83285,0.747843901346898,-0.419190929392832,243.23945,123.8121,1.96458544843355,0.974224918293109,257.08155,228.5539,1.1248180407335,0.169691638808317,205.7718,209.612,0.981679483999008,-0.0266760299444478,176.6799,184.945,0.955310497715537,-0.0659583767034091,210.4462,166.843,1.26134269942401,0.334960300717042,232.5999,157.9839,1.47230129146071,0.558072934450381,193.99265,160.4998,1.20867845318187,0.273430492974369,151.4374,121.3712,1.24772104090591,0.319295419867247,237.9944,190.0968,1.25196426241788,0.324193380826156,293.5277,199.1602,1.47382709999287,0.559567286567476,218.0695,221.9777,0.982393726937436,-0.0256267464605683,250.8756,225.2792,1.11362078700564,0.155258046103563,246.362,256.2527,0.961402553026758,-0.056787460296354,251.86605,291.6667,0.863540644166784,-0.211664012375891
"ZNF205",344.093,213.4617,1.61196598734105,0.688821303163601,304.6032,179.2098,1.69970169042095,0.765281565472039,438.7728,230.7723,1.90132351239729,0.927004029104653,257.183,204.547,1.25732961128738,0.330362904518907,307.154,258.5792,1.18785269658194,0.248355941284361,360.696,251.5736,1.43375934517771,0.519802889691915,360.7475,199.3904,1.80925210040203,0.855393446466314,328.5967,169.46275,1.93904973216828,0.955349805730652,448.69685,268.1468,1.67332539489563,0.742718019168913,317.6872,197.14805,1.61141436600565,0.688327522544767,277.1193,223.1095,1.24207754488267,0.31275524612311,246.283,191.7566,1.28435214224699,0.361040813224218,367.7533,263.8147,1.39398335270931,0.479213332291605,257.1679,204.547,1.25725578962292,0.330278196996771,348.12,278.0376,1.25206087234245,0.324304704516322,602.46585,414.4839,1.45353257388285,0.539563402848534
"ZNF208",9.44235,43.8247,0.215457264967016,-2.21452634962923,29.2388,111.1747,0.262998685852087,-1.92687250418885,13.64605,10.8893,1.25316136023436,0.325572191692267,9.90975,30.4256,0.325704341081195,-1.61836514637069,3.86715,6.38205,0.605941664512187,-0.722749186288156,115.46625,79.1201,1.45937947500066,0.545355068669061,38.4164,90.5255,0.424371033576175,-1.23660190975203,48.028,93.1392,0.515658283515426,-0.9555127579013,17.40765,92.87405,0.187432872799237,-2.41555409351589,8.0952,6.00385,1.34833481849147,0.431178791028605,14.7111,20.6186,0.713486851677611,-0.487041251303055,8.0602,22.1242,0.36431599786659,-1.45673774670197,15.0824,35.1694,0.428850079899003,-1.22145470540884,12.3164,36.8066,0.334624768383931,-1.5793838596062,240.0464,235.2705,1.02029961257361,0.0289928640620101,5.66335,154.3922,0.0366815810643284,-4.76880036587701
"ZNF211",309.1989,287,1.07734808362369,0.107484449867076,219.7393,307.20535,0.715284743576243,-0.483410424509081,176.7464,118.0713,1.49694633666268,0.582022503815628,182.09545,235.8477,0.772089149056785,-0.373160657398415,153.27945,149.51195,1.02519865468947,0.0359034905758219,250.33035,206.4402,1.21260466711425,0.27810928025607,210.012,210.7942,0.996289271716205,-0.00536340653100672,217.1211,215.58485,1.00712596455642,0.0102441372431157,180.36555,209.6979,0.860120916804603,-0.217388605058824,107.2891,102.2939,1.04883184627822,0.0687833967079063,206.9482,221.9562,0.932383055756046,-0.101005308351564,183.7372,224.5345,0.818302755255874,-0.289293385344041,218.4021,226.74585,0.963202193116214,-0.0540894179119615,185.925,246.124,0.755411906193626,-0.404664572333616,315.398,401.2749,0.785989853838354,-0.347417405700642,238.97395,304.1302,0.785761986149353,-0.347835720575598
"ZNF212",443.8097,339.1752,1.30849690661346,0.387910513748804,338.5817,308.33145,1.09810951818246,0.135021946382692,367.48285,287.2084,1.27949896312225,0.355578978249578,244.8776,221.6216,1.10493561999372,0.143962312221568,417.38705,403.6175,1.03411534435449,0.0483971116174943,321.6992,272.1984,1.18185558768898,0.241053761697115,288.5906,266.0643,1.08466487236356,0.117249363717986,266.5793,258.00405,1.03323688135903,0.047171046443239,362.82145,292.78935,1.23918936942208,0.309396672910363,333.6362,273.0742,1.22177854956638,0.288982816748782,383.7731,259.3968,1.47948278467583,0.565092909369075,408.1341,250.7533,1.62763201919975,0.70277456687491,402.444,347.1831,1.15916932592629,0.21309132374839,237.8741,208.7972,1.13925905136659,0.188095832759807,350.3515,377.3202,0.928525692502018,-0.106986264497881,428.63875,347.907,1.23204980066512,0.301060572364402
"ZNF213",490.68685,399.8877,1.22706162255053,0.295207702395843,694.7853,437.30015,1.58880645250179,0.667943387101173,478.35445,114.2558,4.18669730551972,2.06581261628419,671.1687,649.6591,1.03310905673452,0.0469925555635487,474.96975,520.21375,0.913028058178008,-0.131268898673179,463.0603,384.5087,1.20429082618937,0.268183832990749,400.5302,347.0754,1.15401494891312,0.206661912530307,345.6627,305.2907,1.13224117210252,0.179181290976843,505.93805,406.7508,1.24385262426036,0.314815560352691,162.531,88.2817,1.84104973057836,0.880528597404698,495.5586,363.2555,1.36421499468005,0.448071025092693,431.8844,368.4028,1.17231573701394,0.229361179724085,613.8794,542.55785,1.13145427717984,0.178178285516247,659.5182,649.6591,1.01517580528003,0.0217295909007334,580.3893,419.1691,1.38461852269168,0.469488553004869,1026.4107,768.4606,1.33567121072961,0.417564917222686
"ZNF214",27.8796,31.7808,0.877246639480441,-0.188945578864866,43.222,75.81,0.570135865980741,-0.810622333821618,34.63395,29.3239,1.18108266635748,0.240109945404144,21.62625,27.3166,0.791688936397648,-0.3369944045678,8.06925,14.9582,0.539453276463746,-0.890430085559892,22.39735,76.6683,0.292133124120399,-1.77530214447494,65.3156,83.9566,0.777968617118845,-0.362216136128599,66.6911,94.61925,0.704836489403583,-0.504639480335471,70.683,68.8167,1.0271198706128,0.0386045620328408,20.6872,21.85365,0.946624476918044,-0.0791358684885291,33.8804,43.8312,0.772974502181095,-0.371507269590535,15.465,38.7931,0.398653368769188,-1.32679323442272,55.8282,73.2209,0.76246263020531,-0.391261464916152,24.6233,28.4698,0.864891920561437,-0.209408234290712,89.7436,125.9117,0.71275028452479,-0.48853138481053,29.19285,123.0916,0.23716362448778,-2.07604534468055
"ZNF215",45.7558,23.6549,1.93430536590727,0.951815568911846,13.1716,25.11905,0.52436696451498,-0.931351297259982,14.49075,7.6357,1.89776313893946,0.924299939881899,49.8032,17.7696,2.80271925085539,1.48682723645595,23.98985,25.5546,0.938768362643125,-0.0911588723562412,6.08965,41.1039,0.148152608389958,-2.75484406812829,34.9068,39.9042,0.874765062324266,-0.193032493863577,35.3173,40.46525,0.872780966384738,-0.196308455189371,37.7703,31.99485,1.18051186362805,0.239412540093753,4.6763,5.543,0.843640627818871,-0.245299521162306,34.3446,13.7987,2.48897359896222,1.315550927447,38.9665,18.4075,2.11688170582643,1.0819406518746,20.9953,34.55175,0.607647948367304,-0.718692380178329,50,24.4082,2.04849190026303,1.0345621884133,52.2341,41.721,1.2519858105031,0.324218211445603,15.7541,30.303,0.51988581988582,-0.943733289272661
"ZNF221",12.4439,14.7059,0.846184184578978,-0.24095637331825,18.3044,35.6226,0.513842336045095,-0.96060233449274,10.9542,7.5847,1.444249607763,0.530320102863286,24.0557,55.9852,0.429679629616399,-1.21866671188306,8.7657,10.9418,0.801120473779451,-0.319908881148715,13.9379,15.4852,0.900078784904296,-0.15187680720497,13.3983,18.8839,0.709509158595417,-0.495106787662973,15.2091,20.5724,0.739296338784002,-0.435775326188451,10.1657,18.17915,0.559195561948716,-0.838575184066693,8.3785,5.2064,1.60926936078672,0.686405825717578,11.5937,12.3821,0.936327440418023,-0.0949149560430122,10.2274,12.743,0.802589657066625,-0.317265530589584,13.6337,19.41615,0.702183491577888,-0.510080016211671,24.5339,44.6674,0.549257400251638,-0.86444569239736,15.9574,27.5989,0.578189710459475,-0.790385160235625,16.83845,26.6193,0.632565469415049,-0.660713290950101
"ZNF222",73.2698,73.5836,0.99573546279334,-0.00616558272225636,66.3952,75.9369,0.874346990725194,-0.193722157894138,59.1433,41.4508,1.42683132774277,0.512814797314169,26.63425,33.4012,0.797403985485551,-0.326617278834949,39.38015,36.51635,1.07842514380545,0.108926038891815,58.9629,63.4702,0.928985571181436,-0.106271905756985,56.6221,59.348,0.95406921884478,-0.0678341556361654,64.8632,59.83015,1.08412230288575,0.116527520357574,40.3315,56.056,0.719485871271586,-0.474961738215818,47.6448,39.8246,1.19636606519588,0.258658894249321,62.377,64.8065,0.962511476472268,-0.055124352165533,59.2535,66.6379,0.889186183838326,-0.169442562922353,61.3693,59.3997,1.033158416625,0.0470614830089445,27.0768,33.8631,0.799596020447035,-0.322656803014445,68.09,91.0878,0.747520524153619,-0.419814903953678,41.4865,50.6326,0.819363414084997,-0.287424619321446
"ZNF223",99.05035,61.2368,1.61749715857132,0.693763177863117,97.2646,113.1794,0.859384304917679,-0.218624665720819,84.7558,38.1783,2.21999931898487,1.15055923400903,54.1202,80.2206,0.674642174204631,-0.567805585879033,54.51705,59.60265,0.914674934755418,-0.128668978091561,104.72305,104.1795,1.00521743721174,0.0075076025555441,84.4991,106.9054,0.790410026060424,-0.339326847792816,91.9252,114.498,0.802854198326608,-0.316790082798543,67.89695,96.4573,0.703906806431447,-0.506543658637052,45.6456,42.2358,1.08073245919339,0.112009420790764,91.3219,86.5266,1.05541995178361,0.0778171617791642,91.6266,82.0078,1.11729128204878,0.160005350892481,94.1941,104.958,0.897445644924637,-0.156103532188296,58.2567,61.0271,0.954603774388755,-0.0670260542429248,109.4253,138.412,0.790576684102534,-0.339022687447606,63.73685,77.0713,0.8269855315792,-0.274066005758686
"ZNF224",196.5573,134.8892,1.45717596367982,0.543175102934257,212.3512,283.88585,0.748016148039784,-0.418858679793899,269.44425,160.885,1.67476302949312,0.74395697595199,163.59265,184.2977,0.887654322327408,-0.171930135155202,117.4707,87.92135,1.33608844723153,0.418015515415757,209.9178,176.8654,1.18687883554387,0.247172662627472,233.7816,182.6961,1.27962009041244,0.355715548481247,263.3626,189.1164,1.3925952482175,0.477776005792691,178.35415,160.0037,1.11468766034785,0.156639518223828,135.9797,108.6673,1.25133963943155,0.323473419895446,216.6519,194.6871,1.11282103436745,0.154221594844347,164.3405,200.022,0.821612122666507,-0.283470626495829,177.9438,190.5366,0.933908760836501,-0.0986464836230709,166.2451,180.7297,0.919854899333093,-0.120521790807227,213.7895,251.3493,0.850567318070908,-0.233502672515804,170.5518,198.8387,0.857739464198871,-0.221388594933803
"ZNF225",55.51375,48.2402,1.15077777455317,0.202609263093249,82.271,110.84365,0.742225648469714,-0.430070238987041,64.0015,50.9642,1.25581290396003,0.328621541749365,58.38425,92.0543,0.634237075291431,-0.656905880050962,45.9163,41.97475,1.09390288208983,0.129484659751282,58.33645,71.0342,0.821244555439492,-0.284116193977791,80.5322,83.5887,0.96343405268894,-0.0537421778368324,97.502,96.9036,1.00617520917696,0.00888154908104292,61.744,71.4912,0.863658744013249,-0.211466719504833,47.3037,42.8911,1.10287915208516,0.141274716369821,69.9081,72.3756,0.965907018387412,-0.0500437780496672,65.0674,67.443,0.96477618136797,-0.0517338048202685,69.1748,76.26735,0.907004111195682,-0.140819004786067,62.1075,80.1682,0.774714911897735,-0.368262585608273,69.5127,112.633,0.617161045164383,-0.696281092152044,60.9116,80.7453,0.75436712725075,-0.40666128523918
"ZNF226",332.4683,273.8516,1.21404549033126,0.279822480445116,310.8356,360.43375,0.862393158243367,-0.213582362306591,353.457,205.1282,1.72310291807757,0.785008873916796,189.51115,260.695,0.72694585626882,-0.460080180262938,169.5672,168.1608,1.00836342358029,0.0120156933047663,378.9274,261.9894,1.44634630256033,0.53241302197804,292.4272,248.2054,1.17816614787591,0.236543005903728,297.738,245.53845,1.21259216224587,0.278094402526244,269.86095,245.47555,1.09933942504661,0.136636892408544,208.4461,157.5423,1.32311195152032,0.40393513649947,284.6036,246.7806,1.15326569430498,0.205724925563684,239.138,233.4654,1.0242973905341,0.0346346426418794,418.9304,328.1267,1.27673365197041,0.352457586074247,193.2138,260.695,0.741148852106868,-0.432164772828615,433.9444,514.948,0.84269557314525,-0.246916548458475,275.54765,371.3355,0.742044997044452,-0.430421421458284
"ZNF227",249.3588,219.726,1.13486251058136,0.182517524549313,310.6362,380.1772,0.817082665662223,-0.291446049187396,293.63745,192.7254,1.52360534729724,0.60748925635445,231.85195,256.5382,0.90377164102656,-0.145969806734651,193.92605,179.22905,1.08200121576274,0.113702120212679,299.07485,224.1973,1.33398060547562,0.415737691569321,257.4763,240.1549,1.0721259487106,0.100474397313207,290.3386,258.9301,1.12130107700881,0.165173703645299,175.41965,208.98825,0.839375658679375,-0.252611468227436,185.2632,174.32935,1.06271950190831,0.087760856881601,213.4191,217.6338,0.980633982405306,-0.0282133379566689,264.0401,227.4138,1.16105574947519,0.215437246587969,404.7502,340.7035,1.18798368669532,0.248515025292426,237.4938,256.5382,0.925763882337991,-0.111283816323555,252.302,322.4587,0.782431982762444,-0.353962751655346,229.4977,298.9494,0.767680751324472,-0.381421620185844
"ZNF229",124.2375,111.7222,1.11202160358461,0.153184816012521,111.2372,199.0563,0.558822805407314,-0.839537196944776,71.6672,33.1197,2.1638843347011,1.11362338538799,17.56465,131.8321,0.133235001187116,-2.90795496288528,12.0394,62.32745,0.193163686305151,-2.37210419383811,207.65005,188.3246,1.10261776740798,0.140932754088235,120.3114,200.4512,0.600202942162481,-0.736477703920475,118.2075,222.97735,0.530132320614627,-0.915575594704893,104.56475,183.31735,0.570402910581022,-0.809946751481975,28.0176,29.0746,0.963645243614701,-0.0534259644842412,86.3734,47.6603,1.81227142926083,0.85779904827726,74.7855,50.1008,1.49270071535784,0.577924935900123,227.3497,176.57815,1.28753019555364,0.364606267219867,19.5811,127.7451,0.15328259166105,-2.70573423579265,265.8477,360.7135,0.737005130110184,-0.440253433289184,5.843,195.8115,0.0298399225786024,-5.06661239733209
"ZNF230",97.20715,95.6175,1.01662509477868,0.0237877483974263,118.7813,141.30445,0.840605515254474,-0.250499172772712,103.92015,62.9921,1.64973306176489,0.72223260530557,71.2203,85.5856,0.832152838795311,-0.265079567096025,64.8893,64.0933,1.01241939485094,0.0178070504388129,83.90105,98.3389,0.853182718130872,-0.229073351805455,111.3611,102.8531,1.082719918019,0.114660089535292,132.0826,110.174,1.19885453918347,0.261656622614227,78.51675,90.34465,0.869080238840927,-0.202438713205705,64.0676,63.6539,1.00649920900369,0.00934603846203262,94.4666,112.2172,0.841819257653907,-0.24841758140226,90.2071,105.3725,0.856078198771027,-0.224185508744173,89.5649,104.8443,0.854265801765093,-0.227243065762475,75.7585,95.8084,0.790729205372389,-0.338744383696515,128.8144,172.5384,0.746583948848488,-0.421623603076831,95.21695,128.131,0.743121883072793,-0.42832924121138
"ZNF233",23.57135,27.8884,0.845202664907273,-0.242630778818429,51.4238,33.97465,1.51359322318258,0.59797753441972,38.23075,5.6886,6.72059030341384,2.74858795776673,20.7373,27.3166,0.759146453072491,-0.39754986044617,6.82265,8.0559,0.846913442321777,-0.239713566551042,71.60995,27.7026,2.58495411982991,1.37013867447395,16.0875,31.2249,0.515213819740015,-0.95675680305947,18.1672,31.44125,0.57781417723532,-0.791322492618331,8.73375,33.28135,0.262421746714,-1.93004081480773,14.0056,6.66375,2.10175951978991,1.07159760771402,21.3716,14.0056,1.5259324841492,0.609691130627247,17.9145,14.0256,1.27727156057495,0.35306528889637,124.6305,69.12875,1.80287507006853,0.850299428918259,21.4229,27.9938,0.765273024741193,-0.385953548169762,63.6228,31.6742,2.00866320222768,1.00623568392716,23.1301,27.9383,0.827899335321047,-0.272472734483968
"ZNF235",63.674,58.0822,1.09627390147067,0.132608297317495,86.7128,109.53775,0.791624805147084,-0.337111275703038,86.75565,53.719,1.6149900407677,0.691525268213718,73.82295,103.5612,0.712843709806375,-0.488342292837407,54.6895,52.7241,1.03727707063753,0.0528013088508148,69.158,75.5141,0.91582896439208,-0.126849901874126,74.6888,76.6106,0.974914698488199,-0.0366521011038111,84.501,80.81195,1.04564980798013,0.0643997685245678,54.29785,72.9599,0.744214972882364,-0.426208678508823,56.9343,49.1592,1.15816164624323,0.211836626348102,69.5073,82.2804,0.844761328335788,-0.243384302680552,67.8269,81.9353,0.827810479732179,-0.272627582291684,101.7592,86.84925,1.17167620906341,0.228573938260063,75.4953,99.1187,0.761665558567657,-0.392770434321981,75.0924,126.5054,0.593590471236801,-0.752460161974724,66.73485,110.7655,0.602487687953379,-0.730996335221268
"ZNF248",247.40385,305.8963,0.808783401433754,-0.306174705602585,281.2172,392.76865,0.715986879299048,-0.481994945028609,289.2758,159.2582,1.81639501137147,0.861077979598116,244.02685,373.2609,0.653770191305867,-0.61314449605626,138.4833,157.71735,0.878047342286692,-0.187629366241877,206.81255,298.3829,0.693111267435232,-0.528841123345177,452.1866,296.0678,1.52730759643568,0.610990647047935,528.0123,299.3715,1.76373602697652,0.818634653259654,396.05225,269.53895,1.46936926926517,0.55519700718746,168.952,114.4804,1.47581594753338,0.561512810735907,268.1341,275.4704,0.973368100529131,-0.0389425998708347,220.1577,255.3111,0.862311509370333,-0.21371895893849,408.3396,478.37005,0.853606115182169,-0.228357583308684,252.4168,344.1441,0.733462523402261,-0.447204842257928,437.0909,662.1836,0.660075090956647,-0.599297938312531,345.71555,599.4994,0.576673721441589,-0.794172813448972
"ZNF25",148.3702,306.8493,0.483527907673245,-1.04832893507177,296.5277,547.9227,0.541185280332426,-0.885805494819416,227.68,117.5634,1.93665715690427,0.953568578715501,168.77405,291.8919,0.578207377457202,-0.790341078336289,124.74265,158.1736,0.78864393299514,-0.342554013976533,118.9238,373.5838,0.31833232597345,-1.65139442784885,358.0583,351.3152,1.01919387490208,0.0274285124998808,473.3527,368.84555,1.28333580274996,0.359898721147441,220.3775,295.5319,0.745697841755831,-0.423336928893136,114.7793,119.01455,0.964414014925066,-0.0522754784595979,220.4844,388.9628,0.566852151413965,-0.81895559999566,191.5812,372.1713,0.514766184281271,-0.958010810893789,296.1007,393.8334,0.751842530369441,-0.411497566554077,175.5631,291.8919,0.601466159218533,-0.733444526731283,265.4321,359.6448,0.738039587948999,-0.438229891330809,153.89485,534.418,0.287967190476369,-1.79602364722478
"ZNF250",198.5596,190.1237,1.04437058609737,0.0626337309278554,307.4987,273.35345,1.12491245308958,0.169812727301692,238.0453,127.1391,1.87232173265345,0.904828363458396,194.3168,223.4302,0.869698008595078,-0.201413564197154,202.4513,171.0127,1.18383780853703,0.243471438359056,311.9945,284.0236,1.09848090088288,0.135509786064251,252.8308,282.2519,0.895762969177533,-0.158811068443915,221.2263,286.13705,0.773148042170701,-0.371183407443428,391.10285,276.60635,1.41393301346842,0.499713772604087,141.504,96.3978,1.46791731761513,0.553770708762862,202.704,191.3222,1.05949022120799,0.0833702721085357,173.3655,201.6012,0.859942797959536,-0.217687397682819,211.5674,226.12695,0.935613380006231,-0.0960156013772165,196.6874,216.2162,0.909679293225947,-0.136570081028817,416.838,488.7719,0.852827259504894,-0.229674542198341,296.23375,363.1433,0.815748906836502,-0.293802945886329
"ZNF251",322.657,266.7583,1.2095481190276,0.274468164689143,472.982,430.06635,1.099788439621,0.13722602696427,364.71145,196.2993,1.85793556064642,0.89370046515005,252.9186,226.5193,1.11654327026439,0.159039162119829,226.0147,148.6479,1.52047018491348,0.604517526661902,201.25935,311.4867,0.646125019142069,-0.630114754974767,286.7407,266.7368,1.07499490134095,0.104329817184433,303.4038,261.9362,1.15831183318686,0.21202369860342,270.49225,259.5674,1.04208868293938,0.0594780578397234,302.0335,139.77535,2.16084953462824,1.11159861722137,318.2844,209.9523,1.51598434501551,0.60025485543176,294.2267,219.0853,1.34297782644477,0.425435485001947,319.7734,300.28625,1.06489524578631,0.0907115188852555,254.1356,226.5193,1.12191588089845,0.165964509493817,545.2449,594.0442,0.917852408962161,-0.123665908543459,397.67705,515.4143,0.771567746568149,-0.374135258445321
"ZNF253",167.627,93.2572,1.79746979321704,0.845967526134862,297.0954,277.53005,1.07049813164376,0.0982822777686063,148.82525,103.6269,1.43616425850817,0.522220764051539,135.2657,185.2776,0.730070445644805,-0.453892416265996,42.89455,86.7934,0.494214421833918,-1.01679098384694,293.03575,229.4965,1.2768636994464,0.352604530813785,208.9891,261.9053,0.797956742379784,-0.325617555514563,224.2864,295.8325,0.758153346910836,-0.399438412120805,148.2076,216.97995,0.683047442862808,-0.54994230670024,120.2105,107.39,1.11938262408045,0.162703258396032,169.6769,139.6357,1.21513982455776,0.281122332423286,114.6233,123.0041,0.931865685777954,-0.101806067503743,296.1294,228.97045,1.2933083723249,0.371066307770688,153.5791,277.0675,0.55430211049654,-0.851255594213413,308.5883,408.9316,0.754620821672867,-0.406176187013713,220.51305,233.3629,0.944936191656857,-0.08171118257827
"ZNF254",357.7072,238.7068,1.49852119839066,0.583539492658138,401.4781,393.5519,1.02014016448656,0.0287673881939967,240.5357,306.5587,0.784631785038232,-0.349912315439451,195.77085,528.7085,0.370281260846005,-1.43330655528497,107.06195,178.07475,0.601219150946442,-0.734037129985354,712.00345,369.6877,1.925959262372,0.945577187815089,291.4213,374.607,0.77793874647297,-0.362271530471071,282.3559,396.94135,0.711329016238797,-0.491411080327016,282.4613,286.02865,0.987527997632405,-0.0181064439529535,200.2484,271.9747,0.736275837421643,-0.441681737942867,451.1338,327.6456,1.37689564578313,0.461419222496742,192.1057,288.4713,0.665943891125391,-0.586527466247244,378.0549,374.02505,1.01077427835382,0.015460856926442,228.885,383.632,0.596626454518914,-0.745100146451423,607.7111,782.4836,0.776643881098594,-0.364674871732082,360.87515,314.1233,1.14883279909513,0.200168843702927
"ZNF256",117.4032,116.4978,1.00777182058374,0.0111690212015264,129.2796,140.05325,0.923074616262029,-0.115480822790716,106.65655,45.615,2.33819028828236,1.22539234509202,49.7511,94.9612,0.523909765251492,-0.93260974196876,65.8158,80.4872,0.817717599817114,-0.290325402926255,141.7447,85.8178,1.65169347151756,0.723945969957005,94.7573,85.4271,1.1092182691441,0.14954328328821,106.6976,87.9134,1.21366708601874,0.27937273854827,71.57,79.7555,0.897367579665352,-0.156229032001829,48.5629,38.57235,1.25900807184421,0.332287532598059,77.4628,71.6535,1.08107489515516,0.112466474160489,116.5678,76.4142,1.52547301417799,0.609256658673737,104.7352,112.6877,0.929428855145681,-0.105583659281935,53.1792,95.9307,0.554350171530073,-0.851130510062311,109.5299,133.088,0.822988548930031,-0.281055737772404,95.8262,129.8429,0.738016479915344,-0.438275062847375
"ZNF257",32.36375,19.9152,1.6250778299992,0.70050881491955,52.5934,48.6599,1.08083658207271,0.11214841016274,4.81685,4.3443,1.10877471629492,0.14896626477767,4.42105,26.7227,0.165441740542685,-2.59560482605677,2.8833,7.47605,0.385671577905445,-1.37455526451763,82.95155,28.7081,2.88948241088752,1.5308110878396,23.2959,30.9874,0.751786209878854,-0.411605642823615,26.8931,34.14175,0.787689558971055,-0.344300942335223,14.45075,22.67555,0.637283329401051,-0.649993172886714,5.6402,3.497,1.61286817271947,0.689628525079993,15.9457,17.0394,0.935813467610362,-0.0957071037240054,6.4246,15.644,0.410675019176681,-1.28393090215043,11.7572,26.21405,0.448507575136234,-1.15679574292189,5.3836,35.4523,0.151854745672354,-2.7192360994476,42.4864,74.3367,0.571540033388622,-0.807073539669942,12.52715,52.5292,0.238479740791788,-2.06806138253775
"ZNF26",236.50585,165.2941,1.43081846236496,0.516840639178602,210.9181,233.5535,0.903082591354872,-0.147070159574019,245.4488,135.0823,1.81703154299268,0.861583464439458,242.08015,215.5633,1.12301189488192,0.167373208768146,159.90575,123.9366,1.29022217811365,0.367619521201129,187.8937,155.1894,1.21073797566071,0.275886675009901,213.4752,141.7756,1.50572595002243,0.590459215878922,221.0817,141.68115,1.5604171761734,0.641931783918463,206.86935,126.19155,1.63932806911398,0.713104601429989,155.9256,110.3669,1.41279314722077,0.498550250297071,246.8614,171.5138,1.43930925674785,0.525376609618655,248.1647,178.729,1.38849711015,0.473524174508868,195.3668,151.43555,1.29009865913255,0.367481398670743,240.2321,190.6077,1.26034834899115,0.333822536823525,201.4491,202.9653,0.992529757549689,-0.0108177377946987,199.5261,195.2085,1.02211788933371,0.0315616038572075
"ZNF263",594.16405,670.5019,0.886148197342916,-0.174380103000187,892.6666,768.44015,1.16166054051184,0.216188547168963,805.41905,509.4613,1.58092292780629,0.660767036018876,546.8631,597.6276,0.915056633930561,-0.12806705863572,617.3822,568.3472,1.08627648733028,0.119391355565936,807.1615,593.6516,1.35965522538809,0.443240866415178,673.1094,545.6029,1.23369835460919,0.302989691483101,640.872,531.28585,1.20626589245695,0.27054794989806,715.74605,542.3033,1.31982610100289,0.400347854016997,621.6938,508.73765,1.22203222033989,0.289282324036979,655.7547,566.4418,1.15767356858198,0.211228511204704,654.1238,594.6574,1.10000110988277,0.137504979405894,794.535,663.6972,1.19713477772695,0.259585585207338,548.4411,576.1476,0.951910760367656,-0.0711017646416001,664.208,718.2362,0.924776556792877,-0.112823269093909,585.40365,740.9772,0.79004273005971,-0.339997410232921
