"gene","WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZNF528",0.163937747133963,201.307767892977,229.461303883495,9.6304815324499,20.0565774033226,79.19415,88.89705,274.4866,300.6499
"ZNF701",0.0726402737875855,96.2629260869565,110.646373786408,3.74381778877213,8.21023597047986,51.2552,47.87565,133.50035,153.63575
"ZNF283",0.106999894774671,45.7898284280936,50.1754660194175,1.34309611329563,2.48957991858227,29.58755,32.83885,56.9676,60.57285
"ZNF558",0.531979299426475,460.261737458194,441.259338834951,16.3249510497545,20.7713196744047,306.31025,306.0859,540.4735,518.2728
"ZNF597",0.0358174347872982,42.2500468227425,34.2471893203884,1.96552946541827,3.05773593448156,12.30815,9.09195,61.48605,50.1508
"ZNF30",0.516518198993283,81.4434785953177,85.3095077669903,3.12054671651592,4.5628123889041,48.25795,55.30905,101.0485,101.77875
"ZNF354A",0.783078384544976,269.867373578595,265.153366990291,8.75066886028078,14.3028317186139,183.9573,185.9324,317.9067,334.6161
"ZNF764",0.810777500861255,204.368573578595,201.412685436893,5.60046848904099,13.3409553461777,145.62315,141.82715,237.30325,217.85505
"ZNF747",0.22413533960925,243.593401337793,228.444110679612,6.29057120225416,10.7702430195283,178.99645,166.6653,280.39315,256.7656
"ZNF778",0.901811803856471,66.3663461538462,66.8095446601942,1.89050433066485,2.69851180021382,44.98245,49.0863,79.3441,81.20445
"ZNF212",0.194291356907417,426.303242474916,452.03674368932,10.6799071978712,13.2389000424539,315.8894,343.50335,508.02415,541.44895
"ZNF282",0.322708896255839,962.243037458194,1003.03336796117,21.8623969902726,29.9447878160162,704.49635,777.50245,1140.7782,1203.78465
"ZNF160",0.00194226922488572,503.189483946488,594.453570873786,14.5844721925484,26.3136279724226,341.0411,410.45465,631.95365,694.62975
"ZNF415",0.488362019340864,86.1571341137124,93.592227184466,5.32047637426797,9.75341416018598,18.31025,19.64605,137.2075,135.4552
"ZNF439",0.343804775272888,83.4488862876254,91.4647106796117,4.10807277433845,8.09310109120027,31.77875,34.9163,114.32035,120.8219
"ZNF440",0.536135007420573,399.890997658863,380.543269902913,15.4035011656497,28.9040753079843,234.97455,206.63885,478.7394,454.29655
"ZNF562",0.38256670859333,558.725679264214,533.838131067961,15.304191696341,19.4398543828496,408.79635,393.759,646.06155,644.7542
"ZNF561",0.0461610862673882,725.929219732441,644.262413592233,21.839755991955,28.5908690601911,507.9073,468.941,840.9901,702.73135
"ZNF584",0.111737159282642,217.582485284281,202.350336893204,4.97013358783667,7.54085953748293,156.21415,144.721,268.476,250.62745
"ZNF274",0.365146580486538,437.135911036789,458.31877184466,11.8396952906014,20.0845089133633,292.30675,313.20055,540.48765,573.35665
"ZIK1",0.146245336880237,74.3234240802676,88.7651970873786,4.73487940311514,9.84485241241734,14.4007,18.40315,114.65205,116.62395
"ZNF540",0.472810958275876,30.8435143812709,35.2153262135922,2.5222362508537,7.34886845680176,10.61515,12.14345,35.7496,33.2119
"ZNF570",0.55045268848256,60.7329511705686,63.7483504854369,2.52276398905709,4.50440867708004,33.2232,35.5912,75.80705,80.91245
"ZNF57",0.0209689021493936,133.020223745819,115.599083495146,4.0496738301382,5.07002504088651,86.46725,78.21585,154.8902,150.8487
"ZNF556",0.0816732869505897,19.4320608695652,14.0018514563107,1.69038579225769,1.99919628902514,0.42155,0.30735,28.42105,20.4944
"ZNF554",0.834302113991643,109.547352508361,108.129036893204,3.38271282058917,6.07154681350006,68.70285,68.46505,135.0379,136.91905
"ZNF738",0.391329707684335,193.664807023411,177.110814563107,10.202002080407,14.2372080786265,74.15325,71.43555,233.0974,254.77585
"ZNF596",0.192339861400353,46.5869200668896,41.244372815534,2.15408024144999,3.07671727973899,24.66145,19.44505,58.56765,51.496
"ZNF621",0.0250800656249415,460.009614381271,512.875285436893,12.1189569942259,19.1466344526451,335.7123,369.20025,529.7786,592.4016
"ZNF680",0.714738838356966,268.734910702341,276.14427184466,10.3287848638649,17.0928259113922,159.1977,177.5647,313.6595,337.61525
"ZNF483",0.511512619271877,10.6090050167224,11.4586145631068,0.67480326597594,1.00731335409679,4.26405,4.6081,12.81815,14.28915
"ZNF417",0.0187431103648596,148.211466889632,168.134966019417,3.94227681654385,8.71959396040176,100.1263,104.366,183.6465,198.40605
"ZNF791",0.722375674342384,220.791813712375,217.124088349515,5.27808809856912,8.6104710484618,160.70635,146.0458,262.35575,258.63845
"ZNF519",0.886135571542997,62.6484742474916,61.9332310679612,2.47380776774625,4.55800707616892,33.39835,35.50655,79.0719,74.42675
"ZNF25",0.171713031154284,208.018266220736,193.345397087379,5.64669427053769,8.03486435474773,142.2192,142.88275,250.2995,235.16955
"ZNF77",0.0289985537549807,122.029419397993,105.409476699029,3.97023642393669,5.83838091844918,74.9171,66.96015,147.16385,137.25975
"ZNF169",0.523046842654872,72.7334056856187,69.9395970873786,2.36334734309813,2.88935482939816,46.26495,50.2149,88.3885,88.9221
"ZNF613",0.113049864618816,84.1817404682274,92.8996368932039,2.75079376927907,4.87029215351445,54.3972,60.9627,106.247,121.2683
"ZNF404",0.98254710708917,36.4388876254181,36.518840776699,1.97469808085911,2.41722257549271,14.90655,19.66265,44.98835,46.50715
"ZNF135",0.0665700302078535,88.4413130434783,118.086552427184,7.65065488197506,16.1576327412515,15.5868,19.15635,109.2494,155.52275
"ZNF620",0.111177612718619,33.5685043478261,38.2845446601942,1.47990077847762,2.62280845766846,18.3273,21.3804,41.16405,50.3922
"ZNF619",0.102574854978712,49.2402280936455,53.4880485436893,1.31244082581827,2.24709278712557,33.0377,37.8678,61.67145,65.26065
"ZNF354C",0.0784665664994846,34.4514076923077,40.7697398058252,1.77139357679542,3.28654582197244,14.5878,20.80655,44.89915,49.505
"ZNF114",0.0461804610497658,44.8280488294314,63.4259165048544,4.10048534429749,10.4702131174346,6.00855,8.3531,55.6787,83.75555
"ZNF454",0.0606381958664256,9.32680334448161,12.6593155339806,0.744171303403452,2.11051111231298,2.062,2.29945,10.5214,13.61515
"ZNF543",0.0798628139010059,145.01822541806,158.568840776699,3.6894374593235,7.63259219566569,100.9128,103.7025,177.8716,198.61235
"ZNF354B",0.437924239062597,103.088960535117,108.209519417476,3.25987646132129,6.05970839481178,66.6301,70.39665,127.26775,127.84195
"ZNF223",0.615178393125147,98.8394752508361,101.843403883495,3.00242515031198,5.24762833420525,66.1385,60.6655,125.1969,136.58845
"ZNF713",0.667226833470104,52.1314685618729,54.9123563106796,3.30954858981907,5.37984687424883,21.9142,22.15415,60.20525,68.9111
"ZNF552",0.608111827958415,217.706035785953,207.058698058252,9.72244553636029,21.3056532626592,129.3505,118.7727,266.53995,225.5572
"ZNF154",0.0637675975308213,35.4243150501672,44.2539174757282,2.24658507176765,4.79566427169741,14.07545,13.5582,38.2919,47.7157
"ZNF571",0.35856910878172,75.5053652173913,70.3288067961165,2.93445695931903,4.41407062550747,43.68915,43.96,95.16505,80.3639
"ZNF443",0.816968020385987,73.6764123745819,72.5759611650485,2.41544324190338,4.046123709185,45.1995,43.40865,91.2355,95.45435
"ZNF792",0.889574913146117,100.225055852843,101.224911650485,3.44622923790997,7.09554217343562,56.6688,53.99265,126.5887,117.04715
