"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF793",0.604405478737013,111.686055905512,118.076825344353,12.2048753050441,5.91252974833883,34.36945,42.9361,145.9165,163.1146,56.4645666666667,119.260298003992,52.5448,90.5803,37.2258,74.65035,41.1576,159.8067,3.68283798369923,5.5557523538288,2.11212633062491,1.72386801358079,1.07869612783812,0.785649319994417,"LUSC"
"ZNF383",0.494764164923607,104.398737007874,108.903310192837,5.33493797131853,3.42348887949782,69.05215,71.5074,120.2276,129.67615,93.5845509803922,109.010225748503,89.8122,95.9222,76.5824,105.0976,70.5726,128.626,3.63205925047375,2.94332737885794,1.16483142363255,1.06803084658877,0.220121180727665,0.0949533151696531,"LUSC"
"ZNF669",0.788772639969373,112.613129133858,111.208968319559,4.96652705727781,2.56592139388304,67.19985,75.99605,146.5859,131.50155,82.4893411764706,111.50046746507,82.461,103.8557,68.84745,93.5492,74.9877,134.9533,2.94467079308244,2.26445353735866,1.35169545391974,1.25945234717018,0.434770139332984,0.332796537076646,"LUSC"
"ZNF559",0.811998904979434,248.251117322835,245.016249862259,10.6805122960614,7.11818153508236,175.0611,161.29555,295.37755,303.31905,298.858660784314,245.584143712575,307.7335,220.6239,238.22195,353.1512,162.6488,299.7353,10.3535316205658,5.84994784833932,0.821740093019465,0.716931695769229,-0.28324593675226,-0.480092419292205,"LUSC"
"ZNF177",0.794352135965594,51.5641133858268,52.7344636363636,4.06311955981064,2.24175178540686,22.19265,21.65755,66.80075,71.71965,51.1089254901961,52.5172630738523,52.0788,41.7296,38.79835,61.58765,21.9451,69.9209,2.31100548503917,1.93646637016446,1.02755560932163,0.801278063242625,0.0392164718842166,-0.31962511461686,"LUSC"
"ZNF548",0.0686308889818422,285.637222834646,263.84284077135,10.4049059391361,6.0540999861793,214.0357,182.07435,338.98445,324.1138,278.835084313725,269.925363473054,276.1871,250.7442,251.49315,299.12765,187.5336,331.1841,7.0782440712321,5.27100323974107,0.968046629201629,0.907878029060735,-0.0468515534848677,-0.139429606500044,"LUSC"
"ZNF563",0.772676015082929,42.8527015748031,42.0261641873278,2.09257088096401,1.52444926779697,28.1354,25.19825,54.7924,52.3548,53.4233509803922,42.5562944111776,50.5567,38.32,41.62205,62.39395,25.9289,54.1557,2.47605582194886,1.2515249662812,0.796586017728408,0.757960863743084,-0.328097938221822,-0.399804736123457,"LUSC"
"ZNF567",0.926580493703751,168.654887401575,169.622760881543,10.4648746834852,5.01703341099513,109.3551,112.8076,180.99215,199.6996,114.115303921569,171.383641317365,110.3352,147.6524,98.477,123.29935,112.2236,196.887,3.25417851486056,4.6932357482437,1.50184625048326,1.33821663440135,0.586737126421495,0.420311682554801,"LUSC"
"ZNF573",0.425383544638431,19.8944992125984,21.7927696969697,1.84763622977838,1.24998379927138,9.4614,10.3666,23.3947,25.61235,26.7960941176471,21.645170259481,25.486,16.5436,17.70955,34.35105,10.2894,25.0575,1.7046603060248,1.04595061747978,0.807773333100297,0.649125009809307,-0.307977575534885,-0.623431752772885,"LUSC"
"ZNF527",0.793632252619569,110.047492913386,108.215552341598,7.12495984998949,3.30666385576412,72.7235,67.3169,120.20065,129.9397,100.360184313725,109.881176646707,92.3547,94.0315,82.07295,114.91285,68.0005,129.3133,3.59284975995201,3.11345069451941,1.09486822287231,1.01815608734585,0.130757239096656,0.0259587492111915,"LUSC"
