"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.228801669123171,69.353822745098,78.2548316326531,3.94703586056885,6.02889513467097,32.09315,30.92115,85.3667,113.7165,158.140737254902,73.6373229540918,154.9725,56.3155,123.6076,185.50275,32.6072,95.7018,7.69702790101756,2.76076819244715,0.465644237103803,0.363390278920454,-1.10269997130903,-1.46040826843817,"LUSC"
"ZNF416",0.421466813555538,126.371729019608,131.657394897959,3.3779865963906,5.91584128967816,88.69385,83.279825,159.9247,168.50465,99.4517215686274,130.665683033932,96.1806,120.0361,82.2187,112.90775,87.5086,165.7235,3.63339068680149,2.70304774387857,1.31386044377085,1.24802818863679,0.393812042956898,0.31965052005532,"LUSC"
"ZNF586",0.739112712938793,171.73605372549,175.154918367347,5.54494522435639,8.09679973573694,108.22475,129.1307,223.30375,213.0303,162.791260784314,176.5297750499,152.731,160.1475,126.78645,190.5124,114.1104,220.8378,5.89771267063206,4.28254556579236,1.08439343856295,1.04855923159018,0.116888288869847,0.0684083594867821,"LUSC"
"ZNF446",0.98452561660383,230.622799215686,230.377465306122,7.0744134189519,8.75398246847992,162.36685,168.392,276.9222,270.226375,182.611174509804,221.492848103792,174.5638,202.4575,150.78335,214.4164,155.4752,266.6211,7.09752427078893,4.73864634569535,1.21292056030175,1.15979086156465,0.278485064875813,0.213864675882257,"LUSC"
"ZNF8",0.301188557271349,117.192901960784,124.679276530612,3.62893733749237,6.85000654697109,74.5642,79.531,144.94225,148.282325,73.3808509803922,115.273381437126,70.2379,102.4578,62.04995,82.61065,74.7478,141.0317,2.73596135670791,2.62462920540284,1.57089185934799,1.45872527510076,0.651583868504624,0.544708202947662,"LUSC"
"ZNF264",0.527721514647712,643.130774509804,664.230325510204,17.0966809578161,30.344916561232,440.4495,465.19055,803.4932,807.7178,775.757870588235,646.425178243513,768.0556,609.5392,654.27895,890.1248,437.6438,803.1634,23.8761036809295,12.7306180477098,0.833282139636362,0.793613379031414,-0.263123036827524,-0.333491747464524,"LUSC"
"ZNF213",0.513089870407515,473.38362745098,458.699441836735,12.6081955985675,15.2262200235414,334.3967,354.9565,560.7869,528.9778,361.853843137255,461.740774650699,368.4028,431.8844,316.9705,408.22045,337.6938,540.842,11.7848690966418,8.21642896708739,1.27604220159009,1.17231573701394,0.35167604306669,0.229361179724085,"LUSC"
"ZNF343",0.717561202291026,320.802203137255,314.733686734694,8.97098292398803,13.6455637757382,230.96475,209.323175,370.7127,397.5076,185.226829411765,305.095208383234,185.6756,283.5897,168.63535,208.10975,208.5454,369.24,4.75500125653829,6.10689170731358,1.64714371752808,1.52733961812968,0.719966439411133,0.611020894428988,"LUSC"
"ZNF302",0.826129552387287,425.279130588235,418.365204081633,17.5374247250813,22.1368241178299,260.21775,287.395775,489.41155,470.306,468.458480392157,424.156720558882,445.4328,366.2452,372.7263,553.9666,270.2199,490.305,19.3846961837063,12.1506777728801,0.905430765611952,0.822223239958979,-0.143323766165869,-0.282397944951296,"LUSC"
"ZNF268",0.0463516301981395,277.758218039216,308.301945918367,7.96653414237568,13.3297906695287,186.92535,205.81915,337.4852,396.641125,332.253460784314,287.61214251497,322.9559,273.4516,283.93395,377.20595,198.7857,358.1523,10.700565198997,5.74036417844058,0.865640772668059,0.846714984925186,-0.20815964153977,-0.240051673184815,"LUSC"
