"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3","mean-C1","mean-C2","mean-C3","mean-C4","SEM-C1","SEM-C2","SEM-C3","SEM-C4","Q1-C1","Q1-C2","Q1-C3","Q1-C4","Q3-C1","Q3-C2","Q3-C3","Q3-C4"
"ZNF45",1.84645153830099e-05,2.67553371354756e-05,0.967102266210178,3.13906302202849e-05,0.695310527722762,0.922353386331056,628.29385,204.61774,226.3415,251.63795,184.78805,9.5690194856422,28.226334994422,15.717732291907,535.899825,200.4635,207.13245,238.87175,720.687875,209.9619,262.5743,258.69245
"ZNF133",0.987341963556944,0.4849621096311,0.455808322808581,0.905118726684574,0.968249788406814,0.585573446452557,172.435,204.50756,310.546166666667,233.43018,11.2242,34.2599853656361,84.4823514393457,15.0715255569626,166.8229,151.5729,184.50845,197.7319,178.0471,264.1947,332.8462,256.8166
"ZNF436",0.432176309665677,0.951269810306749,0.501516923981275,0.997524418369108,0.0722479317750947,0.683288888035454,732.2861,368.61348,610.993733333333,773.46215,140.051,65.9418356621682,81.1718675721282,114.560696380969,662.2606,232.1865,493.638675,399.624375,802.3116,458.3866,749.369575,1075.36025
"ZNF484",0.307783372861053,0.910219605027898,0.411055421671105,0.867482394872232,0.376524948465176,0.999539656378148,196.27085,121.14908,169.204233333333,166.42353,17.03435,24.3217082931977,23.7740938127431,14.2857530137939,187.753675,75.7906,143.12,131.982825,204.788025,145.8771,212.364875,197.4561
"ZNF780B",0.987407268172925,0.998640892206219,0.910114746507746,0.966453249501756,0.661562339501899,0.969093658376344,353.25055,321.72344,367.724166666667,394.32213,99.75895,70.390943010366,33.4628188901918,32.9769687093518,303.371075,180.8866,310.243675,331.976225,403.130025,387.7917,433.830675,407.25925
"ZNF557",0.991267110475577,0.969989474239427,0.751959469403825,0.679187095335735,0.211144681831048,0.759428840637845,206.1204,186.44246,235.569516666667,276.90074,54.3513,38.3505918779958,17.7291671727959,29.9336288847592,178.94475,147.1611,214.4497,215.872475,233.29605,177.55,261.2549,319.419775
"ZNF337",0.995282603980334,0.630806411580737,0.573213515816619,0.980313916121462,0.997746696037176,0.554911065076725,260.8702,307.04396,492.247633333333,330.59951,33.2375,69.828501029412,163.131969490274,41.0172818949808,244.25145,207.5038,262.86255,253.2292,277.48895,363.4415,569.104625,359.17745
"ZNF317",0.983891643415129,0.990532348167082,0.999707183850639,0.999977441978729,0.930398844349964,0.95084940263367,886.96835,946.82602,935.628083333333,880.87942,93.67225,103.889572395671,81.1342704893414,60.6408042263216,840.132225,855.7356,797.7073,760.83845,933.804475,911.3441,1006.3626,1025.6016
"ZNF426",0.114301966991297,0.612010123004803,0.388143735472357,0.808492583758704,0.115392562230421,0.925655792883289,232.82285,94.42514,162.75735,184.8316,61.40435,9.09694349727424,22.8162924232042,27.2092828534512,202.120675,82.9361,123.119025,145.666,263.525025,94.438,200.3769,255.276275
"ZNF331",0.99863749820721,0.75991203139493,0.685699182107064,0.969147223937374,0.97802224906559,0.813159366466377,620.35335,569.54918,304.517233333333,483.88324,139.88875,345.477450470534,63.5515097581202,65.5519905225704,550.408975,130.6104,198.113825,370.695725,690.297725,520.8575,417.09795,504.37415
