"gene","p-adj-GASTRIC-EBV-CIMP-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-EBV-CIMP","mean-GASTRIC-CIMP","mean-GASTRIC-EBV-CIMP","mean-OTHER","SEM-GASTRIC-CIMP","SEM-GASTRIC-EBV-CIMP","SEM-OTHER","Q1-GASTRIC-CIMP","Q1-GASTRIC-EBV-CIMP","Q1-OTHER","Q3-GASTRIC-CIMP","Q3-GASTRIC-EBV-CIMP","Q3-OTHER"
"ZNF778",0.0964236470917123,0.0848760319732431,0.644340516878627,55.74692,123.5703,98.54745,6.14615110580597,15.8617,10.4100984579718,46.892,115.63945,74.068475,59.6948,131.50115,110.73515
"ZNF212",0.0214232285437111,0.282369712089808,0.0952468482483012,192.28404,404.28485,261.64690625,22.2286907539243,111.07825,21.8555626099198,154.4328,348.745725,199.8635,217.012,459.823975,312.30565
"ZNF282",0.0558467020192426,0.710336023242687,0.092353578456723,754.91968,1271.1718,856.4515,74.0617839494661,476.7332,53.1730196411559,713.2097,1032.8052,748.5722,850.9874,1509.5384,963.163025
"ZNF160",0.208118119634717,0.43137155154782,0.524299978477295,433.11084,681.227,542.12348125,51.5276855591108,118.8434,44.9934930999391,434.024,621.8053,474.098475,451.4149,740.6487,587.35135
"ZNF415",0.0630503332620607,0.208711101052009,0.315866741138339,42.84784,230.3519,126.5057125,11.998109121049,180.7709,20.8225600204819,23.9913,139.96645,47.735325,45.781,320.73735,186.775325
"ZNF439",0.95441262089613,0.456563483733915,0.49152560175757,61.83782,42.49475,111.37556875,18.868643767595,4.31975,22.2521925557792,31.2862,40.334875,52.25655,68.6715,44.654625,138.28215
"ZNF440",0.844845730289231,0.408534552540762,0.960068083600678,280.60246,373.84205,414.79129375,44.8678580982601,53.53225,56.2305278005043,241.0197,347.075925,277.2441,291.2926,400.608175,507.197125
"ZNF562",0.517761888955106,0.270611708431392,0.987516349729482,616.15106,773.67815,754.5093375,74.7656322042394,36.24795,43.7113227800302,544.2249,755.554175,614.76205,710.2002,791.802125,911.464025
"ZNF561",0.857535623599039,0.998226890442694,0.846287883730463,614.59334,549.09555,610.30106875,75.1513458855635,46.80765,36.4406104392564,477.4044,525.691725,515.90165,774.5472,572.499375,683.963925
"ZNF584",0.117040500172021,0.0194778506907675,0.952074621131425,266.4573,148.9071,163.96514375,58.7472845585734,51.3745,8.15475380279793,174.482,123.21985,139.903175,252.693,174.59435,177.644025
"ZNF274",0.418814515703151,0.9922773260961,0.38306304097685,325.15262,147.90555,315.1456625,127.00499386679,20.34505,30.2021586903415,182.6609,137.733025,229.2898,258.6734,158.078075,385.8202
"ZIK1",0.860116511999593,0.244233412699579,0.847935890242158,11.24748,37.15795,61.46843125,2.38503032819291,13.88045,16.9693548335073,10.3599,30.217725,26.6799,15.6215,44.098175,86.489675
"ZNF540",0.626890481157532,0.760642631005294,0.845138397838747,32.00614,61.3872,45.7055875,10.2578230929667,21.704,10.2761122215427,15.6215,50.5352,20.561425,56.7207,72.2392,53.288925
"ZNF570",0.00980984397515428,0.282475977436321,0.0434683322436377,26.6926,164.84605,67.00475625,7.11400149402571,112.75175,9.99426094396166,15.8124,108.470175,37.442275,41.1213,221.221925,102.994975
"ZNF57",0.0502410468359071,0.020543695045567,0.705931487380724,236.16482,98.93855,137.98430625,50.1300166019462,19.32965,11.7626631702231,146.0023,89.273725,106.037625,352.7828,108.603375,173.86
"ZNF556",0.88738177242714,0.759526695765832,0.999329890007914,28.4578,15.59875,16.4593875,22.0056352387974,14.89475,6.93150346557221,3.4762,8.151375,2.0175,18.4022,23.046125,12.531975
"ZNF554",0.795761473303916,0.78768908777408,0.481213398326562,96.92788,59.79055,120.1781375,16.3502981850913,19.05495,19.1324218050383,93.2388,50.263075,83.64755,95.0174,69.318025,130.9866
"ZNF738",0.967054930689786,0.760954020136772,0.976188416536012,220.68022,262.51135,294.30821875,34.1493013047178,161.13855,55.7545920534438,176.1298,181.942075,162.412925,293.088,343.080625,302.42375
"ZNF596",0.680805130633998,0.370210522270654,0.999999586014809,62.5863,43.87425,43.857025,20.5231162765064,13.14795,4.69019478560948,30.5344,37.300275,29.465525,57.3581,50.448225,54.9421
"ZNF621",0.962101014133013,0.19000183211533,0.295958632307829,574.43916,540.92925,715.05119375,30.3958675327519,87.01865,41.994231348042,532.5088,497.419925,580.59175,614.4524,584.438575,848.75485
"ZNF680",0.972191475506788,0.344152064925426,0.751380105377258,192.5041,218.6552,293.81021875,34.165138356269,68.356,38.1172082292119,161.066,184.4772,193.342975,249.5512,252.8332,380.290225
"ZNF483",0.98312404354202,0.134347559890717,0.477899396359914,17.58526,24.31575,64.84041875,5.80778252361433,16.86695,13.0133139446402,3.8168,15.882275,22.794625,27.797,32.749225,92.9394
"ZNF417",0.744108861821327,0.130082743400415,0.839669936717049,206.96036,266.95225,308.16734375,35.4251397922803,99.82005,24.4720551730625,188.6587,217.042225,235.1235,216.686,316.862275,355.90295
"ZNF791",0.333262770258552,0.00868516102372918,0.78814679106869,274.31034,440.33135,508.00155625,14.7384651226171,10.55315,39.1392589296348,250.8977,435.054775,416.94845,300.5243,445.607925,526.6642
"ZNF519",0.816652758126907,0.502651658674007,0.331963041802415,48.78262,38.0638,61.039525,5.09810411372698,7.7928,5.84404557471035,44.711,34.1674,44.533825,54.5758,41.9602,75.594625
"ZNF25",0.799485352861488,0.103080315476152,0.73091668237195,195.73378,274.28305,357.82065625,36.6559733853488,19.62755,40.8971457601597,151.7961,264.469275,223.498575,186.1296,284.096825,422.754725
"ZNF77",0.268979806017636,0.632918323755718,0.493215489581139,87.8017,47.80595,73.67915625,13.9636269692727,2.88045,7.62412075705547,74.1599,46.365725,49.1848,95.9651,49.246175,84.533425
