"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES"
"POGK",0.403143690575352,0.702009143243022,0.186784105582868,1813.657025,1501.36755454545,2059.15038,183.062814471013,123.210018236765,321.284512719125,1310.240825,1216.61565,1863.8572,2426.917425,1708.451,2125.1228
"ZNF514",0.873725820807643,0.998283892031868,0.942214705142223,253.352441666667,232.697881818182,250.3902,36.8898078531379,23.7102275272692,18.758160696321,187.118275,171.38125,216.9385,292.033725,292.35455,267.384
"ZNF300",0.47756626864663,0.997162191978915,0.59497513994012,61.3743416666667,86.9813272727273,59.38214,13.1027203194457,16.3602651223744,28.1302589374965,25.8387,54.1293,17.6875,91.589125,99.96815,52.3882
"RBAK",0.713549092946001,0.471924888831184,0.196405619412239,675.538925,605.880881818182,809.25086,49.0277594862697,52.0295157053026,158.961216344958,556.66385,492.0846,570.9458,779.270675,691.39785,868.4507
"ZNF92",0.632731367309584,0.966030573638208,0.60855568074831,379.117525,308.561627272727,403.61036,52.2876480796505,41.1804926362782,121.5949054541,269.92865,206.0669,236.1211,414.7676,423.19775,427.1845
"ZNF157",0.609611394999872,0.998903400574386,0.71529620531765,1.097275,1.93505454545455,1.04752,0.315617232247649,0.929493228432827,0.280116419368805,0.23805,0,0.6551,2.22585,2.5173,1.7009
"ZNF182",0.925586400124693,0.260896294694183,0.166124224770765,177.441625,167.241581818182,233.1981,22.861716841066,15.443655964981,23.282010711835,114.8561,146.32075,190.8088,215.67565,192.09745,269.5709
"ZNF673",0.991198571287426,0.799579383499009,0.855601613232691,182.298033333333,177.848763636364,153.62408,21.9979553610975,31.5615456613504,13.4438330981309,130.587475,106.74915,139.5349,249.781375,267.74705,177.9935
"ZNF41",0.831161908992558,0.857785660276019,0.997124494059333,296.205791666667,323.808281818182,328.241,13.437365262301,51.5379246272293,19.0246912664831,269.03945,228.78145,305.1787,311.991225,355.9268,357.1924
"ZNF7",0.740347164953773,0.533113816161506,0.875006092608331,421.482508333333,462.014263636364,496.78828,38.335435489164,34.301458907127,71.8156137027555,346.848675,380.69465,377.4381,437.593225,565.38,642.699
"ZNF214",0.549617345850577,0.951853447185887,0.861588740044592,38.3239166666667,29.9615272727273,35.29902,5.2602425514683,5.28218031978688,10.6757004039267,26.686775,17.69785,14.2877,50.53875,42.16795,49.7871
"ZNF215",0.996405244703097,0.00331329005824377,0.00319470135551725,38.765725,37.1819363636364,130.07228,8.99544795738146,10.2408038930392,40.5416224855197,12.952525,15.22775,94.2307,60.8075,50.31805,166.1273
"ZNF547",0.895364239688632,0.989188431162239,0.878566047953659,45.237975,41.3473727272727,46.79046,5.3628006441841,7.3050782671072,7.46494117114127,27.0718,25.7579,36.005,59.85415,55.14,60.7983
"ZNF773",0.727618706398862,0.974636561747905,0.924218450870177,82.5074416666667,67.8441,77.22674,16.0859580160841,12.6076678895244,7.42491537093858,52.94255,31.37465,60.2686,87.427925,91.5248,89.1766
"ZNF776",0.994003123137978,0.276874841669588,0.322626530140509,374.076241666667,380.278636363636,492.9517,40.0849323702384,47.0959797746808,49.8538614532816,287.665375,327.02925,430.0565,462.9153,436.25385,515.4422
"ZNF256",0.778696792827658,0.550274940726993,0.863941564570223,66.0355916666667,84.8593090909091,103.41484,11.6482486714089,23.694528134719,39.4704094392065,30.284575,19.36405,54.7003,91.138425,152.5648,89.1766
"ZNF599",0.974771540660565,0.286077146157382,0.375593154122444,81.8865416666667,78.5699727272727,51.47616,10.6642225986072,11.2454008606516,15.9557378826741,55.283825,59.0598,25.4606,108.124175,101.6935,66.1633
"ZNF18",0.992375899554092,0.429505221511432,0.389069287532246,141.798,139.582427272727,172.04092,16.1374389225518,11.0571175866875,12.0324964638017,99.4845,111.04885,154.1588,181.571275,159.4172,169.4915
"ZKSCAN2",0.735727360357624,0.205332684017153,0.072334718731212,167.017941666667,146.757027272727,227.37698,19.2513310113694,14.5250426130502,40.1603292895912,118.016575,110.97405,191.8266,204.598775,175.2221,204.2268
"ZNF689",0.927478960253108,0.857956211925868,0.969918079636384,251.013866666667,239.089336363636,229.28496,26.9087968464194,21.6900244084538,8.89297610508428,195.48305,190.7202,213.2949,307.837025,287.12645,250.2457
"ZNF19",0.315756022993698,0.922663776101379,0.724385794902604,50.6798083333333,65.0569363636364,55.41084,6.07134406826206,8.76922477312015,2.78405864155193,40.225725,43.6676,53.5593,56.48995,84.0176,58.4401
"ZNF230",0.999907295853832,0.882699560871653,0.890085157571757,95.3932666666667,95.2609,89.18398,6.31293868173079,9.23030691395569,3.98281297193328,75.944525,78.7048,86.2105,111.771425,103.12735,95.2513
