"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF337",0.295837592733335,327.932733333333,405.245228571429,35.5836768042538,55.8810049618482,225.19045,244.6653,360.60035,489.8076
"ZNF317",0.843938849737728,948.782693333333,963.884128571429,50.0732426469519,53.399626033761,860.7614,777.4928,1060.48455,1027.2997
"ZNF426",0.836154073986472,170.7523,164.388257142857,22.4140909948864,20.2313904167269,107.9776,98.5765,233.40005,210.3441
"ZNF331",0.820656239812171,485.57342,455.826214285714,78.2808952074042,94.5780146650434,302.2701,181.6659,542.79535,480.4646
"ZNF227",0.457608867615878,271.45418,252.904052380952,18.0150016970254,16.4161274875982,224.7291,213.8246,286.3363,310.4587
"ZNF141",0.175336657427562,98.6513466666667,78.3250285714286,10.790085948278,9.72335016255578,76.6726,42.2812,130.2369,103.3689
"ZNF304",0.760690817068224,264.49474,250.892980952381,33.7063970600054,28.6718554064979,188.78145,160.678,325.04015,346.6296
"ZNF132",0.133715791852193,70.7485866666667,51.0574428571429,12.0843127118862,6.58397054841953,34.55245,34.2294,96.66785,55.0162
"ZNF20",0.111544152280014,101.15776,126.558052380952,6.05034959043336,12.3659912709484,91.18415,92.5466,111.86785,140.6355
"ZNF670",0.207766857092819,80.9214533333333,99.3400761904762,9.07132884790036,10.2260943075823,58.9562,71.1377,91.7265,119.225
"ZFP37",0.664969966010141,55.98754,51.016780952381,9.3603051587557,6.92066518442658,34.83035,27.9469,71.8263,62.3474
"ZNF189",0.486953733445909,483.09718,529.542733333333,48.0112837114947,44.0554940573836,406.58105,402.2273,482.21255,606.1568
"ZNF434",0.97354637126186,328.239653333333,329.166223809524,17.1426257318413,19.9501766588299,286.6246,256.1468,365.63005,400.9207
"ZNF287",0.030127555860336,92.3907666666667,63.2314333333333,11.3807523348882,7.26844647219137,70.3367,41.5984,128.10395,71.4385
"ZIM3",0.589040420566276,0.734573333333333,1.14949047619048,0.359809198440701,0.587555414768715,0,0,1.01155,0.704
"ZFP14",0.417738561670277,200.6955,182.442180952381,17.4566648390972,14.0830930250875,154.90195,120.2186,233.97395,218.3392
"ZNF473",0.805774902291119,308.922826666667,318.616138095238,30.4066731637449,24.9306827237619,232.6784,234.0078,362.33895,370.1695
"ZNF614",0.826241190850831,255.932406666667,245.504395238095,31.9229612878619,32.6244892386091,189.9445,156.1441,305.7563,253.0469
"POGK",0.0548976540612111,1503.27228,1846.6122047619,100.140668963203,126.929328081271,1210.9105,1388.9397,1779.9086,2125.1228
"ZNF514",0.402670956330564,218.947553333333,244.939576190476,16.334996917894,23.0849599721642,171.38125,191.5596,256.0065,285.6236
"ZNF300",0.800538804683606,81.21982,75.1205476190476,21.3935419437317,13.3252165530614,37.0412,27.3224,90.29385,100.603
"RBAK",0.0569934373544717,592.52598,744.5215,34.8403495204889,60.0707460439887,506.64795,543.3297,612.96515,837.0827
"ZNF92",0.922926188600657,356.561793333333,362.309266666667,28.0776450658874,45.483889804137,268.3515,212.7278,423.6439,438.9083
"ZNF157",0.179472138482971,2.14460666666667,1.02230952380952,0.666269029137106,0.502946602434321,0.1777,0,2.5226,0.6551
"ZNF182",0.730248872105696,181.138533333333,192.194380952381,30.9068275005435,15.4521548322057,119.46385,143.3039,187.59465,250.0063
"ZNF673",0.331771211158416,205.909293333333,176.061928571429,27.105237728012,16.8393688429499,150.7437,120.0799,267.74705,235.1285
"ZNF41",0.234835947466636,363.722746666667,313.519271428571,43.2819274500525,16.8472579600646,272.96035,268.2488,355.34335,365.1737
"ZNF7",0.533041882531746,450.3587,480.308604761905,38.3508915346821,29.4365700245488,364.8635,363.9249,531.10315,581.3675
"ZNF214",0.0667331888061354,42.0578,30.989819047619,3.51116346849249,4.24499283769444,29.23655,14.6879,52.51395,47.3941
"ZNF215",0.401233542337331,50.3479666666667,66.0832523809524,11.2709014698604,13.3861308163206,18.37945,15.9029,73.00415,91.2019
"ZNF547",0.641370087954223,44.1548533333333,41.0588238095238,5.55272633454668,3.91440902237766,29.5435,26.2163,55.14,57.2421
"ZNF773",0.876766329425852,69.47748,71.8362428571428,8.67914329818329,11.1254714991226,56.6746,40.7138,81.11675,90.4887
"ZNF776",0.852727795141148,414.558866666667,424.338480952381,31.0661267258158,38.1257674552586,382.3129,306.8289,464.0254,515.4422
"ZNF256",0.0130932761062803,108.352166666667,56.425719047619,15.3851355500062,12.6567273562072,71.0465,19.8771,141.661,64.3127
"ZNF599",0.51084972913186,82.2005666666667,70.7117904761905,9.91014836317113,12.7525735190773,51.2752,30.9219,109.8229,96.7096
"ZNF18",0.114558654307489,162.271893333333,138.970242857143,8.47316567866696,10.522543165594,146.9014,110.3524,181.87915,169.4915
"ZKSCAN2",0.633017636526257,159.77786,170.602657142857,12.1793396676065,16.8330324659971,126.03695,111.8644,196.7236,203.734
"ZNF689",0.232932026267762,275.720526666667,237.909595238095,24.3768427089385,19.7348566587233,218.1841,195.0065,328.03535,250.6293
"ZNF19",0.917554887445519,56.9235066666667,55.999919047619,6.04008744165234,6.10865836548582,43.14695,33.6276,61.4176,63.1019
"ZNF230",0.315130263839418,103.763486666667,93.1619190476191,7.52271114570416,6.9489989668181,86.5249,76.6197,119.39815,110.7585
"ZNF222",0.866074537744355,36.74744,35.7478857142857,3.97510926192811,4.07531870411491,23.43755,25.2529,48.5858,44.8715
"ZNF221",0.863322679168967,39.23068,37.7437523809524,7.93515522962877,4.53537663507474,13.2579,26.8745,52.7073,51.7024
"ZNF233",0.906786640671178,29.5178133333333,28.858680952381,5.00483247531696,3.09659685590964,15.9833,17.9545,32.2797,37.9342
"ZNF235",0.955882777764664,91.4230933333333,90.782019047619,9.67178101229338,6.85247408957982,65.2951,66.7725,107.3423,115.5947
"ZNF208",0.474801719636778,69.8304133333333,232.631261904762,19.642559693101,189.079392445595,14.803,20.3079,94.9777,42.8169
"ZNF714",0.236011072780688,284.035,430.775738095238,40.0042156780495,98.3902296962732,181.19735,213.4369,310.2177,421.7437
"ZNF394",0.741627308377678,489.374213333333,504.999561904762,31.5819129568867,32.65734149583,404.0292,429.4526,530.4483,542.9616
"ZNF333",0.990631471541614,236.965746666667,236.25349047619,30.7462052740959,45.7777969753533,130.00095,134.161,340.2433,271.4662
"ZNF382",0.0503959709211038,64.9344266666667,38.3439285714286,13.3222309705797,5.74180068803351,25.46045,19.3088,97.94845,52.048
"ZNF577",0.962139218444478,118.61008,116.9733,19.239956858976,25.3919084280087,67.1441,34.4683,150.17945,164.3313
"ZNF75A",0.236131283255202,217.432486666667,168.3035,27.621957868661,28.176990499968,166.1193,90.0838,271.0741,218.937
"ZNF496",0.826558176797789,424.477286666667,413.644285714286,34.2479968363613,33.44212214176,328.7504,280.9695,515.9005,520.1635
"ZNF2",0.651255424753908,112.96948,117.463361904762,6.95933978759206,6.67559282602169,91.7613,103.4048,126.79355,128.3257
"ZNF589",0.940798840319117,247.487766666667,243.811495238095,32.0584491468551,34.5883176160394,166.87025,155.9322,274.7221,257.3126
"PRDM9",0.556378422707605,0.47166,0.937947619047619,0.230807647970999,0.640083122006117,0,0,0.54255,0.5081
"ZNF12",0.11635729163349,814.265033333333,956.654347619048,36.7594276503887,69.6831196276061,725.33145,731.0864,879.656,1061.9063
"ZNF202",0.76253925567976,229.663473333333,236.403480952381,11.3514440819721,16.8054557789422,199.0976,197.6611,257.79585,257.376
"ZNF3",0.134008368926758,661.657906666667,823.59580952381,32.8610555357851,85.6872755119877,578.61935,593.5845,735.8577,900.3763
"ZNF606",0.857335410243465,146.20752,154.108766666667,29.9922063401862,29.9666066715661,52.3066,35.3781,219.3316,247.4698
"ZNF91",0.832894532254192,826.087346666667,879.78100952381,88.3961275835073,203.141676161392,670.15625,493.748,856.18205,845.522
"ZNF226",0.539808585028652,234.577013333333,217.475980952381,17.8733622481557,19.5006845426838,175.0365,164.4284,272.78995,256.1502
