"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF701",0.548413934116023,0.914697626837721,0.474968580116018,160.775933333333,200.8673,152.857555555556,8.6871947475701,8.18440000000001,21.1790649675643,127.3222,196.7751,111.5464,177.4079,204.9595,169.2946,137.624828,158.978277272727,118.1383,160.5903,102.8546,146.911,125.290775,197.589325,12.7108091408933,6.99578513416988,1.15515695520235,1.35934155138511,0.208088888964175,0.442907996634367,"KICH"
"ZNF283",0.948321319925301,0.999266804114177,0.949515200891378,45.7316636363636,41.735,45.9741333333333,3.19787837233064,3.5236,5.25515664905539,35.0456,39.9732,39.6405,57.7358,43.4968,53.6076,36.431712,43.962296969697,35.1845,44.63555,30.1803,42.6303,29.56455,55.78785,1.83088489669449,2.24527454871754,1.20670412001766,1.26861402037829,0.271071975254615,0.343253191646072,"KICH"
"ZNF558",0.384141001233978,0.999846528046431,0.439258076497284,316.055960606061,391.0473,316.539844444444,11.7557600199416,112.1855,31.7849037543249,261.098,334.95455,246.447,355.3139,447.14005,365.4117,314.3189,337.039774242424,303.8749,324.7108,258.8992,346.4617,267.190525,398.3784,17.1042370814983,11.6812677922063,1.07228605802077,1.06856736110814,0.100689830641766,0.0956778564988924,"KICH"
"ZNF597",0.970885757992728,0.766430104864797,0.992137848476483,35.5972060606061,33.5865,32.4712111111111,2.21157946371299,2.6922,3.00051890306051,29.6653,32.2404,24.9099,44.3598,34.9326,36.8041,48.883236,34.4705363636364,41.2939,34.67675,36.7874,53.5551,25.756275,44.575275,3.53175982010329,1.71351133712071,0.705160688699831,0.839754782183325,-0.503976045354945,-0.251959988634171,"KICH"
"ZNF30",0.692676337817501,0.747521523854235,0.510367116679859,40.5533181818182,27.72115,46.4459444444444,2.90352473138858,1.14065,11.792041127224,30.5344,27.150825,22.3168,49.3827,28.291475,61.5905,68.469632,42.5167742424242,73.3999,35.3671,57.6343,83.3101,28.3518,51.827525,3.94007740056258,2.82041144872671,0.620958124069138,0.481841255914518,-0.687432115064529,-1.05337017047841,"KICH"
"ZNF354A",0.548107674237753,0.238563231797175,0.980367524094161,155.523206060606,227.9051,213.911044444444,12.8668578182424,28.1925,51.1954057583,125.4655,213.80885,107.204,179.4291,242.00135,315.28,211.71302,172.811940909091,209.0415,148.77065,188.1042,230.7049,119.563525,192.46215,8.1527899842651,12.9279430265135,0.816255612947616,0.711679977420751,-0.292907087562017,-0.490699447485239,"KICH"
"ZNF764",0.0280037409616429,0.915763292393737,0.0666978622792423,168.077860606061,252.8429,174.615666666667,8.18537399440809,39.84,6.99331600277881,139.8,232.9229,164.9501,197.9712,272.7629,193.7846,165.39412,175.522425757576,160.6075,168.39265,145.1658,182.6987,142.346225,201.2188,6.43737711890487,5.90423100402989,1.06123739923509,1.0484731410426,0.085747423819324,0.068289904084998,"KICH"
"ZNF747",0.997915353086947,0.356601164560379,0.815362238245873,402.585357575758,397.62885,344.854544444444,20.1665649537089,10.60035,31.6419282478394,348.6462,392.328675,291.0827,484.0553,402.929025,372.5455,319.509124,377.599251515152,328.9593,385.09355,294.7546,348.9423,325.9976,431.277725,8.219978508541,12.5709609338589,1.18181054358608,1.1706419304759,0.240998775163251,0.227299859678776,"KICH"
"ZNF778",0.702944134942942,0.966169808921291,0.662761413649039,131.574615151515,91.1962,138.060744444444,11.588921528112,47.0152,26.0769648790903,88.7304,67.6886,90.4621,135.7279,114.7038,187.0367,100.52462,136.228704545455,92.1007,121.7078,82.2985,122.7975,89.08945,166.456225,6.37189861979405,8.67954145155361,1.35517751318487,1.32146444055257,0.438481840964995,0.402137603845394,"KICH"
"ZNF212",0.197519293913995,0.783315117899932,0.395880233244486,340.025845454545,206.41905,313.769855555556,18.6646482136107,41.78495,32.6429703310474,270.3812,185.526575,284.4969,380.1323,227.311525,345.5833,274.026528,328.931877272727,272.1984,321.6992,242.915,295.7173,270.513175,378.04595,10.0647195945549,12.2014848038901,1.2003650875463,1.18185558768898,0.263473264071921,0.241053761697115,"KICH"
"ZNF282",0.364085265367753,0.974220990897697,0.474901290084748,731.529266666667,503.79345,712.883411111111,42.6752341078817,34.28125,52.8048345596742,582.2576,486.652825,559.9696,889.3068,520.934075,834.4398,523.8949,738.71271969697,538.5901,701.00475,489.6765,581.6464,592.495325,880.508,24.3736881560608,27.7403946293865,1.41003991391588,1.30155520868282,0.4957360014847,0.38023650851777,"KICH"
"ZNF160",0.53951116192171,0.66035155962192,0.834467074113042,628.485551515152,503.4316,575.680144444444,29.1426868659378,80.2609,45.908080902126,502.233,463.30115,458.1701,694.1083,543.56205,614.712,583.822784,612.077696969697,580.8705,581.887,495.5265,653.2951,494.377375,684.48225,29.9933309510363,19.5221707712535,1.04839638627344,1.00174995975867,0.0681842859495348,0.00252245181416662,"KICH"
"ZNF415",0.969302582023877,0.357975294985723,0.650914400335495,229.954848484848,216.17865,271.370288888889,13.5769361770289,53.57705,28.5861280244479,190.0885,189.390125,207.0539,266.0126,242.967175,317.7714,214.881284,236.959346969697,217.5391,236.40175,180.5367,234.2924,187.79005,296.033975,15.5916889500653,10.142092142082,1.10274539763871,1.08670923985619,0.141099739285118,0.119965984219505,"KICH"
"ZNF439",0.531340702903838,0.972436685681294,0.644450883720664,206.227560606061,124.3035,197.409211111111,17.7877932406065,71.458,37.2740212100326,140.5787,88.5745,128.4386,249.9014,160.0325,235.6966,140.5242,197.207025757576,143.3009,184.07285,108.0528,164.174,128.484625,255.057775,7.95099632420575,12.2175789251295,1.40336700552343,1.28451984600236,0.48889234880724,0.361229180241071,"KICH"
"ZNF440",0.602564287318997,0.679219662942193,0.874461312195784,267.540084848485,208.78275,241.070766666667,15.4354796586659,34.39255,21.2144033864508,213.2964,191.586475,190.1777,305.8843,225.979025,275.118,257.151168,266.146775757576,231.8485,252.7382,201.325,275.874,202.31355,315.330725,20.9148074451107,9.98940170762837,1.03498178844584,1.09010064762118,0.049605382265631,0.124461343369641,"KICH"
"ZNF562",0.529146886422612,0.48261620004864,0.270521882466475,412.238454545455,502.9077,362.080533333333,19.3474972383058,150.4687,37.2926691667709,350.9141,427.67335,267.4533,468.1303,578.14205,393.2025,387.524792,416.075257575758,343.837,394.14725,310.8027,434.3598,339.987725,506.1732,26.005734918661,14.9280541311869,1.07367390723161,1.14632005863243,0.102555889175527,0.197009908435743,"KICH"
"ZNF561",0.808460415861604,0.537862383089746,0.997633840246781,734.048842424242,655.7848,664.626533333333,28.9342391362764,274.8905,50.7396210812506,641.3945,518.33955,540.0432,858.7089,793.23005,792.625,788.539964,714.943018181818,755.8783,738.78905,669.1095,890.2762,591.744225,834.893275,34.9191293584757,23.2186407352199,0.906666815661632,0.977391532472886,-0.141355612163615,-0.0329914888829798,"KICH"
"ZNF584",0.488619929563002,0.340444468645665,0.919862789433726,172.379796969697,216.87865,200.710255555556,8.95991723249668,45.33395,19.2210821471945,122.2144,194.211675,151.302,214.6357,239.545625,224.4813,209.94148,188.463975757576,206.3971,183.1319,188.6858,235.3604,146.7086,229.80125,7.46013020297233,7.01649004178887,0.897697662022654,0.887279423984155,-0.155698457207919,-0.172539582116043,"KICH"
"ZNF274",0.902320799630208,0.999250476047926,0.921677955041766,581.285209090909,482.56415,576.937366666667,57.7894852491081,4.83425,83.5984648932423,372.1805,480.147025,332.9296,708.6676,484.981275,795.0207,602.950232,547.837862121212,545.5418,487.03405,423.7408,680.898,355.37975,688.155025,49.2964945686079,33.6495952858077,0.908595491047447,0.892752947620146,-0.138289948924391,-0.163667102693276,"KICH"
"ZIK1",0.125695117081169,0.172491746613461,0.593503049739591,110.256366666667,45.9358,79.8165888888889,7.83748337681731,21.9521,14.1226747862597,69.2521,34.95975,49.5728,147.2868,56.91185,95.0775,92.490468,99.4070045454545,84.3947,103.2733,78.6414,96.4404,56.7489,145.462675,5.2252477414751,5.74125142326029,1.0747810741476,1.22369414193071,0.104042822226839,0.291243006510248,"KICH"
"ZNF540",0.742447678319362,0.999907906565984,0.768452871332103,143.865936363636,96.3669,144.295466666667,14.3861840769578,39.0498,37.0081647559322,85.0474,76.842,69.8612,187.9931,115.8918,174.1114,133.331492,131.257716666667,132.918,127.1597,109.8348,146.1794,66.32125,168.906625,7.46100164619988,9.94985427464115,0.984446470205753,0.956677801351209,-0.0226153339289388,-0.0638949723281857,"KICH"
"ZNF570",0.58365274641765,0.45204977637065,0.296162318795413,51.348896969697,33.54075,62.5562222222222,4.34115646864466,0.223649999999999,8.18490879179104,34.7744,33.428925,51.2878,67.0803,33.652575,79.4526,85.43984,54.3991,86.8156,51.09845,78.2119,94.0916,35.192,71.213425,3.38418712624859,3.17775040933854,0.636694778454641,0.588586037532425,-0.651326162185142,-0.764674775887428,"KICH"
"ZNF57",0.549099792241367,0.0580541056673315,0.986309004087454,137.230224242424,216.23825,228.993488888889,14.1191719560372,3.23014999999999,56.0054579894189,74.7721,214.623175,106.0152,164.0236,217.853325,310.9567,125.660448,157.950798484848,119.7024,128.9557,99.3091,148.3979,96.50405,179.157025,7.89460487943321,11.7261260050081,1.25696510715009,1.07730254364156,0.329944601675505,0.107423465217817,"KICH"
"ZNF556",0.391490283947531,0.63083068782025,0.712098461651947,21.6498,56.47425,34.1696555555556,5.85654258218054,52.00275,12.9360097464952,3.6415,30.472875,2.2533,19.0824,82.475625,42.5775,8.69744,23.7576424242424,4.5263,8.4504,3.6805,13.94,2.882175,26.517325,1.60816981954643,4.03561900507776,2.73156726855746,1.86695534984424,1.44972895180006,0.900687424442223,"KICH"
"ZNF554",0.967128164098927,0.140333132759429,0.481764010707076,201.668290909091,182.44235,279.873222222222,15.2791952987219,108.86515,52.7988947740669,149.1036,128.009775,174.4915,230.8185,236.874925,281.5239,131.207372,212.488001515152,129.1838,194.23905,115.4317,148.0778,153.2095,243.334975,4.8495937668136,12.5947800317947,1.61948218515612,1.50358675004141,0.695532598094022,0.588408107183,"KICH"
"ZNF738",0.437974470980817,0.0473886856412669,0.0621724073463852,168.029618181818,111.26825,226.153966666667,10.05677014934,63.30075,25.7337092347437,122.111,79.617875,190.3444,206.297,142.918625,271.4313,159.761632,168.630281818182,147.706,169.02975,115.5571,168.3852,114.559925,204.5293,12.7363003163631,8.60506829526348,1.05551176278784,1.14436617334435,0.0779426563933793,0.194548758357774,"KICH"
"ZNF596",0.925095745890081,0.648433417835194,0.717597345553472,80.9546363636364,73.077,90.5987,5.42102478413665,3.7523,6.27885886232965,63.1248,71.20085,79.2809,96.9915,74.95315,101.8206,97.035928,79.9505954545455,89.9872,77.5052,80.8666,103.0928,61.599525,96.408325,6.512086002497,3.45828691009149,0.82392776678083,0.861291383663454,-0.279410232084432,-0.215426696232493,"KICH"
"ZNF621",0.882598627466933,0.999499733161766,0.903497853751626,726.663215151515,814.9338,729.543488888889,45.5085138492855,319.4053,59.9768794996558,581.2679,655.23115,652.3777,885.5618,974.63645,878.7907,589.649468,740.575136363636,604.8618,749.90035,486.5055,694.3332,564.671825,887.1923,25.0758245426837,30.9303371209059,1.25595828802416,1.23978791518988,0.328788551283706,0.310093346520967,"KICH"
"ZNF680",0.98327004215314,0.973158649487091,0.960677292105017,375.473248484849,351.30625,391.323777777778,35.9281651320068,36.26555,38.9305701615737,235.1727,333.173475,324.806,438.6475,369.439025,471.7842,278.020228,380.992043939394,261.392,353.9248,219.0175,276.061,247.54445,452.316375,23.0211958927728,23.6533181217154,1.37037526614572,1.3540001224215,0.454571017618224,0.437227869353736,"KICH"
"ZNF483",0.575426250150361,0.825123807941613,0.790503771998065,50.573196969697,28.41495,43.8592333333333,5.22306019602646,15.40685,10.5396786220111,22.4742,20.711525,14.4215,77.3379,36.118375,68.4647,42.05964,43.2846666666667,39.1139,41.07235,29.3144,51.9323,17.122825,62.37465,3.41545774505165,3.57416786795061,1.0291259427486,1.05007043531839,0.0414195476939768,0.0704861024403606,"KICH"
"ZNF417",0.936753195426138,0.702201019319618,0.997589058777271,196.1904,179.55655,176.127422222222,10.6533317456182,72.23945,26.3237384159863,160.2444,143.436825,113.3731,221.1137,215.676275,258.0913,145.642288,189.444757575758,135.487,197.1689,124.6106,161.0476,134.338675,223.74095,7.57966999849228,8.62505629468418,1.30075378639861,1.45526065231351,0.379347906899886,0.541277577959389,"KICH"
"ZNF791",0.995304522785567,0.814535283790788,0.923501624315271,288.104363636364,295.53195,262.709855555556,18.7889226724232,142.68645,34.5747774091458,199.0584,224.188725,178.5776,370.4867,366.875175,373.3131,275.315972,291.57911969697,256.9581,286.68995,227.0926,298.6336,199.046325,396.719025,16.893062132013,14.1049255213941,1.05907084713912,1.11570699658816,0.0827991024534465,0.157958200939194,"KICH"
"ZNF519",0.00193599391167265,0.986825260280581,0.00321298031163442,8.67108181818182,25.22425,8.31023333333333,0.758728774707547,20.75275,1.17583110276188,6.449,14.847875,6.0688,10.9314,35.600625,9.1773,24.214028,10.3310545454545,19.662,9.1222,16.1734,32.0409,5.141475,11.563,2.75991306485983,1.03952665901267,0.426655761092477,0.463950767978842,-1.22885556616513,-1.10795637264042,"KICH"
"ZNF25",0.684304958664727,0.0144545430540004,0.0844799841575727,115.824736363636,78.18195,184.409144444444,9.27375210250461,9.21644999999999,30.3965358448455,88.1993,73.573725,113.6666,124.9057,82.790175,228.5457,384.570044,151.156042424242,373.5838,118.9238,333.3333,428.6721,93.082975,147.63465,16.4244757368062,14.6107932949292,0.393052045479243,0.31833232597345,-1.34720773715312,-1.65139442784885,"KICH"
"ZNF77",0.999813525993851,0.708698345194142,0.916107435167855,86.7457939393939,87.19775,76.6682,6.39949339772141,33.13275,4.15859171468473,66.3221,70.631375,72.2133,86.9361,103.764125,87.2793,91.116768,86.1338787878788,75.7281,77.193,63.2847,96.8878,66.8511,91.808725,10.7011256013137,4.18427009368223,0.945313147936489,1.01934420644384,-0.0811357738731055,0.0276412949562554,"KICH"
"ZNF169",0.75959731945582,0.972800816735233,0.84561906643231,37.0889939393939,45.2078,38.4120444444444,2.58984595925132,24.4761,5.07947442114151,26.9096,32.96975,24.7425,45.3258,57.44585,53.1613,60.875348,39.0989,54.5016,37.33165,46.7997,69.8343,26.953625,49.193875,4.55847293860243,1.89782668976322,0.642278053178439,0.684964294626213,-0.638730094895504,-0.545899308724072,"KICH"
"ZNF613",0.395405453693654,0.380936288860337,0.160402208710101,126.069457575758,71.7147,154.711555555556,8.62819223242058,15.2106,27.1641246016185,96.7192,64.1094,92.1162,145.6767,79.32,152.9676,141.997868,122.874636363636,144.8637,117.68455,118.9869,163.645,87.2775,141.1482,7.45018256517633,6.50466996842383,0.865327332686688,0.812381224557981,-0.208682121775292,-0.299771197880209,"KICH"
"ZNF404",0.631345286600254,0.935629519039372,0.771143031102624,92.3247696969697,43.85165,82.8568111111111,14.0597809345275,18.64835,8.74631264760001,48.332,34.527475,73.1351,101.4952,53.175825,100.2723,40.344596,80.8606257575758,37.5807,74.8744,28.5476,45.5329,47.069825,98.451225,3.49366488479495,8.02198689554119,2.00424923718596,1.99236310127273,1.0030619251469,0.994480597540628,"KICH"
"ZNF135",0.0942450710383546,0.0473319210741308,0.00783987686545196,154.117406060606,41.61235,220.785722222222,12.94980008883,0.66405,22.546061006377,129.7514,41.280325,183.1065,201.8868,41.944375,272.2594,152.513284,151.1223,147.9335,155.8245,138.3345,164.1557,84.4748,205.31525,6.22393324241641,10.1389002510465,0.990879587905274,1.05334153521684,-0.0132183437184184,0.0749732913241858,"KICH"
"ZNF620",0.496035317150089,0.375747478776461,0.911273736140551,72.377603030303,53.3186,60.7026888888889,3.81059129958728,22.8308,8.55812175143271,56.1854,41.9032,46.9439,85.1835,64.734,74.0613,76.6722,67.3511848484848,78.158,66.85915,57.1232,88.7887,49.513375,82.387325,4.24959034136625,3.06399739315868,0.878430315661802,0.85543578392487,-0.187000250584961,-0.225268536713139,"KICH"
"ZNF619",0.92326735048978,0.770598836471829,0.772454654363652,78.2871666666667,91.6439,65.7939333333333,8.65484954444405,59.9366,11.0235519252719,49.5745,61.6756,44.1484,110.4107,121.6122,86.6487,71.951448,78.8393545454545,72.4651,68.45545,52.7765,84.2964,45.31705,109.4689,4.42900144086723,5.6794156760077,1.09572992256465,0.944667847004972,0.131892244108487,-0.0821209398535566,"KICH"
