"gene","N1-N0","N2-N0","N2-N1","NX-N0","NX-N1","NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX"
"ZNF124",0.999530601451385,0.930774864857842,0.977023318694523,0.187740886012538,0.747556614786801,0.541881212551028,30.9795175,29.7015666666667,22.42865,41.872005,2.64954772655029,10.683076704354,0.49175,5.55786476128281,18.887425,19.24,22.182775,22.2802,36.3666,36.8066,22.674525,57.75625
"ZNF569",0.982979517023086,0.603844529677737,0.613482184890045,0.107280336487915,0.519208152550756,0.983942990633152,106.6681625,93.1457,162.02615,145.60666,7.82496114136062,13.2232325341927,53.82715,18.4266699028215,75.59325,83.8959,135.112575,90.822075,121.939,105.9542,188.939725,176.3001
"ZNF777",0.999999444962941,0.485007237379014,0.673452216485078,0.988118250209264,0.999165040436843,0.57979903646001,730.0303925,728.579866666667,511.7737,711.350385,32.4273463587607,223.918111878222,138.403,43.5847760242045,586.379325,506.86555,442.5722,570.875675,834.08295,866.5767,580.9752,813.144475
"ZNF605",0.80548137895953,0.996338639035629,0.871227491834226,0.981027705025419,0.728254970968968,0.99986644107975,570.5400925,491.873966666667,593.56015,585.788835,23.4732799373167,137.673342717564,70.20995,29.0632307285595,479.829175,398.60155,558.455175,509.1725,640.603,626.20655,628.665125,659.105475
"ZNF799",0.538149107601383,0.580031118123989,0.999159179684026,0.994096198484851,0.636868286557707,0.657357813286229,123.234115,94.565,90.2574,120.744095,5.72970592601372,21.5470272477048,0.278399999999998,7.83221954847403,103.02655,79.3475,90.1182,106.397725,143.70105,115.3846,90.3966,140.4399
"ZNF782",0.809888311383341,0.0375681808607052,0.0361515599547105,0.999797834418136,0.842707586819713,0.0408127537777301,60.451115,47.9168333333333,107.4267,59.920995,3.64165050257496,21.7108903986251,2.5914,5.18394759492921,45.5201,26.25745,106.131,45.292575,72.24835,60.0409,108.7224,76.1087
"ZNF846",0.250921123002938,0.996828142349178,0.713123004621687,0.142442127255651,0.831012172489667,0.931635348206765,93.0499725,132.056166666667,98.2722,113.766605,4.98831224586724,44.4967486561034,9.6465,7.78879965965121,70.827225,98.7253,93.44895,86.05545,109.169025,174.2512,103.09545,139.136375
"ZNF136",0.823176232733209,0.676561929191574,0.468588109960319,0.880573159075615,0.956809733659123,0.522215767439133,311.9072775,255.695933333333,400.3569,289.890515,14.7878588385343,112.622343731256,21.7875,28.1881741734882,244.29915,145.93615,389.46315,184.00695,371.2611,332.42615,411.25065,410.114
"ZKSCAN5",0.517070468987827,0.0562860199402412,0.658351620133512,0.761037673869506,0.804955416250022,0.143095711047283,409.2963775,492.693066666667,599.0227,436.41989,15.7083677663202,32.1963264344104,106.2331,23.434700076388,354.0145,466.6037,545.90615,363.227375,470.33605,522.0767,652.13925,487.38285
"ZNF33B",0.992738901768545,0.985830861135979,0.968805811100276,0.0817941865814912,0.849194182395695,0.607711828934615,580.328455,623.4469,514.7392,755.39719,37.1164377765506,164.996746673998,22.3316,70.7591833461673,414.087525,499.46635,503.5734,563.674575,719.95625,779.72165,525.905,904.3091
